இளம் ,"young, tender",பிந்தா3  (adj),पिन्दा,ꢦꢶꢥ꣄ꢣꢵ
இளைய  ,young,ந:ன்ன(adj),न्हन्न,ꢥꢴꢥ꣄ꢥ
இனிய  ,sweet,கு3ள்ளெ(adj),कुळ्ळ॑,ꢒꢸꢳ꣄ꢳꢾ
ஏற்ற  ,appropriate,ஸெர்கஹொயெ(adj),च॑र्क्कहा॑य॑,ꢗꢾꢬ꣄ꢒ꣄ꢒꢲꣁꢫꢾ
காலி  ,empty,க2லி(adj),खलि,ꢓꢭꢶ
குறுகிய  ,short,அக்குரா (adj),अक्कुरा,ꢂꢒ꣄ꢒꢸꢬꢵ
கெட்ட  ,bad,நீச (adj),नीच,ꢥꢷꢗ
கொஞ்சம்  / சில,"a little, a few",ருவ்வ(adj)/ தெ2வ்ட3 (adj),"रुव्व, थ॑व्ड","ꢬꢸꢮ꣄ꢮ, ꢢꢾꢮ꣄ꢞ"
சிறிது  ,a little,ருவ்வ(adj),रुव्व,ꢬꢸꢮ꣄ꢮ
சீரிய  ,very good,பெ4ளிசொக்கட்(adj),भ॑लिचा॑क्कट,ꢩꢾꢭꢶꢗꣁꢒ꣄ꢒꢜ꣄
நல்ல  ,good,சொக்கட்(adj),चा॑क्कट्,ꢗꣁꢒ꣄ꢒꢜ꣄
நிறைய  ,many,ஜு2க்கு,जुक्कु,ꢙꢸꢒ꣄ꢒꢸ
நுண்ணிய  ,minute,பெ4ளிந:ன்ன,भ॑लिन्हन्न,ꢩꢾꢭꢶ ꢥꢴꢥ꣄ꢥ
நெடிய  ,"long, tall","லம்ப3, உஞ்ச","लम्ब, उञ्च","ꢭꢪ꣄ꢨ, ꢆꢛ꣄ꢗ"
நெடும்  ,"tall things, long (time)",ஜீ2க்குகால,झुक्कुकाल,ꢚꢸꢒ꣄ꢒꢸꢒꢵꢭ
பல  ,many,ஜு2க்கு,झुक्कु,ꢚꢸꢒ꣄ꢒꢸ
பழைய  ,"old, ancient",ஜுன்ன,जुन्न,ꢙꢸꢥ꣄ꢥ
புதிய  / புது,new,நொவொ,ना॑वा॑,ꢥꣁꢮꣁ
பெரிய  ,big,மொ:ட்ட,म्हा॑ट्ट,ꢪꢴꣁꢜ꣄ꢜꣁ
போதிய  ,enough,பு2ர/பு2ரஹொயெ,"फुर, फुरहा॑य॑","ꢧꢸꢬ, ꢧꢸꢬꢲꣁꢫꢾ"
மிக்க/மிக,very,பெ4ளி/ வேன்,"भ॑लि, वेन","ꢩꢾꢭꢶ, ꢮꢿꢥ꣄"
வலிய  ,strong,பொ3லிமு,बा॑लिमु,ꢨꣁꢭꢶꢪꢸ
வெகு  ,"very, a lot of",அனேக,अनेक,ꢂꢥꢾꢒ
வெறும்  ,only,நிஸ்த,निस्त,ꢥꢶꢱ꣄ꢡ
வேறு  ,different,வெக்ள/ல,व॑क्ळ/ ल,ꢮꢾꢒ꣄ꢳ꣄ / ꢭ
