அங்கம்  ,organ,அங்க3ம்,अङगम्,ꢂꢖ꣄ꢔꢪ꣄
அடி  ,sole,பாத3ம்,पादम्,ꢨꢵꢣꢪ꣄
அண்ணம்  ,palate,ஹிரிடி3,हिरिडि,ꢲꢶꢬꢶꢞꢶ
அரை  ,hip,பொக்கல்,पा॑क्कल्,ꢦꣁꢒ꣄ꢒꢭ꣄
இடக்கை  ,left hand,"தை3ரஹாத், த3குனஹாத்","दैरहात, दकुनहात","ꢣꣀꢬ ꢲꢵꢡ꣄, ꢣꢒꢸꢥ ꢲꢵꢡꢶ"
இடுப்பு  ,waist,கேட்,केट्,ꢒꢿꢜ꣄
இதயம்  ,heart,கு3ண்டெ3,गुण्ड॑,ꢔꢸꢠ꣄ꢞꣁ
இமை  ,eyelash,ரொப்பொ,रा॑प्पा॑,ꢬꣁꢦ꣄ꢦꣁ
இரத்தம்  ,blood,ரெக3த்,र॑गत्,ꢬꢾꢔꢡ꣄
இருதயம்  ,heart,ஹ்ருத3யு/கு3ண்டெ3/,"ह्रुदयु, गुण्ड॑","ꢲ꣄ꢬꢸꢣꢫꢸ, ꢔꢸꢠ꣄ꢞꢾ"
ஈரல்  ,liver,தி2ள்ஜி,तिळ्जि,ꢡꢶꢳ꣄꣄ꢙꢶ
ஈறு  ,gum,ஹ்ருடி3,ह्रुडि,ꢲ꣄ꢬꢸꢞꢶ
உச்சி  ,crown,தளு,तळु,ꢡꢳꢸ
உடம்பு  ,body,ஆங்கு3/ ஶெரிர்/தனு,"आङकु, सेरिर, तनु","ꢃꢖ꣄ꢒꢸ, ꢱꢾꢬꢶꢬ꣄, ꢡꢥꢸ"
உடம்பு  ,body,ஆங்கு3,आङगु,ꢃꢖ꣄ꢔꢸ
உதடு  ,lip,ஹோட்,होट,ꢲꣂꢜ꣄
உமிழ்நீர்  ,saliva,ஹுட்டொ/      ஜீர்ணு த்3ரவ்யு,"हुट्टा॑, जीर्णु द्रव्यु","ꢲꢸꢜ꣄ꢜꣁ,  ꢙꢷꢬ꣄ꢠꢸ ꢣ꣄ꢬꢮ꣄ꢫꢸ"
