கிடைக்காது  ,will not get,அப்3பு3னா/ஜுண்ணா,"अब्बुना, जुण्णा","ꢂꢨ꣄ꢨꢸꢥꢵ, ꢙꢸꢠ꣄ꢠꢵ"
கிடைக்கும்  ,will get,அப்3ப3ய்/ஜுடை3,"अब्बय्, जुडै","ꢂꢨ꣄ꢨꢫ꣄, ꢙꢸꢞꣀ"
கிடையாது  ,will not be available, நீ:,न्ही,ꢥꢴꢷ
தெரியாது  ,do not know,களானா,कळाना,ꢒꢳꢵꢥꢵ
தெரியும்  ,know,களாய்,कळाय्,ꢒꢳꢵꢫ꣄
பிடிக்காது  ,do not like,ஒப்பானா,आ॑प्पाना,ꢏꢦ꣄ꢦꢵꢥꢵ
பிடிக்கும்  ,like,ஒப்பாய்,आ॑प्पाय्,ꢏꢦ꣄ꢦꢵꢫ꣄
புரியாது  ,do not understand,விவர் பொண்ணா,विव र्पा॑ण्णा,ꢮꢶꢮꢬ꣄ꢦꣁꢠ꣄ꢠꢵ
புரியும்  ,understand,விவர் பொட3ய்,विव र्पा॑डय,ꢮꢶꢮꢬ꣄ꢦꣁꢞꢫ꣄
போதாது  ,not enough,பு2ர்னா,फुर्ना,ꢧꢸꢬ꣄ꢥꢵ
போதும்  ,enough,பு2ரய்,फुरय्,ꢧꢸꢬꢫ꣄
முடியாது  ,not possible,முஸூனா/ஶெக்குனா,"मुसुना, श॑क्कुना","ꢪꢸꢱꢸꢥꢵ, ꢯꢾꢒ꣄ꢒꢸꢥꢵ"
முடியும்  ,possible,முஸய்/ ஶெக்கய்,"मुसय्, श॑क्कय","ꢪꢸꢱꢫ꣄, ꢯꢾꢒ꣄ꢒꢫ꣄"
வேண்டாம்  ,do not want,நொக்கொ/ பஜெ நீ:,"ना॑क्का॑, पज॑ न्ही ","ꢥꣁꢒ꣄ꢒꣁ, ꢦꢙꢾꢥꢴꢷ"
வேண்டும்  ,want,பஜெ,पज॑,ꢦꢙꢾ
