Unnamed: 0,8. Earth and Earth Related Words,Unnamed: 2,Unnamed: 3,Unnamed: 4
அடிவாரம் ,foot-hill,உபத்யகொ,उपत्यका॑,ꢆꢦꢡ꣄ꢫꢒꣁ
அடிவானம் ,horizon,ஸந்தி4,सन्धि,ꢱꢥ꣄ꢤꢶ
அணை ,dam,ஸேது,सेदु,ꢱꢾꢡꢸ
அணைக்கட்டு ,dam,"அள, ஸேது","अळ, सेदु","ꢂꢳ, ꢱꢾꢡꢸ"
அருவி ,water falls,ஜ2ரி,झरि,ꢚꢬꢶ
அலை ,wave,லாட்,लाट्,ꢭꢵꢜ꣄
ஆழி ,sea,ஸுந்து3ர்,सुन्दुर्,ꢱꢸꢥ꣄ꢣꢸꢬ꣄
ஆறு ,river,நெத்3தி3,न॑द्दि,ꢥꢾꢣ꣄ꢣꢶ
இடி ,thunder,பவி,पवि,ꢦꢮꢶ
இடுகாடு ,burial ground,மொஸ்யான்,मा॑स्यान्,ꢪꣁꢱ꣄ꢫꢵꢥ꣄
இயற்கை ,nature,ப்ரக்ருதி,प्रुकृति,ꢦ꣄ꢬꢒꢺꢡꢶ
இருட்டு ,darkness,ஹந்தா3ர்,हन्दार्,ꢆꢥ꣄ꢣꢬ꣄
இருள் ,darkness,ஹந்தா3ர்,हन्दार्,ꢂꢥ꣄ꢣꢬ꣄
ஊற்று ,water spring,கஸு,कसु,ꢒꢱꢸ
ஏரிமலை ,volcano,ஹுளாக்3கி3ரி,हुळाग्गिरि,ꢲꢸꢳꢵꢔ꣄ꢔꢶꢬꢶ
ஏரி ,lake,தளொ,तळा॑,ꢡꢳꣁ
ஒலி ,sound,ஸெத்3து3,स॑द्दु,ꢱꢾꢣ꣄ꢣꢸ
ஒளி ,light,ஹுஜாள்,हुजाळ,ꢲꢸꢙꢵꢳ꣄
ஓசை ,sound,ஸப்3து3,सब्दु,ꢱꢨ꣄ꢣꢸ
ஓட்டை ,hole,பொ3ந்தொ3,बा॑न्दा॑,ꢦꣁꢥ꣄ꢣꣁ
கடல் ,sea,ஸுந்து3ர்,सुन्दुर्,ꢨꣁꢥ꣄ꢣꢸꢬ꣄
கடற்கரை ,sea shore,ஸுந்து3ருதீரு,सुन्दुरुतीरु,ꢆꢥ꣄ꢣꢸꢬꢸꢡꢷꢬꢸ
கண்டம் ,continent,க2ண்ட3ம்,खण्डम्,ꢓꢠ꣄ꢞꢪ꣄
கருங்கல் ,granite,"சிடா3ய்தெ3கு3டொ, களதெ3கு3டொ","चिडाय द॑गुटा॑, कलद॑गुटा॑","ꢗꢶꢞꢵꢫ꣄ꢣꢾꢞꢸꢜꣁ, ꢒꢭꢣꢾꢔꢸꢜꣁ"
கரை ,"land, bank",தீரு,तीरु,ꢡꢷꢬꢸ
களிமண்,clay,"சிட3மத்தி, சிகு3ட்டமத்தி","चिडमत्ति, चिगुट्टमत्ति","ꢗꢶꢞꢪꢡ꣄ꢡꢶ, ꢗꢶꢔꢸꢜ꣄ꢜꢪ꣄ꢡꢡꢶ"
கனிமம் ,ore,"தா3ரு, தா4து","दारु, धतु","ꢣꢵꢬꢸ, ꢤꢵꢡꢸ"
காடு ,forest,"ராண், வனம்","राण्, वनम्","ꢬꢵꢠ꣄, ꢮꢥꢪ꣄"
காயல் ,back-water,மீடு தளொ,मीटु तळा॑,ꢪꢷꢜꢸ ꢡꢳꣁ
கால்வாய் ,canal,கௌலொ,कौला॑,ꢒꣃꢭꣁ
காற்று ,air,வரொ,वरा॑,ꢮꢬꣁ
கானல் நீர்கானல் ,,"மரின், பன்மரின்","मरिन्, पन्मरिन्","ꢪꢬꢶꢥ꣄, ꢦꢥ꣄ꢪꢬꢶꢥ꣄"
கிணறு ,well,ஹீர்,हीर्,ꢲꢷꢬ꣄ 
குகை ,cave,கு4பொ,घुपा॑,ꢕꢸꢦꣁ
குட்டை ,pond,ஸொரொ,स॑रा॑,ꢱꣁꢬꣁ
குடா ,gulf,"ஸுந்து3ரு குக்ஷி, ஸுந்துர் ஹீபு","सुन्दुरु कुक्षि, सुन्तुर् हीपु",ꢱꢸꢥ꣄ꢣꢸꢬꢸꢒꢸꢒ꣄ꢰꢶꢱꢸꢥ꣄ꢡꢸꢬꢲꢷꢦꢸ 
குமிழி ,bubble,பு3ஸும்பு3ட்3டொ3,बुसुम्बुड्डा॑,ꢨꢸꢱꢸꢪ꣄ꢨꢸꢞ꣄ꢞꣁ
குளம் ,"pond, tank, pool",கௌ2ரி,खौरि,ꢓꣃꢬꢶ
குழி ,pit,"கீ4ர், நிந்னொ","धीर्, निन्ना॑","ꢕꢷꢬ꣄, ꢥꢶꢥ꣄ꢥꣁ"
குறிஞ்சி ,mountain and its surrounding,கி3ரி ராண்,गिरि राण्,ꢔꢶꢬꢶ ꢬꢵꢠ꣄
குன்று ,hill,தொ3ங்க3ர்,दा॑ङगर्,ꢣꣁꢖ꣄ꢔꢬ꣄
கொடுமுடி ,peak,ககுத3,ककुद,ꢒꢒꢸꢣ
சங்கமம் ,confluence,ஸங்க3மம்,सङगमम्,ꢱꢖ꣄ꢔꢪꢪ꣄
சதுப்பு நிலம் ,marshy land,தளாதாம்,तलाताम्,ꢡꢭꢵꢡꢵꢪ꣄
சந்திப்பு ,junction,ஸந்த்3யா,सन्द्या,ꢱꢥ꣄ꢣ꣄ꢫꢵ
சந்து ,lane,ஸெந்து,स॑न्दु,ꢱꢾꢥ꣄ꢡꢸ
சமுத்திரம் ,ocean,மஹாஸாக3ரம்,महासागरम्,ꢪꢲꢵꢱꢵꢔꢬꢪ꣄
சரல் ,gravel,சிடா3ய்,चिडाय्,ꢗꢶꢞꢵꢫ꣄
சல்லி ,gravel stone,சிடா3ய்தெ3ய்டொ3,चिडाय् द॑य्डा॑,ꢗꢶꢞꢫ꣄ꢣꢾꢫ꣄ꢞꣁ
சாலை ,road,"வாட், ரெஸ்த","वाट्, र॑स्त","ꢮꢵꢜ꣄, ꢬꢾꢱ꣄ꢡ"
சிகரம் ,peak,தோஸ்,तोस्,ꢡꣂꢱ꣄
சுடுகாடு ,burning ground,மொஸ்யான்,मा॑स्यान्,ꢪꣁꢱ꣄ꢫꢵꢥ꣄
சுரங்கப்பாதை ,sub-way/tunnel,த4வாவாட்,धवावाट्,ꢤꢮꢵꢮꢵꢜ꣄
சுரங்கம் ,tunnel/mine,கு4வ்வொ,घुव्वा॑,ꢕꢸꢮ꣄ꢮꣁ 
சுழல் ,whirlpool,ஆவர்து,आवर्तु,ꢃꢮꢬ꣄ꢡꢸ
சுழற்காற்று ,whirlwind,ஆவர்து வரொ,आवर्दु वरा॑,ꢃꢮꢬ꣄ꢡꢸꢮꢬꣁ
சூறாவளி ,storm,ஸுரிவரொ,सुरिवरा॑,ꢱꢸꢬꢶꢮꢬꣁ 
செம்மண் ,red soil,ரமத்தி,रमत्ति,ꢬꢪꢡ꣄ꢡꢶ
சேரி ,slum,பொட்க்யாட்,पा॑ट्क्याट्,ꢦꣁꢜ꣄ꢒ꣄ꢫꢵꢜ꣄
சேறு ,mud,சக்கில்,सक्किल्,ꢗꢒ꣄ꢒꢶꢭ꣄
தடம் ,path,மார்க3ம்,मार्गम्,ꢪꢵꢬ꣄ꢔꢪ꣄
தடாகம் ,tank (with flowers),பூ2லுதளொ,फूलुतळा॑,ꢧꢹꢭꢸꢡꢳꣁ
தரிசுநிலம் ,barren land,பீக் நீ:த்த தா2ம்,पीक् न्हीत्त थाम्,ꢦꢷꢒ꣄ ꢥꢴꢷꢡ꣄ꢡ ꣄ꢢꢵꢪ꣄
தளம் ,floor,தலம்/பூ4தலம்,"तलम्, भूतलम्","ꢡꢭꢪ꣄, ꢩꢸꢡꢭꢪ꣄"
தாது ,ore,தா4து,धातु,ꢤꢵꢡꢸ
தாதுப்பொருள் ,mineral,தா4துவஸ்து,धतुवस्तु,ꢤꢵꢡꢸꢮꢱ꣄ꢡꢸ
திரை ,wave,லாட்,लाट्,ꢭꢵꢜ꣄
தீப்பிழம்பு ,lava,ஹுளா கொ3ளொ,हुळा गा॑ळा॑,ꢆꢳꢵ ꢔꣁꢳꣁ
தீபகற்பம் ,penisula,தீ3ப க3ர்பு,दीप गर्पु,ꢣꢷꢦ ꢔꢬ꣄ꢦꢸ
தீவு ,island,தீ3வு,दीवु,ꢣꢶꢮꢸ
துறைமுகம் ,har bour,தாரு ஸ்த2ல்,तारु स्थल्,ꢡꢵꢬꢸ ꢱ꣄ꢡꢭ꣄
தூசி ,dust,"தூ4ளி, ஜெஜ்ஜு","धूळि, जेज्जु","ꢤꢹꢳꢶ, ꢙꢾꢙ꣄ꢙꢸ"
தெரு ,street,வீத்/பளொ,"वीत्, पळा॑","ꢮꢷꢡ꣄, ꢦꢳꣁ"
தொடுவானம் /அடிவானம்,hori zon,தி3கந்து,दिकन्तु,ꢣꢶꢒꢥ꣄ꢡꢸ
நதி ,river,நெத்3தி3,न॑द्दि,ꢥꢾꢣ꣄ꢣꢶ
நிலம் ,land,பு4இ~,भुञ्~,ꢩꢸꢛ꣄~
நிழல் ,shade,சைலொ/ நீடொ3,"चैला॑, नीडा॑","ꢗꣀꢭꣁ, ꢥꢷꢞꣁ "
நீர் ,water,பனி,पनि,ꢦꢥꢶ
நீர்ச்சுழி ,whirlpool,அவ்ரி/ஒளரி,"अव्रि, औरि","ꢂꢮ꣄ꢬꢶ, ꢑꢬꢶ"
நீர்த்தேக்கம் ,reservoir,பன்ரேம்,पन्रेम्,ꢦꢥ꣄ꢬꢾꢪ꣄
நீர்மட்டம் ,water level,பனி ஸ்தி2தி,पनि स्थिति,ꢦꢥꢶ ꢱ꣄ꢢꢶꢡꢶ
நீர்வீழ்ச்சி /அருவி,water fall,ஜ2ரி,झरि,ꢚꢬꢶ
நீரூற்று ,fountain,கஸு,कसु,ꢒꢱꢸ
நீரோட்டம் ,water current,பன் தா4ம்,पन्धाम्,ꢦꢥ ꣄ꢤꢵꢪ꣄
நுரை ,foam,பீ2ன்,फीन्,ꢦꢷꢥ꣄
நெய்தல் ,sea and its surrounding,அப்3ரனி த4ரிர்,अब्रनि धरिर्,ꢂꢨ꣄ꢬꢥꢶ ꢤꢬꢶꢬ꣄
பள்ளத்தாக்கு ,va lley,மஹாகீ4ர்,महा घीर्,ꢪꢲꢵ ꢕꢷꢬ꣄
பாதாளம் ,lower world,பதா3ள்,प्दाळ्,ꢦꢣꢵꢳ꣄
பாலம் ,bridge,ஸேது,सेदु,ꢱꢿꢡꢸ
பாலைவனம்/பாலை,desert,"வளு ராண்,          வளு வன","वळु राण्,      वळु वन","ꢮꢭꢸ ꢬꢵꢠ꣄, ꢮꢭꢸ ꢮꢥ"
பாறை ,rock,பாரொ,पारा॑,ꢦꢵꢬꣁ
பிரகாசம் ,light/bright ness,"உடாவ், ப்ரகாஷ்","उटाव्, प्रकाष्","ꢆꢜꢵꢮ꣄,  ꢦ꣄ꢬꢒꢵꢰ꣄"
பீடபூமி ,plateau,ஸமஸ்த2ல்,समस्थल,ꢱꢪꢱ꣄ꢢꢭ꣄ 
புயல் ,cyclone,ஜ2ஞ்ஜு,झुञ्जु,ꢚꢸꢛ꣄ꢙꢸ
புவி ,earth,பு4இ~,भुञ्,ꢩꢸꢛ꣄
புழுதி ,dust,தூ4ளி,धूळि,ꢤꢹꢳꢶ
புனல் ,water,பனி,पनि,ꢦꢥꢶ
பூகம்பம் ,earthquake,பு4இ~கி2ணைனி/ பு4கம்பு,"भुइ~ खिणैनि, भुकम्पु","ꢩꢸꢄ~ ꢓꢶꢠꣀꢥꢶ, ꢩꢸꢒꢪ꣄ꢦꢸ"
பெருங்கடல் ,ocean,மஹாஸுந்து3ர்,महासुन्दुर्,ꢪꢃꢱꢸꢥ꣄ꢣꢸꢬ꣄
பேரருவி ,cataract,மொ:ட் ஜ2ரி,म्हा॑ट्झरि,ꢪꢴꣁꢜ꣄ ꢚꢬꢶ
பொடி ,powder,பு4ர்கொ/சூர்ணு,"भुर्का॑, चूरणु","ꢩꢸꢬ꣄ꢒꣁ, ꢗꢹꢬ꣄ꢠꢸ"
பொய்கை ,pond/tank,ஹிரொ/த3மர் தளொ,"हिरा॑, दमर्तळा॑","ꢲꢶꢬꣁ, ꢣꢪꢬ꣄ ꢡꢳꣁ"
மட்டம் ,level,ஸ்தி2தி,सथिति,ꢱꢢꢶꢡꢶ
மண் ,soil,மத்தி,मत्ति,ꢪꢡ꣄ꢡꢶ
மணல் ,sand,வளு,वळु,ꢮꢳꢸ
மணல் திட்டு ,shoal,வளுதிப்பொ,वळुतिप्पा॑,ꢮꢳꢸꢡꢶꢦ꣄ꢦꣁ
மணல் தேரி ,sand hill,வளுமிட்டொ,वळुमिट्टा॑,ꢮꢳꢸꢪꢶꢜ꣄ꢜꣁ
மயானம் ,burning/ burial ground,மொஶன்,मा॑श्यान्,ꢪꣁꢯ꣄꣄ꢫꢵꢥ꣄
மருதம் ,paddy field and its surrounding,பீகுத4ரிர்,पीकुधरिर्,ꢦꢷꢒꢸꢤꢬꢶꢬ꣄
மலை ,mountain,தொ3ங்க3ர்/கி3ரி,"दा॑ङगर्, गिरि","ꢣꣁꢖ꣄ꢔꢬ꣄, ꢔꢶꢬꢶ"
மலைச்சரிவு ,mountain slope,கி3ரிஜி2ர்காவ்,गिरि झिर्काव्,ꢔꢶꢬꢶꢚꢶꢬ꣄ꢮꢵꢜ꣄
மலைச்சாரல் ,foot hill,தொ3ங்க3ர் வாட்,दा॑ङगर्वाट्,ꢡꣁꢖ꣄ꢔꢬ ꣄ꢮꢵꢜ꣄
மலைத்தொடர்ச்சி ,mountain range,தொ3ங்கர் தொரண்,दा॑ङकर्तोरण्,ꢡꣁꢖ꣄ꢒꢬ꣄ꢡꣁꢬꢠ꣄
மின்னல் ,lightning,சபல்/வித்3யுத்,"चपल्, विद्युत","ꢗꢦꢭ꣄, ꢮꢶꢣ꣄ꢫꢸꢡ꣄"
முடுக்கு ,lane,நா:ன்வீத்,न्हान्वीत्,ꢥꢴꢵꢥ꣄ꢮꢷꢡ꣄
முல்லை ,forest and surrounding,வனாந்தர்,वनान्तिर,ꢮꢥꢵꢥ꣄ꢡꢶꢬ
முனை ,cape,மொனொ,मा॑ना॑,ꢪꣁꢥꣁ
வளி ,"air, wind",வரொ,वरा॑,ꢮꢬꣁ
வளைகுடா ,"gulf, bay",அகா2தொ3,अखादा॑,ꢂꢓꢵꢣꣁ
வழி ,"way, path",வாட்,वाट्,ꢮꢵꢜ꣄
வீதி ,street,வீத்,वीत्,ꢮꢷꢡ꣄
வெள்ளம் ,flood,வெல்வொ/ப்ரவாஹ்,"वेल्वो, प्रवाह","ꢮꢾꢭ꣄ꢮꣁ, ꢦ꣄ꢬꢮꢵꢲ"
ஜலசந்தி ,strait,பன்ஸந்தி3,पन्सन्दि,ꢦꢥ꣄ꢰꢥ꣄ꢣꢶ
