அகரமுதலி / அகராதி,dictionary,அகராதி/நிகண்டு/கோஷ்,"अकराति, निकण्टु, कोष","ꢂꢒꢬꢵꢡꢶ, ꢥꢶꢒꢠ꣄ꢜꢸ, ꢒꣂꢰ꣄"
அத்தியாயம் ,chapter,அத்4யாய்,अध्याय,ꢂꢤ꣄ꢫꢵꢫ꣄
அயல்மொழி ,foreign language,விதே3ஶு பா4ஷொ,विदेशु भाषा॑,ꢮꢶꢣꢿꢯꢸ ꢩꢵꢰꣁ
அரசியல் ,politics,ராஜநீதி,राजनीति,ꢬꢵꢙꢥꢷꢡꢶ
அரசியலியல் ,political science,ராஜநீதி ஸாஸ்த்ரு/ ராஜநீதி ஞான்,"राजनीति सास्त्रु, राजनीति ञान्","ꢬꢵꢙꢥꢷꢡꢶ ꢱꢵꢱ꣄ꢡ꣄ꢬꢸ, ꢬꢵꢙꢥꢷꢡꢶ ꢛꢵꢥ꣄"
அலுவலகம் ,office,கார்யாலயொ,कार्यलया॑,ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ
அறிகுறி,clue,ஸது3ஷ்டம்/ஸெகு3ன்/ஸூசனொ,"सदुष्टम्, स॑गुन, सूचना॑","ꢱꢣꢸꢰ꣄ꢜꢪ꣄, ꢱꢾꢔꢸꢠ,꣄ ꢱꢹꢱꢥꣁ"
அறிவியல் ,science,விக்3ஞான்,विगञान्,ꢮꢶꢔ꣄ꢛꢵꢥ꣄
ஆசிரியர் ,teacher,வத்3தி3/ஒத்3தி3,"वद्दि, आ॑द्दि","ꢮꢣ꣄ꢣꢶ, ꢏꢣ꣄ꢣꢶ"
ஆண்டுத் தேர்வு ,annual examination,ஒர்ஸுபரிக்ஷொ/ வார்ஷிக பரிக்ஷொ,"आ॑र्सुपरिक्षो, वार्षिक परिक्षो","ꢏꢬ꣄ꢱꢸꢦꢬꢶꢰꢾ, ꢮꢵꢬ꣄ꢯꢶꢒ ꢦꢬꢶꢒ꣄ꢰꣁ"
ஆண்டு விழா ,annual function,ஒர்ஸுவைப4வ்,आ॑र्सुवैभव्,ꢏꢬ꣄ꢱꢸꢮꣀꢩꢮ꣄
ஆய்வு ,research,ஸம்ஸோத4னொ,सम्सोधना॑,ꢱꢪ꣄ꢱꣂꢤꢥꣁ
ஆய்வுக் கூடம் ,research laboratory,ஸம்ஸோத4னஸாலொ,सम्सोधनसाला॑,ꢱꢪ꣄ꢱꣂꢤꢥꢱꢵꢭꣁ
ஆய்வுநூல் ,thesis,ஸம்ஸோத4னாபொதி,सम्सोधनापा॑ति,ꢱꢪ꣄ꢱꣂꢤꢥꢵꢦꣁꢡꢶ
ஆய்வு மாணவர் ,research scholar,ஸம்ஸோத4னா,सम्सोधना,ꢱꢪ꣄ꢱꣂꢤꢥꢵ
ஆளுமை ,personality,வ்யக்திபா4வ்/ ஸ்வபா4வ்,"व्यक्तिभाव्, स्वभाव्","ꢮ꣄ꢫꢒ꣄ꢡꢶꢩꢵꢮ꣄, ꢱ꣄ꢮꢩꢵꢮ꣄"
ஆற்றல்/ திறன்,skill,ஸமத்து/நிபுணத்வொ,"समत्तु, निपुणत्वा॑","ꢱꢪꢡ꣄ꢡꢸ, ꢥꢶꢦꢸꢠꢡ꣄ꢮꣁ"
இசைக்கல்லூரி ,music college,ஸங்கீ3தகலாஸாலொ,सङकीतकलासाला॑,ꢱꢖ꣄ꢒꢷꢡ ꢒꢠ꣄ꢱꢵꢭꣁ
இயல் ,chapter,அத்4யாய்,अध्याय,ꢂꢤ꣄ꢫꢵꢫ꣄
இயற்கை ,nature,ப்ரகிருதி,प्रकृति,ꢦ꣄ꢬꢒꢺꢡꢶ
இலக்கணம் ,grammar,வ்யாகரணொ,व्याकरणा॑,ꢮ꣄ꢫꢵꢒꢬꢠꣁ
இலக்கியம் ,literature,ஸாஹித்யொ,साहित्या॑,ꢱꢵꢲꢶꢡ꣄ꢫꣁ
உரைநடை ,prose,க3த்3யொ,गद्या॑,ꢔ꣄ꢣ꣄ꢫꣁ
உரையாடல் ,conversation,ஸம்பா4ஷணொ,सम्भाषणा॑,ꢱꢪ꣄ꢩꢵꢰꢠꣁ
எழுதுகோல் ,"pen, pencil",லிக்2லொ,लिख्ला॑,ꢭꢶꢓ꣄꣄ꢭꣁ
கட்டணம் ,fee,கரொ,तरा॑,ꢡꢬꢾ
கட்டுரை ,essay,வ்யாஸொ,व्यासा॑,ꢮ꣄ꢫꢵꢱꣁ
கடிதம் ,letter,லேகு2,लेखु,ꢭꢾꢓꢸ
கணக்கு ,"arithmetic, account",லெ:கொ2/ ஹீஸு,"ल्ह॑खा॑, हीसु","ꢭꢴꢾꢓꣁ, ꢲꢷꢱꢸ"
கணிதம் ,mathematics,க3ணித்,गणित्,ꢔꢠꢶꢶꢡ꣄
கதை ,story,கெ2னி/கெ2தொ,"ख॑नि, ख॑ता॑","ꢓꢾꢥꢶ, ꢓꢾꢡꣁ"
கருத்தரங்கு ,seminar,அபி4ப்ராயு ஸத3ஸ்,अभिप्रायु सदस,ꢂꢩꢶꢦ꣄ꢬꢵꢫꢸ ꢱꢣꢱ꣄
கல்லூரி ,college,கலாஸாலொ,कलासाला॑,ꢒꢭꢵ ꢱꢵꢭꣁ
கல்வி ,education,ஈகு3/ வித்3யொ/ செது3வ்,"ईगु, विद्या॑, च॑दुव",ꢅꢔꢸ ꢮꢶꢣ꣄ꢫꣁ ꢗꢾꢣꢸꢮ꣄
கவி / கவிஞன்,poet,கவி,कवि,ꢒꢮꢶ
கவிதை ,"song, poem",கவிதொ,कविता॑,ꢒꢮꢶꢡꣁ
கற்பித்தல் ,teaching,இக3ட3ஸ்தே,इगडस्ते,ꢄꢔꢞꢱ꣄ꢡꢿ
கற்றல் ,learning,செவ்தி3னி/ஸிக்கினி,च॑व्दिनि/सिक्किनि,"ꢗꢾꢮ꣄ꢣꢶꢥꢶ, ꢱꢶꢒ꣄ꢒꢶꢥꢶ"
காகிதம் ,paper,கள்ஜம்,कळ्जम्,ꢒꢳ꣄꣄ꢙꢪ꣄
காப்பியம் / காவியம்,epic,காவ்யொ,काव्या॑,ꢒꢵꢮ꣄ꢫꣁ
குறிப்பு ,notes,ஸூசனொ,सूचना॑,ꢱꢹꢗꢥꣁ
குறிப்பேடு ,notebook,ஸூசனாபொதி,सूचनापा॑ति,ꢱꢹꢗꢥꢵꢦꣁꢡꢶ
கேட்டெழுதுதல்,dictation,ஐகி லிகி2னி,ऐकि लिखिनि,ꢎꢒꢶ ꢭꢶꢓꢶꢥꢶ
கேள்வி ,question,புஸ்னி/புஸாவ்,"पुस्नि, पुसाव्","ꢦꢸꢱ꣄ꢥꢶ,  ꢦꢸꢱꢵꢮ꣄"
கையெழுத்து / கையொப்பம்,"handwriting, signature",ஹாதக்ஷர்,हातक्षर्,ꢲꢵꢡꢰꢬ꣄
கையேடு ,handbook,ஹாதுபொதி,हातुपोति,ꢲꢵꢡꢸꢦꣁꢡꢶ
,,ஹஸ்தக்ஷர்,हस्तक्षर्,ꢲꢱ꣄ꢡꢰꢬ꣄
கொள்கை ,policy,நீதிநியமொ,नीतिनियमा॑,ꢥꢷꢡꢶꢥꢶꢫꢪꣁ 
கோட்பாடு ,theory,ஸித்3தா4ந்து,सिद्धान्दु,ꢱꢶꢣ꣄ꢤꢵꢥ꣄ꢡꢸ
சித்திரம் ,picture,சித்ரு/லோஸு/சித்தர்,"चित्रु, लोसु, चित्तर्","ꢗꢶꢡ꣄ꢬꢸ, ꢭꣂꢱꢸ, ꢗꢶꢡ꣄ꢡꢬ꣄"
சிந்தனை ,thought,யோசனொ,योच,ꢫꣂꢗꢥꣁ
சிறுகதை ,short story,ந:ன்கெ2னி,न:न्खेनि,ꢥꢥ꣄ꢓꢾꢥꢶ
செய்தித்தாள் ,newspaper,லௌகாஸு கள்ஜெம் /ஸமாசாருபத்ரொ,"लौकासु कळ्जम्, समाचारुपत्रा॑","ꢭꣀꢒꢵꢱꢸꢒꢳ꣄ꢙꢾꢪ꣄, ꢱꢪꢵꢗꢵꢬꢸꢦꢡ꣄ꢬꣁ"
செய்யுள் ,poetry,க3வ்னொ/பத்3யம்/ஸ்லோக்,"गव्नो, पद्यम, स्लोक्","ꢔꢮ꣄ꢥꣁ, ꢦꢣ꣄ꢫꢪ꣄, ꢱ꣄ꢭꣂꢒ꣄"
சொல் ,word,வத்தொ,वत्ता॑,ꢮꢡ꣄ꢡꣁ
சொற்களஞ்சியம் ,lexicon,கோஷ்/ஸப்3த3 ப4ண்டா3ர்,"कोष, सब्द पण्डार","ꢒꣁꢰ꣄, ꢱꢨ꣄ꢣ ꢩꢠ꣄ꢞꢵꢬ꣄"
