அம்மை  ,chickenpox,அம்மொ,अम्मा॑,ꢂꢪ꣄ꢪꣁ
அரிப்பு  ,itching,க2வ்ஜாவ்/கா2ஸ்,"खव्जाव, खास","ꢓꢮ꣄ꢙꢵꢮ꣄, ꢓꢵꢱ꣄"
அறிகுறி  ,sign,சின்ஹு,चिनहु,ꢗꢶꢥꢲꢸ
அறுவை  ,operation,ப2டினி,फटिनि,ꢧꢜꢶꢥꢶ
அஜீரணம்  ,indigestion,அஜீர்ணு,अजीर्णु,ꢂꢙꢷꢬ꣄ꢥꢸ
ஆரோக்கியம்  ,health,ஸௌக்யம்,सौक्यम्,ꢱꣃꢒ꣄ꢫꢪ꣄
ஆஸ்பத்திரி  ,hospital,அஸ்பத்திரி/      ஆஸு ப4த்3ரி,"अस्पत्तिरि,   आसु भद्रि","ꢂꢱ꣄ꢦꢡ꣄ꢡꢶꢬꢶ, ꢃꢱꢸ ꢩꢣ꣄ꢬꢶ"
இருமல்  ,cough,கொ2வ்லொ,खा॑व्ला॑,ꢓꣁꢮ꣄ꢭꣁ
உடல் நலம்   ,health,ஸௌரியம்,सव्रियम्,ꢱꢮ꣄ꢬꢶꢫꢪ꣄
சுளுக்கு  ,sprain,"கெண்டாபீள், இண்கினி","क॑ण्टापील्, इन्किनि","ꢒꢾꢠ꣄ꢜꢵꢦꢷꢭ꣄, ꢄꢥ꣄ꢒꢶꢥꢶ"
ஊரல்  ,itching,கா2ஸ்/பு4ருபு4ரால்,"खास्, भुरुभुराल","ꢓꢵꢱ꣄, ꢩꢸꢬꢸꢩꢸꢬꢵꢭ꣄"
எதிர்விளைவு  ,reaction,பருகெர்னி,परुक॑र्नि,ꢦꢬꢸꢒꢾꢬ꣄ꢥꢶ
எரிச்சல்  ,burning ,ஜாள்,जाळ,ꢙꢵꢳ꣄
எலும்பு முறிவு   ,fracture,ஹட்கொ முடி3னி,हट्का॑ मुडिनि,ꢲꢜ꣄ꢒꣁ ꢪꢸꢞꢶꢥꢶ
ஒவ்வாமை,allergy,ஹோனாஸ்தே/ செர்னாஸ்தே/ தெ4ர்னாஸ்தே,"होनास्ते, च॑र्नास्ते, ध॑र्नास्ते","ꢲꣁꢥꢵꢱ꣄ꢡꢾ, ꢗꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ, ꢤꢾꢬ꣄ꢥꢵꢱ꣄ꢡꢾ"
கக்கல்  ,vomitting,வமி/ஒக3ரி/வாந்தி3,"वमि, आ॑गरि, वान्दि","ꢮꢪꢶ, ꢏꢔꢬꢶ, ꢮꢵꢥ꣄ꢣꢶ"
ரத்தகசிவு  ,bleeding,ரெக3த் கெ3ள்னி,र॑गत ग॑ळ्नि,ꢬꢾꢔꢡ꣄ ꢔꢾꢳ꣄꣄ꢥꢶ
கண்வலி  ,pink-eye,தொ3ளா து3வ்னொ,दोळा दुव्नो,ꢣꣁꢳꢵ ꢣꢸꢮ꣄ꢥꣁ
கபம்  ,phlegm,கெ3ரள்,गेरळ,ꢔꢾꢬꢳ꣄
கருச்சிதைப்பு  ,abortion,க3ர்பு4 ஹானி,गर्भु हानि,ꢔꢬ꣄ꢩꢸ ꢲꢵꢥꢶ
கருத்தடை  ,contraception,க3ர்பு4நிரோத்3,गर्भु निरोद,ꢔꢬ꣄ꢩꢸ ꢥꢶꢬꣁꢣ꣄
களிம்பு  ,ointment,லவன்ஹொக3த்,लवन हा॑गत्,ꢭꢮꢥ꣄ ꢲꣁꢔꢡ꣄
களைப்பு  ,fatigue,ஸீன்,सीन्,ꢱꢷꢥ꣄
காசநோய்  ,tuberculosis,ஹட்கொதி3ஜய்னி,हट्का॑ तिजय्नि,ꢲꢜ꣄ꢒꣂ ꢡꢶꢙꢫ꣄ꢥꢶ
காதுவலி  ,ear ache,கானுது3வ்னொ,कानु दुव्ना॑,ꢒꢵꢥꢸ꣄ ꢣꢸꢮ꣄ꢥꣁ
காமாலை  ,jaundice,கமால்,कमाल्,ꢒꢪꢵꢭ꣄
காய்ச்சல்  ,fever,ஆங்கு3ஹுன்னொ/தாப்,"आङगु हुन्ना॑, ताप","ꢃꢖ꣄ꢔꢸ ꢲꢸꢥ꣄ꢥꣁ, ꢡꢵꢦ꣄"
காலாணி  ,corns,பாஇ~ஆணி,पाइ~ आणि,ꢦꢵꢄ~  ꢃꢠꢶ
கிருமிநாசினி  ,anti septic,க்ருமிநாஸினி,कृमि नासिनि,ꢒꢺꢪꢶ ꢥꢵꢱꢶꢥꢶ
கிறுக்கு  ,lunacy,பிஸொ,पिसा॑,ꢦꢶꢱꣁ
குடற்புண்  ,ulcer,அந்த்ராமுக2ஜ்ஜு,अन्त्रामु खज्जु,ꢂꢥ꣄ꢡ꣄ꢬꢵꢪꢸ ꢓꢙ꣄ꢙꢸ
குமட்டல்  ,nausea,வாமி/ஒக3ரி,"वामि, आ॑गरि","ꢮꢵꢪꢶ, ꢏꢔꢬꢶ"
குளிகை  ,"tablet, pill",கொ3ளி,गा॑ळि,ꢔꣁꢳꢶ
"சலம், சீழ்    ",puss,பீப்,पीप्,ꢦꢷꢦ꣄
சளி  ,cold,பொட்ஸெ,पा॑ट्स॑,ꢦꣁꢜ꣄ꢱꢾ
சிகிச்சை  ,treatment,சிகித்ஸொ,चिकित्सा॑,ꢱꢶꢒꢶꢡ꣄ꢱꣁ
சிரங்கு  ,scabies,க2ஜ்ஜு,खज्जु,ꢓꢙ꣄ꢙꢸ
சின்னம்மை  ,small pox,தெ3வி,द॑वि,ꢣꢾꢮꢶ
சீதபேதி  ,dysentery,மலப்ரவாஹம்,मलप्रवाहम्,ꢪꢭꢦ꣄ꢬꢮꢵꢲꢪ꣄
சீழ்க்கட்டி  ,abscess,பீபு கெ3ட்3டொ3,पीपु ग॑ड्डा॑,ꢦꢷꢦꢸ ꢔꢾꢞ꣄ꢞꣁ
சுளுக்கு  ,sprain,இண்கினி,इण्किनि,ꢄꢠ꣄ꢒꢶꢥꢶ
