Unnamed: 0,17. House and House Parts,கே4ர் கினு கே4ரு செரெ பா4கு3ன்,घेर किनु घेरु च॑र॑ भागुन,ꢕꢾꢬ꣄ ꢒꢶꢥꢸ ꢕꢾꢬꢸ ꢗꢾꢬꢾ ꢩꢵꢔꢸꢥ꣄
அங்கணம்  ,quadrangle inside the house,ஹொடா3ர்,हा॑डार्,ꢲꣁꢞꢵꢬ꣄
அரண்மனை  ,palace,ரவுள்,रवुळ,ꢬꢮꢸꢳ꣄
அறை  ,room,கொ4ம்மொ/அரொ/ தவ்ரம்,"घा॑म्मा॑, अरा॑, तव्रम","ꢕꣁꢪ꣄ꢪꣁ, ꢂꢬꣁ, ꢡꢮ꣄ꢬꢪ꣄"
இல்லம்  ,house,கே4ர்,घेर्,ꢕꢿꢬ꣄
உணவறை  ,dining hall,க2னி தவ்ரம்/ ஹந்த3வு தவ்ரம்,"खनि तव्रम, हन्दवु तव्रम","ꢓꢥꢶꢡꢮ꣄ꢬꢪ꣄, ꢲꢥ꣄ꢣꢮꢸ ꢡꢮ꣄ꢬꢪ꣄"
ஊஞ்சல்  ,swing,உஞ்சலொ/ஹிந்த3ளி,"उञ्चळा॑, हिन्दळि","ꢆꢛ꣄ꢗꢳꣁ, ꢲꢶꢥ꣄ꢣꢳꢶ "
ஓட்டுவீடு  ,tiled house,க2வ்ராகே4ர்,खव्राघेर्,ꢓꢮ꣄ꢬꢵ ꢕꢿꢬ꣄
ஓடு  ,tile,க2வ்ரொ,खव्रो,ꢓꢮ꣄ꢬꣁ
ஓடை  ,gutter,ஓடொ3,आ॑डा॑,ꢐꢞꣁ
ஓலைவீடு  ,thatched house,பருண்டா3கே4ர்,परुण्टाघेर्,ꢦꢬꢸꢠ꣄ꢜꢵ ꢕꢿꢬ꣄
கட்டிடம்  ,Plot/ house,ப4வன்,भवन्,ꢩꢮꢥ꣄
கதவு  ,door,கவாட்,कवाट्,ꢒꢮꢵꢜ꣄
கப்பி  ,pulley,ரெ:டொ3,र॑डा॑,ꢬꢴꢾꢜꣁ
கருங்கல்  ,black stone,சிடா3ய்தெ3ய்டொ3/ களாதெ3கு3டொ3,"चिडाय्देय्डो, कळादेगुडो","ꢗꢶꢞꢵꢫ ꣄ꢣꢾꢫ꣄ꢞꣁ, ꢒꢳꢵ ꢣꢾꢔꢸꢞꣁ"
கழிப்பறை  ,latrine,மளொ,मळा॑,ꢪꢳꣁ
கிணறு  ,well,ஹீர்,हीर्,ꢲꢷꢬ꣄
குடிசை  ,hut,கு3ட்3ஸெ,कुट्स॑,ꢒꢸꢜ꣄ꢱꢾ
குழாய்  ,tap,கொளாய்/நளிகொ,"का॑ळाय, नळिका॑","ꢒꣁꢳꢵꢫ꣄,ꢥꢳꢶꢒꣁ"
குளியலறை  ,bathroom,ஸ்நானு கே4ர்,स्नानु घेर,ꢱ꣄ꢥꢵꢥꢸ ꢕꢿꢬ꣄
கூடம்  ,hall,கொ2ட்டொ,खा॑ट्टा॑,ꢓꣁꢜ꣄ꢜꣁ
கூடாரம்  ,tent,பொ3ட்டாமௌடொ3,बा॑ट्टा मौडा॑,ꢨꣁꢜ꣄ꢜꢵ ꢪꣃꢞꣁ
கூரை  ,roof,மு:கு3ட்,म्हुगुट,ꢪꢴꢸꢔꢸꢜ꣄
கைப்பிடி  ,door handle,கவாடு3தா4ண்,कवाडु धाण,ꢒꢮꢵꢞꢸ ꢤꢵꢠ꣄
கொக்கி  ,hook,கொல்கி,का॑ल्कि,ꢒꣁꢭ꣄ꢒꢶ
கொட்டாரம்  ,palace,ரவுள்,रवुळ,ꢬꢮꢸꢳ꣄
கோலம்  ,ornamental drawing with rice or stone powder,முக்3கு3,मुग्गु,ꢪꢸꢔ꣄ꢔꢸ
சமையலறை  ,kitchen,ஹந்த3வு தவ்ரம்,ह्न्तवु तव्रम्,ꢲꢥ꣄ꢡꢮꢸ ꢡꢮ꣄ꢬꢪ꣄
சன்னல்  ,window,விடி3,विडि,ꢮꢶꢞꢶ
சன்னல் கம்பி   ,window bar,விடி3ஸளாக்,विडि सळाक्,ꢮꢶꢜꢶ ꢱꢳꢵꢒ꣄
சாக்கடை  ,gutter,தூம்பொ/ஜெஞ்ஜார்,"तूम्पा॑, जेञ्जार","ꢡꢹꢪ꣄ꢦꣁ, ꢙꢾꢖ꣄ꢙꢵꢬ꣄"
சாயம்  ,"paint, dye",ரெங்கு,र॑ङकु,ꢬꢾꢖ꣄ꢒꢸ
சாவி  ,key,பீ3கா3த்,पीगात्,ꢦꢷꢔꢵꢡ꣄
சாளரம்  ,window,விடி3,विटि,ꢮꢶꢜꢶ
செங்கல்  ,brick,விட்3கெ3/ விட்3கி3னெ,"विट्क॑, विड्गिन॑","ꢮꢶꢜ꣄ꢒꢾ, ꢮꢶꢞ꣄ꢔꢶꢥꢾ"
தரை  ,floor,த3ளம்/பொ4இ~,"तळम्, भोइ","ꢡꢳꢪ꣄, ꢩꣁꢄ"
தளம்  ,"flat, floor",த3ளம்,तळम्,ꢡꢳꢪ꣄ 
திண்ணை  ,verandah,ஹொள்டொ,हा॑ळ्टा॑,ꢲꣁꢳ꣄ꢜꣁ
திரைச்சீலை  ,curtain,படு3தொ,पटुता॑,ꢦꢜꢸꢡꣁ
தூண்  ,pillar,கா2ம்பு3,खाम्बु,ꢓꢵꢪ꣄ꢨꢸ
தொழுவு  ,cowshed,கோ3 ஶாலொ/ கா3ய்கொ3ருனு கொ2ட்டொ,"गो शाला॑, गाय्गा॑रुनु खा॑ट्टा॑","ꢔꣂꢱꢵꢭꣁ, ꢔꢵꢫ꣄ꢔꣁꢬꢸꢥꢸꢓꣁꢜ꣄ꢜꣁ"
தோட்டம்  ,garden,லான்/நந்தவனு,"लान्, नन्तवनु","ꢭꢵꢥ꣄, ꢥꢥ꣄ꢡꢮꢥꢸ"
தோரணம்  ,door decoration with mango leaves,தொரண்,ता॑रण्,ꢡꣁꢬꢠ꣄
நிலம்  ,land,தா2ம்,ताम्,ꢡꢵꢪ꣄
மாடி,storey,வித்3தெ3/ம:டி3,"विद्द॑, म्हडि","ꢮꢶꢣ꣄ꢣꢾ, ꢪꢴꢞꢶ"
நீர்த்தொட்டி  ,water tank,பனி நிவி/ பனிதொட்டி,"पनि निवि, पनिता॑ट्टि","ꢦꢥꢶ ꢥꢶꢮꢶ, ꢦꢥꢶꢡꣁꢜ꣄ꢜꢶ"
நிலைப்படி  ,door frame,த3ரும்பு3ரொ,तरुम्पुरा॑,ꢡꢬꢸꢪ꣄ ꢦꢸꢬꣁ
படி  ,step,ஸோபாண்,सोपाण,"ꢱꣂꢦꢵꢠ꣄, "
பால்கனி,Sit out,மெர்கணி,म॑र्कणि,ꢪꢾꢬ꣄ꢒꢠꢶ
படிக்கட்டு  ,"steps, staircase",மெட்கனி,म॑ट्कनि,ꢪꢾꢜ꣄ꢒꢥꢶ
படுக்கையறை  ,bedroom,நிஞ்ஜரிய தவ்ரம்/ ஸயன தவ்ரம்,"निञ्जरिय तव्रम, सयन तव्रम","ꢥꢶꢛ꣄ꢙꢬꢶꢫꢡꢮ꣄ꢬꢪ꣄, ꢱꢫꢥ ꢡꢮ꣄ꢬꢪ꣄"
