அசரீரி  ,celestial voice/ oracle,அஶரீரி,अशरीरि,ꢂꢯꢬꢷꢬꢶ
அடியார்  ,disciples,தா3ஸுன்,दासुन,ꢣꢵꢱꢸꢥ꣄
அபிஷேகம்  ,"bathing the holy idol with milk, honey, fruit, etc.",அபி4ஷேக்,अभिषेक्,ꢂꢩꢶꢰꢿꢒ꣄ 
அர்ச்சனை ,Worship with chanting,அர்சனொ,अर्चना॑,ꢂꢬ꣄ꢗꢥꣁ
அருள்  ,grace,க்ருபொ,कृपा॑,ꢒꢺꢦꣁ
அவதாரம்  ,incarnation,அவ்தார்,अव्तार्,ꢂꢮ꣄ꢡꢵꢬ꣄
அனுக்கிரகம்/ஆசிர்வாதம்,blessing,ஆஸிஷ்/ஆஸீர்வாத்,"आसिष्, आसीर्वात्","ꢃꢱꢶꢰ꣄, ꢃꢱꢷꢬ꣄ꢮꢵꢡ꣄"
ஆசிரமம்  ,"hermitage, monastery",ஆஸ்ரமொ,आस्रमा॑,ꢃꢱ꣄ꢬꢪꣁ
ஆண்டவன்  ,God,தே3வ்/ப4க3வான்,"देव्, भगवान्","ꢣꢿꢮ꣄, ꢩꢔꢮꢵꢥ꣄"
ஆராதனை  ,worship,ஆராத4னொ,आराधना॑,ꢃꢬꢵꢤꢥꣁ
ஆலயம்  ,temple,த4வ்ரொ/மந்தி3ர்,"दब्रा॑, मन्दिर","ꢣꢮ꣄ꢬꣁ, ꢪꢥ꣄ꢣꢶꢬ꣄"
ஆன்மா  ,soul,ஆத்மொ,आत्मा॑,ꢃꢡ꣄ꢪꣁ
ஆன்மீகம்  ,sprituality,ப4க்தி மார்கு3,भक्ति मार्गु,ꢩꢒ꣄ꢡꢶ ꢪꢵꢬ꣄ꢔꢸ
ஆஸ்திகம்  ,theism,ஆஸ்திக்,आस्तिक,ꢃꢱ꣄ꢡꢶꢒ꣄
இசுலாம்  ,Islam,துடி3யானு மார்கு3,तुडियानु मार्गु,ꢡꢸꢞꢶꢫꢵꢥꢸ ꢪꢵꢬ꣄ꢔꢸ
இந்து  ,Hindu,ஹிந்து3,हिन्दु,ꢲꢶꢥ꣄ꢣꢸ
இறையுணர்வு  ,devotion,தே3வுப4க்தி,देवु भक्ति,ꢣꢿꢮꢸ ꢩꢒ꣄ꢡꢶ
இறைவன்  ,God,தே3வ்,देव्,ꢣꢾꢮ꣄
ஈசுவரன்  ,God Shiva,ஈஶொ/ ஈஶ்புரு,"ईशा॑, ईश्पुरु","ꢅꢯꣁ, ꢅꢯ꣄ꢦꢸꢬꢸ"
உண்டி  / உண்டியல்  ,hundi,ஹுண்டி3,हुण्डि,ꢲꢸꢠ꣄ꢞꢶ
ஊர்வலம்  ,procession of the deity,ஸோபா4 யாத்ரொ,सोभा यात्रा॑,ꢱꣂꢩꢵ ꢫꢵꢡ꣄ꢬꣁ
கடவுள்  ,God,தே3வ்,देव्,ꢣꢾꢮ꣄
கர்த்தர்  ,saviour,ரக்ஷுனார்,रक्षुनार,ꢬꢒ꣄ꢰꢸꢥꢵꢬ꣄
கர்ப்பக்கிரகம்  ,sanctum sanctorum,க3ர்ப4க்3ருஹம்,गर्भ गृहम्,ꢔꢬ꣄ꢩ ꢔ꣄ꢒꢺꢲꢪ꣄
கல்லறை  ,graveyard,ஸமாதி4,समाधि,ꢱꢪꢵꢤꢶ
கற்பூரம்  ,camphor,கர்பூர்/அத்திம்பு3ர்,"कर्पूर, अत्तिम्बुर","ꢒꢬ꣄ꢦꢸꢬ꣄, ꢂꢡ꣄ꢡꢶꢪ꣄ꢨꢸꢬ꣄"
கன்னியாஸ்திரி  ,nun,கென்யாஸ்திரீ,क॑न्या स्तिरी,ꢒꢾꢥ꣄ꢫꢵꢱ꣄ꢡꢶꢬꢷ
காணிக்கை  ,cash/ material offerings to God,காணிக்கெ,काणिक्क॑,ꢒꢵꢠꢶꢒ꣄ꢒꢿ
காவியுடை  ,saffron dress,காவிவஸ்தர்,काविवस्तर्,ꢒꢵꢮꢶꢮꢱ꣄ꢡꢬ꣄
கிறித்துவம்  ,Christianity,கிருஸ்து மார்கு3,किरुस्तु मार्गु,ꢒꢶꢬꢸꢱ꣄ꢡꢸ ꢪꢵꢬ꣄ꢔꢸ
கீர்த்தனைகள்,hymns,கீர்தனான்,कीर्त्तनान्,ꢒꢷꢬ꣄ꢡ꣄ꢡꢥꢵꢥ꣄
குடும்ப தெய்வம்    ,family God,குலதே3வ்,कुलदेव्,ꢒꢸꢭꢣꢿꢮ꣄
குத்துவிளக்கு  ,a kind of pedestsl lamp,தி3வொ,दुवा॑,ꢣꢸꢮꣁ
குரு  ,religious teacher,கு3ரு,गुरु,ꢔꢸꢬꢸ
கொடிமரம்  ,flagpost,த்4வஜஸ்த2ம்பு3,ध्वज स्थम्बु,ꢤ꣄ꢮꢙ ꢱ꣄ꢢꢪ꣄ꢨꢸ
கொடை  ,donation,தா3ன்,दान,ꢣꢵꢥ꣄
கோயில்  ,temple,த4வ்ரொ/ மந்தி3ர்,"धव्रा॑, मन्दिर","ꢤꢮ꣄ꢬꣁ, ꢪꢥ꣄ꢣꢶꢬ꣄"
சக்தி  , Goddess,ஶக்தி,शक्ति,ꢯꢒ꣄ꢡꢶ
சந்தனம்  ,sandal paste,ஸிர்கன்/ ஸ்ரீக3ந்து4,"सिर्कन, श्रिगन्धु","ꢱꢶꢬ꣄ꢒꢥ꣄, ꢯ꣄꣄ꢬꢶꢔꢥ꣄ꢤꢸ"
சந்நியாசம்  ,asceticism,ஸந்யாஸ்,सन्यास्,ꢱꢥ꣄ꢫꢵꢱ꣄
சந்நியாசி  ,ascetic (m),ஸந்யாஸி,सन्यासि,ꢱꢥ꣄ꢫꢵꢱꢶ
சந்தியாசினி  ,ascetic (f),ஸந்யாஸினி,सन्यासिनि,ꢱꢥ꣄ꢫꢵꢱꢶꢥꢶ
சமணம்  ,Jainism,ஸமண மார்கு3,समण मार्गु,ꢱꢪꢠ ꢪꢵꢬ꣄ꢔꢸ
சமயம்  ,religion,வாட்/தெ4ரும்/த4ர்மு,"वाट्, धेरुम, धर्मु","ꢮꢵꢜ꣄, ꢤꢾꢬꢸꢪ꣄, ꢤꢬ꣄ꢪꢸ"
சாது  ,saint,ஸாது4,सादु,ꢱꢵꢣꢸ
சாமி  ,God,தே3வ்,देव्,ꢣꢿꢮ꣄
சாபம்  ,curse,ஸாப3னொ/அபி4ஸாப்,"साबना॑, अभिसाप्","ꢱꢵꢨꢥꣁ, ꢂꢩꢶꢱꢵꢦ꣄"
சித்தர்  ,saiva saint,சித்தர்,सित्तर्,ꢱꢶꢡ꣄ꢡꢬ꣄
சிலுவை  ,cross,ஸிலுவொ,सिलुवा॑,ꢱꢶꢭꢸꢮꣁ
சிலை  ,statue,ஸிலொ/ஸில்பொ,"सिला॑, सिल्पा॑","ꢱꢶꢭꣁ, ꢱꢶꢭ꣄ꢨꣁ"
சிவம்  ,Lord Shiva,ஶிவொ/ ஈஶ்புரு,"शिवा॑, ईश्पुरु","ꢯꢶꢶꢮꣁ, ꢅꢯ꣄ꢦꢸꢬꢸ"
சிறுதெய்வம்  ,local deity,ந:ன்தே3வ்/கா3முதே3வ்,"न्हनदेव्, गमुदेव्","ꢥꢴꢥ꣄ ꢣꢿꢮ꣄, ꢔꢵꢪꢸ ꢣꢿꢮ꣄"
சீடர்  ,followers,ஸிஷ்யான்,सिष्यान,ꢱꢶꢰ꣄ꢫꢵꢥ꣄
சுடுகாடு  ,crematorium,மொஸ்யான்/ருத்3ரபூமி,"मा॑स्यान, रुग्रपूमि","ꢪꣁꢱ꣄ꢫꢵꢥ꣄, ꢬꢸꢣ꣄ꢬꢦꢹꢪꢶ"
சுவாமி  ,God,தே3வ்,देव्,ꢣꢿꢮ꣄
சுவிசேஷங்கள்,gospels, ஸுவத்தான்/ ஸுஸந்தே3ஸுன்,"सुवत्तान, सुसन्देसुन","ꢱꢸꢮꢡ꣄ꢡꢵꢥ꣄, ꢱꢸꢱꢥ꣄ꢣꢾꢱꢸꢥ꣄"
சைவம்  ,Saivism,ஸைவம்,सैवम्,ꢱꣀꢮꢪ꣄
சொர்க்கம்  ,heaven,ஸ்வர்கு3,सवर्गु,ꢱ꣄ꢮꢬ꣄ꢔꢸ
ஞானஸ்நானம்  ,baptism,ஞானஸ்நான்,ञान स्नान्,ꢛꢵꢥ ꢱ꣄ꢥꢵꢥ꣄
தபசு  ,penance,தபஸ்,तपस्,ꢡꢦꢱ꣄
தர்க்கா  ,darga,பொள்ளி வாஸல்,पोळ्ळिवासल,ꢦꣁꢳ꣄ꢳꢶ ꢮꢵꢱꢭ꣄
தருமகர்த்தா  ,trustee,த4ர்மகர்தொ/ ந்யாஸி,"धर्मकर्ता॑, न्यासि","ꢤꢬ꣄ꢪꢒꢬ꣄ꢡꣁ, ꢥ꣄ꢫꢵꢱꢶ"
தவம்  ,penance,தபஸ்,तपस्,ꢡꢦꢱ꣄
தியானம்  ,meditation,த்4யான்,ध्यान्,ꢤ꣄ꢫꢵꢥ꣄
திருக்கோயில்  ,temple,த4வ்ரொ,दव्रा॑,ꢣꢮ꣄ꢬꣁ
திருப்பள்ளி எழுச்சி   ,ceremony to awaken God,ஸுப்ரபா4தும் தே3வுக் ஹுட3ட்3னி,सुप्रभातुम देवुक हुडड्नि,ꢱꢸꢦ꣄ꢬꢩꢵꢡꢸꢪ꣄ ꢣꢾꢮꢸꢒ꣄ ꢲꢸꢞꢞ꣄ꢥꢶ
திருவடி  ,sacred feet,ஸ்ரீபாத3ம்,श्रि पादम्,ꢯ꣄꣄ꢬꢷ ꢦꢵꢣꢪ꣄
திருவிருந்து  ,Holy feast,ஸமாராத4னொ/த3ஸல்,"समाराधना॑, दसल","ꢱꢪꢵꢬꢵꢤꢥꣁ, ꢣꢱꢭ꣄"
திருவிழா  ,temple festival,த4வ்ரா உத்ஸவு,धव्रा उत्सवु,ꢤꢮ꣄ꢬꢵ ꢆꢡ꣄ꢱꢮꢸ
தீபாராதனை  ,worship with lamp,தீ3பராத4னொ,दीपारातनो,ꢣꢷꢦꢵꢬꢵꢡꢥꣁ
தீர்க்கதரிசி  ,prophet,தீ3ர்க4த3ர்ஸி,दीर्गदर्सि,ꢣꢷꢬ꣄ꢔꢣꢬ꣄ꢱꢶ
தீர்த்தம்  ,holy water,தீர்து2,दीर्थु,ꢡꢷꢬ꣄ꢢꢸ
நைவேத்தியம்,Food offering ,ப்ரஸாத்3,प्रसाद,ꢦ꣄ꢬꢱꢵꢣ꣄
"பதி, பசு, பாசம்    ","God, man, bondage","ஈஶொ, ஜீவ், ப3ந்த4ம்",ईशो जीव बन्धम,"ꢅꢯꣁ, ꢙꢷꢮ꣄, ꢨꢥ꣄ꢤꢪ꣄"
பரம்பொருள்  ,Over soul,பரமாத்மொ/மேடா3த்மொ,"परमात्मा॑, मेडात्मा॑","ꢦꢬꢪꢵꢡ꣄ꢪꣁ, ꢪꢾꢞꢵꢡ꣄ꢪꣁ"
பரிசுத்த ஆவி   ,holy spirit,புண்யாத்மொ,पुण्यात्मा॑,ꢦꢸꢠ꣄ꢫꢵꢡ꣄ꢪꣁ
பல்லக்கு  ,palanquin,த3ண்டி3,दण्डि,ꢣꢠ꣄ꢞꢶ
பலி  ,religious sacrifice,பொ3லி,बा॑लि,ꢨꣁꢭꢶ
பலிபீடம்  ,place for sacrifice/ altar,பொ3லிபீட்2,बा॑लिबीठ,ꢨꣁꢭꢶꢦꢷꢟ꣄
பள்ளி  ,mosque,பொள்ளி,पोळ्ळि,ꢦꣁꢳ꣄ꢳꢶ
பாபம்  ,sin,பாப்,पाप्,ꢦꢵꢦ꣄
பாவி  ,sinner,பாபி,पापि,ꢦꢵꢦꢶ
பிரகாரம்  ,corridor of a temple,ப்ரகார்,प्रकार,ꢦ꣄ꢬꢒꢵꢬ꣄
பிரசங்கி /பிரசாரம் செய்பவர்,Catechist/ evangelist,ப்ரசாரக்,प्रचारक,ꢦ꣄ꢬꢗꢵꢬꢒ꣄
பிரார்த்தனை  ,prayer,ப்ராத்தனொ,प्रात्तना॑,ꢦ꣄ꢬꢵꢡ꣄ꢡꢥꣁ
பிறவி  ,birth,உஜ்வாவ்,उज्वाव,ꢆꢙ꣄ꢮꢵꢮ꣄
பீடம்  ,"altar, seat",ஆஸனொ,आसना॑,ꢃꢱꢥꣁ
புண்ணியம்  ,results of virtuous deeds,புண்ணு,पुण्णु,ꢦꢸꢠ꣄ꢠꢸ
பூசாரி  ,temple priest,புஜரி,पुजरि,ꢦꢸꢙꢬꢶ
பூசை  ,worship,புஜொ,पुजा॑,ꢦꢸꢙꣁ
பேராயர்  ,Bishop,பி3ஸப்3,बिसब्,ꢨꢶꢱꢨ꣄
பேரின்பம்  ,bliss,மஹாரஸனொ,महारसना॑,ꢪꢲꢵꢬꢱꢥꣁ
போதகர்  ,pastor,ஸிக்கட்3ணார்,सिक्कड्णार,ꢱꢶꢒ꣄ꢒꢞ꣄ꢠꢵꢬ꣄
பெளத்தம்  ,Budhism,பு3த்3த4 மார்கு3,बुद्ध मार्गु,ꢨꢸꢣ꣄ꢤ ꢪꢵꢬ꣄ꢔꢸ
மகான்  ,great person,மஹான்,महान्,ꢪꢲꢵꢥ꣄
மடம்  ,monastery,மட்2/மொ:ட3ம்,"मठ, म्हा॑डम","ꢪꢝ, ꢪꢴꣁꢞꢪ꣄"
மணி  ,bell,கெ4ண்டொ,घ॑ण्टा॑,ꢕꢾꢠ꣄ꢜꣁ
மந்திரம்  ,sacred words,மொந்துர் / தீ3 க்ஷொக2ள்ளன் வேள் கு3ரு ஸங்க3ஸ்தெ மொந்துர்,"मा॑न्तुर, दीक्षो खळ्ळन वेळ गुरु सङ्गस्त॑ मा॑न्तु","ꢪꣁꢥ꣄ꢡꢸꢬ꣄, ꢣꢷ ꢒ꣄ꢰꣁ ꢓꢳ꣄ꢳꢥ꣄ ꢮꢾꢳ꣄꣄ ꢔꢸꢬꢸ ꢱꢖ꣄ꢔꢱ꣄ꢡꢾ ꢪꣁꢥ꣄ꢡꢸꢬ꣄"
மறை  ,veda,வேத்3,वेद्,ꢮꢿꢣ꣄
மனசாட்சி  ,conscience,மனஸாக்ஷி,मनसाक्षि,ꢪꢥꢱꢵꢒ꣄ꢰꢶ
மாடன்  ,a Dravidian folk deity (m),த்3ராவிட3 க்3ராம்ய தே3வ்தொ,द्राविड ग्राम्य देव्ता॑,ꢣ꣄ꢬꢵꢮꢶꢞ ꢔ꣄ꢬꢵꢪ꣄ꢫ ꢣꢾꢮ꣄ꢡꣁ
மாதாகோயில்  ,church,மேரி கே4ர்,मेरि घेर,ꢪꢾꢬꢶ ꢕꢾꢬ꣄
மாயை  ,illusion,மாயொ,माया॑,ꢪꢵꢫꣁ
மாரியம்மன்  ,a Dravidian folk deity (f),மாரியம்மொ,मारियम्मा॑,ꢪꢵꢬꢶꢫꢪ꣄ꢪꣁ
மெய்யடியார்,saints,ஸாமியாருன்,सामियारुन्,ꢱꢵꢪꢶꢫꢵꢬꢸꢥ꣄
மோட்சம்  ,salvation,மோக்ஷி/முக்தி,"मोक्षि, मुक्ति","ꢪꣂꢒ꣄ꢯꢶ, ꢪꢸꢒ꣄ꢡꢶ"
ரதம்  ,chariot (temple),ரெத்து,र॑त्तु,ꢬꢾꢡ꣄ꢡꢸ
வணக்கம்  ,greeting,நமஸ்கார்,नमस्कार्,ꢥꢪꢱ꣄ꢒꢵꢬ꣄
வழிபாடு  ,worship,நமனொ/ நோம்,"नमना॑, नोम","ꢥꢪꢥꣁ, ꢥꣂꢪ꣄"
விக்ரகம்  ,idol,விக்3ரஹம்,विग्रहम्,ꢮꢶꢔ꣄ꢬꢲꢪ꣄
விமோசனம்  ,expiation,பாபவிமோசனொ,पापविमोचना॑,ꢦꢵꢦꢮꢶꢪꣂꢗꢥꣁ
விரதம்  ,"fast, vow",வொக3த்,वा॑गत्,ꢮꣁꢔꢡ꣄
வேதம்  ,Veda,வேத்3,वेद,ꢮꢿꢣ꣄
வைணவம்  ,Vaishnavism,வைஷ்ணவம்,वैष्णवम,ꢮꣀꢰ꣄ꢠꢮꢪ꣄
வைபவம்  ,function,வைப4வ்,वैभव्,ꢮꣀꢩꢮ꣄
ஜபம்  ,prayer,ஜெபம்,ज॑पम्,ꢙꢾꢦꢪ꣄
ஜெபம்  ,Christian (prayer),ஜெபம்,ज॑पम्,ꢙꢾꢦꢪ꣄
ஜென்மம்  ,birth,ஜெலும்,ज॑लुम्,ꢙꢾꢭꢸꢪ꣄
ஹாஜி  ,Muslim pilgrimage who has visited Mecca,ஹாஜி/ஹஜ்ஜு யாத்ரொ கெரெஸ்தெனொ,"हाजि, हज्जु यात्रा॑ क॑र॑स्त॑ना॑","ꢲꢵꢙꢶ, ꢲꢙ꣄ꢙꢸ ꢫꢵꢡ꣄ꢬꣁ ꢒꢾꢬꢾꢱ꣄ꢡꢾꢥꣁ"
