அடுத்த நாள்   ,next day,லெகு3த்தா தி3ன்னு,ल॑गुत्ता दिन्नु,ꢭꢾꢔꢸꢡ꣄ꢡꢵ ꢣꢶꢥ꣄ꢥꢸ
அர்த்த ராத்திரி   ,mid-night,ஹத்3து3ராத்,हद्दुरात्,ꢲꢣ꣄ꢣꢸꢬꢵꢡ꣄
அன்று  ,that day,தெந்து3ஸ்,त॑न्दुस,ꢡꢾꢥ꣄ꢣꢸꢱ꣄
ஆண்டு  ,year,ஒர்ஸு,आ॑र्सु,ꢏꢬ꣄ꢱꢸ
இரவு  ,night,ராத்/ராதி,"रात्, रादि","ꢬꢵꢡ꣄, ꢬꢵꢣꢶ"
இன்று  ,today,ஹிந்தொ3,हिन्दा॑,ꢲꢶꢥ꣄ꢣꣁ
என்று  ,which day,கோன்ய தி3ன்னு/,कोन्य दिन्नु,ꢒꣂꢥ꣄ꢫ ꢣꢶꢥ꣄ꢥꢸ
காலம்  ,"period, time",கால்/வேள்,"काल, वेळ","ꢒꢵꢭꢸ, ꢮꢿꢳ꣄"
காலை  ,morning,ப2ல்தி பா2ர்/ ஸொளி பா2ர்/   பை2ல பா2ர்,"फल्तिफार, सा॑ळिफार,    फैल फार","ꢧꢭ꣄ꢡꢶ ꢧꢵꢬ꣄, ꢱꣁꢳ ꢶꢧꢵꢬ꣄,  ꢧꣀꢭ ꢧꢵꢬ꣄"
கிழமை  ,"day, week",தி3ன்னு/வார்,"दिन्नु, वार्","ꢣꢶꢥ꣄ꢥꢸ, ꢮꢵꢬ꣄"
சகாப்தம்  ,saka/era,ஸகாப்3து3,सकाब्दु,ꢱꢔꢨ꣄꣄ꢡꢸ
சமயம்  ,time,வேள்,वेळ,ꢮꢿꢳ꣄
சாயங்காலம்  ,evening,வீள் வேளு / வீள்ஸெந்து3லொ,"वीळ्वेळु,    वीळ स॑न्दुला॑","ꢮꢷꢳ꣄ ꢮꢾꢳꢸ, ꢮꢷꢳ꣄ ꢱꢾꢥ꣄ꢣꢸꢭꣁ"
திங்கள்  ,month,ம:டொ3,म्हडा॑,ꢪꢴꢞꣁ
தேதி  ,date,தி3ன்னு/தி3னாங்கு,"दिन्नु, दिनाङ्कु","ꢣꢶꢥ꣄ꢥꢸ, ꢣꢶꢥꢵꢖ꣄ꢒꢸ"
நள்ளிரவு,mid-night,ஹத்3து3ராத்,हद्दुरात्,ꢲꢣ꣄ꢣꢸꢬꢵꢡ꣄
நாள்  ,day,தீ3ஸ் (தி3ன்னு),दीस् (दिन्नु),ꢣꢷꢱ꣄ (ꢣꢶꢥ꣄ꢥꢸ)
நாளை  ,tomorrow,ஸொந்தொ3,सा॑न्दा॑,ꢱꣁꢥ꣄ꢣꣁ
நாளை மறுநாள்    ,day after tomorrow,பொரம்,पा॑रम्,ꢦꣁꢬꢪ꣄
நிமிடம்  ,minute,நிமுஸ்,निमुष्,ꢥꢶꢪꢸꢰ꣄
நூற்றாண்டு  ,century,ஸோவு ஒர்ஸு / ஸதாப்3தி3,"सोवु आ॑र्सु, सताब्दि","ꢱꣂꢮꢸ ꢏꢬ꣄ꢱꢸ, ꢱꢡꢵꢨ꣄ꢣꢶ"
நேரம்  ,time,கெ4டி3/வேள்,"घ॑डि, वेळ","ꢕꢾꢞꢶ, ꢮꢿꢳ꣄꣄"
நேற்று  ,yesterday,கால்,काल्,ꢒꢵꢭ꣄
பகல்  ,daytime,தீ3ஸ்,दीस्,ꢣꢷꢱ꣄
"பிற்பகல், மத்தியானம்    ","Afternoon, noon",து4பா2ரி/அட்டாஸ்/,"धुफारि, अट्टाय्","ꢤꢸꢧꢵꢬꢶ, ꢂꢜ꣄ꢜꢵꢱ꣄"
மணி  ,hour,கெ4டி3/வேள்,"घ॑डि, वेळ","ꢕꢾꢞꢶ, ꢮꢾꢳ꣄꣄"
மணித்துளி  ,minute,நிமுஸ்,निमुस,ꢥꢶꢪꢸꢱ꣄ 
மறுநாள்  ,next day,ஸொந்தொ3/ து3ஸுரந்தி3/து3ஸ்ரந்தி3,"सा॑न्दा॑, दुसुरन्दि, दुस्रन्दि","ꢱꣁꢥ꣄ꢣꣁ, ꢣꢸꢱꢸꢬꢥ꣄ꢣꢶ, ꢣꢸꢱ꣄ꢬꢥ꣄ꢣꢶ"
மாதம்  ,month,ம:டொ,म्हटा॑,ꢪꢴꢜꣁ
மாலை  ,evening,வீள்டொ,वळ्टा॑,ꢮꢷꢳ꣄ꢜꣁ
முந்தாநாள்  ,day before yesterday,பொரம்,पा॑रम्,ꢦꣁꢬꢪ꣄
முற்பகல்  ,forenoon,பை2லதீ3ஸ்,फैलदीस्,ꢧꣀꢭꢣꢷꢱ꣄
வருடம்  ,year,ஒர்ஸு,आ॑र्सु,ꢏꢬ꣄ꢱꢸ
வாரம் ,week,வார்,वार्,ꢮꢵꢬ꣄
விடிகாலை  ,dawn,ப2ல்திபா2ர்/பை2லபா2ர்,फलतिफार/ फैलपार,"ꢧꢭ꣄ꢡꢶꢧꢵꢬ꣄ , ꢧꣀꢭꢧꢵꢬ꣄"
வினாடி  ,second,ஸொட3க் கெ4டி3,सा॑डक्घ॑डि,ꢱꣁꢞꢒ ꣄ꢕꢾꢞꢶ
யுகம்  ,"era, age",யுக3ம்,युकम्,ꢫꢸꢒꢪ꣄
ஞாயிற்றுக் கிழமை   ,sunday,அய்த்வார்,अय्त्वार्,ꢂꢫ꣄ꢡ꣄ꢮꢵꢬ꣄
திங்கள் கிழமை   ,monday,ஸொம்வார்,सा॑म्वार्,ꢱꣁꢪ꣄ꢮꢵꢬ꣄
