அவரைக்காய்  ,beans,ஒன்னொ (N),आ॑न्ना॑,ꢏꢥ꣄ꢥꣁ
இஞ்சி  ,ginger,அல்லொ (N),अल्ला॑,ꢂꢭ꣄ꢭꣁ
உருளைக்கிழங்கு  ,potato,து4ருளு மூள் (N),धुरुळु मूळ,ꢤꢸꢬꢸꢳꢸ ꢪꢹꢳ꣄
கத்திரிக்காய்  ,brinjal,வங்கி3(N),वङ्गि,ꢮꢖ꣄ꢔꢶ
காய்கறி  ,vegetable,கைலகெஸுர்(N),कैलक॑सुर,ꢒꣀꢭꢒꢾꢱꢸꢬ꣄
கீரை  ,greens,ப4ஜ்ஜி (N),भज्जि,ꢩꢙ꣄ꢙꢶ
கீரைத்தண்டு  ,ama ranthus,மொள்கள்/தெ4ய்ளொ(N,"मा॑ळ्कळ, धेय्ळा॑","ꢪꣁꢳ꣄꣄ꢒꢳ꣄꣄, ꢤꢾꢫꢳꣁ"
கேரட்  ,carrot,காரட் (N),कारट्,ꢒꢵꢬꢜ꣄
கொத்தவரைக்காய்  ,cluster beans,ஜின்னவ்ரெ (N),जिन्नवर॑,ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ
கொத்துமல்லிக் கீரை    ,coriander leaves,த4னியொ (N),धनिया॑,ꢤꢥꢶꢫꣁ
சக்கரைவள்ளிக் கிழக்கு    ,sweet potato,ஸெக்கர்கௌங்கு3 (N),स॑क्कर क॑ळङ्गु,ꢱꢾꢒ꣄ꢒꢬ꣄ꢒꢾꢳꢖ꣄ꢔꢸ
சாம்பல் பூசணி   ,ash gourd,கொ2வ்ளொ (N),खा॑व्ळा॑,ꢓꣁꢮ꣄ꢳꣁ
சீனியவரைக்காய்   ,cluster beans,ஜின்னவ்ரெ(N),जिन्नवर॑,ꢙꢶꢥ꣄ꢥꢮ꣄ꢬꢾ
சுரைக்காய்  ,bottle gourd,பொ4வ்ளொ(N),भा॑व्ळा॑,ꢩꣁꢮ꣄ꢳꣁ
சேனை  ,yam,ஸுரண்(N),सुरण,ꢱꢸꢬꢠ꣄
சேம்பு  ,colocasia,ஸேபமூள் (N),सेपमूळ,ꢱꢿꢦꢪꢹꢳ꣄
தக்காளி  ,tomato,தக்காளி (N),तक्कालि,ꢡꢒ꣄ꢒꢵꢭꢶ
தட்டைப்பயிறு  ,cow pea,சொவ்ளொ (N),चा॑व्ळा॑,ꢗꣁꢮ꣄ꢳꣁ
நெல்லிக்காய்  ,goose berry,அம்ப்3ளொ (N),अम्ब्ळा॑,ꢂꢪ꣄ꢨ꣄ꢳꣁ
பச்சைமிளகாய்  ,green chilly,கச்செமிரிகைலொ (N),क्च्च॑मिरिक्कैला॑,ꢒꢗ꣄ꢗꢾ ꢪꢶꢬꢶꢒ꣄ꢒꣀꢭꣁ
பட்டாணி  ,pea,பட்டாணி (N),पट्टाणि,ꢦꢜ꣄ꢜꢵꢠꢶ
பறங்கிக்காய்  ,pumpkin,பொஸ்காய் (N),पा॑स्काय्,ꢦꣁꢱ꣄ꢒꢵꢫ꣄
பாகற்காய்  ,bitter  gourd,கல்லொ(N),कल्ला॑,ꢒꢭ꣄ꢭꣁ
புதினா  ,mint,வது3னாப4ஜ்ஜி(N),वदुनाभज्जि,ꢮꢣꢸꢥꢵ ꢩꢙ꣄ꢙꢶ
புடலங்காய்  ,snake gourd,பொட்கு3லொ (N),पा॑ट्गुला॑,ꢦꣁꢜ꣄ꢔꢸꢭꣁ
பூக்கோசு  ,cauliflower,காலிபி2ளவர் (N),कालिफिळवर्,ꢒꢵꢭꢶꢧꢶꢳꢮꢬ꣄
பூசனிக்காய்  ,pum pkin,கொ2வ்லொ (N),खा॑व्ला॑,ꢓꢾꢮ꣄ꢭꣁ
பூண்டு  ,garlic,லொஸன் (N),ला॑सन,ꢭꣁꢱꢥ꣄
மரக்கறி  ,vegetable,கைலகெஸுர் (N),कैलक॑सुर्,ꢒꣃꢭꢒꢾꢱꢸꢬ꣄
மரச்சீனிக் கிழங்கு   ,tapioca,ஸெக்கர்கிளங்கு3(N),च॑क्कर्किळङ्गु,ꢗꢾꢒ꣄ꢒꢬ꣄ ꢒꢶꢳꢖ꣄ꢔꢸ
மரவள்ளிக் கிழங்கு   ,tapioca,ஆல்வளிக்கிழங்கு,आल्वळिक्किळङ्कु,ꢃꢭ꣄ꢮꢳꢶꢒ꣄ ꢒꢶꢳꢖ꣄ꢒꢸꢮ꣄
மாங்காய்  ,mango,கச்சம்பொ3(N),कच्चम्बा॑,ꢒꢗ꣄ꢗꢪ꣄ꢨꣁ
முட்டைகோஸ்  ,cabbage,முட்டைகோஸ் (N),मुट्टैकोस्,ꢪꢸꢜ꣄ꢜꣀꢒꣂꢱ꣄
முருங்கைக்காய்  ,drumstick,ஸெவ்கா கைலொ (N),स॑व्का कैला॑,ꢱꢾꢮ꣄ꢒꢵ ꢒꣀꢭꣁ
முள்ளங்கி  ,raddish,முளொ (N),मुळा॑,ꢪꢸꢳꣁ
வாழைக்காய்  ,unripe plantain,கச்சிகெளொ (N),कच्चिक॑ळा॑,ꢒꢗ꣄ꢗꢾꢒꢾꢳꣁ
வெண்டைக்காய்  ,lady`s finger,பெ4ண்டி3கைலொ (N)/ அக3ஸ்திர் (N),"भ॑ण्डिकैला॑, अगस्तिर","ꢩꢾꢠ꣄ꢞꢶꢒꣀꢭꣁ, ꢂꢔꢱ꣄ꢡꢶꢬ꣄"
வெள்ளரிக்காய்  ,cucumber,வள்கொ (N),वल्का॑,ꢮꢭ꣄ꢒꣁ
