alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பிகுடொ3,pikuDo,செவுள்,"Fish Gill, Scales",ம்ஹளின் பிகுடொ3 ஹால் ஸுவாஸம் கெரஸு,mhaLin pikuDo haal suvaasam kerasu,மீன்கள் செதில்கள் மூலம் சுவாசிக்கும்,Fish breathe through the gills
பிங்குடொ3,pingkuDo,செவுள்,"Fish Gill, Scales",ம்ஹளி தோனு வாட் பனி க2ள்ளி பிங்குடொ3 வாட் ப4ராட் ஸொட3ஸு,mhaLi tOnu vaaT pani khaLLi pingkuDo vaaT bharaaT soDasu,மீன் தன் வாயிலிருந்து தண்ணீரை எடுத்து செவுள்கள் வழியாக வெளியேற்றுகிறது,The fish takes water from its mouth and expels it through the gills
பூஸ்,poos,வால்,Tail,கா3யிக் பூஸ் லம்பு3 ர்ஹாயி,gaayik poos lambu rhaayi,மாட்டிற்கு வால் நீளமாக இருக்கும்,The tail of the cow is long
புஶிடி3,pussiDi,வால்,Tail,பெ4ண்டுக் புஸிடி3 அக்ரொ ர்ஹாயி,bheNTuk pusiDi akro rhaayi,ஆடுக்கு வால் குட்டையாக இருக்கும்,The tail of the goat is short
ஸொண்டி,soNTi,தும்பிக்கை,Trunk,ஐஸ்து பொ3லம் ஸொண்டிம் ஸே,aistu bolam soNTim sE,யானையின் பலம் தும்பிக்கையில் உள்ளது,The strength of the elephant is in the trunk
த3ந்து,dantu,தந்தம்,"Tusk, Ivory",த3ல்லா ஐஸ்துக் ஒண்ட்டேஸ் த3ந்து ர்ஹாயி,dallaa aistuk oNTTEs dantu rhaayi,ஆண் யானைகளுக்கு மட்டுமே தந்தம் இருக்கும்,Only male elephants have tusk
கா3யிகோ3ஷ்டு,gaayigOshTu,"தொழுவம், மாட்டுத் தொழுவம்","Cow barn, Cowshed, Cattle shed",தூ3துகா3யினுக் கா3யிகோ3ஷ்டும் ஹொவ்ட3ஸுன்,dootugaayinuk gaayigOshTum hovDasun,கறவை மாடுகளை மாட்டுத் தொழுவத்தில் வளர்ப்பார்கள்,Dairy cows are reared in cowsheds
கோ3ஷ்டு,gOshTu,"தொழுவம், குதிரை லாயம்",Stable,கொ4டா3ன் கோ3ஷ்டும் ஸே,ghoDaan gOshTum sE,குதிரைகள் தொழுவத்தில் உள்ளன,The horses are in the stable
பொ3ந்தொ3,bondo,எலி வளை,Rat burrow,கே2து ஹுந்தி3ர்னுன் பொ3ந்தொ3 க2னி தெமாம் ஜிவஸு,khEtu hundirnun bondo khani temaam jivasu,வயல் எலிகள் வளை தோண்டி அதில் வாழும்,Field rats dig a hole and live in it
லொடொ3,loDo,எலிப்புழுக்கை,"Faecal matter of rat, Rat poop",ஹுந்தி3ரு லொடா3க் ஹந்த3வ் தௌரமு ஸவாய்,hundiru loDaak handav tauramu savaay,எலிப்புழுக்கையை சமையலறையில் காணலாம்,Rat poop can be seen in the kitchen
