alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஜீவுன்,jeevun,உயிரினம்,"Living being, Organism","வரொ, பனி வினா கொன்னி ஜீவுன் ஜிவத்தக் முஸுனா","varo, pani vinaa konni jeevun jivattak musunaa","காற்று, தண்ணீர் இல்லாமல் எந்த உயிரினமும் வாழ முடியாது",No living being can survive without air and water
தூ3த்தெ3னி ஜீவுன்,dootdeni jeevun,பாலூட்டி,Mammal,திமிங்கி3லம் வேன் ம்ஹொட்டொ தூ3த்தெ3னி ஜந்து,timinggilam vEn mhoTTo dootdeni jantu,திமிங்கிலம் மிகப்பெரிய பாலூட்டி,The whale is the largest mammal
பு4ய்ஞ்பனி ஜீவுன்,bhuynjpani jeevun,நிலநீர் உயிரினம்,Amphibian,பெ3ஸ்களி ஒண்டெ பு4ய்ஞ்பனி ஜீவு,beskaLi oNTe bhuynjpani jeevu,தவளை ஒரு நிலநீர் உயிரினம்,The frog is an amphibian animal
ஸரபடணார் ஜீவுன்,sarapaTaNaar jeevun,ஊர்வன,Reptile,ஸரபடணார் ஜீவுன் ஸில்லொ ரெக3துயொ,sarapaTaNaar jeevun sillo regatuyo,ஊர்வன குளிர் இரத்தம் கொண்டவை,Reptiles are cold-blooded
ம்ருகொ3,mrugo,"விலங்கு, மிருகம்",Animal,ஐஸ்து பொ3லீம் ஹொயெ ம்ருகொ3,aistu boleem hoye mrugo,யானை வலிமையான விலங்கு,The elephant is the strongest animal
ம்ருகொ3ஸாலொ,mrugosaalo,மிருகக்காட்சிசாலை,Zoo,ம்ருகொ3ஸாலாம் அஸ்கி வித4 ம்ருக3ம்னுக் ஸவாய்,mrugosaalaam aski vidha mrugamnuk savaay,மிருகக்காட்சிசாலையில் அனைத்து விலங்குகளையும் பார்க்கலாம்,You can see all the animals at the zoo
ஜந்து,jantu,"பிராணி, விலங்கு",Creature,ப3ந்தொ3 காய் தா4னு ஜந்து கீ?,bando kaay dhaanu jantu kee?,கரப்பான் பூச்சி என்ன வகையான உயிரினமோ?,What kind of creature is the cockroach?
ஶிஷ்டஜந்து,ssishTajantu,சாதுவான பிராணி,Polite animal,கா3ய் கொ2ப்3பி3ம் ஶிஷ்டஜந்து,gaay khobbim ssishTajantu,பசு எப்போதும் சாதுவான பிராணி,The cow is always a polite animal
து3ஷ்டஜந்து,dushTajantu,பொல்லாத பிராணி,Wicked animal,வாக்3 ஒண்டெ து3ஷ்ட ஜந்து,vaag oNTe dushTa jantu,புலி ஒரு பொல்லாத பிராணி,The tiger is a wicked animal
மூகு3,moogu,"விலங்கு, மிருகம்",Animal,"மூகு3னும் கா3மு மூகு3, ராணு மூகு3 மெனி தீ3 ம்ஹொட்டொ வகொ3 ஸே","moogunum gaamu moogu, raaNu moogu meni dee mhoTTo vago sE","விலங்குகளில் வீட்டு விலங்கு, காட்டு விலங்கு என இரண்டு பெரிய வகை உள்ளது",There are two major types of animals: the domestic animal and the wild animal
கா3மு மூகு3,gaamu moogu,வீட்டு விலங்கு,Domestic animal,"கொ4டொ3, பெ4ண்டு3, கொ3ரு அஸ்கி கா3மு மூகு3ன்","ghoDo, bheNDu, goru aski gaamu moogun","குதிரை, ஆடு, மாடு ஆகியவை வீட்டு விலங்குகள்","Horses, sheep, and cows are domestic animals"
ராணு மூகு3,raaNu moogu,காட்டு விலங்கு,Wild animal,"ராண் பெ4ய்ஸ், வாக்3, ஸிம்ஹொ அஸ்கி ராணு மூகு3ன்","raaN bheys, vaag, simho aski raaNu moogun","காட்டெருமை, புலி, சிங்கம் ஆகியவை காட்டு விலங்குகள்","Wildebeest, tiger and lion are wild animals"
ஸாது4 மூகு3,saadhu moogu,சாதுவான விலங்கு,Polite animal,கா3ய் ஒண்டெ ஸாது4 மூகு3,gaay oNTe saadhu moogu,பசு ஒரு சாதுவான விலங்கு,The cow is a polite animal
உடு3த்தொ,uDutto,அணில்,Squirrel,உடு3த்தொ பாடுர் தீ2ன் கி3தொ ர்ஹாயி,uDutto paaTur theen gito rhaayi,அணிலின் முதுகில் மூன்று கோடுகள் இருக்கும்,The squirrel has three stripes on its back
சிக்3லொ,ciglo,அணில்,Squirrel,சிக்3லொ கொ2ப்3பி3ம் ஜா2டு3னும் ஜிவஸு,ciglo khobbim jhaaDunum jivasu,அணில் எப்போதும் மரத்தில் வாழும்,The squirrel always lives in the tree
ஹுந்தி3ர்,hundir,எலி,Rat,ஹுந்தி3ர் ஸதா3 கலம் அபுலுக் ஶுத்3த4ம் கெர்லேத் ர்ஹாஸு,hundir sadaa kalam apuluk ssuddham kerlEt rhaasu,எலி எப்போதும் தன்னை சுத்தப்படுத்திக் கொண்டே இருக்கும்,The rat is always cleaning itself
கூ4ஸ்,ghoos,பெருச்சாளி,Bandicoot,ஸுனொ கூ4ஸுக் ஸியெத் தெர்மஸு,suno ghoosuk siyet termasu,நாய் பெருச்சாளியைக் கண்டால் விரட்டுகிறது,The dog chases when it sees a bandicoot rat
சுஞ்சு,cunjcu,மூஞ்சூறு,Shrew,சுஞ்சு விநாய் வாஹனொ மெனி மெனன்,cunjcu vinaay vaahano meni menan,மூஞ்சூரு விநாயகரின் வாகனம் என்பார்கள்,Shrew is known as vehicle of Ganesha
மஞ்ஜிரி,manjjiri,பூனை,Cat,மஞ்ஜிரிக் தூ3த் ஒப்பாயி,manjjirik doot oppaayi,பூனைக்கு பால் பிடிக்கும்,The cat loves milk
பு3ஸ்குல்,buskul,"ஆண் பூனை, கடுவன் பூனை",Male cat,பு3ஸ்குல் கின் ஸுனொ ஸதா3 மல்லஸுனு,buskul kin suno sadaa mallasunu,கடுவன் பூனையும் நாயும் எப்போதும் சண்டையிடுகின்றன,Male cat and dog are always fighting
