alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஹிக்மத்,hikmat,சூழ்ச்சி,Trick,பொ3லம் ந்ஹாத்தெனொ ஹிக்மத் கெரிகின் ஜெவுஞ்சஸு,bolam nhaatteno hikmat kerikin jevunjcasu,பலம் இல்லாதவன் தந்திரம் செய்து வெல்கிறான்,He who has no strength wins by trickery
ஹுபா3வ்,hubaav,"தந்திரம், சூழ்ச்சி","Cunning, Trick",தெனொ ஹுபா3வி,teno hubaavi,அவன் தந்திரமானவன்,He is cunning
தூ4ர்தொ,dhoorto,"தந்திரம், சூழ்ச்சி","Cunning, Trick",தூ4ர்தொ ஜொவள் ர்ஹீ து3தூ3ர் ர்ஹனொ,dhoorto jovaL rhee dudoor rhano,தந்திரமான நபரிடமிருந்து விலகி இருங்கள்,Stay away from the cunning person
அடா3த்,aDaat,"அநியாயம், அடாவடி. கொடுமை","Injustice, Atrocity",இஸனி அடா3த் கோன் கெரத்தக் முஸை?,isani aDaat kOn kerattak musai?,இப்படிப்பட்ட அடாவடியை யாரால் செய்ய முடியும்?,Who could be capable of such atrocity?
திமுர்,timur,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",தெனு வேன் திமுர் தெ4ர்யாத்தெனு,tenu vEn timur dheryaattenu,அவர் மிகவும் திமிர் பிடித்தவர்,He is very arrogant
கெ3ருவ்,geruv,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",கெ3ருவ் அஸ்கியொ நஸினம் கெர்த்தை,geruv askiyo nasinam kerttai,ஆணவம் எல்லாவற்றையும் அழித்துவிடும்,Arrogance will destroy everything
மௌஜொ,maujo,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",த4ன மௌஜாக் மொர்க்3யாத் அப்3பு3னா,dhana maujaak morgyaat abbunaa,பணத் திமிருக்கு மரியாதை கிடைக்காது,There is no respect for money arrogance
மௌஜட்3,maujaD,"கர்வம், அகந்தை, செருக்கு, திமிர், ஆணவம்","Arrogance, Hauteur",த4ன மௌஜடு3 மித்ருப்பனுக் நஸ்தை,dhana maujaDu mitruppanuk nastai,செல்வத்தின் ஆணவம் நட்பைக் கெடுக்கும்,The arrogance of wealth spoils friendships
ஹங்க்ருதி,hangkruti,"அகந்தை, அகங்காரம்","Haughtiness, Ego",ஹங்க்ருதி தெ4ரெ பெ4டெ3 கொ2ப்3பி3ம் காம் கெர்னா,hangkruti dhere bheDe khobbim kaam kernaa,அகந்தை கொண்ட வேலைக்காரன் ஒருபோதும் வேலை செய்ய மாட்டான்,The servant with Haughtiness will never work
அபுல் ப்ரபா4வ்,apul prabhaav,தற்பெருமை,"Conceit, Vanity, Vainglory, Brag, Self-praise",அபுல் ப்ரபா4வ் மெனரியொ பிஸானுன் க2வ்னம்,apul prabhaav menariyo pisaanun khavnam,தற்பெருமை என்பது முட்டாள்களின் உணவு,Vanity is the food of fools
அபுல் நுதி,apul nuti,தற்பெருமை,"Conceit, Vanity, Vainglory, Brag, Self-praise",அபுல் நுதி அமீஸ் மெல்ல ஹோனா,apul nuti amees mella hOnaa,நம் பெருமையை நாமே சொல்லிக் கொள்ளக்கூடாது,We should not talk about our pride ourselves
ஸங்கட்,sangkaT,இடையூறு,Disruption,ஹாதுவதி3னி ம்ஹொட்டொ ஸங்கடங்கன் மர்ச்சய்யொ,haatuvadini mhoTTo sangkaTangkan marccayyo,கைபேசி பெரும் இடையூறாக மாறிவிட்டது,Mobile phone has become a distruption
உதாஸீனம்,utaaseenam,அலட்சியம்,"Negligence, Indifference",ம்ஹொட்டொ ஸ்தா2பனான் கா2ல் பொட3த்தக் உதாஸீனமூஸ் காரணொ,mhoTTo sthaapanaan khaal poDattak utaaseenamoos kaaraNo,பெரிய நிறுவனங்களின் வீழ்ச்சிக்கு அலட்சியமே காரணம்,Negligence is the reason for the collapse of big companies
பராக்,paraak,அக்கறை இல்லாமல்,Not caring,பராக் கெர்னாத்தக் ர்ஹியெத் ஈகு3 நஜ்ஜாயி,paraak kernaattak rhiyet eegu najjaayi,அக்கறை இல்லாமல் இருந்தால் கல்வி கெட்டுவிடும்,Education will be ruined if not cared for
ஸந்தே3க்,sandEk,சந்தேகம்,"Doubt, Suspicion",ஸந்தே3க் மெனரியொ ஒண்டெ ரோகு3,sandEk menariyo oNTe rOgu,சந்தேகம் என்பது ஒரு நோய்,Suspicion is a disease
ஸெந்தே3வ்,sendEv,சந்தேகம்,"Doubt, Suspicion",ஸெந்தே3வ் பொடெ3த்தெகொ3 நிம்மள் ர்ஹானா,sendEv poDettego nimmaL rhaanaa,சந்தேகப்படுபவனுக்கு நிம்மதி இருக்காது,The suspect will have no peace
