alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பக்ஷி,pakshi,பறவை,Bird,பக்ஷின் அகாஸும் ஹுட3ரஸி,pakshin akaasum huDarasi,பறவைகள் வானத்தில் பறக்கின்றன,Birds fly in the sky
ஹூடு3,hooDu,பறவை,Bird,ஹூடு3ன் ஹுட3ரஸி,hooDun huDarasi,பறவைகள் பறக்கின்றன,The birds are flying
ஹுட்3ஜனி,huDjani,பறவை,Bird,ஹுட்3ஜனின் அபுல் பிங்கு ஹால் ஹுட3ரஸி,huDjanin apul pingku haal huDarasi,பறவைகள் அதன் இறக்கைகளால் பறக்கின்றன,Birds fly by its wings
கௌளொ,kauLo,காகம்,"Crow, Raven",கௌளொகின் பிள்டொ ஸதா மல்லஸு,kauLokin piLTo sataa mallasu,காகமும் குயிலும் எப்போதும் சண்டை போடுகின்றன,The crow and quill alwyas fight
குடி3,kuDi,கோழி,Hen,குடி3 அண்டொ3 தக3யி,kuDi aNDo tagayi,கோழி முட்டையிடும்,The hen lays eggs
குகிடி3,kukiDi,கோழி,Hen,வீள்டொ அஸ்கி குடி3னுன் அபுல் கூ4டு3க் ஜாஸு,veeLTo aski kuDinun apul ghooDuk jaasu,"மாலையில், அனைத்து கோழிகளும் தங்கள் கூட்டிற்குச் செல்கின்றன","In the evening, all hen goes to their coop"
குடொ3,kuDo,சேவல்,"Rooster, Cock, Chicken",குடா3க் ஜு2க்குகன் பொள்டொ ஹொல்லொ ஸவாயி,kuDaak jhukkukan poLTo hollo savaayi,சேவலை பெரும்பாலும் கூரையின் மேல் பார்க்க முடியும்,The rooster can mostly be seen on the roof
குகுடொ3,kukuDo,சேவல்,"Rooster, Cock, Chicken",குகுடா3 ஹிலி ல்ஹொவொ வனிம் ர்ஹாயி,kukuDaa hili lhovo vanim rhaayi,சேவல் கொண்டை சிவப்பு நிறத்தில் இருக்கும்,The rooster comb is red
குடி3பில்லொ,kuDipillo,கோழிக்குஞ்சு,"Chicken, Chicks",மாய் குடி3 அபுல் குடி3பில்லானுக் வேன் ரக்ஷணொ கெரஸு,maay kuDi apul kuDipillaanuk vEn rakshaNo kerasu,தாய் கோழிகள் தங்கள் குஞ்சுகளை மிகவும் பாதுகாக்கின்றன,Mother hens are very protective of their chicks
ஸாரங்கொ3,saaranggo,வான்கோழி,Turkey,ஸாரங்கொ3 ஹுட3த்தக் முஸுனா,saaranggo huDattak musunaa,வான்கோழி பறக்க முடியாது,The turkey cannot fly
சிடி3,ciDi,சிட்டுக்குருவி,Sparrow,அத்தொ அஸ்கி சிடி3னுக் ஸாத்தெ து3ஸ்தல் ஹொய்யொ,atto aski ciDinuk saatte dustal hoyyo,இப்போதெல்லாம் சிட்டுக்குருவிகள் பார்ப்பதே அபூர்வமாகிவிட்டது,Nowadays it is rare to see sparrows
ரமொ,ramo,கிளி,Parrot,அமி கெரெ வத்தொ ரமொ பி2ரி கெரஸு,ami kere vatto ramo phiri kerasu,நாம் பேசியதை கிளி திருப்பிப் பேசுகிறது,The parrot repeats what we spoke
கொக்குர்கய்லொ,kokkurkaylo,புறா,"Pigeon, Dove",கொக்குர்கய்லொ தௌ4ரா கொ3புரும் ஜிவஸு,kokkurkaylo dhauraa gopurum jivasu,புறாக்கள் கோவில் கோபுரங்களில் வசிக்கின்றன,Pigeons live in the temple towers
கௌது3,kaudu,புறா,"Pigeon, Dove",கௌது3 ப4ராடு-நிளா கிரணுக் ஸாத்தக் முஸயி,kaudu bharaaTu-niLaa kiraNuk saattak musayi,புறா புற ஊதா கதிர்களையும் பார்க்க முடியும்,The pigeon can see ultraviolet rays
பொரைலொ,porailo,வெள்ளைப்புறா,Dove,பொரைலொ ஶாந்தித்வமுக் ப்ரதீகொ ஹோஸு,porailo ssaantitvamuk prateeko hOsu,வெள்ளை புறா அமைதியின் சின்னம்,The white dove is a symbol of peace
கொகில்,kokil,குயில்,"Quill, Cuckoo",கொகில் அப்லானுக் நீடொ3 ப4ந்து3லனி,kokil aplaanuk neeDo bhandulani,குயில் தனக்கென கூடு கட்டுவதில்லை,The quill does not make a nest of its own
பிள்டொ,piLTo,குயில்,"Quill, Cuckoo",பிள்டொ கௌளா நீடா3ம் அண்ட3 தக3யி,piLTo kauLaa neeDaam aNDa tagayi,குயில் காகத்தின் கூட்டில் முட்டையிடும்,The quill lays its eggs in the crow's nest
ம்ஹோர்,mhOr,மயில்,Peacock,ம்ஹோர் பிஞ்செ2 விலாஸ் கெரி நசஸு,mhOr pinjche vilaas keri nacasu,மயில் தோகை விரித்து ஆடுகிறது,The peacock spreads its struts and dances
உலு,ulu,ஆந்தை,Owl,உலுன் ஸ்ரேஷ்டு2 ஹொயெ ராது கிராதுனு,ulun srEshThu hoye raatu kiraatunu,ஆந்தைகள் சிறந்த இரவு நேர வேட்டையாடுபவர்கள்,Owls are excellent nocturnal predators
உட்3டு3ள்,uDDuL,ஆந்தை,Owl,ம்ஹொட்டொ தொ3ளொ ஸேத்தெங்கொ உட்3டு3ளு தொ3ளொ மெனஸுன்,mhoTTo doLo sEttengko uDDuLu doLo menasun,பெரிய கண்களை உடையவர்கள் ஆந்தை கண்கள் என்று அழைக்கப்படுகிறார்கள்,People with big eyes are called owl eyes
கூ4கு3,ghoogu,ஆந்தை,Owl,கூ4கு3 ஹால் தி3ஸ்லாம் ஸாத்தக் முஸுனா,ghoogu haal dislaam saattak musunaa,ஆந்தையால் பகலில் பார்க்க முடியாது,The owl can't see during the daytime
ஒகு3ல்,ogul,வௌவால்,Bat,ஒகு3ல் சொராக் தெ4ரத்த்தக் ஐய்கனா-ஸெத்3து3க் உபயோக்3 கெரஸு,ogul coraak dheratttak aiykanaa-sedduk upayOg kerasu,ஒகு3ல் சொராக் தெ4ரத்த்தக் ஐய்கனா-ஸெத்3து3க் உபயோக்3 கெரஸு,Bats use ultrasound to navigate and catch prey
ஆடி3,aaDi,ஆண் வாத்து,"Male Duck, Male Goose, Drake",ஆடி3ன் அபுல் பில்லானுக் மேட் ஹொயெ ரக்ஷகு,aaDin apul pillaanuk mET hoye rakshaku,ஆண் வாத்துகள் தங்கள் குஞ்சுகளுக்கு சிறந்த பாதுகாவலர்கள்,Drakes are excellent protectors for their chicks
ப3து3ல்,badul,பெண் வாத்து,"Duck, Female Goose",ப3து3லா க4டி3 ஸெத்3து3 வேன் கெ4ட்டி ர்ஹாயி,badulaa ghaDi seddu vEn gheTTi rhaayi,பெண் வாத்தின் குரல் மிக சத்தமாக இருக்கும்,The duck's voice will be more louder
ப3கொ3,bago,கொக்கு,Crane,ப3கா3ன் ஹுஜால் வனிம் ஸே,bagaan hujaal vanim sE,கொக்குகள் வெள்ளை நிறத்தில் உள்ளன,The cranes are white
குக்ரொ,kukro,நாரை,"Stork, Pelican",குக்ராக் லம்பு3 பாய்ஞ் ர்ஹாயி,kukraak lambu paaynj rhaayi,நாரைகளுக்கு நீண்ட கால்கள் இருக்கும்,Storks have long legs
ஹம்ஸொ,hamso,அன்னம்,Swan,ஹம்ஸொ ஸாத்தக் பெ4ளி ஸிங்கா3ர் ர்ஹாயி,hamso saattak bheLi singgaar rhaayi,அன்னப்பறவை பார்க்க மிக அழகாக இருக்கும்,The Swan is is so beautiful to look at
லுவி,luvi,காடை,Quail,லுவி பூ4ய்ஞ் ஹொல்லொ நீடொ3 ப4ந்த3யி,luvi bhooynj hollo neeDo bhandayi,காடைகள் தரையில் கூடு கட்டும்,Quail build nests in the ground
கௌ3ரி,gauri,கௌதாரி,"Chukar Partridge, Grey Francolin, Chicken Bird","கௌ3ரி குடி3 ஸொகன், ஹுட3த்தக் அவ்னா","gauri kuDi sokan, huDattak avnaa","கௌதாரி கோழியைப் போன்று, பறக்க வராது","Grey Francolin is like Hen, can not fly"
பா4ரஜி,bhaaraji,வானம்பாடி,Skylark,பா4ரஜி கிலுபி3லாட் ஸெத்3து3 கீ3த் க3வரியொ ஸொகன் ர்ஹாயி,bhaaraji kilubilaaT seddu geet gavariyo sokan rhaayi,வானம்பாடியின் கீச்சிடும் சத்தம் ஒரு பாடலைப் பாடுவது போல் இருக்கும்,The chirping sound of Skylark will be like singing a song
