alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
தளு,taLu,"உச்சந்தலை, உச்சி","Crown of Scalp, Top, Vetex",தெனொ தளு ர்ஹீ தளபாய்ஞ் லெந்து ப2ங்கி3லி நிஞ்ஜி ஹொதெ3ஸ்,teno taLu rhee taLapaaynj lentu phanggili ninjji hodes,அவன் உச்சி முதல் பாதம் வரை மூடிக்கொண்டு படுத்திருந்தான்,He was lying covered from head to toe
தொ3ஸ்கொ,dosko,தலை,Head,தெ3க்ஷண் பொகட் தொ3ஸ்கொ தொ2வ்லி நின்ஜ ஹோனா,dekshaN pokaT dosko thovli ninja hOnaa,தெற்கில் தலை வைத்து தூங்கக் கூடாது,Should not sleep with head facing south
ஸிரஸ்,siras,தலை,Head,"ஆட் வீது3 ஆங்கு3க், ஸிரஸூஸ் பிரதா4ன்","aaT veedu aangguk, sirasoos piradhaan",எண் ஜாண் உடம்புக்கு தலையே முக்கியம்,"For a body of 8 span length, the head is important"
மெது3ட்,meduT,மூளை,Brain,ஹொடெ3 மெனிகு மெது3டு 1.5 கிலோ பா4ர் ர்ஹாயி,hoDe meniku meduTu 1.5 kilO bhaar rhaayi,வளர்ந்த மனிதனின் மூளை 1.5 கிலோகிராம் எடை இருக்கும்,The brain of an adult human weighs 1.5 kilograms
கு3து3ட்3,guduD,மூளை,Brain,"18 ஒர்ஸும், மெனிகு கு3து3ட்3 ஹொட3த்தெ ஹிப்3பி3 ர்ஹவள்ட3ஸு","18 orsum, meniku guduD hoDatte hibbi rhavaLDasu","18 வயதில், மனிதனின் மூளை வளர்வதை நிறுத்திக் கொள்கிறது","At the age of 18, the human brain stops developing"
மெந்து3,mendu,மூளை,Brain,மெனிகு மெந்து3 ஸதா3 காம் கெர்லேத் ர்ஹாயி,meniku mendu sadaa kaam kerlEt rhaayi,மனித மூளை எப்போதும் இயங்கிக் கொண்டிருக்கிறது,The human brain is always working
கே2ஸ்,khEs,முடி,Hair,40 ஒஸ்ஸு ப2ராது கே2ஸ் ஹுஜால் பொ3ட3ன் நிகு3ளஸு,40 ossu pharaatu khEs hujaal boDan niguLasu,40 வயதிற்கு மேல் முடி நரைக்க தொடங்குகிறது,Hair starts graying after age 40
அல்கொ,alko,சுருட்டை முடி,Curly hair,நீக்3ரோனுக் கே2ஸ் அல்கொகன் ஸே,neegrOnuk khEs alkokan sE,நீக்ரோக்கள் முடி சுருள் முடியாக இருக்கிறது,Negroes have curly hair
ஸிகொ,siko,குடுமி,Ponytail / Mohawk,முது3ல்லாம் த3ல்லான் ஸிகொ தொ2வ்லி ஹொத்3யாஸி,mudullaam dallaan siko thovli hodyaasi,முன்பெல்லாம் ஆண்கள் குடுமி வைத்திருந்தார்கள்,Earlier men used to have tuft hair
ஜுட்டி,juTTi,குடுமி,"Ponytail, Mohawk, Tuft",தெ2வ்டெ3 ஐயானுன் ஜுட்டி தொ2வ்ல்ராஸ்,thevDe aiyaanun juTTi thovlraas,சில புரோகிதர்கள் குடுமி வைத்துள்ளார்கள்,Some pandits have tuft hair
கொ2பொ,khopo,கொண்டை,Bun Hairstyle,மீனாக்ஷி அம்மொ கொ2பொ தொ2வ்ல்ராஸி,meenaakshi ammo khopo thovlraasi,மீனாட்சி அம்மன் கொண்டை வைத்துள்ளார்,Goddess Meenakshi Amman has bun hairstyle
ஸுண்டு3ல்,suNDul,தலைப் பொடுகு,Dandruff,ஸுண்டு3லுக் லீமு தேல் லவாயி,suNDuluk leemu tEl lavaayi,பொடுகுக்கு வேப்ப எண்ணெய் தடவலாம்,Neem oil can be applied for dandruff
வெணி,veNi,தலைப்பின்னல்,Braid or Plait Hair,எல்லெ பெ3ட்3கிக் வெணி லம்பொ3 ஸே,elle beDkik veNi lambo sE,இந்த பெண்ணுக்கு நீண்ட பின்னல் உள்ளது,This girl has a long braid
வெணி கு3ம்பத்தெ,veNi gumpatte,ஜடை பின்னுதல்,Braiding Hair,மாய் அபுல் பெ3டி3க் வெணி கு3ம்பி3லேத் ஸே,maay apul beDik veNi gumbilEt sE,தாய் தன் மகளுக்கு ஜடை பின்னிக்கொண்டிருக்கிறாள்,The mother is braiding her daughter
ஜெடொ3,jeDo,ஜடை,Decorated Braid / Plait,நொவ்ரி லம்பு3 பூ2லு ஜெடொ3 தய்லி ஸே,novri lambu phoolu jeDo tayli sE,மணமகள் நீண்ட மலர் ஜடையுடன் இருக்கிறார்,The bride wears a long flower braid
ஜொ2டொ3,jhoDo,ஜடாமுடி,"Matted hair, Clotted Hair",ஸனித3னி கெர்னா ஜியெத் தொ3ஸ்கா கே2ஸ் ஜொ2டொ3 பொள்ட3யி,sanidani kernaa jiyet doskaa khEs jhoDo poLDayi,பராமரிக்காவிட்டால் தலைமுடி ஜடாமுடி ஆகிவிடும்,"If not taken care of, the hair will become matted hair"
ஹுஜாலுகே2ஸ்,hujaalukhEs,நரை,Gray Hair,ஒர்ஸுஹொயெ கலமு ஹுஜாலுகே2ஸ் ஸிங்க்3யார் ர்ஹாய்,orsuhoye kalamu hujaalukhEs singgyaar rhaay,வயதான காலத்தில் நரை முடி அழகாக இருக்கும்,Gray hair looks beautiful in old age
தளுபொட்டல்,taLupoTTal,வழுக்கைத்தலை,Bald,தளுபொட்டல் ஒண்டெ வம்ஶிகொ ரோகு3,taLupoTTal oNTe vamssiko rOgu,வழுக்கை ஒரு பரம்பரை நோய்,Baldness is a hereditary disease
கு3ண்டு3,guNDu,"மொட்டை, வட்டம்","Tonsure, Round, Circular",பில்லா தோன் கு3ண்டு3கன் ஸே,pillaa tOn guNDukan sE,குழந்தையின் முகம் வட்டமாக உள்ளது,The baby has a round face
பொ3ட3க்,boDak,மொட்டை,Tonsure,தெ2வ்டெ3தெனு ஹூனுகலமு பொ3ட3க் தய்லனு,thevDetenu hoonukalamu boDak taylanu,சிலர் கோடையில் தலையை மொட்டை அடிப்பார்கள்,Some people shave their heads in summer
பா4ங்கு3,bhaanggu,வகிடு,Hair parting,தெ2வ்டெ3 பெ3ட்3கினுக் பா4ங்கு3 ஒப்பானி,thevDe beDkinuk bhaanggu oppaani,சில சிறுமிகளுக்கு வகிடை பிடிப்பதில்லை,Some girls don't like hair parting
தோன்,tOn,முகம்,Face,நொவ்வொ தோனுக் ஸீதி பில்லொ ரொட3ரஸ்,novvo tOnuk seeti pillo roDaras,புதிய முகங்களைப் பார்த்து குழந்தை அழுகிறது,Baby cries seeing new faces
வத3ன்,vadan,முகம்,Face,ஸுரிது ஹுஜால் பொடெ3த் வத3ன் களொ பொட3ய்,suritu hujaal poDet vadan kaLo poDay,சூரிய ஒளி பட்டால் முகம் கருப்பாக மாறும்,Sunlight turns the face black
கபா3ல்,kabaal,நெற்றி,Forehead,பொ3ட்டு ந்ஹாத்த கபா3ல் ஹபா3லு,boTTu nhaatta kabaal habaalu,பொட்டு இல்லாத நெற்றி பாழ் நெற்றி,A freckle-free forehead is a dirty forehead
பொட்டுல்,poTTul,கன்னப் பொறி,Temple,பொட்டுல் து3ன்னாக் மொன்னு பா4ர்கின் உத்ஜம் மெல்லொ காரணொ,poTTul dunnaak monnu bhaarkin utjam mello kaaraNo,கன்னப் பொறி வலிக்கு மன அழுத்தமும் பதற்றமும் கூட காரணம்,Stress and tension are also the reason for temple pain
பௌனி,pauni,புருவம்,Eyebrow,தெனொ ஆஶ்சர்யமு பௌனிக் உஞ்சொ துக்கிஸி,teno aasscaryamu paunik unjco tukkisi,அவள் ஆச்சரியத்தில் புருவத்தை உயர்த்தினாள்,She raised an eyebrow in surprise
பபினி,papini,புருவம்,Eyebrow,தெ2வ்டெ3தெனு தீ3 பபினிக் பெத்தெபெத்தெகன் ஹல்லட3ன்,thevDetenu dee papinik pettepettekan hallaDan,சிலர் இரண்டு புருவங்களையும் தனித்தனியாக அசைப்பார்கள்,Some people move both eyebrows separately
ஹுப்3பு3 / ஹூ,hubbu / hoo,கண் புருவம்,Eyebrow,தெக3 ஹுப்3பு3 த4னு ஸொகன் ஹொத்3யெஸி,tega hubbu dhanu sokan hodyesi,அவள் புருவம் ஒரு வில் போல இருந்தது,Her eyebrow was like a bow
ப3பிலி,bapili,கருவிழி,"Pupil, Iris",ஹுஜால் வேன் ர்ஹியெத் ப3பிலி குங்க3ஸு,hujaal vEn rhiyet bapili kunggasu,"அதிக வெளிச்சம் இருந்தால், கருவிழி சுருங்குகிறது","If there is too much light, the iris contracts"
தொ3ளொ,doLo,கண்,"Eye, Eyes",சொவ்து3னாத்தெனு தொ3ளொ ர்ஹீ மெள்ளி அந்து3ன்,covdunaattenu doLo rhee meLLi andun,படிக்காதவர்கள் கண் இருந்தும் குருடர்கள்,Uneducated people are blind even though they have eyes
தொ3ளா அண்டொ3,doLaa aNDo,"கண்மணி, கண்விழி",Eye ball,தெனொ தொ3ளா அண்டொ3 ம்ஹொடொ3 கெரி த4க்கடி3ஸி,teno doLaa aNDo mhoDo keri dhakkaDisi,அவள் கண்மணியை விரித்து பயமுறுத்தினாள்,She widened her eyeball and frightened
ஒரொதொ3ளொ,orodoLo,மாறுகண்,Squint Eye,ஒரொதொ3ளாக் ப3ரொ கெரத்தக் முஸயி,orodoLaak baro kerattak musayi,மாறுகண்ணை சரி செய்ய முடியும்,Squint eyes can be cured
தி3ஷ்டி,dishTi,பார்வை,"Eye sight, Eye vision",ச2ஸ்மொ தி3ஷ்டிக் செர்க்க கெரத்தக் ஒர்க3யி,chasmo dishTik cerkka kerattak orgayi,மூக்குக் கண்ணாடி பார்வையை சரிசெய்ய உதவும்,Spectacles can help correct eye sight
கிஸுர்,kisur,"கெட்ட பார்வை, கண் திருஷ்டி",Evil eye,பில்லாக் கிஸுர் லய்னாத்தக் ஸீலுனொ,pillaak kisur laynaattak seeluno,குழந்தையை கண் திருஷ்டி படாமல் பார்த்துக்கொள்ள வேண்டும்,Care should be taken to prevent the infant from evil eye
"ஸௌரினி, ஸவ்ரினி","saurini, savrini","தெளிவின்மை, மங்கல்",Blur,தொ3ளா அத்3த3ம் ந்ஹாத்தக் அஸ்கி ஸௌரயி தெ3க்காரஸ்,doLaa addam nhaattak aski saurayi dekkaaras,"கண்ணாடி இல்லாமல், எல்லாம் மங்கலாகத் தெரிகிறது","Without spectacles, everything looks blurred"
மிஸினி,misini,இமை,Eyelid,ஹோங்கு3 ந்ஹாத்தெஹால் மிஸினி பு2க்3கி3 ஹொதெ3ஸ்,hOnggu nhaattehaal misini phuggi hodes,தூக்கமின்மையால் கண் இமைகள் வீங்கியிருந்தன,Eyelids had swollen due to lack of sleep
ரொப்பொ,roppo,இமை,Eyelid,ரொப்பொ ரோம்கொ ஹுடொ3 தொ2வ்லி நிஞ்ஜி ஹொதெ3ஸ்,roppo rOmko huDo thovli ninjji hodes,கண் இமைகள் லேசாகத் திறந்து தூங்கிக் கொண்டிருந்தான்,He was sleeping with his eyelids slightly open
ரொப்பா கே2ஸ்,roppaa khEs,இமை முடி,Eyelash,தெ2வ்ட்3தெங்கொ3 ரொப்பா கே2ஸ் லம்பொ3 ர்ஹாயி,thevDtenggo roppaa khEs lambo rhaayi,சிலருக்கு இமைமுடிகள் நீளமாக இருக்கும்,Some people have long eyelashes
க3ல்பொ,galpo,கன்னம்,Cheek,துரெ ந்ஹுருக் க3ல்பொ கெண்டொ3கெளொகன் ஸே,ture nhuruk galpo keNDokeLokan sE,உங்கள் குழந்தைக்கு கன்னம் கொழுகொழு என உள்ளன,Your baby has chubby cheeks
க3வ்லொ,gavlo,கன்னம்,Cheek,கஷ்மீரு பில்லல்னுக் க3வ்லொ ல்ஹொவ்வொ ர்ஹாயி,kashmeeru pillalnuk gavlo lhovvo rhaayi,காஷ்மீரி குழந்தைகளுக்கு கன்னங்கள் சிவப்பாக இருக்கும்,Kashmiri baby have red cheeks
க3புலொ,gapulo,கன்னம்,Cheek,க3புலொ கெண்டொ3கெளொகன் ர்ஹியெத் சுண்டுனொ மெனி லக3யி,gapulo keNDokeLokan rhiyet cuNTuno meni lagayi,கன்னம் கொழுகொழு என இருந்தால் கிள்ளத் தூண்டுகிறது,"It tempts to pinch, if the cheeks are chubby"
