alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
தி3ன்னு தெ3க்கட்ணி,dinnu dekkaTNi,நாட்காட்டி,Calendar,தி3ன்னு தெ3க்கட்ணின் பு4லோக் பூராக் ஒண்டே தா4னுக் வௌரினி பொட3ரஸ்,dinnu dekkaTNin bhulOk pooraak oNTE dhaanuk vaurini poDaras,நாட்காட்டிகள் உலகம் முழுவதும் ஒரே மாதிரியாகப் பயன்படுத்தப்படுகின்றன,Calendars are used uniformly around the world
ஸொளொபா2ர்,soLophaar,"காலை வேளை, விடியற்காலை","Morning, Dawn",ஸொளொபா2ரும் சலத்தெ ஆங்கு3 ஆரோக்3யமுக் சொக்கடு3,soLophaarum calatte aanggu aarOgyamuk cokkaDu,காலையில் நடைபயிற்சி செய்வது உடல் நலத்திற்கு நல்லது,Walking in the morning is good for health
ப2ல்திவார்,phaltivaar,"காலை வேளை, விடியற்காலை","Morning, Dawn",ப2ல்திவாரும் குடொ3 குகஸு,phaltivaarum kuDo kukasu,விடியற்காலையில் சேவல் கூவும்,The rooster crows at dawn
து4வார்,dhuvaar,மதியம்,Afternoon,து4வாரி நிஞ்ஜத்தெ ஆங்கு3 ஆரோக்3யமுக் சொக்கட் ந்ஹா,dhuvaari ninjjatte aanggu aarOgyamuk cokkaT nhaa,மதியம் தூங்குவது உடல் நலத்திற்கு நல்லதல்ல,Sleeping in the afternoon is not good for health
தீ3ஸ்,dees,பகல் நேரம்,"Daytime, Daylight hours",ஹூனு கலமு தீ3ஸு வேள் வேன் ர்ஹாயி,hoonu kalamu deesu vEL vEn rhaayi,கோடையில் பகல் நேரம் அதிகமாக இருக்கும்,Daylight hours are longer in summer
தி3ஸ்லொ,dislo,பகற்பொழுது,"Daytime, Daylight hours",கூ4கு3 ஹால் தி3ஸ்லாம் ஸாத்தக் முஸுனா,ghoogu haal dislaam saattak musunaa,ஆந்தையால் பகலில் பார்க்க முடியாது,The owl can't see during the daytime
விஸந்து3லொ,visandulo,"அந்திப்பொழுது, அந்தி சாயும் நேரம்",Dusk,விஸந்து3லொ தி3வொ பொ4வ்ரி பாய்ஞ்பொட்3னொ,visandulo divo bhovri paaynjpoDno,அந்தி சாயும் போது விளக்கேற்றி பிரார்த்தனை செய்ய வேண்டும்,"At dusk, light a lamp and pray"
வீள்டொ,veeLTo,மாலை,Evening,பிள்ளல்னு வீள்டாக் சொவ்து3னொ,piLLalnu veeLTaak covduno,குழந்தைகள் மாலையில் படிக்க வேண்டும்,Children should study in the evening
ராத்,raat,இரவு,Night,ராதும் தமஸ் பொடி3 கா2 ஹோனா,raatum tamas poDi khaa hOnaa,இரவில் தாமதமாக சாப்பிடக்கூடாது,Do not eat late at night
நிஸ்லொ,nislo,"இரவுப்பொழுது, இரவு நேரம்",Night time,நிஸ்லாம் ஜு2க்கு ஜீவுனுன் நிஞ்ஜஸு,nislaam jhukku jeevunun ninjjasu,இரவுப்பொழுதில் பெரும்பாலான ஜீவ ராசிகள் உறங்கும்,Most living beings sleep at night
தி3னாங்கு,dinaangku,தேதி,Date,ஹிந்தா3 தி3னாங்கு காயொ?,hindaa dinaangku kaayo?,இன்றைய தேதி என்ன?,What is today's date?
தி3ன்னு,dinnu,நாள்,Day,பொ3ண்டி3ம் பு4லோகுக் சுட்டு பி2ரி அவத்தக் ரமாரமி 20 தி3ன்னுன் லக3யி,boNDim bhulOkuk cuTTu phiri avattak ramaarami 20 dinnun lagayi,காரில் உலகை சுற்றி வர சுமார் 20 நாட்கள் ஆகும்,It takes about 20 days to get around the world by car
