alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
நைதொ,naito,"நீதி, நியாயம்",Justice,,,,
நைதாஸபொ4,naitaasabho,நீதிமன்றம்,Court,,,,
கா2லு நைதாஸபொ4,khaalu naitaasabho,கீழ்நீதிமன்றம்,Lower Court,,,,
உஞ்சா நைதாஸபொ4,unjcaa naitaasabho,உயர் நீதிமன்றம்,"High court, Highcourt",,,,
ஸர்வோச்சொ,sarvOcco,உச்சம்,"Supreme, Apex",,,,
ஸர்வோச்சொ நைதாஸபொ4,sarvOcco naitaasabho,உச்ச நீதிமன்றம்,Supreme court,,,,
த3ண்டொ3 அர்க்யாரி,daNDo arkyaari,குற்றவியல் நடுவர்,Magistrate,,,,
நித்லொ,nitlo,நீதிபதி,Judge,,,,
வகீல்,vakeel,வழக்கறிஞர்,Lawyer,,,,
நியம்,niyam,"சட்டம், விதி, வழக்கம்","Law, Rule, Convention",,,,
நியாவ்,niyaav,நியாயம்,"Just, Fair, Sentence, Judgement, Vedict",,,,
தா3வொ,daaveaa,"வாதம், வழக்கு","Argument, Debate, Case, Litigation",,,,
பொரொ,poro,குற்றம்,Crime,,,,
தோ3ஷி,dOshi,"குற்ற உணர்வு, குற்றமுடைய",Guilty,,,,
தோ3ஷிபன்,dOshipan,குற்றம்,"Guilt, Crime, Offence",,,,
"ஸாக்ஷிதா3ர், ஸியெத்தெனொ","saakshidaar, siyetteno",சாட்சி,Witness,,,,
ஸாக்ஷ்யம்,saakshyam,சாட்சியம்,Testimony,,,,
ஆதா4ர்,aadhaar,அடிப்படை,"Testimony, Base, Basis, Evidence, Proof",,,,
நிர்ணயொ,nirNayo,தீர்ப்பு,"Verdict, Judgment, Settlement, Sentence",,,,
