alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
தீ3ஸ்,dees,திசை,Direction,ஆட் தீ3ஸுன் ஸே,aaT deesun sE,எட்டு திசைகள் உள்ளன,There are eight directions
தி3க்கு,dikku,திசை,Direction,தி3க்குனுக் தெ3க்கி தெ4ரத்தக் காந்தொ நுக3ஸு,dikkunuk dekki dherattak kaanto nugasu,திசைகளை கண்டறிய காந்தம் உபயோகப்படுகிறது,The magnet is used to find directions
கௌ2னஸ்,khaunas,கிழக்கு,East,ஸுரித் கௌ2னஸும் நிகு3லயி,surit khaunasum nigulayi,சூரியன் கிழக்கில் உதிக்கும்,The sun will rise in the east
ஹொஸ்தொ,hosto,மேற்கு,West,ஸுரித் ஹொஸ்தாம் ஜ2கா3யி,surit hostaam jhagaayi,சூரியன் மேற்கில் மறையும்,The sun sets in the west
உத்தர்,uttar,வடக்கு,North,ஹிமகி3ரி பா4ரதுக் உத்தரும் ஸே,himagiri bhaaratuk uttarum sE,இமயமலை இந்தியாவின் வடக்கே உள்ளது,The Himalayas are located in the north of India
தெ3க்ஷண்,dekshaN,தெற்கு,South,கன்யாகுமரி தெ3க்ஷண் பொகட் ஸே,kanyaakumari dekshaN pokaT sE,கன்னியாகுமரி தெற்கில் உள்ளது,Kanyakumari is in the south
அக்3னி,agni,தென்கிழக்கு,South East,அக்3னிமூலோஸி ஹந்த3வ் தௌரமுக் செர்க்க ஹொயெ தா2மு,agnimoolOsi handav tauramuk cerkka hoye thaamu,தென்கிழக்குதான் சமையலறைக்கு சரியான இடம்,Southeast is the perfect place for a kitchen
நைருதி,nairuti,தென்மேற்கு,South West,நைருத்யா பொவ்ஸுகலம் ஜூன் ம்ஹடா3ம் ஹர்ம்ப3ம் ஹோயி,nairutyaa povsukalam joon mhaDaam harmbam hOyi,தென்மேற்கு பருவமழை ஜூன் மாதம் தொடங்கும்,Southwest monsoon starts in Jun
ஈஶான்யொ,eessaanyo,வடகிழக்கு,North East,புஜா ஹொவ்ரிக் ஈஶான்யொ தி3க்கும் தொ2வ்னொ,pujaa hovrik eessaanyo dikkum thovno,பூஜை அறையை வடகிழக்கு திசையில் வைக்க வேண்டும்,The prayer room should be placed in a north-easterly direction
வாயு,vaayu,வடமேற்கு,North West,வாயு மூலாம் மலொ ப4ந்து3னொ,vaayu moolaam malo bhanduno,வடமேற்கில் கழிவறை கட்ட வேண்டும்,The toilet should be built in the northwest
