alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ரோக்3,rOg,நோய்,Disease,ரோக்3 ந்ஹாத்த ஜித்ரவுஸ் ம்ஹொட்டொ ஸம்பத்து,rOg nhaatta jitravus mhoTTo sampattu,நோயற்ற வாழ்வே பெரிய செல்வம்,A disease-free life is great wealth
ரோக்3கெரி,rOgkeri,நோயாளி,Patient,ரோக்3கெரி அகா3ரும் திக்கெ செர்ச்ச ஹோனா,rOgkeri agaarum tikke cercca hOnaa,நோயாளியின் உணவில் காரத்தைச் சேர்க்கக் கூடாது,Do not add chilli to the patient's diet
ஆரோக்3யம்,aarOgyam,"உடல் நலம், சுகாதாரம்","Health, Hygiene",ஸொளொபா2ரும் சலத்தெ ஆங்கு3 ஆரோக்3யமுக் சொக்கடு3,soLophaarum calatte aanggu aarOgyamuk cokkaDu,காலையில் நடைபயிற்சி செய்வது உடல் நலத்திற்கு நல்லது,Walking in the morning is good for health
ஸௌர்யம்,sauryam,நலம்,"Fine, Good, Well",மீ ஸௌர்யம்கன் ஸே,mee sauryamkan sE,நான் நலமாக இருக்கிறேன்,I am fine
ஆங்கு3 ஸௌர்யம்,aanggu sauryam,உடல் நலம்,Health,பா3 ஆங்கு3 ஸௌர்யம் கோனக் ஸே?,baa aanggu sauryam kOnak sE?,அப்பாவின் உடல் நலம் எப்படி உள்ளது?,How is Dad's health?
ஸௌர்யம் உன்னொ,sauryam unno,உடல்நலக் குறைவு,"Ill health, Not well, Unwell",ஸௌர்யம் உன்னொஹால் தெனு கலம் ஹொய்யா,sauryam unnohaal tenu kalam hoyyaa,உடல்நலக்குறைவு காரணமாக அவர் காலமானார்,He passed away due to ill health
ஸௌர்யம் ந்ஹாத்தக்,sauryam nhaattak,உடல்நலம் சரியில்லாமல்,"Sick, Ill, Not well, Unwell",தெனு ரொவ்வொதி3 தொகன் ஸௌர்யம் ந்ஹாத்தக் ஸே,tenu rovvodi tokan sauryam nhaattak sE,அவர் சில காலமாக உடல்நலம் சரியில்லாமல் இருக்கிறார்,He has been unwell for some time
சிகித்ஸொ,cikitso,சிகிச்சை,Treatment,தெனு ஸோ ம்ஹடொ3 தொகன் கர்கரோக்3 சிகித்ஸாம் ஸேத்தெ,tenu sO mhaDo tokan karkarOg cikitsaam sEtte,அவர் கடந்த ஆறு மாதங்களாக புற்றுநோய் சிகிச்சையில் உள்ளார்,He has been on cancer treatment for the past six months
அய்து3சிகித்ஸொ,ayducikitso,அறுவை சிகிச்சை,"Surgery, Operation",தெங்கொ3 கு3ண்டென் து3ன்னொ அவி அய்து3சிகித்ஸொ கெர்னொ பொள்டி3யொ,tenggo guNTen dunno avi ayducikitso kerno poLDiyo,அவருக்கு மாரடைப்பு ஏற்பட்டு அறுவை சிகிச்சை செய்ய வேண்டியதாயிற்று,He had a heart attack and had to undergo surgery
ரூபு சிகித்ஸொ,roopu cikitso,நெகிழி அறுவை சிகிச்சை,Plastic surgery,ரூபு சிகித்ஸொ வாட் தெனொ நாகு ரூபுக் மர்ச்சிலிஸ்,roopu cikitso vaaT teno naaku roopuk marccilis,நெகிழி அறுவை சிகிச்சை மூலம் தன் மூக்கின் வடிவத்தை மாற்றினாள்,She changed the shape of her nose with plastic surgery
