alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பொ3ட்டொ,boTTo,"துணி, ஆடை","Cloth, Dress",தி3வளி தெந்து3ஸ் அஸ்கிதெனு நொவ்வொ பொ3ட்டொ பி2ல்லனு,divaLi tendus askitenu novvo boTTo phillanu,தீபாவளியன்று அனைவரும் புதிய ஆடைகளை அணிவார்கள்,Everyone wears new clothes on Diwali
ஸௌஷ்ணி,saushNi,"துணி, ஆடை","Cloth, Dress",ஸௌஷ்ணி ப்4யாரும் சொக்கட் லாப் அப்3ப3யி,saushNi bhyaarum cokkaT laap abbayi,ஆடை வியாபாரத்தில் நல்ல லாபம் கிடைக்கும்,Make a good profit in the clothing business
லுக்டொ3,lukDo,"துணி, ஆடை","Cloth, Dress",பஸுடு3 லுக்டா3ன் மோல் வேனு,pasuDu lukDaan mOl vEnu,பட்டு ஆடைகள் விலை அதிகம்,Silk dresses are expensive
பே2ல்,phEl,நெய்யப்பட்ட துணி,Fabric,மென்க்யான் ஜு2கு ப்ரகாரு பே2லுன் பி2ல்லஸுன்,menkyaan jhuku prakaaru phElun phillasun,மக்கள் பல்வேறு வகையான துணிகளை அணிவார்கள்,People wear different types of clothes
நால்,naal,"தண்டு, மெல்லிய கயிறு, கொடி, நார்","Fibre, Cord",த3மரு நாலும் ர்ஹீ பே2லுன் உத்பத்தி ஹோஸு,damaru naalum rhee phElun utpatti hOsu,தாமரை நாரிலிருந்து துணிகள் தயாரிக்கப்படுகின்றன,Fabrics are made from lotus fiber
தாக்,taak,இழை,Strand,சந்தி3 தாகும் கெரெ பே2லுன் ஸொங்கொ3யொ,candi taakum kere phElun songgoyo,பருத்தி இழைகளால் செய்யப்பட்ட துணிகள் மலிவானவை,Fabrics made of cotton fibers are cheap
வல்கல்,valkal,தாமரை இழைகளிலிருந்து தயாரிக்கப்படும் துணி,Fabrics made from Lotus fibre,த3மரு நாலும் கெரெ பே2லுன் மோல் வேனு,damaru naalum kere phElun mOl vEnu,தாமரை நாரால் செய்யப்பட்ட துணிகள் விலை அதிகம்,Fabrics made of lotus fiber are expensive
கைலொ,kailo,பருத்தி துணிகள்,Cotton fabrics,கைலா பொ3ட்டான் ஹூநு கலமுக் உத்தமு,kailaa boTTaan hoonu kalamuk uttamu,கோடை காலத்திற்கு பருத்தி துணிகள் சிறந்தது,Cotton fabrics are best for summer
தாத்2,taath,நூல்,"Thread, Yarn",சந்தி3 தாது2ம் ர்ஹீ ஜு2கு ப்ரகாரு பே2லுன் உத்பத்தி ஹோஸு,candi taathum rhee jhuku prakaaru phElun utpatti hOsu,பருத்தி நூலில் இருந்து பல்வேறு வகையான துணிகள் தயாரிக்கப்படுகின்றன,Different types of fabrics are made from cotton yarn
வேட்,vET,வேஷ்டி,Dhoti,வேடுன் சார் ந்ஹீஜியெத் ஆட் ஹாதும் அப்3ப3யி,vETun caar nheejiyet aaT haatum abbayi,வேஷ்டிகள் நாலு அல்லது எட்டு முழத்தில் கிடைக்கும்,Dhotis are available in four or eight yards
