alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
தூளிகொ,tooLiko,தூரிகை,(Painting) Brush,,,,
ஸொம்மர் ஹன்னவ்,sommar hannav,முன்பணம்,"Advance, Advance payment, Down payment",,,,
ப2ள்சா போ2ள்,phaLcaa phOL,பின்விளைவு,"Aftermath, Consequence",,,,
தா2ம் தே3,thaam dE,இடம் கொடு,Allow,,,,
அனுமதி தே3,anumati dE,அனுமதி கொடு,Allow,,,,
ஸர்வொ ஶக்திமான்,sarvo ssaktimaan,எல்லாம் வல்லவர்,Almighty,,,,
கோ4ஷனொ கேர்,ghOshano kEr,அறிவிக்கவும்,Announce,,,,
கோ4ஷனொ,ghOshano,அறிவிப்பு,Announcement,,,,
நிகி3ள்னி,nigiLni,"ஏற்றம், உயர்வு","Ascent, Rise",,,,
அர்க்யார் தெ3னி,arkyaar deni,அதிகாரம் வழங்குதல்,Authorization,,,,
வர்ஜி,varji,"தவிர், ஒதுக்கு",Avoid,,,,
வர்ஜினி,varjini,"தவிர்த்தல், ஒதுக்குதல்",Avoidance,,,,
வர்ஜத்தெ,varjatte,"தவிர்த்தல், ஒதுக்குதல்",Avoiding,,,,
களணி,kaLaNi,விழிப்புணர்வு,Awareness,,,,
ஜன்லினி,janlini,விழிப்புணர்வு,Awareness,,,,
கு2தா3 ரொக்டொ3,khudaa rokDo,பிணையத் தொகை,Bail,,,,
ப3ந்தி3,bandi,தடை,"Ban, Prohibit",,,,
க்ரூரொ,krooro,"காட்டுமிராண்டித்தனம், மிருகத்தனம், கொடுமை மிக்க","Barbaric, Brutal, Cruel, Wild",,,,
த்3ரோஹ் கேர்,drOh kEr,காட்டிக்கொடு,Betray,,,,
த்3ரோஹ் கெரத்தெ,drOh keratte,காட்டிக்கொடுத்தல்,Betrayal,,,,
தூ3ர்ஸனி,doorsani,இரு கண் தூர தரிசினி,Binaculars,,,,
நாகு3ங்குப்பொ,naagungkuppo,உலர்ந்த மூக்குச் சளி,"Booger, Dried Mucus from nose",,,,
லஞ்சொ,lanjco,கையூட்டு,"Bribe, Pay-off, Kickback",,,,
லோஸுயந்த்ரு,lOsuyantru,புகைப்பட கருவி,Camera,,,,
மொரணு த3ண்டொ3,moraNu daNDo,மரண தண்டனை,"Capital punishment, Death penalty",,,,
பி4த்தர் ஹிங்க3ட்3னி,bhittar hinggaDni,உள்ளேற்றம்,Charge,,,,
ஸெர்க்க ஸா,serkka saa,சரிபார்,Check,,,,
முக்2ய பொ2வ்னொ,mukhya phovno,தலைமை விருந்தினர்,Chief guest,,,,
சல்சித்ருஶாலொ,calcitrussaalo,திரையரங்கம்,Cinema Theater,,,,
பரிதி4,paridhi,"சுற்றளவு, பரிதி","Circumference, Periphery",,,,
உச்சஸ்தி2தி,uccasthiti,உச்சகட்டம்,"Climax, Culmination, Apex",,,,
ஹொல்லா சொக்காய்,hollaa cokkaay,மேல் உடுப்பு,Coat,,,,
செர்னி,cerni,"சேர்க்கை, சேகரிப்பு, தொகுப்பு, இணைப்பு","Collection, Conjunction",,,,
செர்ச்சினி,cerccini,"இணைப்பு, சேகரிப்பு","Collection, Connection, Annexture",,,,
"காவ்ஜனி, காவ்ஜனி கேர்","kaavjani, kaavjani kEr","குடியேற்றம், குடியேற்றம் செய்","Colonize, Immigration, Immigrate",,,,
ஸாமான்யொகன்,saamaanyokan,"பொதுவாக, வழக்கமாக, இயல்பாக, எளிமையாக","Commonly, Usually, Normally, Simply",,,,
ஸான்த்வனொ,saantvano,"ஆறுதல், தேறுதல்","Consolation, Solace",,,,
"லகி3னி, தெ3ஸினி","lagini, desini","தொடர்பு, தொடர்பில்","Contact, In touch",,,,
அர்க்யார் கெர்னி,arkyaar kerni,அதிகாரம் பண்ணுதல்,Controlling,,,,
மொவ்ஜினி,movjini,"எண்ணிக்கை, அளவீடு","Count, Measurement",,,,
ஹந்த3வ் பீடொ2,handav peeTho,சமையல் மேடை,"Countertop, Worktop",,,,
ஸௌஜன்யம்,saujanyam,உபயம்,Courtesy,,,,
"ஹாதுகலா, ஹாதுகலா வஸ்துன்","haatukalaa, haatukalaa vastun","கைவினை, கைவினைப்பொருட்கள்",Craft,,,,
க2னிபெனின்,khanipenin,உணவு வகைகள்,Cuisine,,,,
ஸஹாவுபொல்கொ,sahaavupolko,ஓட்டுநருக்கு உதவியாக இருக்கும் பலகை,Dashboard,,,,
பரிபா4ஷித் கேர்,paribhaashit kEr,வரையறு,Define,,,,
வர்ணனொ,varNano,விளக்கம்,Description,,,,
போ3ல்சால்,bOlcaal,பேச்சுவழக்கு,Dialect,,,,
கர்மிஷ்டொ2,karmishTho,விடாமுயற்சி,"Diligent, Perseverance",,,,
கர்மிஷ்டொ2கன்,karmishThokan,விடாமுயற்சியுடன்,Diligently,,,,
பரிமாண்,parimaaN,களஅளவு,Dimension,,,,
ப4ராட் த4ட்3டி3னி,bharaaT dhaDDini,வெளியேற்றம்,Discharge,,,,
பரமானந்தொ3,paramaanando,"பரவசம், மெய்மறந்த இன்பம்",Ecstasy,,,,
ஶ்ரமொ ந்ஹாத்தொ,ssramo nhaatto,"எளிதான, கடினமற்ற",Effortless,,,,
சுட்டூர் ஸ்தி2தி,cuTToor sthiti,சுற்றுப்புற சூழல்,"Environment, Surroundings",,,,
"மோல் தகி3னி, மோல் தக3த்தெ","mOl tagini, mOl tagatte","மதிப்பீடு செய்தல், மதிப்பிடுதல்","Evaluation, Appraise",,,,
ஒண்டொண்டெ வாள்,oNToNTe vaaL,ஒவ்வொரு முறையும்,"Every time, Each Time, Each and Every Time",,,,
அஸாதா4ரணம் ஹொயெ,asaadhaaraNam hoye,"விதிவிலக்கான, அபூர்வமான",Exceptional,,,,
ப4ராட் களாட்,bharaaT kaLaaT,வெளிப்படுத்து,Express,,,,
தோனு பா4வனொ,tOnu bhaavano,முகபாவம்,Expression,,,,
ப்ரத3ர்ஶனொ,pradarssano,கண்காட்சி,"Fair, Exhibition",,,,
ஸுந்து3ரு பளொ,sunduru paLo,கடற்படை,Fleet,,,,
பொ3ண்டி3னு ஜெதொ3,boNDinu jedo,வாகனங்களின் குழு,Fleet,,,,
கே2ளு ப்ராமொ கேர்,khELu praamo kEr,விளையாட்டுக் காதல் செய்,Flirt,,,,
க2டா பொளி,khaTaa poLi,முள் கரண்டி,Fork,,,,
கொ2ப3ட்ந்ஹாத்தொ,khobaTnhaatto,வெளிப்படையான,Frank,,,,
மித்ருப்பன்ஹொயெ,mitruppanhoye,"நட்பான, நட்பாக",Friendly,,,,
கெ3ட்3டொ3 ப4ந்த3யெ,geDDo bhandaye,உறைந்த,Frozen,,,,
கு3ஷ்டி கோ3ஷ்டு,gushTi gOshTu,வண்டிக் கொட்டடி,Garage,,,,
கொ4ரம்கன் ஸா,ghoramkan saa,உற்று நோக்கு,"Gaze, Gazing, Stare, Staring",,,,
க்ருதஞொ,krutanjo,நன்றியுள்ள,"Gratitude, Grateful",,,,
கர்கொ பொவ்ஸ்,karko povs,ஆலங்கட்டி மழை,Hail,,,,
நாயகொ,naayako,நாயகன்,Hero,,,,
லிக்கினி கா2ள்,likkini khaaL,கண்ணாமுச்சி,Hide and Seek,,,,
தொ3ங்க3ரு வஸஸ்த2லொ,donggaru vasasthalo,மலை வாழிடம்,Hill station,,,,
ஆத3ர்ஶொ,aadarsso,"ஏற்ற, சிறந்த, சரியான","Ideal, Perfect",,,,
ப்ரபா4வ்,prabhaav,தாக்கம்,"Impact, Influence",,,,
மொன்னும் பொடா3ட்,monnum poDaaT,"ஈர்க்கவும், மனத்தில் படியவை",Impress,,,,
ப்ரோத்ஸனொ,prOtsano,ஊக்கத்தொகை,Incentive,,,,
ஸ்வதந்த்ரொ தி3ன்னு,svatantro dinnu,சுதந்திர தினம்,Independence day,,,,
ஸம்ஸ்தொ2,samstho,நிறுவனம்,Institute,,,,
ஸம்ஸ்தா2பனொ,samsthaapano,நிறுவனம்,"Institution, Organization",,,,
அபி4ரக்ஷொ,abhiraksho,"காப்பீடு, காப்புறுதி",Insurance,,,,
வெடீ3 ஹொயெ,veDee hoye,சுவாரஸ்யமான,Interesting,,,,
"மல்லி, சந்திரிகொ","malli, cantiriko",மல்லிகை,Jasmine,,,,
நேதொ,nEto,தலைவர்,Leader,,,,
நேத்ருப்பன்,nEtruppan,தலைமைத்துவம்,Leadership,,,,
ஸஞ்சிதொ,sanjcito,இணைப்பு,Link,,,,
ஸெத்3து3 கு3ண்ணி,seddu guNNi,ஒலிபெருக்கி,Loudspeaker,,,,
ஸுகா2னுப்பன் ஹொயெ,sukhaanuppan hoye,ஆடம்பரமான,Luxurious,,,,
ஸுகா2னுப்பன்,sukhaanuppan,ஆடம்பரம்,Luxury,,,,
மொந்துர்,montur,"மந்திரம், மாயவித்தை",Magic,,,,
மொத்துருஞ்ஜத்தெனொ,motturunjjatteno,மந்திரவாதி,Magician,,,,
ஹாதுகெர்னி,haatukerni,கைமுறையாக,Manually,,,,
விபணி கெர்னி,vipaNi kerni,சந்தைப்படுத்துதல்,Marketing,,,,
முஷ்டி மைது2னம்,mushTi maithunam,சுயஇன்பம்,Masturbate,,,,
மாத்ரொ,maatro,அளவு,"Measure, Quantity",,,,
"பாரா, பாத3ரெஸ்ஸு","paaraa, paadaressu","பாதரசம், புதன் கிரகம்","Mercury (Metal), Mercury Planet",,,,
அணுஸனி,aNusani,"நுண்ணோக்கி, அணுதரிசனி",Microsope,,,,
விலாப்,vilaap,"புலம்பல், புலம்புதல்","Moan, Wail, Lamentation",,,,
மொன்னுஸ்தி2தி,monnusthiti,மனநிலை,"Mood, Mindset",,,,
