alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
அகா3ர்,agaar,"உணவு, சாப்பாடு",Food,அகா3ர் ருசிகன் ஒண்டெ ந்ஹா ஹொக3த்கன் மெல்லொ ர்ஹனொ,agaar rucikan oNTe nhaa hogatkan mello rhano,சாப்பாடு சுவையாக மட்டுமல்ல மருந்தாகவும் இருக்க வேண்டும்,Food should not only be delicious but also medicinal
கௌ2ணம்,khauNam,"உணவு, சாப்பாடு",Food,பில்லன்னுக் தே3ரியொ கௌ2ணம் போஷணொகன் ர்ஹனொ,pillannuk dEriyo khauNam pOshaNokan rhano,குழந்தைகளுக்கு கொடுக்கப்படும் உணவு சத்தானதாக இருக்க வேண்டும்,Food given to children should be nutritious
நாஸ்தொ,naasto,காலை உணவு,Breakfast,ஹுரிக் ஜாரியொ பில்லல்னுன் நாஸ்தொ கெரனின்,hurik jaariyo pillalnun naasto keranin,பள்ளி செல்லும் குழந்தைகள் காலை உணவை சாப்பிடுவதில்லை,School going children do not eat breakfast
து4வாரி பா4த்,dhuvaari bhaat,மதிய உணவு,Lunch,து4வாரி பா4த் கா2த்தக் கோட் ஜியென்?,dhuvaari bhaat khaattak kOT jiyen?,மதிய உணவிற்கு எங்கு செல்லலாம்?,Where to go for lunch?
ஸ்தான்பான்,staanpaan,சிற்றுண்டி,Tiffin,வீள்டாக் ஸ்தான்பான் கெர்த்தி நிகு3ளுவாய்,veeLTaak staanpaan kertti niguLuvaay,மாலையில் சிற்றுண்டியை முடித்துவிட்டு கிளம்பலாம்,You can leave in the evening after taking tiffin
ராஜ்ஜெமன்,raajjeman,இரவு உணவு,"Supper, Dinner",ராஜ்ஜெமனுக் அவ்ரெ கே4ர் அவ்டு3வொ,raajjemanuk avre ghEr avDuvo,இரவு உணவிற்கு எங்கள் வீட்டிற்கு வந்துவிடுங்கள்,Come to our house for dinner
பூ4க்,bhook,பசி,Hunger,பூ4கும் ஹாத் பாய்ஞ் ஒண்ட்கரஸ்,bhookum haat paaynj oNTkaras,பசியால் கை கால் நடுங்குகிறது,Hands and feet tremble with hunger
போடுஞ்ஜாள்,pOTunjjaaL,பசி,Hunger,போடுஞ்ஜாள் அவெ ப2ரொ கா2த்தெ ப3ரொ,pOTunjjaaL ave pharo khaatte baro,பசி எடுத்த பிறகு சாப்பிடுவது நல்லது,It is better to eat after feeling hungry
பு4க்கொ,bhukko,"பசியுடன் இருப்பது, பட்டினி","Being hungry, Starvation",வாரும் ஒண்டால் பு4க்கொ ர்ஹாத்தெ சொக்கடு3,vaarum oNTaal bhukko rhaatte cokkaDu,வாரத்தில் ஒரு நாள் பட்டினி கிடப்பது நல்லது,It is good to starve one day a week
பு4க்லொ,bhuklo,பசித்தவர்,Hungry person,பு4க்லாக் ருசி களானா,bhuklaak ruci kaLaanaa,பசித்தவனுக்கு சுவை தெரியாது,A hungry person does not know taste
க2னார்,khanaar,சாப்பிடுபவர்,An eater,கய்லொகெஸுர் ஸொம்மர் பொ4ஸுலொ க2னார் வேன் ஹொய்யா,kaylokesur sommar bhosulo khanaar vEn hoyyaa,காய்கறிகளை விட மாமிசம் சாப்பிடுபவர்கள் அதிகமாகி விட்டனர்,Meat eaters have become more than vegetables
ப4க்ஷக்,bhakshak,உண்ணி,An eater,அஸ்கியொ கா2த்தெங்கொ3 ஸர்வ ப4க்ஷக் மெனன்,askiyo khaattenggo sarva bhakshak menan,அனைத்தையும் உண்ணுபவர்களை அனைத்துண்ணி என்பர்,Those who eat everything are called omnivores
ப4ஜ்ஜிக2னார்,bhajjikhanaar,சைவம் உண்பவர்,"Vegetarian, Veg",தெ2வ்டெ3 ப4ஜ்ஜிக2னாருன் அண்டொ3 கா2ஸுன்,thevDe bhajjikhanaarun aNDo khaasun,சில சைவ உணவு உண்பவர்கள் முட்டை சாப்பிடுவார்கள்,Some vegetarians eat eggs
பொ4ஸுலொக2னார்,bhosulokhanaar,அசைவம் உண்பவர்,"Non vegetarian, Non veg",தெ2வ்டெ3 பொ4ஸுலொக2னாருன் து3க்கரு சைனொ கா2னின்,thevDe bhosulokhanaarun dukkaru caino khaanin,சில அசைவ உணவு உண்பவர்கள் பன்றி இறைச்சியை உண்பதில்லை,Some non vegetarians do not eat pork
பூட்,pooT,ஒரு வேளை உணவு,One time meal,தீ2ன் பூட் பா4துக் இக்கொ கெஷ்டம் பொட்3ன ஹோஸ்,theen pooT bhaatuk ikko keshTam poDna hOs,மூன்று வேளை உணவுக்கு எவ்வளுவு கஷ்டப்பட வேண்டியுள்ளது,How much have to suffer for three meals
கா4ஸ்,ghaas,சோற்று உருண்டை,A big rice ball,தௌ4ராம் பொங்க3ல் ம்ஹொட்டொ கா4ஸ்கன் தே3ஸுன்,dhauraam ponggal mhoTTo ghaaskan dEsun,கோவிலில் பொங்கலை பெரிய உருண்டையாக கொடுப்பார்கள்,Pongal is served in a big ball in the temple
உண்டொ3,uNDo,உருண்டை,"Ball, Orb",தீளு உண்டா3க் அஸ்கி ஒர்ஸு கெரின் க2வாயி,teeLu uNDaak aski orsu kerin khavaayi,எள்ளு உருண்டையை அனத்து வயதினரும் சாப்பிடலாம்,People of all ages can eat sesame balls
பொ3ர்க்குலு உண்டொ3,borkkulu uNDo,பொரி உருண்டை,Puffed rice ball,பொ3ர்க்குலு உண்டா3க் பில்லல்னுன் ப்ராமொ பொடி3 கா2ஸுன்,borkkulu uNDaak pillalnun praamo poDi khaasun,பொரி உருண்டையை குழந்தைகள் விரும்பி சாப்பிடுவார்கள்,Children love to eat fried balls
பா4த்,bhaat,"சோறு, சாதம்",Cooked rice,அங்கு3 ரொவ்வொ பா4த் தாய்,anggu rovvo bhaat taay,இன்னும் கொஞ்சம் சோறு போடு,Put some more rice
ஸில்லபா4த்,sillabhaat,"பழையசோறு, பழைய சாதம்","A meal of leftover rice soaked in water at night, Stale meal",அத்தொ அஸ்கி கோன் ஸில்லபா4த் கா2ராஸ்?,atto aski kOn sillabhaat khaaraas?,இப்போதெல்லாம் யார் பழையசோறு சாப்பிடுகிறார்கள்?,Who eats stale meal these days?
கென்னி பேஸ்,kenni pEs,"நொய்க்கஞ்சி, அரிசிக் கஞ்சி",Rice Porridge,ஆங்கு3 ஹுன்னொ ஸுட்டலெங்கு3 கென்னி பேஸ் ஒண்டேஸ்,aanggu hunno suTTalenggu kenni pEs oNTEs,காய்ச்சல் விடும்வரை நொய்க்கஞ்சி மட்டும் தான்,Only rice porridge until the fever subsides
ஸுகு3ட்,suguT,களி,Pudding,பெ3ய்லனுக் கேடு பொ3லமுக் உடி3து3 ஸுகு3ட் தே3னு,beylanuk kETu bolamuk uDidu suguT dEnu,பெண்களுக்கு இடுப்பு பலத்திற்கு உளுந்து களி கொடுப்பார்கள்,"For women, they give dal pudding to strengthen their hips"
அம்பி3ல்,ambil,கூழ்,"Gruel, Pulp, Mush",ஆடி3 ம்ஹடா3ம் மாரியம்மா தௌ4ராம் அம்பி3ல் தே3ஸுன்,aaDi mhaDaam maariyammaa dhauraam ambil dEsun,ஆடி மாதம் மாரியம்மன் கோவிலில் கூழ் ஊற்றுவார்கள்,"In the month of Aadi, they serve gruel in the Mariamman temple"
