alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
அக்3க3பொ3க்3க3யி,aggaboggayi,அலறியடித்து,Jumpy,,,,
அக3ஸ்மாத்,agasmaat,தற்செயல்,By chance,,,,
அட்3க்3யளம்,aDgyaLam,அடையாளக்குறி,Identification mark,,,,
அடக்3,aTag,தடை,Obstacle,,,,
அடா3த்,aDaat,அடாவடி,Atrocity,,,,
அதி4கரணொ,adhikaraNo,"பிரிவு, வகை","Section, Category",,,,
அதுர்ஷ்டு,aturshTu,அதிர்ஷ்டம்,Luck,,,,
அந்து,antu,இறுதி,"Final, End",,,,
அந்தும்,antum,"கடைசியாக, இறுதியில்",At the end,,,,
அப்3ப3ய்,abbay,கிடைக்கும்,Will get,,,,
அப்3ப3ரஸ்,abbaras,கிடைக்கிறது,Available,,,,
அப்3பி3டி3யொ,abbiDiyo,கிடைத்தது,"Obtained, Found, Received, Got it",,,,
அப்3பெ3ஸ்,abbes,கிடைத்தது,"Obtained, Found, Received, Got it",,,,
அப்3னி,abni,"கிடைத்தல், பெறுதல்","Availability, Getting, Receiving",,,,
அப4ய,abhaya,ஆபத்தில்லாத,Non dangerous,,,,
அபரிமிதொ,aparimito,எல்லையற்ற,Unlimited,,,,
அப்ஸரஸ்,apsaras,ரதி,Celestial Nymph,,,,
அபாயகர,apaayakara,ஆபத்தான,Dangerous,,,,
அபி4மான்,abhimaan,"பெருமை, பற்றுதல்",Pride,,,,
அபுல்கரெ,apulkare,"தன்முனைப்பு, முன்முயற்சி",Initiative,,,,He takes the initiative in everything
அயிதர்,ayitar,நேரில்,In person,,,,
அர்ச்சத்தெ,arccatte,கெளரவித்தல்,"Honouring, Praising",,,,
அரே,arE,அடேய்,Hey,,,,
அலக்3கொ3,alaggo,தனியாக,"Alone, Separate",,,,
அலாதி3,alaadi,தனியாக,Separately,,,,
அன்யாவ்,anyaav,அநியாயம்,"Unjust, Unfair",,,,
அனுப4வ்,anubhav,அனுபவம்,Experience,,,,
அனுஸரணொ,anusaraNo,பின்பற்றுதல்,Following,,,,
அஸத்திஸா,asattisaa,வேடிக்கையான,Funny,,,,
அஸினி,asini,நகைச்சுவை,Comedy,,,,
அஸொகெரி,asokeri,கொஞ்சத்தில்,Just like that,,,,
அஶுத்3த3ம்,assuddam,சுத்தமற்ற,Unclean,,,,
ஆத3ரொ,aadaro,ஆதரவு,Support,,,,
ஆபத்3,aapad,"சிரமம், துன்பம், ஆபத்து","Difficulty, Distress, Danger",,,,
ஆலோசனொ,aalOcano,அறிவுரை,Advice,,,,
ஆவர்த்தனொ,aavarttano,அதிர்வெண்,Frequency,,,,
ஆவொ,aavo,உலக விஷயங்கள்,Worldly matters,,,,
ஆஸ்தி,aasti,சொத்து,Property,,,,
ஆஸனொ,aasano,ஆசனம்,Seat,,,,
ஆஹவ்,aahav,"சவால், அறை கூவல்",Challenge,,,,
இத்யாதி3,ityaadi,இதர,Etcetera,,,,
இவர்,ivar,"விவரம், விளக்கம்","Details, Explanation, Description",,,,
