alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
வ்யாகரண்,vyaakaraN,இலக்கணம்,Grammar,,,,
வ்யாகரண வாசின்,vyaakaraNa vaacin,இலக்கணச் சொற்கள்,Grammatical words,,,,
நாமவாசி,naamavaaci,பெயர்ச்சொல்,Noun,,,,
க்ரியாவாசின்,kriyaavaacin,வினைச்சொற்கள்,Verbs,,,,
விப4க்தி வர்ணகு3ன்,vibhakti varNagun,வேற்றுமை உருபுகள்,Case makers,,,,
ஸப்3து3,sabdu,சொல்,Word,,,,
நாகு3ன்,naagun,நாசி சொல்,Nasal Word,,,,
அக்ஷர்,akshar,எழுத்து,Letter,,,,
உபாக்ஷர்,upaakshar,துணை எழுத்து,Sub letter,,,,
மீளாக்ஷர்,meeLaakshar,கூட்டெழுத்து,Conjuncts,,,,
ஹாருன்,haarun,"ந்ஹ, ம்ஹ, ர்ஹ, ல்ஹ","nha, mha, rha, lha",,,,
தா3துன்,daatun,"சம், ச2ம், ஜம், ஜ2ம்","cam, cham, jam, jham",,,,
ஸாந்து3ரு,saanduru,ஓரெழுத்து கூட்டெழுத்து,One word Conjuncts,,,,
லிபி,lipi,வரிவடிவம்,Script,,,,
உச்சாரணொ,uccaaraNo,உச்சரிப்பு,Pronunciation,,,,
ஸம்யுக்த,samyukta,இணைத்தல்,Conjunct,,,,
ஸம்யுக்த லிபி,samyukta lipi,இணைந்த எழுத்து,Conjunct letter,,,,
ஆஸு,aasu,ஜீவாக்ஷரம்,Vowel,,,,
அஜுனு,ajunu,உயிரெழுத்து,Vowel,,,,
அலுனு,alunu,மெய்யெழுத்து,Consonant,,,,
ஹலுனு,halunu,மெய்யெழுத்து,Consonant,,,,
ஒபுனு,opunu,அகர உயிர்மெய்யெழுத்து,Consonant + 'a',,,,
தனுனு,tanunu,உயிர்மெய்யெழுத்து,Combinational letter,,,,
ஸமக்ஷ,samaksha,உயர்திணை,Superior class of being,,,,
பரோக்ஷ,parOksha,அஃறிணை,Inferior class of being,,,,
நாமவாசி,naamavaaci,பெயர்ச்சொல்,Noun,,,,
ப3த்3னவாசி,badnavaaci,பிரதிபெயர்ச்சொல்,Pronoun,,,,
கு3ணவாசி,guNavaaci,பெயர் உரிச்சொல்,Adjective,,,,
க்ரியாவாசி,kriyaavaaci,வினைச்சொல்,Verb,,,,
புக்ரவாசி,pukravaaci,வினையுரிச்சொல்,Adverb,,,,
நிக்ரவாசி,nikravaaci,இடைச்சொல்,Conjunction,,,,
தீ4டவாசி,dheeTavaaci,வியப்புச்சொல்,Interjection,,,,
விஶேஷண,vissEshaNa,சிறப்பு,Special,,,,
விஶேஷ்ய,vissEshya,பெயர்ச்சொல்,Substantive,,,,
லிங்கு3,linggu,பாலினம்,Gender,,,,
த3ல்லிங்கு3,dallinggu,ஆண்பால்,Masculine,,,,
அள்ளிங்கு3,aLLinggu,பெண்பால்,Feminine,,,,
நபும்ஸலிங்கு3,napumsalinggu,"ஆண், பெண் தவிர மற்ற பாலினம்",Othar than Masculine and Feminine,,,,
வசனு,vacanu,பெயர்ச்சொல் எண்,Noun Number,,,,
ஏகவசனு,Ekavacanu,ஒருமை பெயர்ச்சொல்,Singluar Noun,,,,
ப3ஹுவசனு,bahuvacanu,பன்மை பெயர்ச்சொல்,Plural Noun,,,,
புருஷு,purushu,நிலை,Person,,,,
உத்தம புருஷு,uttama purushu,தன்மை,First person,,,,
மத்3யம புருஷு,madyama purushu,முன்னிலை,Second person,,,,
தத்தம புருஷு,tattama purushu,படர்க்கை,Third person,,,,
விப4க்தி,vibhakti,வேற்றுமை,Case,,,,
வர்ணகு3ன்,varNagun,உருபுகள்,"Makers, Elements",,,,
காலு,kaalu,காலம்,Tense,,,,
சல்தகாலு,caltakaalu,நிகழ்காலம்,Present Tense,,,,
கே3காலு,gEkaalu,இறந்தகாலம்,Past Tense,,,,
ஔதகாலு,autakaalu,எதிர்காலம்,Future Tense,,,,
பா4வக்க்ரியொ,bhaavakkriyo,உடன்பாட்டு வினை,Affirmative Verb,,,,
வ்யதிரேகக்ரியொ,vyatirEkakriyo,எதிர்மறை வினை,Negative Verb,,,,
ப்ரத்யாஹார,pratyaahaara,சுருக்கக்குறியீடு,Abbrevation,,,,
ஸங்ஞார்தா2னி,sangnjaarthaani,தொழில்நுட்ப பெயர்கள்,Technical Names,,,,
"தி3வ்வொ விப4க்தி - கு, கொ, தெ4ரி","divvo vibhakti - ku, ko, dheri","இரண்டாம் வேற்றுமை உருபுகள் - கு, கொ, தெ4ரி","2nd case maker - ku, ko, dheri",,,,
"தீ2ன்வொ விப4க்தி - ஹாலி, ஸர, ஸரொ, ஸெரொ, ஸெங்கொ3, ஸெந்தொ, ஸோரு","theenvo vibhakti - haali, sara, saro, sero, senggo, sento, sOru","மூன்றாம் வேற்றுமை உருபுகள் - ஹாலி, ஸர, ஸரொ, ஸெரோ, ஸெங்கொ3, ஸெந்தொ, ஸோரு","3rd case maker - haali, sara, saro, sero, sengo, sento, sOru",,,,
"சர்வொ விப4க்தி - கு, கொ, வன்னொ","carvo vibhakti - ku, ko, vanno","நான்காம் வேற்றுமை உருபுகள் - கு, கொ, வன்னொ","4th case maker - ku, ko, vanno",,,,
"பஞ்ச்வொ விப4க்தி - தொகொ, தொகன், ர்ஹீனு, லெங்கொ3, லெந்தொ, ஸொம்மரு","panjcvo vibhakti - toko, tokan, rheenu, lenggo, lento, sommaru","ஐந்தாம் வேற்றுமை உருபுகள் - தொகொ, தொகன், ர்ஹீனு, லெங்கொ3, லெந்தொ, ஸொம்மரு","5th case maker - toko, tokan, rheenu, lengo, lento, sommaru",,,,
"ஸொவொ விப4க்தி - கெ, ரொ","sovo vibhakti - ke, ro","ஆறாம் வேற்றுமை உருபுகள் - கெ, ரொ","6th case maker - ke, ro",,,,
"ஸத்வொ விப4க்தி - மு, ரு, ஜோளு, ஜொவொ, கா2லு, லெக்தொ, உஞ்சொ, பி4த்தரு, ஹோரு","satvo vibhakti - mu, ru, jOLu, jovo, khaalu, lekto, unjco, bhittaru, hOru","ஏழாம் வேற்றுமை உருபுகள் - மு, ரு, ஜோளு, ஜொவொ, கா2லு, லெக்தொ, உஞ்சொ, பி4த்தரு, ஹோரு","7th case maker - mu, ru, jOLu, jovo, khaalu, lekto, unjco, bhittaru, hOru",,,,
"அட்வொ விப4க்தி - ஹே, ஹோ, ஓ, ரா, ரே, வா","aTvo vibhakti - hE, hO, O, raa, rE, vaa","எட்டாம் வேற்றுமை உருபுகள் - ஹே, ஹோ, ஓ, ரா, ரே, வா","8th case maker - hE, hO, O, raa, rE, vaa",,,,
உதா3ஹரணொ,udaaharaNo,எடுத்துக்காட்டு,Example,,,,
ஸனாங்கு3 - கா2,sanaanggu - khaa,ஓரெழுத்து சொல் - கா2,One letter word - khaa,,,,
தி3தா3ங்கு3 - அமி,didaanggu - ami,ஈரெழுத்து சொல் - அமி,Two letter word - ami,,,,
திக்ராங்கு3 - உடாவ்,tikraanggu - uTaav,மூன்றெழுத்து சொல் - உடாவ்,Three letter word - uTaav,,,,
சத்ராங்கு3 - தளஹாத்,catraanggu - taLahaat,நான்கெழுத்து சொல் - தளஹாத்,Four letter word - taLahaat,,,,
பங்க்ராங்கு3ன் - அனுஸரணொ,pangkraanggun - anusaraNo,ஐந்தெழுத்து சொல் - அனுஸரணொ,Five letter word - anusaraNo,,,,
ஶஸாங்கு3ன் - ஹிந்த3லத்தெ,ssasaanggun - hindalatte,ஆரெழுத்து சொல் - ஹிந்த3லத்தெ,Six letter word - hindalatte,,,,
