alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ப3த்3து3,baddu,மளிகை,Grocery,,,,
அங்கி3டி3,anggiDi,கடை,"Shop, Store",,,,
பொந்து,pontu,கடை,"Shop, Store",,,,
ப4ண்டா3ர்,bhaNDaar,பொருள்கள் சேர்த்து வைக்கும் இடம்,"Store, Godown",,,,
பணொ,paNo,வியாபார சரக்கு,Commodity,,,,
பணாயி,paNaayi,சந்தை,"Market, Bazaar",,,,
ஹடொ,haTo,சந்தை,"Market, Bazaar",,,,
ஹாடி,haaTi,சந்தை,"Market, Bazaar",,,,
ஸாத்,saat,சந்தை,"Market, Bazaar",,,,
விபணி,vipaNi,கடைத்தெரு,Market street,,,,
தோ3வு,dOvu,பேரங்காடி,"Big market, Mall, Store",,,,
தெ4டொ / தெ4டொ3,dheTo / dheDo,தராசு,"Scale, Balance, Weighing Machine",,,,
நரசி / நராஜி,naraci / naraaji,தராசு,"Scale, Balance, Weighing Machine",,,,
ஜோக்,jOk,"நிறுவை, தராசு","Scale, Balance, Weighing Machine",,,,
ஹள்வொ,haLvo,லேசான,Light (in weight),,,,
சிஸ்லொ / சி2ஸ்லொ,cislo / chislo,"பலசரக்கு, மளிகை பொருட்கள்",Grocery,,,,
ரஸ்து,rastu,பொருள்,Materials,,,,
தஸ்துன்,tastun,சரக்கு,Goods,,,,
லிந்து3,lindu,பற்றுவரவு,Account,,,,
ஸாள்,saaL,நெல்,Paddy,,,,
தந்து3,tandu,அரிசி,Rice,,,,
கஸ்தந்து3,kastandu,பச்சரிசி,Raw Rice,,,,
ஹுடொதந்து3,huTotandu,புழுங்கரிசி,Boiled Rice,,,,
ஹுஸ்தந்து3,hustandu,புழுங்கலரிசி,Boiled rice,,,,
நிப்3ப3ரி,nibbari,புல்லரிசி,Rye Grain,,,,
ஸாபு3தா3னொ,saabudaano,ஜவ்வரிசி,Sago,,,,
கென்னி,kenni,குருணை,Rice Granule,,,,
பெரால்,peraal,பொரி,Puffed rice,,,,
லஸ்னி,lasni,பொரி,Puffed rice,,,,
பொ3ர்க்குல்,borkkul,பொரி,Puffed rice,,,,
அட்குல்,aTkul,அவல்,Flattened Rice,,,,
சிப்டொ,cipTo,அவல்,Flattened Rice,,,,
கொண்டொ3,koNDo,தவிடு,Bran,,,,
உங்கொ3,unggo,உமி,Husk,,,,
து3ஸொ,duso,உமி,Husk,,,,
கோ4ம தந்து3,ghOma tandu,கோதுமை,Wheat,,,,
கோ4மு,ghOmu,கோதுமை,Wheat,,,,
போ2மு,phOmu,ரவை (அரைத்த கோதுமை),Semolina,,,,
ஶெவ்யொ,ssevyo,சேமியா,Vermicelli,,,,
பொ2ன்னிஞ்சென்னொ,phonninjcenno,"சோளம், மக்காச்சோளம்","Maise, Maize, Corn",,,,
ஜொ2ள்ளொ,jhoLLo,கம்பு,Millet,,,,
ர்ஹகி,rhaki,"கேழ்வரகு, கேப்பை, ராகி",Finger millet,,,,
தா3ல்,daal,பருப்பு,Lentil,,,,
பெ3ளொ,beLo,பருப்பு வகைகள்,Lentils,,,,
சென்னொ,cenno,"கொண்டைக்கடலை, பட்டாணி, பீன்ஸ் போன்ற பருப்பு வகைகள்","Pulses such as Chickpeas, Peas, Beans",,,,
கென்னுன்,kennun,தானியங்கள்,"Grains, Cereals",,,,
ஶிம்பு3,ssimbu,தானியங்கள்,"Grains, Cereals",,,,
ஸஸ்யொ,sasyo,தானியங்கள்,"Grains, Cereals",,,,
தோ2ரு பெ3ளொ,thOru beLo,துவரம் பருப்பு,Red Gram,,,,
உடி3த்,uDit,கருப்பு உளுந்து,Black gram (with skin),,,,
உடி3து3 பெ3ளொ,uDidu beLo,உளுத்தம் பருப்பு,Black Gram,,,,
நிளமு பெ3ளொ,niLamu beLo,பச்சைப்பயறு,Green Gram,,,,
ஶிலம்,ssilam,பாசி பருப்பு,"Moong gram, Moong dal",,,,
கச்சென்னா பெ3ளொ,kaccennaa beLo,கடலை பருப்பு,Bengal Gram,,,,
தோ4ரு,dhOru,கடலை பருப்பு,Bengal gram,,,,
வடாணி,vaTaaNi,பட்டாணி,Pea,,,,
சென்னொ,cenno,பொட்டுக்கடலை,Fried Gram,,,,
ஹுஜால் கச்சென்னொ,hujaal kaccenno,"கொண்டைக்கடலை, கொண்டக்கடலை",Chickpeas,,,,
களொ கச்சென்னொ,kaLo kaccenno,கருப்பு கொண்டைக்கடலை,Black Chickpeas,,,,
பு4ய்ஞ்சென்னொ,bhuynjcenno,"நிலக்கடலை, வேர்க்கடலை","Groundnut, Ground Nut, Peanut",,,,
