alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
வீத்,veet,தெரு,Street,பில்லல்னு வீது3ம் க2ளராஸ்,pillalnu veedum khaLaraas,குழந்தைகள் தெருவில் விளையாடுகிறார்கள்,Children play in the street
முக்கு,mukku,தெருமுனை,Street Corner,ஒய்து3 கே4ர் வீது3 முக்கும் ஸேத்தெ,oydu ghEr veedu mukkum sEtte,டாக்டர் வீடு தெரு முனையில் உள்ளது,Dr. House is at the street corner
ஸெந்து3,sendu,சந்து,"Lane, Alley",அவ்ரெ கே4ர் வேன் அக்ரொ ஸெந்து3ம் ஸேத்தெ,avre ghEr vEn akro sendum sEtte,எங்கள் வீடு மிகவும் குறுகிய சந்தில் உள்ளது,Our house is in a very narrow alley
அவ்டொ3,avDo,குறுக்கு,Cross,அவ்ரெ கே4ர் தீ2ன்வா அவ்டா3 ஸெந்து3ம் ஸேத்தெ,avre ghEr theenvaa avDaa sendum sEtte,எங்கள் வீடு மூன்றாம் குறுக்குத் தெருவில் உள்ளது,Our house is in the third cross street
விலாஸ்,vilaas,முகவரி,Address,துரெ கே4ரு விலாஸ் மொகொ3 விஜிலியணு லேகு2ம் த4ட்3டு3வொ,ture ghEru vilaas mogo vijiliyaNu lEkhum dhaDDuvo,உங்கள் வீட்டு முகவரியை எனக்கு மின்னஞ்சலில் அனுப்பவும்,Send me your house address in Email
கே4ர்,ghEr,வீடு,House,எல்லெ மொரெ பெ4ய்னு கே4ர்,elle more bheynu ghEr,இது என் சகோதரியின் வீடு,This is my sister's house
கெ4ராவர்து,gheraavartu,வீட்டு விஷயங்கள்,Household matters,கெ4ராவர்துனுக் ப4ராடு3ம் வத்தொகெர ஹோனா,gheraavartunuk bharaaDum vattokera hOnaa,வீட்டு விஷயங்களை வெளியில் பேசக்கூடாது,Household things should not be talked about outside
மூலஸ்தானொ,moolastaano,"கடைக்கால், அஸ்திவாரம்","Foundation, Base",மூலஸ்தானொ பொ3லம்கன் ந்ஹீஜியெத் கே4ர் பு2ட்டிபொள்ட3யி,moolastaano bolamkan nheejiyet ghEr phuTTipoLDayi,"அடித்தளம் வலுவாக இல்லாவிட்டால், வீடு இடிந்து விழும்","If the foundation is not strong, the house will collapse"
அடு3த3ளொ,aDudaLo,"கடைக்கால், அஸ்திவாரம்","Foundation, Base",மொரெ போ3 எல்லெ கே4ருக் அடு3த3ளொ தயாஸி,more bO elle ghEruk aDudaLo tayaasi,என் தந்தை இந்த வீட்டிற்கு கடைக்கால் போட்டார்,My father laid the foundation for this house
அடு3கே4ர்,aDughEr,"கீழ்தளம், அடித்தளம்",Basement,பொ3ண்டி ஹிப்3பி3 ர்ஹவட3த்தக் அடு3கே4ர் ஒர்க3ஸு,boNTi hibbi rhavaDattak aDughEr orgasu,காரை நிறுத்துவதற்கு அடித்தளம் பயன்படுகிறது,Basement is used to park the car
