alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
கிடொ3,kiDo,புழு,Worm,முற்கெ3 பொள்ளானும் கிடா3ன் உத்பத்தி ஹோஸு,murge poLLaanum kiDaan utpatti hOsu,அழுகிய பழங்களில் புழுக்கள் உருவாகும்,Worms form on rotten fruit
ஸித்3த3ட்,siddaT,மண்புழு,Earthworm,ஸித்3த3டுக் ஜுன்னாருக் ஸிங்க3ய்த் மெனன்,siddaTuk junnaaruk singgayt menan,மண்புழு விவசாயிகளின் நண்பன் என்று அழைக்கப்படுகிறது,The earthworm is called the farmer's friend
ஹாபு3,haabu,பூச்சி,Insect,"களயெ அஸ்கி ஜீவுனும், ஹத்3தெ3 ஹொல்லொ ஹாபு3னு","kaLaye aski jeevunum, hadde hollo haabunu",அறியப்பட்ட அனைத்து உயிரினங்களிலும் பூச்சிகள் பாதிக்கும் மேற்பட்டவை,Insects make up more than half of all known organisms
ஹப்3பு3,habbu,பூச்சி,Insect,ஹப்3பு3னுக் ஸோ பாய்ஞினு ஸே,habbunuk sO paaynjinu sE,பூச்சிகளுக்கு ஆறு கால்கள் உள்ளன,Insects have six legs
மிங்கி3,minggi,எறும்பு,Ant,மிங்கி3ன் அபுல் ஆங்கு3 பா4ர் ஸொம்மர் 10-50 கு3ண் பா4ர் துக்கயி,minggin apul aanggu bhaar sommar 10-50 guN bhaar tukkayi,எறும்புகள் தங்கள் உடல் எடையை விட 10-50 மடங்கு எடையை சுமக்கும்,Ants carry 10-50 times their own body weight
முங்கி3,munggi,எறும்பு,Ant,முங்கி3னு வேன் ஸக்ரியொ ஹொயெயொ,mungginu vEn sakriyo hoyeyo,எறும்புகள் மிகவும் சுறுசுறுப்பானவை,The ants are very active
களொ மிங்கி3,kaLo minggi,பிள்ளையார் எறும்பு,Tiny Black Ant,களொ மிங்கி3 சவ்னா,kaLo minggi cavnaa,பிள்ளையார் எறும்பு கடிக்காது,Tiny Black ant does not bite
ல்ஹொவொ மிங்கி3,lhovo minggi,சிற்றெறும்பு,Fire Ant,ல்ஹொவொ மிங்கி3 சவஸு,lhovo minggi cavasu,சிற்றெறும்பு கடிக்கும்,The fire ant bites
மிங்கி3 ப4க்ஷக்,minggi bhakshak,எறும்புண்ணி,Anteater,மிங்கி3 ப4க்ஷகுக் தா3து3ன் ஜுண்ணா,minggi bhakshakuk daadun juNNaa,எறும்புண்ணிக்கு பற்கள் இல்லை,Anteaters have no teeth
அம்தி2லொ,amthilo,எறும்புப் புற்று,Anthill,மிங்கி3ன் மத்தி ஹால் அம்தி2லொ ப4ந்த3ஸு,minggin matti haal amthilo bhandasu,எறும்புகள் மண்ணைக் கொண்டு எறும்புப் புற்றுகளை கட்டும்,Ants build anthills with the soil
வள்மீக்,vaLmeek,எறும்புப் புற்று,Anthill,மிங்கி3ன்கின் ஹுதி3ன் வள்மீகுக் ப4ந்த3யி,mingginkin hudin vaLmeekuk bhandayi,"எறும்பும், கரையானும் எறும்புப் புற்றைக் கட்டும்",Ants and termites build anthills
சாடொ,caaTo,கட்டெறும்பு,Black Garden Ant,சாடொ ஸமூஹ ஹப்3பு3னு. தெல்லெ ஸெந்தொவஸஸும் ஜிவஸு,caaTo samooha habbunu. telle sentovasasum jivasu,எறும்புகள் சமூகப் பூச்சிகள்; அவை காலனிகளில் வாழ்கின்றன,Ants are social insects; they live in colonies
ம்ஹகி3,mhagi,ஈ,House Fly,ஜு2க்கு ம்ஹகி3னு ரமாரமி 21 தி3ன்னுன் ஜிவஸு,jhukku mhaginu ramaarami 21 dinnun jivasu,பெரும்பாலான ஈக்கள் சராசரியாக 21 நாட்கள் வாழ்கின்றன,Most flies live an average of 21 days
பிஸ்ளொ,pisLo,கொசு,Mosquito,பெ3ய்லு பிஸ்ளொ ஒண்டேஸ் சவயி,beylu pisLo oNTEs cavayi,பெண் கொசுக்கள் மட்டுமே கடிக்கும்,Only female mosquitoes bite
ப3ந்தொ3,bando,கரப்பான் பூச்சி,"Cockroach, Roach",ப3ந்தொ3 தொ3ஸ்கொ ந்ஹாத்தக் ஒண்டே வார் லெந்து ஜிவயி,bando dosko nhaattak oNTE vaar lentu jivayi,கரப்பான் பூச்சி தலை இல்லாமல் ஒரு வாரம் வரை உயிர் வாழும்,A cockroach can live for up to one week without its head
ஸொக்கள்,sokkaL,வெட்டுக்கிளி,"Grasshopper, Locust",ஸொக்களுக் அபுல் போடுர் கான் ஸே,sokkaLuk apul pOTur kaan sE,வெட்டுக்கிளிகள் தங்கள் வயிற்றில் காதுகளைக் கொண்டுள்ளன,Grasshoppers have ears on their bellies
ஸுண்டி3,suNDi,தட்டாரப்பூச்சி,Dragonfly,ஸுண்டி3ன் பனி பி4த்தர் 2 ஒர்ஸு லெந்து ஜிவஸு,suNDin pani bhittar 2 orsu lentu jivasu,தட்டான்கள் தண்ணீருக்கு அடியில் 2 ஆண்டுகள் வரை வாழ்கின்றன,Dragonflies live as long as 2 years underwater
ஜு2ருள்,jhuruL,"சுவர்க்கோழி, சில்வண்டு",Cricket,ஜு2ருள் தீ3 பகு3ல் லெந்து லங்க3யி,jhuruL dee pagul lentu langgayi,சுவர்க்கோழி இரண்டு அடி தூரம் வரை தாவும்,Crickets can leap as far as two feet
