alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ரஜொ,rajo,அரசன்,King,ரஜொ மெனெத்தெனு ந்ஹன்னொ ராஜ்யமுக் ராஜ்ஜலாத்தெனு,rajo menettenu nhanno raajyamuk raajjalaattenu,அரசர்கள் ஒரு சிறிய அரசை ஆண்டவர்கள்,Kings were those who ruled a small kingdom
ரணி,raNi,அரசி,Queen,ஜா2ன்ஸி ரணி லக்ஷ்மி பா3ய் பா4ரதும் மேட் ஹொயெ ரணி,jhaansi raNi lakshmi baay bhaaratum mET hoye raNi,ஜான்சி ராணி லட்சுமி பாய் இந்தியாவின் தலைசிறந்த ராணி,Jhansi Rani Lakshmi Bai is the great queen of India
ந்ஹன்ரஜொ,nhanrajo,இளவரசன்,Prince,ந்ஹன்ரஜொ மெனெத்தெனொ ரஜா பெ3டொ3,nhanrajo menetteno rajaa beDo,இளவரசன் என்பவர் ஒரு அரசனின் மகன்,A prince is the son of a king
ந்ஹன்ரணி,nhanraNi,இளவரசி,Princess,ந்ஹன்ரணி மெனெத்தெனொ ரஜா பெ3டி3,nhanraNi menetteno rajaa beDi,இளவரசி என்பவர் ஒரு அரசனின் மகள்,The princess is the daughter of a king
ஸம்ராட்,samraaT,பேரரசர்,Emperor,ஸம்ராட் மெனெத்தெனொ ரஜானுக் ரஜொ,samraaT menetteno rajaanuk rajo,பேரரசர் என்பவர் அரசர்களின் அரசர்,The emperor is the king of kings
முகுட்,mukuT,கிரீடம்,"Crown, Crest",ரஜொ தொ3ஸ்காம் முகுட் க4ல்லி ர்ஹாயி,rajo doskaam mukuT ghalli rhaayi,அரசர் தலையில் கிரீடம் அணிந்திருப்பார்,The king wears a crown on his head
கிரிடொ,kiriTo,கிரீடம்,"Crown, Crest",ரஜா கிரிடாக் ரெத்தனு தெ3ய்டா3ம் ஸிங்க3ர் ர்ஹானு,rajaa kiriTaak rettanu deyDaam singgar rhaanu,அரசரின் கிரீடம் ரத்தினக் கற்களால் அலங்கரிக்கப்பட்டிருக்கும்,The king's crown is adorned with gemstones
ரஜா பளொ,rajaa paLo,அரசபடை,King's Troop,முந்த3டி3 கலமு ரஜொ அபுல் பளொ ஸெரொ அவி து3ஸுர தே3ஶுனுக் ஜெவுஞ்சயி,mundaDi kalamu rajo apul paLo sero avi dusura dEssunuk jevunjcayi,பழங்காலத்தில் அரசன் தன் படைகளுடன் வந்து மற்ற நாடுகளை வெல்வான்,In ancient times the king would come with his troops and conquer other nations
அமாத்யொ,amaatyo,அமைச்சர்,Minister,ரஜாக் ஹிதௌ ஸங்க3த்தே அமாத்யாக் கர்தவ்யொ,rajaak hitau sanggattE amaatyaak kartavyo,அரசனுக்கு அறிவுரை கூறுவது அமைச்சர்களின் கடமை,It is the duty of the ministers to advise the king
"ரௌள், ரவுள்","rauL, ravuL",அரண்மனை,"Palace, Castle",ரஜான் ரௌளும் ஜிவ்யாஸ்,rajaan rauLum jivyaas,அரசர்கள் அரண்மனைகளில் வாழ்ந்தனர்,Kings lived in palaces
து3ருகு3,durugu,கோட்டை,"Fort, Fortress",ஶத்ருனுன்ஜொவள் ர்ஹீ அபுலானுக் கப3ட்3லத்தக் ரஜொ து3ருகு3 ப4ந்த்3யெஸி,ssatrununjovaL rhee apulaanuk kabaDlattak rajo durugu bhandyesi,எதிரிகளிடமிருந்து தன்னைக் காத்துக் கொள்ள அரசன் கோட்டைகளைக் கட்டினான்,The king built forts to protect himself from enemies
மஹாப்ரதாப்,mahaaprataap,கம்பீரமான,Majestic,கொ4டொ3 ஒண்டெ மஹாப்ரதாப் ஹொயெ மூகு3,ghoDo oNTe mahaaprataap hoye moogu,குதிரை ஒரு கம்பீரமான விலங்கு,The horse is a majestic animal
கோஸு,kOsu,பொக்கிஷம்,Treasure trove,ரஜான் அபுல் ரவுளும் கோஸுன் தொ2வ்லி ஹொத்3யாஸி,rajaan apul ravuLum kOsun thovli hodyaasi,அரசர்கள் தங்கள் அரண்மனைகளுக்குள் பொக்கிஷங்களை வைத்திருந்தனர்,The kings kept treasures inside their palaces
கே2யி,khEyi,அகில்,Agarwood,கே2யி தேலு வஸுனொ ஸிர்க்கணு வஸுனொ ஸொகன் ர்ஹாயி,khEyi tElu vasuno sirkkaNu vasuno sokan rhaayi,அகில் எண்ணெய் வாசனை சந்தன வாசனை போலிருக்கும்,Agarwood oil smells like sandalwood
சாத்,caat,"சக்கர இருசு, அச்சு","Axle, Axis",ரெத்து சாத் தேகு ஜா2டு3ம் ர்ஹீ கெரஸுன்,rettu caat tEku jhaaDum rhee kerasun,தேரின் அச்சு தேக்கு மரத்தால் செய்யப்படுகிறது,The axle of the chariot is made of teak wood
த4னு,dhanu,"வில், தனு",Bow,ஜனக ரஜொ தொ2வ்லி ஹொதெ3யொ ஸிவ த4னு,janaka rajo thovli hodeyo siva dhanu,ஜனக மன்னன் வைத்திருந்தது சிவ தனு,The Janaka king had Shiva Bow
த4னுஷ்,dhanush,"வில், தனு",Bow,அர்ஜுன் தொ2வ்லி ஹொதெ3 த4னுஷு நாவ் கா3ன்டி3வொ,arjun thovli hode dhanushu naav gaanDivo,அர்ஜுனன் வைத்திருந்த வில்லின் பெயர் காண்டீபம்,The name of the bow possessed by Arjuna was Gandiva
பா3ண்,baaN,அம்பு,Arrow,ஸ்ரீ ராமுடு3 பா3ண் ஸொட3த்தெமாம் ஶ்ரேஷ்டு2 ஹொயாத்தெனு,sree raamuDu baaN soDattemaam ssrEshThu hoyaattenu,ஸ்ரீ ராமர் அம்பு எய்வதில் சிறந்தவர்,Shri Ram is good at shooting arrows
ப3ணொ,baNo,அம்பு,Arrow,ப3ணொ ஸொட3த்தெ ஒலிம்பிக்கும் ஒண்டெ கா2ளு,baNo soDatte olimpikkum oNTe khaaLu,வில்வித்தை ஒலிம்பிக் விளையாட்டுகளில் ஒன்றாகும்,Archery is one of the Olympic Games
பீல்,peel,அம்பு,Arrow,பீலு தா3ண் லய்டொ3 ஹால்கின் கொனொ ல்ஹொகணு ஹால்கின் ஹொயெயொ,peelu daaN layDo haalkin kono lhokaNu haalkin hoyeyo,"அம்பின் தண்டு மரத்தாலும், முனை இரும்பாலும் ஆனது",The shaft of the arrow is made of wood and the tip is of iron
பே4ரி,bhEri,யுத்த பேரிகை,War drum,யுத்3து3 வேள் நுத்3து3னு மொன்னு தெ4ய்ர்யம் தே3த்தக் பே4ரி உபயோ3க்3 கெர்யாஸி,yuddu vEL nuddunu monnu dheyryam dEttak bhEri upayOg keryaasi,சண்டையின் போது வீரர்களின் மன உறுதியை உயர்த்த யுத்த பேரிகை பயன்படுத்தப்பட்டன,War-drums were also used to raise morale of the soldiers during the fight
நுத்3து3,nuddu,போர்வீரன்,"Soldier, Warrior",நுத்3து3ன் அபுல் தே3ஶுக்குர்சி மொரத்தக் மெல்லொ ஐதொகன் ஸே,nuddun apul dEssukkurci morattak mello aitokan sE,ராணுவ வீரர்கள் தங்கள் நாட்டுக்காக இறக்கவும் தயாராக உள்ளனர்,Soldiers are ready to die for their country
பளொ,paLo,"சேனை, படை","Army, Troop, Military, Force",பளாக் ஸனித3னி கெரத்தக் வேன் ஹன்னவ் வேஸ் ஹோஸு,paLaak sanidani kerattak vEn hannav vEs hOsu,ராணுவத்தை பராமரிக்க ஏராளமான பணம் செலவாகும்,It costs a lot of money to maintain the army
