alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பூ4,bhoo,"பூமி, நிலம்","Earth, Land",,,,
பூ4ஞ்,bhoonj,"பூமி, நிலம்","Earth, Land",,,,
பு4ஞி,bhunji,"பூமி, நிலம்","Earth, Land",,,,
பூ4ய்ஞ்,bhooynj,"பூமி, நிலம்","Earth, Land",,,,
பூ4த்,bhoot,"பூமி, நிலம்","Earth, Land",,,,
ப்ரித்2வி,prithvi,"பூமி, நிலம்","Earth, Land",,,,
பனி,pani,"தண்ணீர், நீர்",Water,,,,
ஆபு,aapu,"தண்ணீர், நீர்",Water,,,,
த்3ரவொ,dravo,திரவம்,"Fluid, Liquid, Orgasm",,,,
அகாஶ்,akaass,ஆகாயம்,Sky,,,,
ஹபா3ல்,habaal,வானம்,Sky,,,,
க்ஷிதிஜ,kshitija,தொடுவானம்,Horizon,,,,
ஹதா3ள்,hadaaL,பெரும் சப்தம்,Boom,,,,
ஹுலொ,hulo,"தீ, நெருப்பு",Fire,,,,
ஜாள்,jaaL,"தீ, நெருப்பு",Fire,,,,
வாயு,vaayu,வாயு,Gas,,,,
வரபோக்கன்,varapOkkan,காற்றோட்டமாக,Airy,,,,
ப்ராணவாயு,praaNavaayu,உயிர்க்காற்று,Oxygen,,,,
ஹீபு,heepu,தரை,Ground,,,,
பொ3யல்,boyal,"தரிசு நிலம், மைதானம்","Barren Land, Ground",,,,
கொ3ட்3டு3 பூ4ய்ஞ்,goDDu bhooynj,தரிசு நிலம்,Barren Land,,,,
வந்த்4யொ பூ4ய்ஞ்,vandhyo bhooynj,தரிசு நிலம்,Barren Land,,,,
உத்தொ,utto,மேடு,Mound,,,,
ஆளி,aaLi,பள்ளம்,Pit,,,,
க3ட்3ஸு,gaDsu,கரடுமுரடான,"Rough, Uneven",,,,
ராண்,raaN,காடு,Forest,,,,
வளு ராண்,vaLu raaN,பாலைவனம்,Desert,,,,
காந்தாரு,kaantaaru,பாலைவனம்,Desert,,,,
த்4ருவ்,dhruv,துருவம்,Pole,,,,
த்4ருவொ,dhruvo,துருவ,Polar,,,,
தெ3க்ஷணு த்4ருவ்,dekshaNu dhruv,தென் துருவம்,South Pole,,,,
உத்தரு த்4ருவ்,uttaru dhruv,வட துருவம்,North Pole,,,,
மரின்,marin,கானல் நீர்,Mirage,,,,
ஸாக3ர்,saagar,சமுத்திரம்,Ocean,,,,
ஸுந்து3ர்,sundur,கடல்,Sea,,,,
ஸொந்து3ர்,sondur,கடல்,Sea,,,,
லாட்,laaT,அலை,Wave,,,,
ஸுந்து3ரு கெட்டொ,sunduru keTTo,கடற்கரை,Beach,,,,
ஸொந்து3ரு ஸொவடு,sonduru sovaTu,கடலோரப் பகுதி,Coastal area,,,,
நெத்3தி3,neddi,ஆறு,River,,,,
கௌ2ரி,khauri,குளம்,Pond,,,,
ஸொரொ,soro,குளம்,Pond,,,,
ஹிரொ,hiro,குளம்,Pond,,,,
தடொ,taTo,"தடாகம், குளம்","Reservoir, Pond, Pool, Tank, Puddle",,,,
தொப்பல்,toppal,தெப்பக்குளம்,"Tank, Pond",,,,
தளொ,taLo,ஏரி,Lake,,,,
ஹடொ3,haDo,ஆற்றிடைப்பள்ளம்,Deep pool in river,,,,
நின்னொ,ninno,ஆழம்,Deep,,,,
நிம்னொ,nimno,ஆழம்,Depth,,,,
லோத்,lOt,ஆழம்,Deep,,,,
கெட்டொ,keTTo,கரை,"Bank, Shoreline",,,,
நெத்3தி3 கெட்டொ,neddi keTTo,ஆற்றங்கரை,River Bank,,,,
தீர்,teer,ஆற்றங்கரை,River Bank,,,,
தளாதீர்,taLaateer,ஏரிக்கரை,Lake Bank,,,,
வெவ்லொ,vevlo,வெள்ளம்,Flood,,,,
ஸ்ரோவ்,srOv,வெள்ளம்,Flood,,,,
ஜா2ர்,jhaar,வெள்ளம்,Flood,,,,
அவ்ரி,avri,"நீர்ச்சுழல், நீர்ச்சுழி","Vortex, Whirlpool",,,,
செல்மொ,celmo,நீரூற்று,Spring,,,,
கஸு,kasu,ஊற்று,"Fountain, Springs",,,,
ஊடொ,uuTo,ஊற்று,Spring,,,,
உரய்,uray,சுரக்கும்,Ooze,,,,
புல்னொ,pulno,பாலம்,Bridge,,,,
லாங்கு3,laanggu,பாலம்,Bridge,,,,
ஸேது,sEtu,பாலம்,Bridge,,,,
தொ3ங்க3ர்,donggar,மலை,"Hill, Mountain",,,,
ஷைலம்,shailam,மலை,"Hill, Mountain",,,,
சித்ரகோர்ட்,citrakOrT,மலை,"Hill, Mountain",,,,
கி3ரி,giri,மலை,"Hill, Mountain",,,,
பொஸ்து,postu,உச்சி,"Top, Vertex, Summit",,,,
ஶிங்கு3,ssinggu,முகடு,Cliff,,,,
தொ3ங்க3ரு ஶிங்கு3,donggaru ssinggu,மலை முகடு,Cliff or Summit of a hill,,,,
கோ4ரு தொ3ங்க3ர்,ghOru donggar,செங்குத்தான மலை,Steep Hill,,,,
ஜரி,jari,"அருவி, நீர்வீழ்ச்சி","Waterfall, Falls",,,,
ப்ராந்து,praantu,"பிராந்தியம், பகுதி",Region,,,,
உஷ்ணொ ப்ராந்து,ushNo praantu,வெப்பமண்டல பகுதி,Tropical Region,,,,
ஒல்லொ ப்ராந்து,ollo praantu,ஈரமான பகுதி,Wet Region,,,,
ஸுக்கெ ப்ராந்து,sukke praantu,உலர்ந்த பகுதி,Dry Region,,,,
ஜக3த்,jagat,உலகம்,World,,,,
லோகு,lOku,உலகம்,World,,,,
பு4லோக்,bhulOk,உலகம்,World,,,,
பூ4லோக்,bhoolOk,உலகம்,World,,,,
அக்ஷரேக்,aksharEk,அட்சரேகை,Lattitude,,,,
தீ4ர்க்3க3ரேக்,dheerggarEk,தீர்க்கரேகை,Longitude,,,,
