alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
உஜ்ஜினி,ujjini,பிறப்பு,Birth,உஜ்ஜினிம் அஸ்கி ந்ஹுருன் ஒண்டேஸி,ujjinim aski nhurun oNTEsi,"பிறப்பால் எல்லாக் குழந்தைகளும் ஒன்றுதான், ஆனால் வளர்ப்பால் வேறு","All children are the same by birth, but different by nurture"
உஜ்வாவு,ujvaavu,பிறப்பு,Birth,பொள்டமு செச்சத்தக் உஜ்வாவு ப்ரமாண்பத்ரொ அவஸ்யமு,poLTamu ceccattak ujvaavu pramaaNpatro avasyamu,பள்ளி சேர்க்கைக்கு பிறப்புச் சான்றிதழ் அவசியம்,Birth certificate is required for school admission
ந்ஹுரு,nhuru,குழந்தை,"Baby, Child, Kid",ஒண்டொண்டொ கொ4ம்மானும் 6 ர்ஹீ 9 ந்ஹுருன் ஹொதெ3கலம் ஜேடி3யொ,oNToNTo ghommaanum 6 rhee 9 nhurun hodekalam jEDiyo,ஒவ்வொரு குடும்பத்திலும் 6 முதல் 9 குழந்தைகள் இருந்த காலம் போய்விட்டது,Gone are the days when every family had 6 to 9 children
பா3ளு,baaLu,குழந்தை,"Baby, Child, Kid",பா3ளுன் ஜித்ரவுக் அர்து2ஸேத்திஸொ மர்ச்சஸுன்,baaLun jitravuk arthusEttiso marccasun,குழந்தைகள் வாழ்க்கையை அர்த்தமுள்ளதாக மாற்றுகிறார்கள்,Children make life meaningful
ந்ஹுருபா3ள்,nhurubaaL,குழந்தைகுட்டி,"Baby, Child, Kid, Kith and Kin",ந்ஹுருபா3ள்னு ஸேத்தெ கே4ர் பொ4ரெஸொகன் ர்ஹாய்,nhurubaaLnu sEtte ghEr bhoresokan rhaay,"குழந்தைகள் இருக்கும் வீடு, நிறைந்தது போல் இருக்கும்",A house with children will seem full
பில்லொ,pillo,குழந்தை,"Baby, Child, Kid",பில்லல்னுக் ஹொவ்ட3த்தெ வேன் கெஷ்டமு,pillalnuk hovDatte vEn keshTamu,குழந்தைகளை வளர்ப்பது மிகவும் கடினம்,Raising children is very difficult
ஹாதும் பில்லொ,haatum pillo,கைக்குழந்தை,Infant,ஹாதும் பில்லொ ஹோங்கு3க் ரொட்3லேத் ஹொதெ3ஸ்,haatum pillo hOngguk roDlEt hodes,கைக்குழந்தை தூக்கத்திற்காக அழுது கொண்டிருந்தது,The infant was crying for a sleep
மாய்,maay,பெண் குழந்தை,Girl Baby,தெங்கொ3 6 ம்ஹடா3 மாய் ஸேத்தெ,tenggo 6 mhaDaa maay sEtte,அவருக்கு 6 மாத பெண் குழந்தை உள்ளது,She has 6 month old baby girl
ப3வு,bavu,ஆண் குழந்தை,Boy Baby,தெங்கொ3 தீ3 ப3வுன் ஸேத்தெ,tenggo dee bavun sEtte,அவருக்கு இரண்டு ஆண் குழந்தைகள் உள்ளனர்,He has two boy babies
கொ4ணங்கொ4ணாய்,ghoNangghoNaay,குழந்தை தவழுதல்,Baby crawling,"நொவத்து ம்ஹடா3ம், பில்லல்னு கொ4ணங்கொ4ணாய் க2ளஸுனு","novattu mhaDaam, pillalnu ghoNangghoNaay khaLasunu",ஒன்பதாவது மாதத்தில் குழந்தைகள் தவழும்,Babies crawl in the ninth month
பா3லொ,baalo,குழந்தை,"Baby, Child, Kid",தெனொ அபுல் பா3லாக் ஒண்டெ பிள்டி க2டி3ஸ்,teno apul baalaak oNTe piLTi khaDis,அவள் தன் குழந்தைக்கு ஒரு பொம்மை வாங்கினாள்,She bought a toy for her child
பா3ல்யம்,baalyam,குழந்தைப் பருவம்,Childhood,எல்லெ பா3ல்யமுக் ஹவ்ட3ன் கெரரஸ்,elle baalyamuk havDan keraras,இது குழந்தைப் பருவத்தை நினைவூட்டுகிறது,It reminds me of childhood
பா3ல்யகால்,baalyakaal,குழந்தைப் பருவம்,Childhood,அவ்ரெ பா3ல்யகால் ஐங்கே4ருமுஸ் ஜியெஸ்,avre baalyakaal aingghErumus jiyes,எங்கள் குழந்தைப் பருவம் பாட்டி வீட்டிலேயே கழிந்தது,Our childhood was spent at grandmother's house
பெ3ட்3கொ,beDko,சிறுவன்,Boy,எல்லெ பெ3ட்3கொ கோன் மெனி களாரஸ்யா?,elle beDko kOn meni kaLaarasyaa?,இந்த சிறுவன் யார் என தெரிகிறதா?,Guess who this boy is?
பெ3ட்3கி,beDki,சிறுமி,Girl,எல்லெ பெ3ட்3கின் க4ல்லத்தெ செவ்னி,elle beDkin ghallatte cevni,இது சிறுமிகள் அணியும் செருப்பு,It is a sandal worn by girls
ந்ஹன்னப்பன்,nhannappan,சிறுவயது,"Young age, As a kid",ந்ஹன்னப்பனும் அமி க2ள்னாத்த கா2ளுன் ந்ஹீ,nhannappanum ami khaLnaatta khaaLun nhee,சிறுவயதில் நாங்கள் விளையாடாத விளையாட்டுகள் இல்லை,There are no games we didn't play as kids
ஜாணு,jaaNu,இளமை,Youth,ஜாணும் சொக்கட் தொ3டு3ஞ்ஜாயி,jaaNum cokkaT doDunjjaayi,இளமையில் நன்றாக சம்பாதிக்கலாம்,You can earn well in your youth
ஜாணொ,jaaNo,இளமை,Youth,ஜாணாக் வித்தாக் கெரஹோனா,jaaNaak vittaak kerahOnaa,இளமையை வீணடிக்கக் கூடாது,Should not waste your youth
"யௌவனொ, யௌவனம்","yauvano, yauvanam","இளமை, இளமைப் பருவம்",Youth,யௌவனாக் ஹவ்டி3 கெ3ருவ் பொட3 ஹோனா,yauvanaak havDi geruv poDa hOnaa,இளமையை நினைத்து கர்வப்படக்கூடாது,Do not be arrogant of your youth
ஜவ்ணொ,javNo,"சிறியவர், இளமை",Young,தெனு வேன் ஜவ்ணொகன் தெ3க்காராஸ்,tenu vEn javNokan dekkaaraas,அவர் மிகவும் இளமையாகத் தெரிகிறார்,He looks very young
