alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஒடு3வம்,oDuvam,பூணூல் கல்யாணம்,Sacred thread wearing function,"ஒடு3வம் 5, 7, 9 ந்ஹீஜியெத் 11 ஒர்ஸும் கெரஸுன்","oDuvam 5, 7, 9 nheejiyet 11 orsum kerasun","உபநயனம் 5, 7, 9 அல்லது 11 வயதில் செய்யப்படுகிறது","Upanayanam is done at the age of 5, 7, 9 or 11 years"
ஜெஞ்ஜெம்,jenjjem,பூணூல்,Sacred thread,"ப4வள்னு, க்ஷத்ரியர்னு அங்கு3 வைஸ்யர்னு ஜெஞ்ஜெம் க4ல்லஸுன்","bhavaLnu, kshatriyarnu anggu vaisyarnu jenjjem ghallasun","பிராமணர்கள், க்ஷத்திரியர்கள் மற்றும் வைசியர்கள் பூணூல் அணிவார்கள்","Jenjam is worn by Brahmins, Kshatriyas and Vaisya"
ஸௌணால்,sauNaal,ஆவணி அவிட்டம்,Sacred thread Renewal Day,ஸௌணால் தி3 ஜெஞ்ஜெம் மர்ச்சிலி வேது3ன் அப்4யாஸ் கெர்னொ,sauNaal di jenjjem marccili vEdun abhyaas kerno,ஆவணி அவிட்டம் அன்று பூணூல் புதுப்பித்து வேதம் பயில வேண்டும்,"On Avani Avittam, Jenjem should be renewed and Veda should be practiced"
ப்ராமொபெ3ட்3கி,praamobeDki,காதலி,"Girlfriend, Lovergirl, Lover girl",தெனொ தொரெ ப்ராமொபெ3ட்கியா?,teno tore praamobeTkiyaa?,அவள் உன் காதலியா?,Is she your girlfriend?
ப்ராமொபெ3ட்3கொ,praamobeDko,காதலன்,"Boyfriend, Loverboy, Lover boy",தெனொ அபுல் ப்ராமொபெ3ட்3காக் ஹொராட்3 கெர்லிஸ்,teno apul praamobeDkaak horaaD kerlis,அவள் தன் காதலனை மணந்தாள்,She married her lover boy
ப்ரேமி,prEmi,"காதலன், காதலி","Lover, Darling, Loverboy, Lovergirl",தெனொ மொரெ ப்ரேமி,teno more prEmi,அவள் என் காதலி,She is my lover
"ஜர்கெம் பான், பான்","jarkem paan, paan",ஜாதகம்,"Horoscope, Birth Chart",தெ2வ்டெ3தெனு ஜர்கெம் பான் ஸானாத்தக் ஹொராட்3 கெர்லஸுன்,thevDetenu jarkem paan saanaattak horaaD kerlasun,சிலர் ஜாதகம் பார்க்காமல் திருமணம் செய்து கொள்கின்றனர்,Some people get married without looking at horoscopes
"செர்ச்சி ஸா, செர்ச்சி ஸவொ","cercci saa, cercci savo",பொருத்து,Match,பெ3ட்கா பெ3ட்கி பான் செர்ச்சி ஸா,beTkaa beTki paan cercci saa,பையன் மற்றும் பெண்ணின் ஜாதகங்களைப் பொருத்தவும்,Match horoscopes of boy and girl
செர்னி,cerni,பொருத்தம்,"Match, Compatible",பான் செர்ர்ஹியெத் ஹொராட்3 கெர்லுவாய்,paan cerrhiyet horaaD kerluvaay,ஜாதகம் பொருத்தமாக இருந்தால் திருமணம் செய்து கொள்ளலாம்,"If the horoscopes are compatible, they can marry"
செர்னி ந்ஹினா,cerni nhinaa,பொருத்தமின்மை,"Mismatch, Incompatible",எல்லெ தீ3 பானுன் செர்னி ந்ஹீனாத்தெயொ,elle dee paanun cerni nheenaatteyo,இந்த இரண்டு ஜாதகங்களும் பொருத்தமற்றவை,Both these horoscopes are incompatible
செரய்,ceray,பொருந்தும்,"Will match, Compatible, Applicable",எல்லெ தீ3 பானுன் செரய்,elle dee paanun ceray,இந்த இரண்டு ஜாதகங்களும் பொருந்தும்,Both these horoscopes are compatible
செர்னா,cernaa,"பொருந்தாது, பொருத்தமின்மை","Will not match, Mismatch, Incompatible, Not applicable",எல்லெ தீ3 பானுன் செர்னா,elle dee paanun cernaa,"இந்த இரண்டு ஜாதகங்களும் பொருந்தாது,",These two horoscopes are incompatible
செரத்திஸா,cerattisaa,பொருந்தக்கூடிய,"Compatible, Applicable, Apt",எல்லெ செரத்திஸா பானுன்,elle cerattisaa paanun,இவை பொருந்தக்கூடிய ஜாதகங்கள்,These are compatible horoscopes
செர்னாத்திஸா,cernaattisaa,பொருந்தாத,"Incompatible, Not applicable",எல்லெ செர்னாத்திஸா பானுன்,elle cernaattisaa paanun,இவை பொருந்தாத ஜாதகங்கள்,These are incompatible horoscopes
நிகு3,nigu,முடிவு,"Finalize, Confirm",கொனக்கி தெல்லெ பெ3ட்காக் பெ3ட்கி நிகு3 கெர்த்தியா,konakki telle beTkaak beTki nigu kerttiyaa,எப்படியோ அந்த பையனுக்கு பெண்ணை முடிவு செய்துவிட்டார்கள்,Somehow they finalised the girl for the boy
கெ4ட்டிவிடொ3,gheTTiviDo,நிச்சயதார்த்தம்,"Betrothal, Engagement",கெ4ட்டிவிடொ3 ப2ராது ஹொராடு3க் உன்னொபொட3யொ 6 ம்ஹடொ3 ஹோயி,gheTTiviDo pharaatu horaaDuk unnopoDayo 6 mhaDo hOyi,நிச்சயதார்த்தத்திற்குப் பிறகு திருமணத்திற்கு குறைந்தது 6 மாதங்கள் ஆகும்,Marriage takes at least 6 months after engagement
கெ4ட்டிகெரெ நொவ்ரொ,gheTTikere novro,வருங்கால கணவன்,"Fiance, Fiancé",தெனு மொரெ கெ4ட்டிகெரெ நொவ்ரொ,tenu more gheTTikere novro,அவர் என் வருங்கால கணவர்,He is my fiance
கெ4ட்டிகெரெ நொவ்ரி,gheTTikere novri,வருங்கால மனைவி,"Fiancee, Fiancée",தெனு அபுல் கெ4ட்டிகெரெ நொவ்ரிக் ஒண்டெ முத்3தி3க் ஜேம் தி3யாஸி,tenu apul gheTTikere novrik oNTe muddik jEm diyaasi,அவர் தனது வருங்கால மனைவிக்கு ஒரு மோதிரத்தை பரிசளித்தார்,He gifted his fiance a ring
தெ3வ்லய்,devlay,"திருமண சம்பந்தம், திருமண உறவு",Matrimonial relationship,அமி தெங்கொ3 ஸெரொ தெ3வ்லய் கெர்ல்ரியொ,ami tenggo sero devlay kerlriyo,நாங்கள் அவர்களுடன் திருமண சம்பந்தம் செய்துள்ளோம்,We have matrimonial relations with them
தே3ஸ்ஹன்னவ்,dEshannav,ஒப்பு தாம்புலம்,Token Betrothal,பெ3ட்க கெரான் தே3ஸ்ஹன்னவ்கன் ரூ 51 தி3யாஸி,beTka keraan dEshannavkan roo 51 diyaasi,பையன் தரப்பில் ஒப்பு தாம்புலமாக ரூ.51 கொடுத்தார்கள்,They gave Rs 51 as Token Betrothel from the boy side
தெ3வுகாஸ்,devukaas,திருமணத்திற்கு முன்தினம்,"Day before marriage, Eve of marriage",தெ3வுகாஸ் தெந்து3ஸ் அபுல் கொ4ம்மா தே3வ்தானுக் பாய்ஞ்பொட3ஸுன்,devukaas tendus apul ghommaa dEvtaanuk paaynjpoDasun,திருமணத்திற்கு முந்தைய நாள் தங்கள் வீட்டு தேவதைகளை வழிபடுகிறார்கள்,They worship their household deities on the eve of marriage
பெரண்ட3ம்,peraNDam,சுமங்கலி பூஜை,Sumangali Puja,பெரண்ட3மு பாஞ்ஜு ஸுமங்க3லினுக் புஜொ கெரனு,peraNDamu paanjju sumanggalinuk pujo keranu,சுமங்கலி பிரார்த்தனையில் ஐந்து சுமங்கலிகளுக்கு பூஜை செய்வார்கள்,In Sumangali prayer five Sumangalis are worshiped
பௌ4லாஸ்,bhaulaas,பரம்பரை பற்றி சொல்லுதல்,Lineage briefing,ஸௌராஷ்டிரர்னு ஹொராடு3ம் பௌ4லாஸ் ஸங்க3னு,sauraashTirarnu horaaDum bhaulaas sangganu,சௌராஷ்டிரர்கள் திருமணத்தில் பரம்பரை பற்றி சொல்வார்கள்,Saurashtras tell about lineage in marriage
மஹால்,mahaal,மண்டபம்,"Hall, Auditorium",ஹொராடு3க் மஹால் வெக்கத்தெ ம்ஹொட்டொ காம்கன் ஸே,horaaDuk mahaal vekkatte mhoTTo kaamkan sE,கல்யாணத்திற்கு மண்டபம் தேடுவது பெரிய வேலையாக இருக்கிறது,Finding a wedding hall is a big task
மொண்ட3வ்,moNDav,மண்டபம்,"Hall, Auditorium",ஹொராடு3 மொண்ட3வும் பாய்ஞ் தொ2வத்த முஸுனாத்த தூ3ருக் மூகொ3,horaaDu moNDavum paaynj thovatta musunaatta dooruk moogo,திருமண மண்டபத்தில் கால் வைக்க முடியாத அளவுக்கு கூட்டம்,The wedding hall was so crowded that it was impossible to set foot
ஹொராடு3 மொண்ட3வ்,horaaDu moNDav,திருமண மண்டபம்,"Wedding hall, Marriage hall",எல்லெ ஹொராடு3 மொண்ட3வும் 500 தெனுன் பி3ஸத்தக் முஸை,elle horaaDu moNDavum 500 tenun bisattak musai,இந்த திருமண மண்டபத்தில் 500 பேர் அமர முடியும்,This wedding hall can seat 500 people
மௌடொ3,mauDo,பந்தல்,Coconut leaf awning,மௌடொ3க் பொ3து3லு ஷாமியானா அவ்டி3யொ,mauDok bodulu shaamiyaanaa avDiyo,பந்தலுக்கு பதிலாக ஷாமியானா வந்துவிட்டது,Shamiyana has replaced coconut leaf awning
தொரண்,toraN,தோரணம்,Leaf Hanging,மௌடா3ம் தொரண் லொம்ப3 ஸொட3ஸுன்,mauDaam toraN lomba soDasun,பந்தலில் தோரணத்தை தொங்கவிடுகிறார்கள்,They hang the Leaf Hanging on the awning
கா2ம்பு3,khaambu,"தூண், கம்பம்","Pillar, Post",மௌடா3க் பொ3ங்கு3 கா2ம்பு3 ப்ரயோக்3 கெரஸுன்,mauDaak bonggu khaambu prayOg kerasun,பந்தலுக்கு மூங்கில் கம்புகளை பயன்படுத்துகிறார்கள்,They use Bamboo pillars for awnings
பத்திரிக்கெ,pattirikke,அழைப்பிதழ்,Invitation,மாய்பா3புன் அபுல் ஒஸ்துனுக் பத்திரிக்கெ தொ2வி பொ3வஸுன்,maaybaapun apul ostunuk pattirikke thovi bovasun,பெற்றோர்கள் தங்கள் உறவினர்களை அழைப்பிதழுடன் அழைக்கிறார்கள்,Parents invite their relatives with invitation
நொவ்ரொ,novro,மணமகன்,"Groom, Bridegroom",நொவ்ரொ நொவ்ரி கெ3லாம் பொ3ட்டு ப4ந்த3ராஸ்,novro novri gelaam boTTu bhandaraas,மணமகன் மணமகளின் கழுத்தில் தாலி கட்டுகிறார்,Groom ties the holy thread around the bride's neck
நொவ்ரி,novri,மணமகள்,Bride,நொவ்ரி கொ3ண்ட்யாவ்ஹால் ஹாத் ஸிங்க3ல்ரிஸ்,novri goNTyaavhaal haat singgalris,மணமகள் மருதாணியால் கையை அலங்கரித்துள்ளாள்,The bride has adorned her hand with henna
நஸ்தியான்,nastiyaan,மணமகனின் நண்பர்,Bridegroom's friend,நஸ்தியானுக் சொக்கட் கௌ3ஞ்சுலுவொ,nastiyaanuk cokkaT gaunjculuvo,மணமகனின் நண்பர்களை நன்றாக கவனித்துக் கொள்ளுங்கள்,Take good care of the groom's friends
அட்பி,aTpi,மணப்பெண் தோழி,Bride's Friend,அட்பின் நொவ்ரிக் ஸிங்க3ர்லேத் ஹொத்3யாஸ்,aTpin novrik singgarlEt hodyaas,மணமகளின் தோழிகள் மணமகளை அலங்கரித்துக்கொண்டிருந்தனர்,The bride's friends were decorating the bride
தொ3ரிம்பொ3ட்டு,dorimboTTu,தாலிக்கயிறு,"Holy Thread, Mangal Sutra",தொ3ரிம்பொ3ட்டு ஹொராட்3 ஹொயாத்தெகா3 லெக்ஷன்,dorimboTTu horaaD hoyaattegaa lekshan,தாலி திருமணம் ஆனதற்கான அடையாளமாகும்,The sacred thread is a symbol of marriage
பாய்ஞ் மிஞ்ஜி,paaynj minjji,மெட்டி,Toe ring worn by married women,ஹொராட்3 ஹொயெ பெ3ய்லன் பாய்ஞிம் மிஞ்ஜி க4ல்லன்,horaaD hoye beylan paaynjim minjji ghallan,திருமணமான பெண்கள் காலில் மோதிரம் அணிவார்கள்,Married women wear rings on their feet
தொ4ண்டொ3,dhoNDo,மேளம்,Drums,ஸுப4 காமுனுக் தொ4ண்டொ3 தெட்டஸுன்,subha kaamunuk dhoNDo teTTasun,சுப காரியங்களுக்கு மேளம் அடிக்கப்படுகிறது,Drums are played for auspicious activities
நஸுரால்,nasuraal,"நாதஸ்வரம், நாகஸ்வரம்","Indian Wind Instrument, Nagaswaram, Nathaswaram",நஸுரால் பு2வத்தெ ஜு2க்குகன் த3ல்லானூஸ்,nasuraal phuvatte jhukkukan dallaanoos,நாதஸ்வரம் வாசிப்பது பெரும்பாலும் ஆண்கள்தான்,Nathswaram is mostly played by men
கி4ங்கம்,ghingkam,"கைத்தளம், ஜால்ரா",Cymbal,ப4ஜன் கெரத்தெனு கி4ங்கம் தெட்டஸுன்,bhajan kerattenu ghingkam teTTasun,பஜனை செய்பவர்கள் ஜால்ரா இசைக்கின்றனர்,Those who perform bhajans play Cymbols
ஹொராட்3,horaaD,திருமணம்,"Marriage, Wedding",ஹொராட்3 மெனரியொ 1000 ஒர்ஸு பீகு,horaaD menariyo 1000 orsu peeku,திருமணம் என்பது 1000 வருட பயிர்,Marriage is a 1000 year crop
லெய்ன்,leyn,திருமணம்,"Marriage, Wedding",லெய்னு ஸௌளொ ஒண்டெ லெக்கு ருவாயிக் மெல்லொ அப்3ப3யி,leynu sauLo oNTe lekku ruvaayik mello abbayi,திருமணப் புடவைகள் ஒரு லட்சம் ரூபாய்க்கு கூட கிடைக்கும்,Wedding sarees are available for lakh rupees too
லெகின்,lekin,திருமணம்,"Marriage, Wedding",லெகினு தெந்து3ஸ் அஸ்கி ஊகுனுக் மிளுவாயி,lekinu tendus aski uukunuk miLuvaayi,திருமணத்தன்று அனைத்து உறவினர்களையும் சந்திக்கலாம்,We can meet all the relatives on the day of marriage
ஆஶிர்வாத்3,aassirvaad,ஆசிர்வாதம்,Blessings,அஸ்கிதெனு ஹொராட்3ஹொயெ த3ம்பதினுக் ஆஶிர்வாத்3 கெரராஸி,askitenu horaaDhoye dampatinuk aassirvaad keraraasi,அனைவரும் திருமணமான தம்பதிகளை ஆசீர்வதிக்கிறார்கள்,All bless the married couple
ப3து3லொ,badulo,ஓம குண்டம்,Pit dug out in the ground for keeping sacrificial fire,ப3து3லாம் தூப் ஸொடி3 ஹோம் கெரஸுன்,badulaam toop soDi hOm kerasun,ஓம குண்டத்தில் நெய் ஊற்றி ஹோமம் நடத்தப்படுகிறது,Sacrifice is performed by pouring ghee in Oma Kund
வர்த்து,varttu,"நலங்கு, நலுங்கு",Marriage ritual game - Coconut rolling,வர்த்து நொவ்ரா நொவ்ரினு கொஞ்சுதொ ஜவட3ஸு,varttu novraa novrinu konjcuto javaDasu,நலங்கு மணமகன் மணமகளின் வெட்கத்தை போக்குகிறது,Nalangu relieves the shyness of the Groom and bride
ப4வனி,bhavani,ஊர்வலம்,Procession,உத்தர பா4ரது ஹொராடு3 ப4வனிம் நொவ்ரொ கொ4டொ3 ஹொல்லொ அவயி,uttara bhaaratu horaaDu bhavanim novro ghoDo hollo avayi,"வட இந்திய திருமண ஊர்வலத்தில், மாப்பிள்ளை குதிரையில் வருவார்","In North Indian wedding processions, the groom arrives on horseback"
சுட்டு,cuTTu,ஊர்வலம்,Procession,தே3வு சுட்டும் ஐஸ்துகின் முயி முது3ல்லொ அவயி,dEvu cuTTum aistukin muyi mudullo avayi,சாமி ஊர்வலத்தில் யானையும் ஒட்டகமும் முதலில் வரும்,Elephant and camel come first in Deity procession
ஒராத் சுட்டு,oraat cuTTu,புதிய திருமண ஜோடியின் ஓரிரவு ஊர்வலம்,New wed couple's one night procession,நொவ்வொ த3ம்பதின் ஒராத் சுட்டும் ஸொவ்ரானுக் மிளஸுன்,novvo dampatin oraat cuTTum sovraanuk miLasun,புதுமணத் தம்பதிகள் ஓரிரவு ஊர்வலத்தில் உறவினர்களைச் சந்திக்கிறார்கள்,"The newlyweds meet relatives on a ""One night procession"""
மியாரொ,miyaaro,"சீர்வரிசை, சீதனம், முறை","Presents to a married girl, Method",மியாரொ ந்ஹாத்தொ கொன்னி ஹொராட்3 சல்னா,miyaaro nhaatto konni horaaD calnaa,சீர்வரிசை இல்லாமல் எந்த திருமணமும் நடக்காது,"No marriage takes place without ""Marriage presents"""
