alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
வஸ்து,vastu,பொருள்,Material,ஜெல்மின் ஒண்டெ ஹவ்லொஹொயெ வஸ்து,jelmin oNTe havlohoye vastu,அலுமினியம் ஒரு இலகுவான பொருள்,Aluminum is a lighter material
வேன்மோலுயொ,vEnmOluyo,"விலைமதிப்பற்ற, விலையுயர்ந்த",Precious,ஹிரான் வேன்மோலுயொ,hiraan vEnmOluyo,வைரங்கள் விலைமதிப்பற்றவை,Diamonds are precious
லோவு,lOvu,உலோகம்,Metal,லோவுனுக் ஜு2கு ப்ரகார்கன் வடொ கெருவாயி,lOvunuk jhuku prakaarkan vaTo keruvaayi,உலோகங்களை பல வகைகளாகப் பிரிக்கலாம்,Metals can be divided into several types
தா4து,dhaatu,கனிமம்,Minerals,தா4துன் நொவ்வொகெரத்தக் முஸுனா ஸம்பத்துன்,dhaatun novvokerattak musunaa sampattun,கனிமங்கள் புதுப்பிக்க முடியாத வளங்கள்,Minerals are non renewable resources
ஸொர்ணு,sorNu,தங்கம்,Gold,ஸொர்ணு மோலு ஸதா3 ஹிங்கி3லேத் ர்ஹாயி,sorNu mOlu sadaa hinggilEt rhaayi,தங்கத்தின் விலை எப்போதும் உயர்ந்து கொண்டே இருக்கும்,The price of gold will always be rising
ஹிரண்ய,hiraNya,தங்கம்,Gold,ஹிரண்யாக் கொ2ப்3பி3ம் மோல் ர்ஹாயி,hiraNyaak khobbim mOl rhaayi,தங்கத்திற்கு எப்போதும் மதிப்பு உண்டு,The price of gold will always be rising
காஞ்சனொ,kaanjcano,தங்கம்,Gold,கெஸார் காஞ்சனாக் கெ3ஸிகின் மோல் தவஸுன்,kesaar kaanjcanaak gesikin mOl tavasun,பொற்கொல்லர் தங்கத்தை தேய்த்து மதிப்பிடுகிறார்,The goldsmith assays gold by rubbing
அப்புரஞ்ஜி,appuranjji,சுத்தத் தங்கம்,Pure gold,அப்புரஞ்ஜி வேன் ம்ருது3 ஹொயெயொ,appuranjji vEn mrudu hoyeyo,தூய தங்கம் மிகவும் மென்மையானது,Pure gold is very soft
ஹிரன்,hiran,சுத்தத் தங்கம்,Pure gold,ஹிரன் ஸெரொ தம்பெ3 செர்ச்சி ஸொம்முன் கெரனு,hiran sero tambe cercci sommun keranu,தூய தங்கம் செம்பு கலந்து நகைகள் செய்வார்கள்,Pure gold is mixed with copper to make jewelry
ருப்பொ,ruppo,வெள்ளி,Silver,லெச்சேக் ருப்பாம் கெரனு,leccEk ruppaam keranu,தாயத்தை வெள்ளியில் செய்வார்கள்,The talisman will be made of silver
கெஸ்துல்,kestul,ஈயம்,Lead,கெஸ்துல் லேஸும் சிலும் தெ4ர்னா,kestul lEsum cilum dhernaa,வெண்கலம் எளிதில் துருப்பிடிக்காது,Bronze does not rust easily
கஸ்தீல்,kasteel,வெண்கலம்,Bronze,கஸ்தீல் தம்பெ3கின் தெகரம் ஹால் ஹொயெயொ,kasteel tambekin tekaram haal hoyeyo,வெண்கலம் செம்பு மற்றும் தகரத்தால் ஆனது,The bronze is made of copper and tin
