alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
அக்ரொ,akro,குட்டை,Short,,,,
லம்பொ3,lambo,நீளம்,Long,,,,
அக்ரொ,akro,குறுகல்,Narrow,,,,
விலாஸ்,vilaas,அகலம்,Broad,,,,
அன்ட்கொ,anTko,"அடக்கம், மடக்கு","Compact, Wrap, Fold, Handy",,,,
தா4டொ,dhaaTo,"பரந்த, அகட்டிக்கொண்டு","Wide, Wide open",,,,
அடு3க்கு,aDukku,அடியில்,Underneath,,,,
ஹொல்லொ,hollo,மேலே,Above,,,,
அவை,avai,வரும்,Will come,,,,
ஔனா,aunaa,வராது,Will not come,,,,
ஆவ்,aav,வா,Come,,,,
ஜா2,jhaa,போ,Go,,,,
உஞ்சொ,unjco,மேலே,"Above, Up",,,,
க2ல்லொ,khallo,கீழே,"Below, Beneath",,,,
உஞ்ச்சொ,unjcco,உயரம்,"Tall, Height",,,,
துச்சொ2,tuccho,குள்ளம்,Short,,,,
உன்னொ,unno,குறைவாக,Less,,,,
வேன்,vEn,அதிகமாக,More,,,,
உஜ்ஜினி,ujjini,பிறப்பு,Birth,,,,
மொர்னி,morni,இறப்பு,Death,,,,
ஒண்டெவால்,oNTevaal,ஒரு தடவை,One Time,,,,
ஜு2கு3வால்,jhuguvaal,அனேக தடவை,Many Times,,,,
ஒல்லொ,ollo,ஈரமான,Wet,,,,
ஸுக்கெ,sukke,காய்ந்த,Dry,,,,
களாய்,kaLaay,தெரியும்,"Know, Aware",,,,
களானா,kaLaanaa,தெரியாது,"Do not know, Unaware",,,,
கா4ன்,ghaan,நாற்றம்,Stink,,,,
வஸுனொ,vasuno,வாசனை,"Smell, Fragrant, Fragrance, Aroma",,,,
கி3ட்டை,giTTai,கட்டுபடியாகும்,Affordable,,,,
கி3ட்டுனா,giTTunaa,கட்டுப்படியாகாது,Unaffordable,,,,
கெ3ட3பு3ட3,geDabuDa,கரடுமுரடு,"Rough, Uneven",,,,
ந்ஹினாவ்,nhinaav,வழுவழுப்பு,"Soft, Smooth",,,,
சிக்கய,cikkaya,மெலிந்த,Lean,,,,
தெ3ள்கொ,deLko,தடித்த,Stout,,,,
சுரும்,curum,விரைவில்,Soon,,,,
தமஸ்,tamas,தாமதம்,Late,,,,
செர்ச்சிலெ,cerccile,"உள்ளடக்கு, சேர்த்துக்கொள்",Include,,,,
தொ3ப்3பி3லெ,dobbile,விலக்கு,Exclude,,,,
செர்ச்சிகின்,cerccikin,"உட்பட, சேர்த்து",Including,,,,
தொ3ப்3பி3கின்,dobbikin,"தவிர்த்து, நீங்கலாக",Excluding,,,,
சொக்கட்,cokkaT,"நல்லது, நல்ல, நன்றாக","Well, Fine, Good",,,,
நஜ்ஜெ,najje,கெட்டது,Bad,,,,
சொட்3டொ3வத்தொ,coDDovatto,பொய்,Lie,,,,
ர்ஹத்தவத்தொ,rhattavatto,உண்மை,True,,,,
த2ள்கொ,thaLko,தடிப்பான,Thick,,,,
ந்ஹான்,nhaan,மெல்லிய,Thin,,,,
து3தூ3ர்,dudoor,தொலைவில்,Far,,,,
லொகு3த்தொ,logutto,அருகில்,"Near, Beside",,,,
தை3ரொ,dairo,இடது,Left,,,,
ஜைனொ,jaino,வலது,Right,,,,
ந்ஹா,nhaa,இல்லை,"No, Nope",,,,
ஹாய்,haay,ஆமாம்,Yes,,,,
"ந்ஹீத்தெ, ந்ஹாத்தெ","nheette, nhaatte",இல்லாதது,Not,,,,
ஸேத்தெ,sEtte,இருக்கிறது,Is,,,,
நேரொ,nEro,நேர்,Straight,,,,
வகு3ண்டொ3,vaguNDo,கோணல்,Skewness,,,,
நொக்கொ,nokko,வேண்டாம்,Don't want,,,,
பஜே,pajE,வேண்டும்,Want,,,,
நொவ்வொ,novvo,புதிய,"New, Novel, Fresh, Original",,,,
ஜுன்னொ,junno,பழைய,Old,,,,
பஸ்கட்,paskaT,பின்னால்,Back,,,,
ஸொம்மர்,sommar,முன்னால்,Front,,,,
பஸ்கல்லொ,paskallo,"பின்பக்கம், பின்புறம்",Backside,,,,
ஸொம்மல்லொ,sommallo,"முன்பக்கம், முன்புறம்",Frontside,,,,
பா4ர்,bhaar,கனம்,Weight,,,,
ஹவ்லொ,havlo,இலேசு,Light,,,,
பி2ஜ்ஜாய்,phijjaay,போதும்,Enough,,,,
பு2ன்னா,phunnaa,போதாது,Insufficient,,,,
பி3ஸ்ஸொ,bisso,வேகமாக,Fast,,,,
ஹள்ளு,haLLu,மெதுவாக,Slow,,,,
பி4த்தர்,bhittar,உள்ளே,In,,,,
ப4ராட்,bharaaT,வெளியே,"Out, Outside",,,,
பி4த்தரு,bhittaru,"உட்புற, உள்நாட்டுக்குரிய",Internal,,,,
ப4ராடு,bharaaTu,வெளிப்புற,External,,,,
பெ4ள்பீ4டு,bheLbheeTu,"செல்வச் செழிப்பு, மிகுந்த செல்வம்","Affluent, Extreme wealth",ஜு2க்கு ரஜான் பெ4ள்பீ4டு ஸெரொ ஜிவ்யாஸி,jhukku rajaan bheLbheeTu sero jivyaasi,பெரும்பாலான மன்னர்கள் செல்வச் செழிப்புடன் வாழ்ந்தனர்,Most of the kings lived in affluence
தா3ரித்3ரம்,daaridram,"வறுமை, ஏழ்மை",Poverty,,,,
பொல்லம்,pollam,பள்ளம்,Pit,,,,
மிட்டொ,miTTo,மேடு,Mound,,,,
ம்ஹக்3கொ3,mhaggo,அதிக விலை,"Costly, Expensive",,,,
ஸொங்கொ3,songgo,"மலிவு, மலிவாக",Cheap,,,,
ம்ஹொட்டொ,mhoTTo,"பெரிய, மூத்தவர், பெரியவர்","Elder, Big, Great, Senior",,,,
ந்ஹன்னொ,nhanno,சிறிய,"Younger, Small, Little",,,,
ம்ஹொவ்லினி,mhovlini,அணைத்தல்,Off,,,,
"பொ4வ்ரினி, தகி3னி","bhovrini, tagini","ஏற்றுதல், போடுதல்",On,,,,
ம்ஹௌஜாய்,mhaujaay,அழியும்,Will be extinct,,,,
ம்ஹௌஜானா,mhaujaanaa,அழியாது,Will be extant,,,,
மித்,mit,பொய்,"False, Lie",,,,
வாஸ்தவ்,vaastav,உண்மை,"True, Fact",,,,
முத்3தொ3,muddo,குழைந்த,Mushy,,,,
முது3ர்,mudur,முற்றல் (முத்தல்),Undercooked,,,,
முஸெஸ்,muses,முடிந்தது,Done,,,,
முஸெனி,museni,முடியவில்லை,Not done,,,,
மோஸ் கெரத்தெ,mOs keratte,ஏமாற்றுதல்,Cheating,,,,
மோஸ் ஜாத்தெ,mOs jaatte,ஏமாற்றப்படுதல்,Being cheated,,,,
ரொவ்வொ,rovvo,கொஞ்சம்,"Little, Bit",,,,
ஜு2க்கு,jhukku,அதிகம்,Lot,,,,
வெது3ர் ஸியெ,vedur siye,எதிர்பார்த்த,Expected,,,,
வெது3ர் ஸனா,vedur sanaa,எதிர்பாராத,Unexpected,,,,
ஸில்லொ,sillo,குளிர்ச்சி,Cold,,,,
ஹுன்னொ,hunno,சூடு,Hot,,,,
ஸுகி2ஞ்ஜினி,sukhinjjini,ஆடம்பரத்தை அனுபவித்தல்,Enjoying luxury,,,,
பொந்தி3னி,pondini,சிரமங்களை அனுபவித்தல்,Experiencing difficulties,,,,
ஸுட்டை,suTTai,"அகலும், விட்டுவிடும்","Will get rid of, Will stop",,,,
ஸுட்டுனா,suTTunaa,"அகலாது, விடாது","Will not get rid of, Will not stop",,,,
ஸெர்க்கொ,serkko,சரி,Right,,,,
மன்து,mantu,தவறு,Wrong,,,,
ஸெரய்,seray,"செல்லும், செல்லுபடியாகும்",Valid,,,,
ஸென்னா,sennaa,"செல்லாதது, செல்லாது",Invalid,,,,
ஹவ்ட3ன்,havDan,"நினைவு, ஞாபகம்","Memory, Remembrance",,,,
நிஸுர்,nisur,மறதி,Forgetfulness,,,,
ஹிட்டை,hiTTai,அவிழும்,Will get loose,,,,
ஹிட்டுனா,hiTTunaa,அவிழாது,Will not get loose,,,,
ஹுடொ3,huDo,குப்புற,Flat on stomach,,,,
நித்தொ,nitto,மல்லாக்க,Flat on back,,,,
ஹொல்லொ,hollo,மேலே,Over,,,,
க2ல்லொ,khallo,"கீழே, அடியில்",Under,,,,
ஹோட்3,hEaaD,இறுக்கம்,Tight,,,,
தி4ல்லொ,dhillo,தளர்ந்த,Loose,,,,
