alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
முர்க்3யம் கே2ஸ்,murgyam khEs,சவுரிமுடி,Wig made of human hair,பெ3ய்லன் முர்க்3யம் கே2ஸுக் வெணி ஸெரொ ப4ந்து3லஸுன்,beylan murgyam khEsuk veNi sero bhandulasun,பெண்கள் சவுரி முடியை ஜடையுடன் பின்னுவார்கள்,Women wear the wig hair with braids
குச்சு,kuccu,குஞ்சம்,"Tassel, A decorative item like a cloth ball",வெணி கொனாம் குச்சு ப4ந்து3லனு,veNi konaam kuccu bhandulanu,பின்னலின் முனையில் குஞ்சம் கட்டிக்கொள்வார்கள்,A tassel is tied at the end of the braid
பூ4ஷொ,bhoosho,நகை,"Jewel, Jewelry",எல்லெ சித்ரு மொரெ செர்ச்சினிம் பூ4ஷனொ,elle citru more cerccinim bhooshano,இந்த ஓவியம் என் சேகரிப்பின் நகை,This painting is the jewel of my collection
ஸொம்மு,sommu,நகை,"Jewel, Jewelry",மென்க்யான் ஸொம்முனுக் மெனி ஜு2க்கு ஹன்னவ் வேஸ் கெரராஸ்,menkyaan sommunuk meni jhukku hannav vEs keraraas,மக்கள் நகைகளுக்காக நிறைய பணம் செலவழிக்கிறார்கள்,People spend lot of money on jewels
பூ4ஸுன்,bhoosun,"பூஷணம், ஆபரணம்","Ornament, Jewelry",பூ4ஸுன் கௌதுக் வேன் கெரஸு,bhoosun kautuk vEn kerasu,நகைகள் அழகை கூட்டுகிறது,Jewelry adds beauty
ஆப4ரணொ,aabharaNo,"பூஷணம், ஆபரணம்","Ornament, Jewelry",பெ3ய்லன் ஆப4ரணொ க4ல்லிகின் விஶேஷுக் அவனு,beylan aabharaNo ghallikin vissEshuk avanu,பெண்கள் நகை அணிந்து விழாவுக்கு வருவார்கள்,Women come to the function wearing jewelry
ஜெட்3பு3ளொ,jeDbuLo,"ராக்கொடி, ஜடை பில்லை, ஜடை வில்லை",Bridal Hair Jewelry,தொ3ஸ்காம் பஸ்கட் ஜெட்3பு3ளொ தொ2வன்,doskaam paskaT jeDbuLo thovan,தலையின் பின்புறத்தில் ஜடை வில்லை வைப்பார்கள்,The jedbulo is placed at the back of the head
தொரன்,toran,ராக்கொடி தொங்கல்,Hair Brooch Clip,தொரன் பா4ங்கு3 ஹொல்லொ தகன்,toran bhaanggu hollo takan,ராக்கொடி மாட்டல் வகிட்டின் மேல் போடப்படும் நகை ஆகும்,Thoran is an ornament placed on the hair parting
ஸுரிது பி3ந்து3,suritu bindu,சூரிய பிறை,Sun shaped hair jewel,ஸுரிது பி3ந்து3 தொ3ஸ்காக் ஜைனொ பொகட் தொ2வன்,suritu bindu doskaak jaino pokaT thovan,சூரிய பிறை நகையை தலையின் வலது பக்கம் வைப்பார்கள்,Sun jewel is placed on the right side of the head
செந்தா3மு பி3ந்து3,cendaamu bindu,சந்திர பிறை,Moon crescent shaped hair jewel,செந்தா3மு பி3ந்து3 தொ3ஸ்காக் தை3ரொ பொகட் தொ2வன்,cendaamu bindu doskaak dairo pokaT thovan,சந்திர பிறை நகையை தலையின் இடது பக்கம் வைப்பார்கள்,A crescent moon necklace is placed on the left side of the head
