alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
மெனிக்,menik,மனிதன்,"Man, Human, Person",,,,
ஜனு,janu,"நபர், ஆள்",Person,,,,
நரொ,naro,ஆண்,Male,,,,
மென்க்யான்,menkyaan,மக்கள்,People,,,,
ஒண்டியாள்,oNTiyaaL,"மணமாகாதவர், தனியாள்","Bachelor, Single Person",,,,
அனாதி3,anaadi,அனாதை,Orphan,,,,
ஶ்ரிமான்,ssrimaan,திருவாளர்,"Mister, Mr",,,,
கௌமரி,kaumari,செல்வி,Miss,,,,
களயத்தெனு,kaLayattenu,தெரிந்தவர்,"Known person, Familiar",,,,
களானாத்தெனு,kaLaanaattenu,அந்நியர்,Stranger,,,,
பள்கார்,paLkaar,ஸௌராஷ்டிரர்,Sourashtrian,,,,
ஸுதி3,sudi,"புத்திசாலி, அறிஞர்","Wise, Scholar, Shrewd",,,,
ஸுதி4,sudhi,"புத்திசாலி, அறிஞர்","Wise, Scholar, Shrewd",,,,
ஒள்ட்யான்,oLTyaan,"புத்திசாலி, அறிஞர்","Wise, Scholar, Shrewd",,,,
கு3ரு,guru,"ஆசான், குரு",Preceptor,,,,
ஶிஷ்யொ,ssishyo,சிஷ்யன்,Disciple,,,,
ஸத்குலி,satkuli,நல்ல குலத்தில் பிறந்தவர்,Born into a good clan,,,,
ஸதா3சாரி,sadaacaari,"ஆசாரத்துடன் இருப்பவர், புனிதர்",Saint,,,,
பெள4து3ல்,peLadul,"சந்நியாசி, துறவி","Ascetic, Saint",,,,
ருஷி,rushi,தபசி,Sage,,,,
யோகி3,yOgi,யோகி,Yogi,,,,
ஹோதொ,hOto,யாகம் செய்பவர்,Sacrificer,,,,
மௌனி,mauni,"முனிவர், ஞானி",Sage,,,,
ப்ராஜ்ஞொ,praajnjo,"முனிவர், ஞானி",Sage,,,,
ஜ்ஞானி,jnjaani,"முனிவர், ஞானி",Sage,,,,
ஞானி,njaani,"முனிவர், ஞானி",Sage,,,,
ஸுதா3க3மி,sudaagami,முக்தி பெறுபவர்,Recipient of salvation,,,,
ஆஸ்திகொ,aastiko,ஆத்திகர்,Theist,,,,
நாஸ்திகொ,naastiko,நாத்திகர்,Atheist,,,,
நித்லொ,nitlo,"நியாயவான், நீதி சொல்பவர்",Judge,,,,
வித்லொ,vitlo,புத்திமதி சொல்பவர்,Counselor,,,,
நிபூ3ஸ்,niboos,உண்மை பேசுபவர்,Truth speaking man,,,,
ஸத்யவாதி3,satyavaadi,நேர்மையானவர்,Honest,,,,
மதி,mati,அறிவு,Knowledge,,,,
ஹெட்3டே3,heDDE,அசடு,Stupid,,,,
பு2ட்கோ தோன்,phuTkO tOn,ஓட்டை வாயன்,"Blabbermouth, Gossiper",,,,
கெ4டி3கெத்தொ,gheDiketto,"புத்திசாலி, சாமர்த்தியசாலி","Intelligent, Clever, Smart, Dexterous, Cute",,,,
கெ4டி3கெத்தான்,gheDikettaan,"புத்திசாலி, சாமர்த்தியசாலி","Intelligent, Clever, Smart, Dexterous, Cute",,,,
பு3த்3தி4மான்,buddhimaan,"புத்திசாலி, சாமர்த்தியசாலி","Intelligent, Clever, Smart, Dexterous, Cute",,,,
ரூபவதி,roopavati,அழகான பெண்,Pretty Woman,,,,
ரூபி,roopi,அழகானவர்,Handsome,,,,
மன்மது2,manmathu,மன்மதன்,Cupid,,,,
திருவாலி,tiruvaali,குறும்புக்காரன்,Mischievous,,,,
கொவ்ரொ,keaavreaa,"போக்கிரி, துஷ்டன்","Hooligan, Rowdy",,,,
கௌரி,kauri,"அரக்கன், தரித்திரன், பொல்லாதவன்","Giant, Poor, Crooked, Wicked",,,,
கௌரிணி,kauriNi,பொல்லாத பெண்,Wicked woman,,,,
ம்ஹூடொ3,mhooDo,"முட்டாள், மூடன்","Fool, Idiot, Stupid, Unwise, Dull",,,,
மூர்கு2,moorkhu,"முட்டாள், மூடன்","Fool, Idiot, Stupid, Unwise, Dull",,,,
மொகி3,mogi,"முட்டாள், மூடன்","Fool, Idiot, Stupid, Unwise, Dull",,,,
விஸ்னாரு,visnaaru,மறப்பவர்,"One who forgets, Absent minded",,,,
நிராமயொ,niraamayo,களங்கம் இல்லாதவர்,Untainted,,,,
கு3ணி,guNi,நல்ல குணமுடையவர்,Good-natured,,,,
தா3த்ருப்பன்,daatruppan,தயாள குணம்,Generosity,,,,
த4ர்மிஷ்டி2,dharmishThi,தர்மவான்,Righteous,,,,
க3ரி,gari,சிறந்தவர்,"Best person, The best",,,,
உத்தம,uttama,சிறந்தவர்,"Best person, The best",,,,
ஸூரி,soori,"கற்றவர், படித்தவர்","Learnt person, Educated",,,,
வித்3யாவி,vidyaavi,"கற்றவர், படித்தவர்","Learnt person, Educated",,,,
வித்லொ,vitlo,அனைவருக்கும் அறிவுரை கூறக்கூடியவர்,Counselor,,,,
ஶாஸ்த்ரி,ssaastri,சாஸ்திரங்களை கற்றவர்,Well-versed in Shastras,,,,
ப2ங்கு3ல்னார்,phanggulnaar,நட்பான நபர்,Friendly person,,,,
ப்ரியவாதீ3,priyavaadee,அன்பாக பேசுபவர்,Kindly speaking person,,,,
வாக்3மி,vaagmi,பேச்சாற்றல் மிக்கவர்,Eloquent,,,,
