alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
கி4ரால்,ghiraal,"கோள், கிரகம்",Planet,ஸுரிது பரிவாரும் புளூட்டோ ஜதொ ஆட் கி4ரால்னுன் ஸே,suritu parivaarum puLooTTO jato aaT ghiraalnun sE,சூரிய குடும்பத்தில் புளூட்டோவைத் தவிர எட்டு கோள்கள் உள்ளன,The Solar System has Eight Planets excluding pluto
செந்தா3ம்,cendaam,"நிலவு, சந்திரன், திங்கள், மதி",Moon,"செந்தா3ம் பூ4ய்ஞிர் ர்ஹீ 385,000 கி.மீ தூ3ரும் ஸே","cendaam bhooynjir rhee 385,000 ki.mee doorum sE","சந்திரன் பூமியில் இருந்து சுமார் 385,000 கி.மீ தொலைவில் உள்ளது","The Moon is at about a distance of 385,000 km from the Earth"
கி3ல்,gil,"நிலவு, சந்திரன், திங்கள், மதி",Moon,கி3ல் ஹுஜால் தே3ஸு,gil hujaal dEsu,சந்திரன் ஒளி தருகிறது,The moon gives light
சாந்து3,caandu,"நிலவு, சந்திரன், திங்கள், மதி",Moon,சாந்து3 ஹுஜால் ஸில்லொ ர்ஹாஸு,caandu hujaal sillo rhaasu,நிலவின் ஒளி குளிர்ச்சியானது,The light of the moon is cool
செந்தொ3 ஹுஜால்,cendo hujaal,நிலவொளி,Moonlight,செந்தொ3 ஹுஜாலும் ராஜ்ஜெமன் க2யென்,cendo hujaalum raajjeman khayen,நிலவொளியில் இரவு உணவு சாப்பிடுவோம்,Let's have a dinner in moonlight
ஸுரித்,surit,சூரியன்,Sun,ஸுரிது ம்ஹத்3தி3 ஹுன்னொ ரமாரமி 50 லெக்கு டி3கி3ரி செல்சியஸ் ஹோஸு,suritu mhaddi hunno ramaarami 50 lekku Digiri celciyas hOsu,சூரியனின் மைய வெப்பநிலை சுமார் 50 லட்சம் டிகிரி செல்சியஸ் ஆகும்,Sun's core temperatures is about 5 million degrees C
கிரண்,kiraN,"கதிர், ஒளிக்கதிர்","Ray, Ray of light",கிரண் நேர்கி3தாம் ஒண்ட்டேஸ் ஸார்வொ கெரஸு,kiraN nErgitaam oNTTEs saarvo kerasu,ஒளிக்கதிர் நேர்கோட்டில் மட்டுமே பயணிக்கிறது,The ray of light travels in straight line only
ப4ராடு நிளா கிரண்,bharaaTu niLaa kiraN,புற ஊதா கதிர்கள்,Ultraviolet rays,ப4ராடு நிளா கிரண் மெனிகு கெண்டா3க் ஹீன் கெரயி,bharaaTu niLaa kiraN meniku keNDaak heen kerayi,புற ஊதா ஒளி மனித தோலை சேதப்படுத்தும்,UV light can damage the human skin
பி4த்தரு ல்ஹொவா கிரண்,bhittaru lhovaa kiraN,அகச்சிவப்பு கதிர்கள்,Infrared rays,பி4த்தரு ல்ஹொவா கிரணுன் தூ3ருநியந்த்ராம் உபயோக்3 பொட3ஸு,bhittaru lhovaa kiraNun dooruniyantraam upayOg poDasu,அகச்சிவப்பு கதிர்கள் தூர இயக்கிகளில் பயன்படுத்தப்படுகின்றன,Infrared rays are used in remote controls
ஸுரிது கிரண்,suritu kiraN,சூரிய ஒளி,Sunlight,"ஸுரிது கிரண் ஸுரித் ர்ஹீ பூ4ய்ஞ்யிக் அவி செரத்தக் ரமாரமி 8 நிமுஷ், 20 சிடு3க் லக3யி","suritu kiraN surit rhee bhooynjyik avi cerattak ramaarami 8 nimush, 20 ciDuk lagayi",சூரிய ஒளியானது சூரியனிலிருந்து பூமியை அடைய சராசரியாக 8 நிமிடங்கள் மற்றும் 20 வினாடிகள் ஆகும்,Sunlight takes an average of 8 minutes and 20 seconds to reach from Sun to the earth
ஸுரிது ஹுஜால்,suritu hujaal,சூரிய வெளிச்சம்,Sunlight,ஸொளொபா2ரு ஸுரிது ஹுஜால் ஆங்கு3 ஆரோக்3யமுக் சொக்கடு3,soLophaaru suritu hujaal aanggu aarOgyamuk cokkaDu,காலை சூரிய வெளிச்சம் உடல் நலத்திற்கு நல்லது,Morning sunlight is good for health
பரிளி,pariLi,ஒளிவட்டம்,Halo,தெ2வ்டெ3வேள் அகாஸும் ஸுரிது சுட்டூர் ஒண்டெ பரிளிக் ஸவாயி,thevDevEL akaasum suritu cuTToor oNTe pariLik savaayi,சில நேரங்களில் வானத்தில் சூரியனைச் சுற்றி ஒரு ஒளிவட்டத்தைக் காணலாம்,Sometimes we can see a halo around the sun in the sky
உத்3கி3ரத்தெ,udgiratte,பிரகாசித்தல்,Shining,ஸுரித் தீ3ஸும் உத்3கி3ரஸு,surit deesum udgirasu,சூரியன் பகலில் பிரகாசிக்கிறது,The Sun shines during day time
லெக்3கு3னு,leggunu,லக்னம்,Ascendant,ஜர்க்யம் பானும் லெக்3கு3னு முக்யம்ஹொயெயொ,jarkyam paanum leggunu mukyamhoyeyo,ஜாதகத்தில் லக்னம் முக்கியமானது,"In the horoscope, Ascendant is important"
நெட்ஷத்ரு,neTshatru,விண்மீன்,Star,ஸுரிது பூ4ய்ஞ்யிக் லொகு3த்தொ ஸேத்தெ நெட்ஷத்ரு,suritu bhooynjyik logutto sEtte neTshatru,சூரியன் பூமிக்கு மிக அருகில் உள்ள நட்சத்திரம்,The Sun is the closest star to Earth
நக்ஷத்ரு,nakshatru,விண்மீன்,Star,அஸ்வினிம் ஹர்ம்ப3ம் ஹொயி பூ4ய்ஞ் சுட்டூர் 27 நக்ஷத்ருன் ஸே,asvinim harmbam hoyi bhooynj cuTToor 27 nakshatrun sE,அஸ்வினியில் தொடங்கி பூமியைச் சுற்றி 27 நட்சத்திரங்கள் உள்ளன,"Starting from Aswini, there are 27 stars around earth"
வூடு,vooTu,விண்மீன்,Star,வூடுனுக் ராதும் ஒண்ட்டேஸ் ஸாத்தக் முஸையி,vooTunuk raatum oNTTEs saattak musaiyi,நட்சத்திரங்களை இரவில் மட்டுமே பார்க்க முடியும்,The stars can only be seen at night
சுக்கொ,cukko,விண்மீன்,Star,சுக்கான் ஜுல்னா,cukkaan julnaa,நட்சத்திரங்கள் மின்னுவதில்லை,Stars don't twinkle
பா2ருசுக்கொ,phaarucukko,துருவநட்சத்திரம்,Polar star,பா2ருசுக்கொ அவ்ரெ ஸுரித் ஸொம்மர் 50 கு3ண் ம்ஹொடொ3யொ,phaarucukko avre surit sommar 50 guN mhoDoyo,துருவநட்சத்திரம் நமது சூரியனை விட 50 மடங்கு பெரியது,Polar star is around 50 times bigger than our sun
கி4ராண்,ghiraaN,கிரகணம்,Eclipse,ஒண்டொண்டெ தே3ட் ஒர்ஸுனுக் ஒண்டெவால் ஒண்டெ பூரண கி4ராண் தெ4ரஸு,oNToNTe dET orsunuk oNTevaal oNTe pooraNa ghiraaN dherasu,ஒவ்வொரு ஒன்றரை வருடங்களுக்கும் ஒரு முழு கிரகணம் ஏற்படுகிறது,"Every one and a half years, one total eclipse happens"
ஸ்வரூப்,svaroop,"இயற்கை, உண்மையான இயல்பு","Nature, True Nature",மெனிக் ராகு3ம் அபுல் ர்ஹத்த ஸ்வரூப் தெ3க்கட3ஸு,menik raagum apul rhatta svaroop dekkaDasu,மனிதன் கோபத்தில் தன் உண்மையான இயல்பை காட்டுகிறான்,Man shows his true nature in anger
ஸ்ருஷ்டி,srushTi,இயற்கை,Nature,மெனிக் மெல்லொ ஸ்ருஷ்டிம் ஒண்டெ பா4கு3 ஹோஸு,menik mello srushTim oNTe bhaagu hOsu,மனிதர்களும் இயற்கையின் ஒரு பகுதியே ஆவர்,Humans are also a part of nature
நிஸெர்க்3,niserg,இயற்கை,Nature,நைஸர்கி3க பொ3லம் மெனரியொ கி4ரால்னுக் ஸேத்தெ நிஸெர்க3 பொ3லமு,naisargika bolam menariyo ghiraalnuk sEtte niserga bolamu,நைசர்கிக பலம் என்பது கிரகங்களின் இயற்கை பலம்,Naisargika strength is the natural strength of the planets
பூ4கம்பொ,bhookampo,நிலநடுக்கம்,Earthquake,"2001 ம் கு3ஜராதும் பூ4ஜ் பூ4கம்பாம் 20,800 தெனு மொஜ்ஜா","2001 m gujaraatum bhooj bhookampaam 20,800 tenu mojjaa","2001-ல் குஜராத்தில் பூஜ் பூகம்பத்தில் 20,800 பேர் இறந்தனர்","20,800 people died in the Bhuj earthquake in Gujarat in 2001"
அகாஶு கெ3ங்கொ3,akaassu genggo,"விண்மீன் திரள், பால்வீதி","Galaxy, Milky Way","அகாஶு கெ3ங்கொ3 மெந்தொ நெட்சத்ருனு, ஜெஜ்ஜுனு, வாயுனு செரெ மஹா செர்னி","akaassu genggo mento neTcatrunu, jejjunu, vaayunu cere mahaa cerni","பால்வீதி என்பது நட்சத்திரங்கள், தூசி மற்றும் வாயு ஆகியவற்றின் மிகப்பெரிய தொகுப்பாகும்","The Milky Way is a huge collection of stars, dust and gas"
விஶ்வொ,vissvo,பிரபஞ்சம்,Universe,விஶ்வமு ஜு2கு3 அகாஶு கெ3ங்கா3ன் ஸே,vissvamu jhugu akaassu genggaan sE,பிரபஞ்சத்தில் பல விண்மீன் திரள்கள் உள்ளன,There are many galaxies in the universe
