alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
வனஸ்பதி,vanaspati,தாவரம்,Plant,,,,
ஹாகு,haaku,"தோப்பு, தோட்டம்","Grove, Garden",,,,
ஜீ2னு,jheenu,தோட்டம்,Garden,,,,
கொ3வத்,govat,வைக்கோல்,Hay,,,,
கொ3வது பெடொ3,govatu peDo,வைக்கோல் போர்,Haystack,,,,
பொஸ்கெ,poske,புல்,Grass,,,,
நௌஸு,nausu,புல்,Grass,,,,
த்ருணொ,truNo,"புல், கோரை புல், நாணல்","Grass, Reed",,,,
கா4ஸ்,ghaas,காய்ந்த புல்,Dried grass,,,,
ஹரளி,haraLi,பசும்புல்,Green grass,,,,
ஹரளி பான்,haraLi paan,அருகம்புல்,Scutch grass,,,,
த3ர்பொ3,darbo,நாணல்,Reed,,,,
ஹொக3து பான்,hogatu paan,மூலிகை,Herb,,,,
கொப்3பு3,kobbu,கரும்பு,Sugarcane,,,,
பிஸ்கலு கொப்3பு3,piskalu kobbu,சாறில்லா கரும்பு,Red Stained Sugarcane,,,,
கல்பவ்ருக்ஷொ,kalpavruksho,கற்பக விருட்சம்,The tree that grants any boon,,,,
ஜா2ட்3,jhaaD,மரம்,Tree,,,,
ஜ2ட்கி,jhaTki,செடி,Shrubs,,,,
வேல்,vEl,கொடி,Creeper,,,,
கு3ல்மொ,gulmo,புதர்,Bush,,,,
ஸுனாஸதி,sunaasati,காளான்,Mushroom,,,,
கு3மாரு,gumaaru,கற்றாழை,"Cactus, Aloe vera, Aloevera, Alovera",,,,
அந்த்யால்,antyaal,ஆமணக்கு,Castor,,,,
இந்த்3ரானி கைலொ,indraani kailo,குமிட்டி காய்,Colocynth,,,,
துடா3 ஜ3ட்கி,tuDaa jaTki,ஊமத்தம் செடி,"Devil's trumpet, Jimsonweeds",,,,
குப்பியாபான்,kuppiyaapaan,குப்பைமேனி இலை,Indian Copperleaf,,,,
கென்னர்,kennar,அரளி,Oleander,,,,
கெரதினி,keratini,கடுக்காய்,Myrobalan,,,,
கெ3ன்னேரி,gennEri,கஸ்தூரி மஞ்சள்,"Orange Ginger, Hidden-Lilies",,,,
நெர்கு3டு3,nerguDu,நொச்சி,Chaste tree,,,,
பிஸ தொ2ள்சி,pisa thoLci,நாய்த்துளசி,"American Basil, Lemon basil",,,,
லயெத் வட்னி,layet vaTni,தொட்டா சிணுங்கி,"Touch me not, Shame Plant",,,,
லுஸ்கின் ஜ2ட்கி,luskin jhaTki,எருக்கஞ்செடி,Milkweeds,,,,
ஜிலி,jili,"பாசி, பூஞ்சை","Algae, Fungus, Moss",,,,
நல்லு,nallu,வெட்டிவேர்,Vetiver,,,,
பீகு,peeku,பயிர்,Crop,,,,
சொரா பீகு,coraa peeku,தீவனப் பயிர்,Fodder crop,,,,
கே2து,khEtu,வயல்,Field,,,,
நாக3டிசாலு,naagaTicaalu,"படைச்சால், உழவுசால்",Furrow irrigation,,,,
ரௌணி,rauNi,ஏற்றம்,Waterlifting device,,,,
ஸடொ,saTo,ஏற்றம்,Waterlifting device,,,,
மஸ்து,mastu,உரம்,"Manure, Compost, Fertilizer",,,,
பா3ஞ்ஜி,baanjji,"பாசி, பூஞ்சை","Algae, Fungus, Moss",,,,
