alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
உத்3யோக்,udyOk,தொழில்,Profession,,,,
உத்3யோக்கெரி,udyOkkeri,தொழிலதிபர்,Industrialist,,,,
பி4யார்,bhiyaar,வியாபாரம்,Business,,,,
பி4யார்ஸார்,bhiyaarsaar,வியாபாரம்,Business,,,,
பி4யார்ஸார்கெரி,bhiyaarsaarkeri,வியாபாரி,Businessman,,,,
ஸில்மொ,silmo,உழைப்பு,"Labor, Work",,,,
ஶ்ரமொ,ssramo,உழைப்பு,"Labor, Work",,,,
ஆர்ஜ்ஜனொ,aarjjano,உழைப்பு,"Labor, Work",,,,
காம்,kaam,வேலை,"Work, Job",,,,
காம்ஹோர்,kaamhOr,வேலையாய்,"Busy, Occupied, On the job",,,,
கர்தவ்,kartav,கடமை,Duty,,,,
கரெ,kare,கடமை,Duty,,,,
கரெ,kare,செயல்,"Activity, Deed",,,,
கர்னீகு,karneeku,"செயலுக்கு, வேலைக்கு","To action, To work",,,,
பத3வி,padavi,பதவி,"Post, Position",,,,
கரக்3,karag,வேலையாய்,Busy,,,,
நங்கு3னார்,nanggunaar,"உழுபவர், உழவர்",Farmer,,,,
ஜுன்னார்,junnaar,"உழுபவர், உழவர்",Farmer,,,,
அர்க்யாரி,arkyaari,அதிகாரி,Officer,,,,
ஒய்து3,oydu,மருத்துவர்,Doctor,,,,
க்3ரந்த கர்த்தா,granta karttaa,நூலாசிரியர்,Author,,,,
கு3ஷுனார்,gushunaar,பதிப்பாளர்,Publisher,,,,
த2ணைது,thaNaitu,காவலர்,Police,,,,
ப3ன்ரூத்,banroot,காவலர்,Police,,,,
ரக்ஷகொ,rakshako,பாதுகாவலர்,"Guard, Guardian, Warden, Protector",,,,
வக்கீல்,vakkeel,வழக்கறிஞர்,Lawyer,,,,
புரேது,purEtu,புரோகிதர்,Priest,,,,
புரோஹிதொ,purOhito,புரோஹிதர்,Priest,,,,
நிபுணொ,nipuNeaa,வல்லுநர்,"Expert, Master",,,,
மஜூம்தா3ர்,majoomdaar,ஆவணகாப்பாளர்,Record Keeper,,,,
லிபிகார்,lipikaar,எழுத்தர்,Record Clerk,,,,
ல்ஹெக்2கய்த்,lhekhkayt,கணக்காளர்,Accountant,,,,
தெ3னிக2ட்னி,denikhaTni,"கொடுக்கல் வாங்கல், பரிமாற்றம், பண்ட மாற்று, பரிவர்த்தனைகள்","Dealings, Exchange",,,,
லிந்து3,lindu,"கொடுக்கல் வாங்கல், பரிமாற்றம், பண்ட மாற்று, பரிவர்த்தனைகள்","Dealings, Exchange",,,,
லிந்து3னார்,lindunaar,பற்றுவரவு செய்கிறவன்,Accountant,,,,
ஸிம்பி3,simbi,தையல்காரர்,Tailor,,,,
ஸும்பி,sumpi,தையற்காரர்,Tailor,,,,
சித்ரகார்,citrakaar,ஓவியர்,"Painter, Artist",,,,
கௌ3னி,gauni,பாட்டு பாடுதல்,Singing,,,,
க3வ்னார்,gavnaar,பாடகர்,Singer,,,,
க3வீனு,gaveenu,பாடகர்,Singer,,,,
கவி,kavi,கவிஞர்,Poet,,,,
நசினி,nacini,"நாட்டியம், நடனம்",Dance,,,,
வௌஜினி,vaujini,"இசைத்தல், இசைக்கருவி வாசித்தல்",Playing musical instrument,,,,
ஹந்தை3து,handaitu,சமையல்காரர்,Cook,,,,
க2ட்டிகொ,khaTTiko,கசாப்புக் கடைக்காரர்,Butcher,,,,
கொத்தொ,kotto,கொத்தனார்,Mason,,,,
லௌரி,lauri,கொத்தனார்,Mason,,,,
கு2ம்பா3ர்,khumbaar,குயவன்,Potter,,,,
கொ3ல்லர்,gollar,கோனார்,"Dairyman, Milkman",,,,
கொ3ல்லர்,gollar,"இடையர், மாடு மேய்ப்பவர்",Cowherd,,,,
க3வ்ரு,gavru,"இடையர், மாடு மேய்ப்பவர்",Cowherd,,,,
கௌ3ளொ,gauLo,"இடையர், மாடு மேய்ப்பவர்",Cowherd,,,,
கொ3வ்ளொ,govLo,"இடையர், மாடு மேய்ப்பவர்",Cowherd,,,,
சொவ்ரத்தெனொ,covratteno,மேய்ப்பவர்,Shepherd,,,,
டங்க்னார்,Tangknaar,கல்தச்சன்,Stonemason,,,,
ஸொனாரு,sonaaru,"தட்டான், கம்மாளன், பொற்கொல்லர்",Goldsmith,,,,
கெஸார்,kesaar,"தட்டான், கம்மாளன், பொற்கொல்லர்",Goldsmith,,,,
க2தி3,khadi,கருமான்,Black Smith,,,,
விங்கர்,vingkar,நெசவாளர்,Weaver,,,,
ஹொடை3த்,hoDait,ஆசாரி,Carpenter,,,,
கெ4ங்க3ன்,ghenggan,எண்ணெய் வியாபாரி,"Oil Merchant, Oil Trader",,,,
பணைத்,paNait,வர்த்தகர்,"Dealer, Trader",,,,
புலிந்து3,pulindu,வியாபாரி,"Merchant, Trader",,,,
லிந்தை3து,lindaitu,வியாபாரி,"Merchant, Trader",,,,
ரத3ன்,radan,கடன் கொடுப்பவர்,"Lender, Loaner",,,,
ரினைது,rinaitu,"கடன் வாங்குபவர், கடனாளி",Debtor,,,,
ஸிகு3டொ3,siguDo,தொழில் பயில்பவர்,Apprentice,,,,
கெ3டெ3 நஸத்தெனொ,geDe nasatteno,கரகாட்டகாரன்,Folk dancer,,,,
பு3டு3பு3டா3ன்,buDubuDaan,குடுகுடுப்பைக்காரன்,Soothsayer / Pellet drummer,,,,
பு3டுபு3டுவான்,buTubuTuvaan,குடுகுடுப்பைக்காரன்,Soothsayer,,,,
கிராது,kiraatu,வேடன்,"Hunter, Predator",,,,
லூப்3து3,loobdu,வேடன்,"Hunter, Predator",,,,
பொரட்,poraT,வண்ணான்,Laundry Man,,,,
பொள்டின்,poLTin,வண்ணாத்தி,Laundry Woman,,,,
உஸுனார்,usunaar,வெளுப்பவர்,Bleaching Man,,,,
வைடே3,vaiDE,அம்பட்டன்,Male Barber,,,,
வைடி3ன்,vaiDin,அம்பட்டத்தி,Female Barber,,,,
சொட்3டொ3,coDDo,திருடன்,Male Thief,,,,
சொட்3டி3,coDDi,திருடி,Female Thief,,,,
சுங்கு3டொ3,cungguDo,திருடனின் நண்பன்,Friend of the thief,,,,
ஸின்னளி,sinnaLi,"விபச்சாரி, விலைமாது","Prostitute, Whore",,,,
ஶினாளி,ssinaaLi,"விபச்சாரி, விலைமாது","Prostitute, Whore",,,,
பொ4தி3ரின்,bhodirin,விபச்சாரி,"Prostitute, Whore",,,,
பெ4டெ3,bheDe,"கூலியாள், பணியாள்","Coolie, Servant, Labour, Labor, Worker",,,,
கரணிகொ,karaNiko,வேலைக்காரன்,"Coolie, Servant, Labour, Labor, Worker",,,,
ஹிஸ்லொ,hislo,வேலைக்காரன்,"Coolie, Servant, Labour, Labor, Worker",,,,
காம்கெர்த்தொ,kaamkertto,வேலைக்காரன்,"Coolie, Servant, Labour, Labor, Worker",,,,
த3ரி,dari,"வேலைக்காரி, பணிப்பெண்","Servant maid, Maid, Female worker",,,,
ஸஹாவி,sahaavi,உதவியாளர்,"Aide, Helper",,,,
ஸர்கார்,sarkaar,அரசு,Government,,,,
கார்யஸாலொ,kaaryasaalo,அலுவலகம்,Office,,,,
ரேம்,rEm,துறை,Department,,,,
க3ண்யுன்,gaNyun,பிரமுகர்,Respected person,,,,
அக்3ராஸனம்,agraasanam,தலைமை,Presidentship,,,,
ஸசிவ்,saciv,"மந்திரி, அமைச்சர்",Minister,,,,
அமாத்யொ,amaatyo,"மந்திரி, அமைச்சர்",Minister,,,,
முக்2ய,mukhya,"தலைமை, முதன்மை","Chief, Principal, Main, Major",,,,
மந்த்ரி,mantri,அமைச்சர்,Minister,,,,
முக்2யமந்த்ரி,mukhyamantri,முதலமைச்சர்,Chief minister,,,,
ப்ரதா4ன்மந்த்ரி,pradhaanmantri,பிரதமர்,Prime minister,,,,
கரகட்,karakaT,செய்தி தொடர்பாளர்,Spokesperson,,,,
கார்யத3ரிஸி,kaaryadarisi,செயலாளர்,Secretary,,,,
பி4மான்,bhimaan,ஈடுபாடு,Involvement,,,,
து3ட்,duT,வருமானம்,"Income, Earnings",,,,
து3டு3,duDu,சம்பாதித்தல்,Earning,,,,
து3ட3த்தெ,duDatte,சம்பாதித்தல்,Earning,,,,
தொ3டு3ஞ்ஜினி,doDunjjini,வருமானம்,"Income, Earnings",,,,
உச்லாவ்,uclaav,வருமானம்,"Income, Earnings",,,,
ஸ்ரமொ,sramo,"வருமானம், கஷ்டம்","Income, Difficulty",,,,
கிஸ்தி,kisti,நிலவரி,Land tax,,,,
க3ம்ப்னார்,gampnaar,வரி வசூலிப்பவர்,Tax collector,,,,
வஸுல் கெர்னார்,vasul kernaar,வசூலிப்பவர்,Collector,,,,
கரார்,karaar,ஒப்பந்தம்,"Agreement, Deal",,,,
ஶரத்,ssarat,நிபந்தனை,Condition,,,,
