alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஒஸ்து,ostu,உறவு,Relation,,,,
ஸொந்த3ம்,sondam,உறவு,Kinship,,,,
ப3ந்து4,bandhu,உறவினர்,"Kin, Relative",,,,
பா3ந்த4வு,baandhavu,உறவினர்,"Kin, Relative",,,,
ஊகு,uuku,உறவினர்,"Kin, Relative",,,,
ஸொவ்ரொ,sovro,உறவினர்,"Kin, Relative",,,,
ததி3,tadi,உறவுமுறை,Relationship,,,,
அம்போ3,ambO,தாய்,"Mother, Mom, Mummy",,,,
போ3,bO,அப்பா,"Father, Dad, Daddy",,,,
மாய்,maay,அம்மா,"Mother, Mom, Mummy",,,,
பா3ப்,baap,தந்தை,"Father, Dad, Daddy",,,,
மாய்பா3ப்,maaybaap,"பெற்றோர், பெற்றவர்கள்",Parents,,,,
ஜெனித்தெனொ,jenitteno,பெற்ற தாய்,Birth mother,,,,
ஜெனாத்தெனு,jenaattenu,"பெற்றோர், பெற்றவர்கள்",Parents,,,,
அம்ப்3லொ,amblo,கணவர்,Husband,,,,
த3ல்லொ,dallo,கணவன்,Husband,,,,
பை3ல்,bail,பெண்,Wife,,,,
பெ3ய்ல்,beyl,மனைவி,Wife,,,,
தா3ரா,daaraa,மனைவி,Wife,,,,
கே4ரளி,ghEraLi,இல்லாள்,Housewife,,,,
ஸராவளி,saraavaLi,"கணவன் (அ) மனைவி, வாழ்க்கைத் துணை","Husband or Wife, Spouse, Life partner, Companian",,,,
ஸொவெத்,sovet,"இரண்டாவது மனைவி, சக்களத்தி","Co wife, Concubine",,,,
பெ3டொ3,beDo,மகன்,Son,,,,
பொரொ,poro,மகன்,Son,,,,
வத்லொ,vatlo,மகன்,Son,,,,
ஸுனு,sunu,மகன்,Son,,,,
பெ3டி3,beDi,மகள்,Daughter,,,,
பெ2ய்லட்,pheylaT,"மூத்தமகன், தலைமகன்",Eldest sibiling,,,,
ம்ஹொடொ3தெனு,mhoDotenu,மூத்தவர்,Elder sibiling,,,,
