alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பாட2ஶாலொ,paaThassaalo,பள்ளிக்கூடம்,School,,,,
ஹுரி,huri,பள்ளிக்கூடம்,School,,,,
இந்து3,indu,பள்ளி,School,,,,
பொள்டம்,poLTam,பள்ளிக்கூடம்,School,,,,
ஹொள்டா ஹுரி,hoLTaa huri,திண்ணைப் பள்ளி,Veranda School,,,,
பா3லஹுரி,baalahuri,பாலர் பள்ளி,Play / Pre Nursery School,,,,
பில்லல்னு ஹுரி,pillalnu huri,மழலையர் பள்ளி,Kindergarten / Nursery School,,,,
ஹர்ம்ப3 ஸ்தர் ஹுரி,harmba star huri,ஆரம்பநிலைப் பள்ளி,Elementary / Primary School,,,,
மத்3ய ஸ்தர் ஹுரி,madya star huri,நடுநிலைப் பள்ளி,High School,,,,
உஞ்சா ஸ்தர் ஹுரி,unjcaa star huri,மேல்நிலைப் பள்ளி,Higher Secondary School,,,,
தந்த்ரஞான் வித்3யாலயொ,tantranjaan vidyaalayo,தொழில்நுட்பக் கல்லூரி,Polytechnique,,,,
மஹா வித்3யாலயொ,mahaa vidyaalayo,கல்லூரி,College,,,,
அபி4யாந்த்ரிக் வித்3யாலயொ,abhiyaantrik vidyaalayo,பொறியியல் கல்லூரி,Engineering College,,,,
கலா & விஞான் வித்3யாலயொ,kalaa & vinjaan vidyaalayo,கலை & அறிவியல் கல்லூரி,Arts & Science College,,,,
ஸர்வகலா வித்3யாலயொ,sarvakalaa vidyaalayo,பல்கலைக்கழகம்,University,,,,
விஶ்வ வித்3யாலயொ,vissva vidyaalayo,பல்கலைக்கழகம்,University,,,,
புஸ்தகஶாலொ,pustakassaalo,நூலகம்,Library,,,,
வாசகஶாலொ,vaacakassaalo,நூலகம்,Library,,,,
ஶிக்ஷகொ,ssikshako,ஆசிரியர்,Teacher,,,,
ஒத்3தி3,oddi,ஆசிரியர்,Teacher,,,,
வத்3தி3,vaddi,ஆசிரியர்,Teacher,,,,
உபாத்4யாயொ,upaadhyaayo,ஆசிரியர்,Male teacher,,,,
உபாத்4யாயி,upaadhyaayi,ஆசிரியை,Female teacher,,,,
மஹா ஒத்3தி3,mahaa oddi,பேராசிரியர்,Professor,,,,
ஶிக்ஷணொ,ssikshaNo,தனிப்போதனை,Tuition,,,,
ஶிக்கட்3னி,ssikkaDni,கற்பித்தல்,"Teaching, Instruction",,,,
அலக்3கொ3 ஶிக்கட்3னி,alaggo ssikkaDni,தனியாக கற்பித்தல்,Tuition,,,,
ஶிக்3டொ3,ssigDo,கற்பவர்,"Learner, Student",,,,
இக்லொ,iklo,மாணவர்,Student,,,,
ஶிகார்,ssikaar,மாணவர்,Student,,,,
மாணவ்,maaNav,மாணவர்,Student,,,,
ஸுடபொ3ட்டொ,suTaboTTo,சீருடை,Uniform,,,,
ஒண்ட்டே தா4னு,oNTTE dhaanu,ஒரேவிதமான,Uniform,,,,
அவாரு,avaaru,தங்கும் விடுதி,Hostel,,,,
ஈகு3,eegu,"கல்வி, படிப்பு","Education, Study",,,,
இக3த்தெ,igatte,"கற்றல், படித்தல்","Learning, Reading",,,,
இக3த்தெனு,igattenu,"கற்பவர், படிப்பவர்","Learner, Reader",,,,
ஈவி,eevi,"பயிலு, படி",Study,,,,
இக்லொ,iklo,"கற்பவர், மாணவன், மாணவி","Learner, Student",,,,
சொவ்து3னாருன்,covdunaarun,மாணவர்கள்,Students,,,,
வித்3யொ,vidyo,கல்வி,Education,,,,
சொவ்து3,ceaavdu,"கல்வி, படிப்பு","Education, Study",,,,
சொவ்து3தெ4ரெ,covdudhere,கல்விசார்,Educational,,,,
ஞான்,njaan,அறிவு,Knowledge,,,,
ஹொட்3வினி,hoDvini,வளர்த்தல் (அறிவு),Development,,,,
ஒர்கு3,orgu,வகுப்பு,"Class, Grade",,,,
வர்கு3,vargu,வகுப்பு,"Class, Grade",,,,
வர்கு3 ஸிங்க3ய்த்,vargu singgayt,வகுப்புத் தோழன்,"Classmate, Class mate",,,,
பட2ன்,paThan,பாடம்,Lesson,,,,
க3த்3யொ,gadyo,உரை நடை,Prose,,,,
பத்3யம்,padyam,செய்யுள்,Poetry,,,,
கவிதொ,kavito,கவிதை,Poem,,,,
படி2னி,paThini,"படித்தல், வாசித்தல்",Reading,,,,
அர்த்து,arttu,பொருள்,Meaning,,,,
அர்து2,arthu,பொருள்,Means,,,,
அர்த்துந்ஹாத்த,arttunhaatta,பொருளற்ற,Meaningless,,,,
குண்டு,kuNTu,பிழை,Error,,,,
மொந்து,montu,பிழை,Error,,,,
மித்தம,mittama,பிழையுள்ள,With Error,,,,
திரிதம்,tiritam,திருத்தம்,"Correction, Debugging",,,,
புஸாவ் / புஸ்னி,pusaav / pusni,கேள்வி,Question,,,,
ஜவாப்3 / ஜவ்நி,javaab / javni,பதில்,Answer,,,,
ஒங்கு,ongku,எண்,Number,,,,
லிக்கினி,likkini,எழுத்து,Letter,,,,
அக்ஷர்,akshar,எழுத்து,Letter,,,,
ஜுடி3,juDi,சொல்,Word,,,,
வத்தொ,vatto,சொல்,Word,,,,
பங்தி,pangti,வரி,Line,,,,
புடொ,puTo,பக்கம்,Page,,,,
ஒஸொ,oso,பக்கம்,Page,,,,
புஸ்தகு,pustaku,புத்தகம்,Book,,,,
பொ3க்3கு,bogku,புத்தகம்,Book,,,,
பொதி,poti,"புத்தகம், சிறு புத்தகம்","Book, Booklet",,,,
பாட2க்ரமொ,paaThakramo,பாடத்திட்டங்கள்,Syllabus,,,,
க்3ரந்து,grantu,"நூல், கட்டுரை","Book, Article",,,,
பீடி2கொ,peeThiko,"முன்னுரை, முகவுரை","Preface, Preamble",,,,
ஸூசிகொ,soociko,அட்டவணை,Index,,,,
விஷய ஸூசிகொ,vishaya soociko,பொருளடக்கம்,Index,,,,
விஷயம்,vishayam,தலைப்பு,Topic,,,,
ஶீர்ஷக்,sseershak,தலைப்பு,"Title, Heading, Header",,,,
அத்4யாயம்,adhyaayam,அத்தியாயம்,Chapter,,,,
ரசனொ கெரத்தெ,racano keratte,இயற்றுதல்,Composing,,,,
லேகு2,lEkhu,கடிதம்,Letter,,,,
வத்தா ப4ந்தி3னி,vattaa bhandini,கட்டுரை,Composition,,,,
அக்ஷர்ஸங்கி3,aksharsanggi,எழுத்தைச் சொல்,Spell,,,,
வத்தாக்ஷர்னு,vattaaksharnu,வார்த்தையின் எழுத்துக்கள்,Spelling,,,,
நிரஸ்து,nirastu,விரைவுமொழி,Pronounced hurriedly,,,,
ஶிலா பொல்கொ,ssilaa polko,சிலேட்டுப் பலகை,Slate,,,,
ஶிலா க2ட்டி,ssilaa khaTTi,"கல்குச்சி, பல்பம்",Slate Pencil,,,,
கொட்னி,koTni,பல்பம்,Slate-pencil,,,,
பௌ3லம்,baulam,"மாக்கல், பலப்பம், சிலேட்டுக் குச்சி","Slate rock, Slate pencil",,,,
ஸை,sai,மை,Ink,,,,
ஸைநிடி,sainiTi,மைக்கூடு,Ink bottle,,,,
லிக்லாணி,liklaaNi,எழுத்தாணி,Iron Stylus,,,,
ஸுரி,suri,எழுத்தாணி,Iron Stylus,,,,
தாளு பான்,taaLu paan,பனை ஓலை,Palm leaf (used for writing),,,,
தி3ன்சரி,dincari,குறிப்பேடு,Notebook,,,,
ஸௌக்3ஞ,saugnja,குறிப்பு,Note,,,,
லிக்லொ,liklo,பேனா,Pen,,,,
பெய்னொ,peyno,பேனா,Pen,,,,
சக3ரால்,cagaraal,கையெழுத்து,Signature,,,,
ஹாதக்ஷர்,haatakshar,கையெழுத்து,Signature,,,,
பெ3த்தம்,bettam,பிரம்பு,"Cane, Rattan",,,,
து3மட்3,dumaD,பயிற்சி,"Exercise, Training, Practice",,,,
அப்4யாஸ்,abhyaas,பயிற்சி,"Exercise, Training, Practice",,,,
கெரிஸனி,kerisani,செய்முறை,"Practical, Recipe",,,,
கெரிஸனி வர்ணனொ,kerisani varNano,செய்முறை விளக்கம்,Practical description,,,,
கே4ரப்4யாஸ்,ghErabhyaas,வீட்டு பாடம்,Homework,,,,
ஶேக்,ssEk,வகுப்பு வேலை,Class work,,,,
மனனொ,manano,மனப்பாடம்,Memorization,,,,
மனன கெரத்தெ,manana keratte,மனப்பாடம் செய்தல்,Memorising,,,,
பன்து,pantu,போட்டி,Competition,,,,
மந்து,mantu,போட்டி,Competition,,,,
புரஸ்கார்,puraskaar,விருது,Award,,,,
மம்பு,mampu,உதவித்தொகை,Stipend,,,,
பரீக்ஷொ,pareeksho,பரிட்சை,Examination,,,,
ஒத்தடி3 தொ2வ்னி,ottaDi thovni,"தள்ளி வைத்தல், விலக்கி வைத்தல்","Postpone, Debarment",,,,
தொ3ப்3பி3 தொ2வ்னி,dobbi thovni,"தள்ளி வைத்தல், விலக்கி வைத்தல்","Postpone, Debarment",,,,
லங்க3த்தெ,langgatte,"தேர்ச்சி பெறுதல், கடத்தல்","Pass, Cross",,,,
ப்ரமாண்பத்ரொ,pramaaNpatro,சான்றிதழ்,Certificate,,,,
