alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
கா2ள்,khaaL,விளையாட்டு,"Game, Sports, Play",,,,
கி3ரிடி3,giriDi,விளையாட்டு,"Game, Sports, Play",,,,
க2ளத்தெனொ,khaLatteno,விளையாடுபவர்,Player,,,,
கெ2ளாடு3,kheLaaDu,விளையாட்டு வீரர்,Sportsman,,,,
கி3ரிடு3,giriDu,விளையாட்டு வீரர்,Sportsman,,,,
கே2ளு பூய்ஞ்,khELu pooynj,"திடல், மைதானம், விளையாட்டு அரங்கம்","Playground, Stadium",,,,
பொயல்,poyal,"திடல், மைதானம்",Ground,,,,
பன்து மைதா3ன்,pantu maidaan,பந்தய மைதானம்,Race course,,,,
பன்து,pantu,போட்டி,"Competition, Contest, Race, Match",,,,
த4மினி கி3ரிடு3,dhamini giriDu,"தடகள வீரர், ஓட்டப்பந்தய வீரர்","Athlete, Sprinter, Runner",,,,
த4மினி பன்து,dhamini pantu,ஓட்டப்பந்தயம்,Running race,,,,
உஞ்சொ தரத்தெ,unjco taratte,உயரம் தாண்டுதல்,High jump,,,,
லம்பொ3 தரத்தெ,lambo taratte,நீளம் தாண்டுதல்,Long jump,,,,
ஶூல் விஸிர்னி,ssool visirni,ஈட்டி எறிதல்,Javelin throw,,,,
செக்குர் விஸிர்னி,cekkur visirni,வட்டு எறிதல்,Discus throw,,,,
திர்னி பன்து,tirni pantu,நீச்சல் போட்டி,Swimming Competion,,,,
மல்லயுத்3தொ4,mallayuddho,மல்யுத்தம்,Wrestling,,,,
முஷ்டியுத்3தொ4,mushTiyuddho,குத்துச்சண்டை,Boxsing,,,,
செண்டு3,ceNDu,பந்து,Ball,,,,
பாய்ஞ்செண்டு3,paaynjceNDu,கால்பந்து,Football,,,,
ஹாதுசெண்டு3,haatuceNDu,கைப்பந்து,Volleyball,,,,
புட்3கிசெண்டு3,puDkiceNDu,கூடைப்பந்து,Basketball,,,,
புட்3கிசெண்டு3 மைதா3ன்,puDkiceNDu maidaan,கூடைப்பந்து மைதானம்,Basketball court,,,,
பாய்ஞ்செண்டு3 மைதா3ன்,paaynjceNDu maidaan,கால்பந்து மைதானம்,Football court,,,,
பூ2லுசெண்டு3,phooluceNDu,பூப்பந்து,Ball Badminton,,,,
பிஞ்செ2செண்டு3,pinjcheceNDu,இறகுப்பந்து,Shuttlecock,,,,
மொட்டொசெண்டு3,moTToceNDu,மட்டைப்பந்து,Cricket,,,,
மொட்டொ,moTTo,மட்டை,Cricket Bat,,,,
மொட்டொசெண்டு3 மைதா3ன்,moTToceNDu maidaan,மட்டைப்பந்து மைதானம்,Cricket Ground,,,,
பூ4ய்ஞ்க2ட்டி,bhooynjkhaTTi,அடிக்கட்டை,Stump,,,,
சதுரங்கொ3,caturanggo,சதுரங்கம்,Chess,,,,
சதுரங்கொ3 பட்டொ,caturanggo paTTo,சதுரங்க பலகை,Chess board,,,,
க்ரிஸ்து பைடி3,kristu paiDi,பிஷப்,Bishop,,,,
ஶிப்பாய்,ssippaay,சிப்பாய்,Pawn,,,,
கொ4டா3 ஶிப்பாய்,ghoDaa ssippaay,குதிரை வீரர்,Knight,,,,
வகுண்டொ லைடொ3,vakuNTo laiDo,வளைதடி,Hockey,,,,
லைடொ3செண்டு3,laiDoceNDu,கழிபந்து,Baseball,,,,
சீடு3 கா2ள்,ceeDu khaaL,சீட்டாட்டம்,Card game,,,,
