alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
"த4வ்ரொ, தௌ4ரொ","dhavro, dhauro",கோவில்,Temple,த4வ்ரொ ந்ஹாத்த கா3மு ஜிவன் ஹோனா,dhavro nhaatta gaamu jivan hOnaa,கோவில் இல்லாத ஊரில் குடியிருக்க வேண்டாம்,Don't live in a town without a temple
கொ3புர்,gopur,கோபுரம்,Tower,த4வ்ரா கொ3புரும் கௌது3ன் ஜிவஸு,dhavraa gopurum kaudun jivasu,கோவில் கோபுரத்தில் புறாக்கள் வாழ்கிறது,Pigeons live in the temple tower
தே3வ்,dEv,"கடவுள், இறைவன்",God,விஸேஶு தி3ன்னும் தே3வ் த3ர்ஶனொ அப்3ப3த்தக் வேள் ஹோஸு,visEssu dinnum dEv darssano abbattak vEL hOsu,விசேஷ நாட்களில் கடவுள் தரிசனம் கிடைக்க நேரமாகிறது,"On special days, it takes time to get the darshan of God"
ப4க3வான்,bhagavaan,"கடவுள், இறைவன்",God,ப4க3வான் மெனிகு ரூபும் அவன் மெனென்,bhagavaan meniku roopum avan menen,கடவுள் மனித உருவத்தில் வருவார் என்பார்கள்,It is said God will come in human form
அம்மொ,ammo,"அம்மன், பெண் கடவுள்",Goddess,மது3ரெம் மீனாக்ஷி அம்மொ நாவ் பொடெ3 தே3வ்,madurem meenaakshi ammo naav poDe dEv,மதுரையில் மீனாக்ஷி அம்மன் பெயர் பெற்ற கடவுள்,Meenakshi Amman is a famous deity in Madurai
ஐயா தௌ4ரொ,aiyaa dhauro,சிவன் கோவில்,Shiva Temple,சிவராத்ரி தெந்து3ஸ் ஐயா தௌ3ராம் ராத் பூராக் புஜெ சலஸு,civaraatri tendus aiyaa dauraam raat pooraak puje calasu,சிவராத்திரி அன்று சிவன் கோவிலில் இரவு முழுவதும் பூஜை நடக்கிறது,"On Shivratri, all-night puja is performed in the Shiva temple"
அம்மா தௌ4ரொ,ammaa dhauro,அம்மன் கோவில்,Meenakshi Temple,மது3ரெ அம்மா தௌ4ரொ ப்ரஸித்3தி4 ஹொயெ தௌ4ரொ,madure ammaa dhauro prasiddhi hoye dhauro,மதுரை மீனாக்ஷி அம்மன் கோவில் பெயர் பெற்ற கோவில்,Madurai Meenakshi Amman Temple is a famous temple
மன்மெ தௌ4ரொ,manme dhauro,மாரியம்மன் கோவில்,Mariamman Temple,ஆடி3 ம்ஹடா3ம் மன்மெ தௌ4ராம் மூகொ3 வேன் ர்ஹாய்,aaDi mhaDaam manme dhauraam moogo vEn rhaay,ஆடி மாதத்தில் மாரியம்மன் கோயிலில் கூட்டம் அதிகமாக இருக்கும்,Mari Amman Temple is crowded during the month of Adi
அவ்தார்,avtaar,அவதாரம்,"Avatar, Incarnation",ராமுடு3 பை4 லக்ஷமணன் ஆதி3ஸேஷனு அவ்தாரு,raamuDu bhai lakshamaNan aadisEshanu avtaaru,ராமரின் தம்பி லக்ஷ்மணன் ஆதிசேஷனின் அவதாரம்,Rama's younger brother Lakshmana is an incarnation of Adisesha
கீஷ்டு,keeshTu,கிருஷ்ணபகவான்,Lord Krishna,கீஷ்டு து3வாபர யுக3மு ஜிவ்யாஸி,keeshTu duvaapara yugamu jivyaasi,கிருஷ்ணர் துவாபர யுகத்தில் வாழ்ந்தார்,Lord Krishna lived in Dvapara Yuga
