alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
உபகரணொ,upakaraNo,கருவி,Apparatus,ரஸஶாலாம் ஜு2கு3 உபகரணானுக் ஸவாயி,rasassaalaam jhugu upakaraNaanuk savaayi,ஆய்வகத்தில் பல கருவிகளை நாம் பார்க்கலாம்,We can see many apparatus in the laboratory
ஸாத4னொ,saadhano,கருவி,"Device, Tool",ஸங்க3ணகொ ஒண்டெ ஶக்திஹொயெ ஸாத4னொ,sanggaNako oNTe ssaktihoye saadhano,கணினி ஒரு சக்திவாய்ந்த கருவி,Computer is a powerful tool
"ஐது3, அய்து3","aidu, aydu",ஆயுதம்,Weapon,மோனொ சாகு ஒண்டெ ஆபத்3ஹொயெ அய்து3,mOno caaku oNTe aapadhoye aydu,கூர்மையான கத்தி ஒரு ஆபத்தான ஆயுதம்,Sharp knife is a dangerous weapon
அஸ்த்ரம்,astram,ஆயுதம்,Weapon,முந்த3டி3 கலமு த4னுகின் பா3ணு முக்ய அஸ்த்ரொகன் ஹொதெ3ஸ்,mundaDi kalamu dhanukin baaNu mukya astrokan hodes,பழங்காலத்தில் வில்லும் அம்பும் முக்கிய ஆயுதங்களாக இருந்தன,In ancient times the bow and arrow were the main weapons
மூர்,moor,சுத்தியல்,Hammer,பீ4தும் கீல் ஹனத்தக் மூர் பஜெ,bheetum keel hanattak moor paje,சுவற்றில் ஆணி அடிக்க சுத்தியல் தேவை,A hammer is needed to hit the nail on the wall
கீல்,keel,ஆணி,Nail,தீ3 பொல்கானுக் கீலு ஹனி ஒண்டேஸ்கன் செர்ச்சுவாயி,dee polkaanuk keelu hani oNTEskan cerccuvaayi,இரண்டு பலகைகளை ஆணி அடித்து ஒன்றாக இணைக்கலாம்,Two planks can be joined by nailing them together
த3ந்தினி,dantini,குறடு,"Pincer, Pliers",த3ந்தினி ஒண்டெ வஸ்துக் தெ4ரி உட்சத்தக் நுக3ஸு,dantini oNTe vastuk dheri uTcattak nugasu,குறடு ஒரு பொருளைப் பிடித்து இழுக்க பயன்படுகிறது,The pincer is used to pullout an object
நிப்3ரொ,nibro,குறடு,"Pincer, Pliers",கீல் உக்கத்தக் நிப்3ரொ நுக3ஸு,keel ukkattak nibro nugasu,ஆணி பிடுங்க குறடு பயன்படுத்தப்படுகிறது,The pliers is used to pull the nail
பி3க்3ரொ,bigro,திருகி முடுக்கும் கருவி,Spanner,நஹொகின் அர்க3லிக் தி4ல்லொ கெரத்தக் பி3க்3ரொ நுக3ஸு,nahokin argalik dhillo kerattak bigro nugasu,நட்டு மற்றும் போல்ட்டை தளர்த்த திருகி பயன்படுத்தப்படுகிறது,Spanners is used to loosen the nut and bolt
க2னடி,khanaTi,கடப்பாரை,Crowbar,க2னடி க2ண்டி3 கொவ்ரத்தக் ஒர்க3யி,khanaTi khaNDi kovrattak orgayi,கடப்பாரை குழி தோண்டுவதற்கு பயன்படும்,A crowbar is used to dig pit
க2ந்துடொ,khantuTo,கடப்பாரை,Crowbar,பு4ய்ஞ் கொவ்ரரியொ க2ந்துடொ லம்பொ3 ர்ஹாயி,bhuynj kovrariyo khantuTo lambo rhaayi,பூமியை தோண்டும் கடப்பாரை நீளமாக இருக்கும்,The crowbar to dig the earth is long
பி4ந்தி,bhinti,உளி,Chisel,லைடா3க் ஆகார் தே3த்தக் பி4ந்தி நுக3ஸு,laiDaak aakaar dEttak bhinti nugasu,மரத்தை வடிவமைக்க உளி பயன்படுத்தப்படுகிறது,Chisel is used for shaping wood
டங்கு,Tangku,கல் வெட்டும் உளி,Stone cutter chisel,டங்க்னார் தெ3ய்டா3க் ஆகார் தே3த்தக் டங்கு ப்ரயோக்3 கெரராஸ்,Tangknaar deyDaak aakaar dEttak Tangku prayOg keraraas,சிற்பி கல்லை வடிவமைக்க உளி பயன்படுத்துகிறார்,The sculptor uses a chisel to shape the stone
ஹனடி,hanaTi,மரச்சுத்தியல்,Mallet,தெனொ ஹனடி ஹால் பனி கெ3ட்3டொ3 பொ2ட3ரஸ்,teno hanaTi haal pani geDDo phoDaras,அவன் மரச்சுத்தியால் பனிக்கட்டியை உடைக்கிறான்,He breaks the ice with a mallet
தா2ஸு,thaasu,இழைப்புளி,Hand Planer,ஹொடை3து தாஸு ஹால் பொள்காக் சிவெஸி,hoDaitu taasu haal poLkaak civesi,தச்சர் ஒரு இழைப்புளி மூலம் பலகையை இழைத்தார்,The carpenter leveled the plank with a hand planer
லாவு,laavu,வாள்,Sword,ரஜா கலமு லாவ் க2ல்லி மல்லியாஸி,rajaa kalamu laav khalli malliyaasi,அரசர் காலத்தில் வாள் ஏந்திப் போரிட்டனர்,During the reign of King they fought with swords
கத்கொ,katko,அரிவாள்,Sickle,கத்கொ ஹால் ஹரிணுக் கடனு,katko haal hariNuk kaTanu,அரிவாளால் களை எடுப்பார்கள்,Weeds are removed with sickle
பர்ஶு,parssu,கோடாரி,Axe,பர்ஶுராம் அய்து3 பர்ஶு,parssuraam aydu parssu,பரசுராமனின் ஆயுதம் கோடாரி,Parasuraman's weapon was an ax
சகி,caki,"இயந்திரம், ஆலை","Machine, Mill",தந்து3 பீடு சகி ஹொகலும் தயி லுப்3ப3ஸுன்,tandu peeTu caki hokalum tayi lubbasun,அரிசி மாவை இயந்திர உரலில் போட்டு அரைப்பார்கள்,Rice batter is ground in the grinding machine
நேலு,nElu,இயந்திரம்,Machine,நெலுன் மெனிகு காமு ஸல்லிஸ் கெரஸு,nelun meniku kaamu sallis kerasu,மனிதர்களின் வேலையை இயந்திரங்கள் எளிதாக்குகின்றன,Machines make human work easier
நெலும்,nelum,பஞ்சுபொதி அழுத்தும் இயந்திரம்,Cotton Bale pressing machine,கபு3ஸுக் நெலுமு தொ2வி க4ந்த்ரொ கி4ந்த3னு,kabusuk nelumu thovi ghantro ghindanu,பஞ்சை இயந்திரத்தில் வைத்து அழுத்தி மூட்டை கட்டுவார்கள்,The cotton is pressed in the bale machine and packed
ர்ஹெடொ3,rheDo,தையல் இயந்திரம்,Sewing Machine,பொ3ட்டொ ஸிவத்தக் ர்ஹெடொ3 நுக3ஸு,boTTo sivattak rheDo nugasu,ஆடைகளை தைக்க தையல் இயந்திரம் பயன்படும்,A sewing machine is used to sew clothes
மால்,maal,பட்டை,Pulley Belt,மால் தி4ல்லொ ர்ஹியெத் ர்ஹெடா3 செக்குர் ஜி2ர்க்கயி,maal dhillo rhiyet rheDaa cekkur jhirkkayi,பட்டை தளர்வாக இருந்தால் தையல் இயந்திரத்தின் சக்கரம் வழுக்கும்,If the strap is loose the wheel of the sewing machine will slip
லுங்க்டொ3,lungkDo,கத்தரிக்கோல்,Scissors,டங்க்னார் ஹாதும் டங்கு ஸொகன் ஸிம்பி3 ஹாதும் ஸேத்தெ லுங்க்டொ3,Tangknaar haatum Tangku sokan simbi haatum sEtte lungkDo,சிற்பியின் கையில் உளி போல் தையல்காரரின் கையில் உள்ள கத்தரிக்கோல்,Scissors in the hands of the tailor is like a chisel in the hand of the sculptor
லுங்க்ளொ,lungkLo,கத்தரிக்கோல்,Scissors,பொ3ட்டொ குட்கொ கெரத்தக் லுங்க்ளொ நுக3ஸு,boTTo kuTko kerattak lungkLo nugasu,துணியை வெட்ட கத்தரிக்கோல் பயன்படுகிறது,Scissors are used to cut the cloth
கெத்திரிக்கெ,kettirikke,கத்தரிக்கோல்,Scissors,கெத்திரிக்கெ ஹால் நெக்கு மெல்லொ குட்கொ கெருவாயி,kettirikke haal nekku mello kuTko keruvaayi,கத்தரிக்கோலால் நகத்தை கூட வெட்ட முடியும்,Scissors can also cut the nail
ஸிவி,sivi,ஊசி,Needle,ஸிவிம் தொ3ரி பொமொத்தக் தொ3ளா ஸனி சொக்கட் ர்ஹனொ,sivim dori pomottak doLaa sani cokkaT rhano,ஊசியில் நூல் கோர்க்க கண் பார்வை நன்றாக இருக்கவேண்டும்,Eye sight should be good for threading a needle
தொ3ரி செண்டு3,dori ceNDu,நூல்கண்டு,Thread bundle,தொ3ரி செண்டு3ன் பொ4வெ வனினும் அப்3ப3ஸு,dori ceNDun bhove vaninum abbasu,நூல்கண்டுகள் நிறைய வண்ணங்களில் கிடைக்கின்றன,Thread bundles are available in a lot of colors
த3பன் ஸிவி,dapan sivi,"கோணி ஊசி, சாக்கு ஊசி",Sack sewing needle,கெச்சந்தி3கு த3பன் ஸிவிஹால் ஸிவஸுனு,keccandiku dapan sivihaal sivasunu,சாக்குப்பையை கோணி ஊசியால் தைப்பார்கள்,Sacks are sewn with sack sewing needle
ஹல்லொ,hallo,"கலப்பை, ஏர், ஏர்க்கால்",Plough,நங்கு3னாருன் ஹல்லொ ஹால் கே2துக் நங்க3னு,nanggunaarun hallo haal khEtuk nangganu,விவசாயிகள் கலப்பையால் வயலை உழுவார்கள்,Farmers plow the field with plows
ஏடி3கோல,EDikOla,"கலப்பை, ஏர், ஏர்க்கால்",Plough,நங்கு3னாருன் கொ3ருக் ஏடி3கோலாம் ஸம்டடி3கின் கே2துக் ஜுன்னஸுன்,nanggunaarun goruk EDikOlaam samTaDikin khEtuk junnasun,விவசாயிகள் ஏரில் எருகளை பூட்டி வயலை உழுவார்கள்,Farmers lock the oxen in the plow and plow the field
கூப3ரொ,koobaro,"கலப்பை, ஏர், ஏர்க்கால்",Plough,கூப3ராக் அவ்ங்கி தெ4ரி உட்சத்தவேள் அடு3க்கு ஸேத்தெ மத்தி ஹொல்லொ அவஸு,koobaraak avngki dheri uTcattavEL aDukku sEtte matti hollo avasu,ஏர்க்காலை அழுத்திப் பிடித்து இழுக்கும் போது கீழே உள்ள மண் மேலே வருகிறது,The soil below comes up when the plow is pressed and pulled
நுகொ3,nugo,நுகத்தடி,Yoke (part of bullock cart),கொ3ருனுக் நுகா3ம் ஸொவ்ண்டடி3 கொ3ரு பொ3ண்டி3 தொ3வ்ட2னு,gorunuk nugaam sovNTaDi goru boNDi dovThanu,மாடுகளை நுகத்தடியில் மாட்டி மாட்டுவண்டியை ஓட்டுவார்கள்,The bullock catrs are driven by locking the oxen under the yoke
ப4ஸ்து,bhastu,துருத்தி,Bellows,ஹுலொ ம்ஹௌஜனாத்தக் ர்ஹாத்தக் ப4ஸ்து ஹால் வர ஹனன்,hulo mhaujanaattak rhaattak bhastu haal vara hanan,நெருப்பு அணையாமல் இருக்க துருத்தியால் காற்றடிப்பார்கள்,The air is blown through the bellows to keep the fire burning
சாடொ,caaTo,சாட்டை,Whip,கொ3ரு பி3ஸ்ஸொ த4மத்தக் சாடொ ஹால் ஹனனு,goru bisso dhamattak caaTo haal hananu,மாடு வேகமாக ஓடுவதற்கு சாட்டையால் அடிப்பார்கள்,The cow is beaten with a whip to make it run faster
ஸானு,saanu,சாணைக்கல்,Grinding stone,சாகுக் ஸானும் கெ3ஸிகின் மொனொ கெரனு,caakuk saanum gesikin mono keranu,கத்தியை சாணைக்கல்லில் தேய்த்து கூராக்குவார்கள்,The knife is rubbed on the grindstone and sharpened
