alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
பெய்னொ,peyno,பயணம்,Journey,பெய்னொ ஆங்கு3க்கின் மொன்னுக் ஶ்ரமொபரிஹார் கெரஸு,peyno aanggukkin monnuk ssramoparihaar kerasu,பயணம் உடலுக்கும் மனதுக்கும் புத்துணர்ச்சி அளிக்கிறது,Journey refreshes body and mind
யாத்ரொ,yaatro,யாத்திரை,Pilgrimage,கஸிக் யாத்ரா ஜாத்தக் ஜு2கு3தெங்கொ3 ஆஸ்தொ ஸே,kasik yaatraa jaattak jhugutenggo aasto sE,காசிக்கு யாத்திரை போக பலருக்கு ஆசை உள்ளது,Many have a desire to go on a pilgrimage to Kashi
வாட் ஸார்வொ,vaaT saarvo,தொலைதூர பயணம்,Long journey,தெனு வளுராணும் வாட் ஸார்வொ கெர்யாஸி,tenu vaLuraaNum vaaT saarvo keryaasi,அவர்கள் பாலைவனத்தில் தொலைதூரம் பயணித்தார்கள்,They went on a long journey across the desert
"ப்ரயாண், யாத்ரொ","prayaaN, yaatro",பயணம்,Travel,தெ2வ்டெ3 பணைதுன் ஒர்ஸுதிஸூ பெய்னொ கெரஸுன்,thevDe paNaitun orsutisoo peyno kerasun,சில வணிகர்கள் ஆண்டு முழுவதும் பயணம் செய்கிறார்கள்,Some traders travel throughout the year
பிஜத்தெ,pijatte,பயணம் செய்தல்,Traveling,முயி ஹொல்லொ பெய்னொ கெரத்தெ கௌதுகன் ர்ஹாயி,muyi hollo peyno keratte kautukan rhaayi,ஒட்டகத்தில் பயணம் செய்வது மிகவும் வேடிக்கையாக இருக்கும்,Traveling on a camel can be a lot of fun
ஸவாரி,savaari,பயணம்,Ride,ரோட்டர்டா3மு ஸ்பிளாஷ் மெனெத்தெ ம்ஹொடொ3பொ3ண்டி3 பனிம் கா2ல் ஸவாரி கெரஸு,rOTTarDaamu spiLaash menette mhoDoboNDi panim khaal savaari kerasu,ரோட்டர்டாமில் ஸ்பிளாஷ் எனும் பேருந்து நீருக்கடியில் சவாரி செய்கிறது,The Splash Bus in Rotterdam rides underwater
வாடு3 பெய்னொ,vaaDu peyno,பயண சிற்றுண்டி,Travel snacks,"வாடு3 பெய்னொகன் தெந்துலொ, லட்3டு3, புரினுக் க2ல்லி ஜாஸுன்","vaaDu peynokan tentulo, laDDu, purinuk khalli jaasun","பயண சிற்றுண்டிகளாக முறுக்கு, லட்டு, அதிரசங்களை எடுத்துச் செல்கின்றனர்","They carry Murukku, Laddu, Athirasam as traveling snacks"
"பாந்து, யாத்ரி","paantu, yaatri",பயணி,Traveler,எச்சட3த்தெங்கொ3 ஜொவள் பாந்துன் ஜாக்3ரதொகன் ர்ஹனொ,eccaDattenggo jovaL paantun jaagratokan rhano,ஏமாற்றுபவர்களிடம் பயணிகள் கவனமாக இருக்க வேண்டும்,Travelers should be beware of cheaters
பர்யடன்,paryaTan,"சுற்றுப்பயணம், சுற்றுலா","Tour, Excursion",மென்க்யான் ஒர்ஸுதிஸூ பர்யடன் ஜாஸுனு,menkyaan orsutisoo paryaTan jaasunu,மக்கள் ஆண்டு முழுவதும் சுற்றுப்பயணம் செய்கிறார்கள்,People keep touring througout the year
பர்யடொ,paryaTo,சுற்றுலா பயணி,Tourist,மஹாப3லிபுரமு ஜு2கு3 விதே3ஶு பர்யடானுக் ஸவாயி,mahaabalipuramu jhugu vidEssu paryaTaanuk savaayi,மகாபலிபுரத்தில் ஏராளமான வெளிநாட்டு சுற்றுலாப் பயணிகளைக் காணலாம்,A large number of foreign tourists can be found in Mahabalipuram
லாங்கு3,laanggu,பாலம்,Bridge,யாத்ரொ மெந்தொ ஜு2கு3 ஸம்ஸ்க்ருதினுக் செர்ச்சரியொ லாங்கு3,yaatro mento jhugu samskrutinuk cerccariyo laanggu,பயணம் என்பது மற்ற கலாச்சாரங்களை இணைக்கும் பாலம்,Travel is the bridge that connects other cultures
லங்கி3 ஜாத்தெ,langgi jaatte,கடந்து செல்தல்,To cross,ஸீதாதே3விக் மிளத்தக் ஹன்மந்து ஸுந்து3ருக் லங்கி3 ஜியாஸி,seetaadEvik miLattak hanmantu sunduruk langgi jiyaasi,சீதாதேவியை சந்திக்க அனுமான் கடலை கடந்து சென்றார்,Hanuman crossed the ocean to meet Sita Devi
பெய்னாபெடி,peynaapeTi,கைப்பெட்டி,Suitcase,ஒண்டெ ராது ப்ரயாணுக் பெய்னாபெடி பு2ரொ,oNTe raatu prayaaNuk peynaapeTi phuro,ஒரு இரவு பயணத்திற்கு சூட்கேஸ் போதுமானது,A suitcase is enough for an overnight trip
பெய்னா ஜமான்,peynaa jamaan,பயணச் சாமான்கள்,"Luggage, Baggage",பெய்னா வேள் ஜமானுன் உன்னொகன் தொ2வ்லுவொ,peynaa vEL jamaanun unnokan thovluvo,பயணத்தின் போது சாமான்களை குறைவாக வைத்திருங்கள்,Keep luggage to a minimum while travelling
மொள்டி,moLTi,"மூட்டை, கட்டு",Bundle,ஹன்னவ் மொள்டி கோஸெ?,hannav moLTi kOse?,பண மூட்டை எங்கே?,Where is the money bundle?
மொள்டொ,moLTo,மூட்டை,Bundle,பி2ல்லியெ பொ3ட்டானுக் ஒண்டெ மொள்டாம் ப4ந்தி3 தொ2வொ,philliye boTTaanuk oNTe moLTaam bhandi thovo,உடுத்திய துணிகளை ஒரு மூட்டையில் கட்டி வைக்கவும்,Pack the used clothes in a bundle
க4ந்த்ரொ,ghantro,"மூட்டை, பொதி",Bundle,பூ3ரு ஹால் க4ந்த்ரொ ப4ந்து3வொ,booru haal ghantro bhanduvo,பனை ஓலைக் கயிற்றால் மூட்டையைக் கட்டவும்,Tie the bundle with palm leaf rope
ப4ந்தி3னி,bhandini,"மூட்டை கட்டுதல், பொட்டலம்","Packing, Parcel, Package","ப4ந்தி3னி ந்ஹன்னகன் ர்ஹியெத், க2ல்லி ஜாத்தெ ஸுல்ப்3யமு","bhandini nhannakan rhiyet, khalli jaatte sulbyamu","மூட்டை சிறியதாக இருந்தால், எடுத்துச் செல்வது எளிது","The smaller the packing, the easier it is to carry"
வாட்,vaaT,வழி,"Path, Track, Way",அகாஸும் மெல்லொ வாடுன் ஸே,akaasum mello vaaTun sE,வானத்தில் கூட பாதைகள் உள்ளன,Even in the sky there are paths
