alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஜா2டு3னு பா4கு3ன்,jhaaDunu bhaagun,மர பாகங்கள்,Tree parts,,,,
பொ4ணம்,bhoNam,பாகம்,Part,,,,
வித்து,vittu,விதை,Seed,,,,
ஈமு,eemu,விதை,Seed,,,,
பீ3,bee,விதை,Seed,,,,
பீ3க்3,beeg,விதை,Seed,,,,
கச்சம்பா3 பீ3க்,kaccambaa beek,மாங்கொட்டை,Mango seed,,,,
"சின்சிரி, சிஞ்ஜிரி","cinciri, cinjjiri",புளியங்கொட்டை,Tamarind Seed,,,,
ஹப்பள்,happaL,பாக்கு,"Betel Nut, Arecanut",,,,
தாளு பீ3ஜு,taaLu beeju,தென்னை விதை,Palmyra seed,,,,
த3ல்லங்கு3,dallanggu,ஆண் பனைவிதை,Male palmyra seed,,,,
ஸெர்கி,serki,பருத்தி விதை,Cotton seed,,,,
கெளி,keLi,மொட்டு,Bud,,,,
மொள்கொ,moLko,அரும்பு,Bud,,,,
சிகு3ர்,cigur,முளை,Bud,,,,
மூள்,mooL,வேர்,Root,,,,
ஒடா3வுட3ல்,oDaavuDal,ஆலமர விழுது,Prop or Aerial roots of Banyan Tree,,,,
கா2ல் ஜா2டு3,khaal jhaaDu,அடிமரம்,Tree bottom,,,,
தே3ட்,dET,காம்பு,"Stem, Stalk",,,,
தொண்மொ,toNmo,காம்பு,"Stem, Stalk",,,,
ஒலொ,olo,கொழுந்து,Tender twig / shoot,,,,
கெளின்,keLin,அரும்பு,Blossom,,,,
பூ2ல்,phool,பூ,Flower,,,,
புலத்தெ,pulatte,பூத்தல்,Blooming,,,,
விஸிஞ்ஜினி,visinjjini,"மலர்தல், அரும்புதல்","Flowering, Blossoming",,,,
கெளாபூ2ல்,keLaaphool,மனோரஞ்சிதம்,Ylang-ylang,,,,
கின்ஸுபூ2ல்,kinsuphool,தாழம்பு,Screwpine,,,,
மோது2பூ2ல்,mOthuphool,தாழம்பூ,Screw Pine,,,,
கேது3,kEdu,"தாழை, தாழம்பூ",Screw Pine,,,,
கு2ம்பா3பூல்,khumbaapool,தும்பைப்பூ,Leucas Aspera-Flower,,,,
ஸொம்பெ,sompe,செண்பகம்,Champak flower,,,,
வல்லரி,vallari,மலர்கொத்து,Bouquet,,,,
கு3சொ,guco,பூங்கொத்து,"Bouquet, Bunch",,,,
ரேக்,rEk,இதழ்,Petal,,,,
நெரமு,neramu,நரம்பு,Vein,,,,
பான்,paan,இலை,Leaf,,,,
லீம்பான்,leempaan,வேப்ப இலை,Neem leaf,,,,
நீம் பான்,neem paan,வேப்பிலை,Neem leaf,,,,
குர்த்துபான்,kurttupaan,பனை ஓலை,Palm leaf,,,,
தாளு பான்,taaLu paan,பனை ஓலை,Palm leaf,,,,
ஶாகு2,ssaakhu,கிளை,"Branch, Bough, Bark",,,,
ஸாகொ3,saago,கிளை,"Branch, Bough, Bark",,,,
கொம்மொ,kommo,கிளை,Branch,,,,
ருந்த3த்தெ,rundatte,கிளை விட்டு பரவுதல்,Branch spread,,,,
ஜா2டு3 பொட்டொ,jhaaDu poTTo,மரப்பட்டை,Bark,,,,
ஶிபு,ssipu,மரத்தண்டு,Tree trunk,,,,
கோ2ஸ்,khOs,"மரத்தின் அடிப்பாகம், அடிக்கட்டை",Stump,,,,
கீ4ர்,gheer,ஆழமாக,Deep,,,,
மூஸ்,moos,அடிப்பாகம்,Bottom,,,,
தோஸ்,tOs,உச்சி,Top,,,,
சுப்டொ,cupTo,பருத்தி / பஞ்சு,Cotton,,,,
"கபுஸ், கபு3ஸ்","kapus, kabus",பஞ்சு,Cotton,,,,
சந்தி3,candi,இலவம் பஞ்சு,Silk Cotton,,,,
பு3ஸ்கொ,busko,கழிவு நூல்,Waste yarn,,,,
பு3ஸொ,buso,மேல் ஓடு,Shell,,,,
கேலு தோமு,kElu tOmu,வாழைக்குலை,Banana Bunch,,,,
நரெளு தோமு,nareLu tOmu,தென்னம்பாளை,Coconut flower,,,,
மொட்டொ,moTTo,தென்னை மட்டை,"Coconut bat, Petiole",,,,
பே2பு,phEpu,தென்னை மட்டை,"Coconut bat, Petiole",,,,
