alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
தேகு,tEku,தேக்கு,Teak,தேகு ஜா2டு3 பொல்கானுக் ஹுதி3ன் தெ4ர்னா,tEku jhaaDu polkaanuk hudin dhernaa,தேக்கு மரப் பலகையை கரையான் அரிக்காது,Termites do not eat teak wood
லீமு ஜா2ட்3,leemu jhaaD,"வேப்பமரம், வேம்பு",Neem Tree,அம்மொ நிகி3ளாத்தெங்கொ3 லீமு ஜா2டு3 பானும் நிஞ்ஜட3ன்,ammo nigiLaattenggo leemu jhaaDu paanum ninjjaDan,அம்மை நோய் உள்ளவர்களை வேப்ப இலையில் படுக்க வைப்பார்கள்,People with measles are put to bed with neem leaves
நீமு ஜா2ட்3,neemu jhaaD,"வேப்பமரம், வேம்பு",Neem Tree,நீமு ஜா2டு3 வரொ ஆங்கு3க் சொக்கடு3,neemu jhaaDu varo aangguk cokkaDu,வேப்ப மரத்தின் காற்று உடலுக்கு நல்லது,The air of the neem tree is good for the body
பிம்பள் ஜா2ட்3,pimpaL jhaaD,அரசமரம்,Peepal Tree,ஜா2டு3னுக் ரஜொ பிம்பள் ஜா2டு3,jhaaDunuk rajo pimpaL jhaaDu,மரங்களின் அரசன் அரசமரம்,Peepal Tree is the king of trees
ஒடா3 ஜா2ட்3,oDaa jhaaD,ஆலமரம்,Banyan Tree,ஒடா3 ஜா2ட்3 ஶீன் ஶமுல்லத்தக் சொக்கட் ஸைலு தே3யி,oDaa jhaaD sseen ssamullattak cokkaT sailu dEyi,ஆலமரம் இளைப்பாற நல்ல நிழல் தரும்,The banyan tree gives good shade to relax
அஸோக ஜா2டு3,asOka jhaaDu,அசோக மரம்,"Ashoka Tree, Saraca indica",அஸோக ஜா2டு3 பொவ்ஸ் வேன் பொட3ரியொ ராணும் ஹொட3யி,asOka jhaaDu povs vEn poDariyo raaNum hoDayi,அசோக மரம் மழை அதிகம் உள்ள காடுகளில் வளரும்,Ashoka tree grows in rainfed forests
கச்சம்பா3 ஜா2டு3,kaccambaa jhaaDu,மாமரம்,Mango tree,கச்சம்பா3 ஜா2டு3 விடி3 கவாட் கெரத்தக் நுக3ஸு,kaccambaa jhaaDu viDi kavaaT kerattak nugasu,மாமரம் ஜன்னல் கதவு செய்ய பயன்படும்,Mango tree is used to make window door
தூது3,toodu,பூவரசம் பூ,Portia tree,"தூது3 ஜா2டு3 பானு, பூ2லு, கய்லொ மெனி அஸ்கி ஹொக3து கு3ண்ணு ஸேத்திஸானுகெ","toodu jhaaDu paanu, phoolu, kaylo meni aski hogatu guNNu sEttisaanuke","பூவரசம் மரத்தின் இலைகள், பூக்கள், காய்கள் அனைத்தும் மருத்துவ குணம் உள்ளவை","The leaves, flowers and pods of the Portia tree are all medicinal"
சீஸு ஜா2ட்3,ceesu jhaaD,புளியமரம்,Tamarind tree,ரெத்து சாத் கெரத்தக் சீஸு ஜா2ட்3 நுக3ஸு,rettu caat kerattak ceesu jhaaD nugasu,தேரின் அச்சு செய்ய புளியமரம் பயன்படும்,Tamarind tree is used to make the axle of the chariot
சந்தி3 ஜா2ட்3,candi jhaaD,இலவம் பஞ்சு மரம்,"Silk Cotton tree, Kapok tree",சந்தி3 ஜா2ட்3 சார் ஒர்ஸு ப2ரொ சொக்கட் போ2ள் தே3யி,candi jhaaD caar orsu pharo cokkaT phOL dEyi,இலவம் பஞ்சு மரம் நான்கு ஆண்டுகளுக்கு பிறகு நல்ல பலன் கிடைக்கும்,Silk cotton tree gives good results after four years
