alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
கய்லொகெஸுர்,kaylokesur,காய்கறி,Vegetables,ஹுடொ3 வித்3தெ3ம் கய்லொகெஸுர் ஹாகு தவாய்,huDo viddem kaylokesur haaku tavaay,மொட்டை மாடியில் காய்கறி தோட்டம் போடலாம்,You can plant a vegetable garden on the terrace
போ2ட்,phOT,காய்கறி,Vegetables,ஸம்பா4ர் மெனெத் சர்பாஞ்ஜு போ2டுன் ர்ஹனொ,sambhaar menet carpaanjju phOTun rhano,சாம்பார் என்றால் நாலைந்து காய்கறிகள் இருக்கவேண்டும்,Sambar should have four or five vegetables
அக3ஸ்திர்,agastir,வெண்டைக்காய்,"Okra, Lady finger, Lady's finger",,,,
அண்டொ3கோஸ்,aNDokOs,முட்டைகோஸ்,Cabbage,,,,
அம்ப3ட் ப4ஜ்ஜி,ambaT bhajji,புளிச்ச கீரை,"Sorrel Leaves, Sour Spinach",,,,
அம்பு3லொ,ambulo,நெல்லிக்காய்,Gooseberry,,,,
அம்பு3னொ,ambuno,அரை / அரு நெல்லி,Star gooseberry,,,,
அல்லொ,allo,இஞ்சி,Ginger,,,,
அவ்ஸா ப4ஜ்ஜி,avsaa bhajji,அகத்திக்கீரை,Hummingbird Tree Leaves,,,,
அஸ்துரு,asturu,வெண்டைக்காய்,"Okra, Lady finger, Lady's finger",,,,
ஆலு,aalu,சக்கரைவள்ளிக் கிழங்கு,Sweet Potato,,,,
உஸ்கைலொ,uskailo,சுண்டைக்காய்,Turkey Berry,,,,
ஒமாபான்,omaapaan,ஓம இலை,Ajwain Leaf,,,,
ஒன்னொ,onno,பட்டை அவரை,Broad beans,,,,
க3வுரு,gavuru,கேரட்,Carrot,,,,
கச்சிகெளொ,kaccikeLo,வாழைக்காய்,Green plantain,,,,
கச்செகென்னு,kaccekennu,பச்சை மொச்சை,Field Bean,,,,
கச்செமிர்க்கைலொ,kaccemirkkailo,பச்சை மிளகாய்,Green Chilli,,,,
கட்3மெல்,kaDmel,பிரண்டை,Veld grape,,,,
கட்கல்,kaTkal,பதர்,"Emptier grain, Husk",,,,
கந்தொ3,kando,வெங்காயம்,Shallot,,,,
கபினி ப4ஜ்ஜி,kapini bhajji,மணத்தக்காளிகீரை,Black Nightshade,,,,
கர்கு,karku,கொட்டாங்கச்சி,Coconut shell,,,,
கல்லொ,kallo,பாகற்காய்,Bitter gourd,,,,
கவ்னி ப4ஜ்ஜி,kavni bhajji,மணத்தக்காளிக்கீரை,Black Nightshade,,,,
கன்னுகைலொ,kannukailo,மொச்சைக்காய்,Field Bean,,,,
கா3ஜர்,gaajar,கேரட்,Carrot,,,,
கு3ண்டு3ஜிக்ரா பான்,guNDujikraa paan,கொத்தமல்லி,Coriander,,,,
கு3ல்பு3ள்ளொ,gulbuLLo,சக்கரைவள்ளிக் கிழங்கு,Sweet Potato,,,,
கெ3ட்3டா3 ஸுரன்,geDDaa suran,சேனை கிழங்கு,Yam,,,,
கெநர்லு மிஞ்சி,kenarlu minjci,கொலுமிச்சங்காய்,Kaffir Lime,,,,
கெர்பாவ்,kerpaav,கறிவேப்பிலை,Curry Leaf,,,,
கெளங்கு3,keLanggu,கிழங்கு,Tuber,,,,
கேளுபான்,kELupaan,வாழை இலை,Banana Leaf,,,,
கேளுபூ2ல்,kELuphool,வாழைப்பூ,Banana Blossom,,,,
கொ2வ்ளொ,khovLo,வெள்ளை பூசணி,Green Pumpkin,,,,
கொ3க்3கு3ர்கொள்ளா பான்,goggurkoLLaa paan,கற்பூரவள்ளி,Oregano,,,,
கொடு3 வீட்,koDu veeT,கசப்பு நார்த்தங்காய்,Bitter citron,,,,
கொம்பு3ரா ப4ஜ்ஜி,komburaa bhajji,அரைக்கீரை,Amaranth Greens,,,,
கொம்பு3ளொ,kombuLo,இளசு,Tender,,,,
கொளுஞ்ஜி,koLunjji,கொளுஞ்சி நார்த்தங்காய்,Kaffir Lime,,,,
சிப்பொ,cippo,சிரட்டை,Coconut Shell,,,,
த3ரள் ப4ஜ்ஜி,daraL bhajji,பசலைக்கீரை,Malabar Spinach,,,,
து4ள்பு3ள்ளொ,dhuLbuLLo,உருளைக்கிழங்கு,Potato,,,,
துடா3 பான்,tuDaa paan,"ஊமத்தம் இலை, ஊமத்தை இலை","Jimsonweeds, Datura leaf",,,,
தூ4ம்பான்,dhoompaan,புகையிலை,Tobacco,,,,
தெ4கு3ளொ,dheguLo,முளைக்கீரை,Amaranthus viridis,,,,
தெ4துடா3 பான்,dhetuDaa paan,ஊமத்தம் இலை,"Jimsonweeds, Datura leaf",,,,
தெ4ய்லா ப4ஜ்ஜி,dheylaa bhajji,தண்டுக்கீரை,Chinese Spinach,,,,
தே3டு,dETu,காம்பு,"Stem, Stalk",,,,
தொ2ள்சி,thoLci,துளசி,Basil / Tulsi,,,,
தொ3ண்கொ,doNko,பீர்க்கங்காய்,Ridge Gourd,,,,
தொ3ல்லொ,dollo,கண்டங்கத்திரி,Yellow-fruit nightshade,,,,
தொட்மெ,toTme,"காம்பு, மிளகாய் காம்பு","Stem, Chilli Stalk",,,,
தொண்மெ,toNme,"காம்பு, மிளகாய் காம்பு","Stem, Chilli Stalk",,,,
தொள்ளொ,toLLo,கோவைக்காய்,Ivy gourd,,,,
தொன்மொ,tonmo,"காம்பு, மிளகாய் காம்பு","Stem, Chilli Stalk",,,,
நக3ல்பான்,nagalpaan,வெற்றிலை,Betal Leaf,,,,
நரளு சிப்பொ,naraLu cippo,கொட்டாங்குச்சி,Coconut shell,,,,
நலர்,nalar,தேங்காய்,Coconut,,,,
நாய்ப்பான்,naayppaan,வெற்றிலை,Betal leaf,,,,
நெர்கு3டு3 பான்,nerguDu paan,நொச்சி இலை,Chaste Tree,,,,
ப4ஜ்ஜி,bhajji,கீரை,"Greens, Spinach",,,,
பங்க3ர பான்,panggara paan,முள்ளு முருங்கை,Indian Coral,,,,
பன் தொ3ண்கொ,pan doNko,மெழுகு பீர்க்கங்காய்,Sponge Gourd,,,,
பஸ்லா ப4ஜ்ஜி,paslaa bhajji,பசலைக்கீரை,Malabar Spinach,,,,
பாலக் ப4ஜ்ஜி,paalak bhajji,பாலக்கீரை,Palak Spinach,,,,
பானுகோ3பி3,paanugObi,முட்டைகோஸ்,Cabbage,,,,
பு3டு3ங்கைலொ,buDungkailo,"மிதிக்காய், சுக்கங்காய்","budungkailo, budunkailo",,,,
பு3த்3னொ,budno,புதினா,Mint leaf,,,,
பு3ள்ளொ,buLLo,கிழங்கு,Tuber,,,,
பு4ந்தி3லி,bhundili,கண்டங்கத்தரி,Yellow-fruit nightshade,,,,
பு4ர்க்கொ ப4ஜ்ஜி,bhurkko bhajji,சிறுகீரை,Tropical Amaranth,,,,
பூ2லுகோ3பி3,phoolugObi,காலிபிளவர்,Cauliflower,,,,
பெ3லா ப4ஜ்ஜி,belaa bhajji,பருப்புக்கீரை,Purslane,,,,
பெ4ண்டு3கைலொ,bheNDukailo,வெண்டைக்காய்,"Okra, Lady finger, Lady's finger",,,,
பை4கைலொ,bhaikailo,முருங்கைக்காய்,Drumstick,,,,
பொ2ர்மோட்3,phormOD,பரங்கிக்காய்,Pumpkin,,,,
பொ2ன்னிஸுகைலொ,phonnisukailo,பலாக்காய்,Jackfruit seed,,,,
பொ3ந்தெ3,bonde,வாழைத்தண்டு,Plantain Stem,,,,
பொ3ப்3லொ,boblo,சுரைக்காய்,Bottle gourd,,,,
பொட்கு3லொ,poTgulo,புடலங்காய்,Snake Gourd,,,,
பொஸ்காய்,poskaay,மஞ்சள் பூசணி,Yellow Pumpkin,,,,
பௌ4ளொ,bhauLo,சுரைக்காய்,"Bottle gourd, Zucchini",,,,
மகா3பான்,magaapaan,கரிசலாங்கண்ணி கீரை,False daisy,,,,
மஸ்கைலொ,maskailo,மாசக்காய்,Oak Galls,,,,
ம்ஹொடொ3 கந்தொ3,mhoDo kando,பெரிய வெங்காயம்,Onion,,,,
ம்ஹொடொ3வீட்,mhoDoveeT,கிடாரங்காய்,Wild Lemon,,,,
மித்தி ப4ஜ்ஜி,mitti bhajji,வெந்தயக்கீரை,Fenugreek Leaves,,,,
மிர்க்கைலொ,mirkkailo,மிளகாய்,Chilli,,,,
மும்முஷ்டி பான்,mummushTi paan,தூதுவளை,Solanum,,,,
முள்சொ,muLco,முள்ளங்கி,Radish,,,,
முளொ,muLo,முள்ளங்கி,Radish,,,,
முனுஸ்தி பான்,munusti paan,முசுமுசுக்கை இலை,Mukia Maderaspatana,,,,
மெட்3கு3ளொ,meDguLo,முன்னை இலை,Premna serratifolia,,,,
மொள்கா ப4ஜ்ஜி,moLkaa bhajji,முளைக்கீரை,Amaranthus viridis,,,,
மொள்கொ,moLko,முளைப்பயிர்,Sprout,,,,
ரஸ்லொ,raslo,காய்கறிகள்,Vegetables,,,,
ல்ஹொவொ கைலொ,lhovo kailo,தக்காளி,Tomato,,,,
ல்ஹொவொ மிர்க்கைலொ,lhovo mirkkailo,சிவப்பு மிளகாய்,Red Chilli,,,,
லிம்பு3,limbu,எலுமிச்சை,Lemon,,,,
லொஸன்,losan,பூண்டு,Garlic,,,,
வங்கி3,vanggi,கத்தரிக்காய்,Egg Plant,,,,
வது3னாப4ஜ்ஜி,vadunaabhajji,புதினாக்கீரை,Mint,,,,
வள்கொ,vaLko,வெள்ளரிக்காய்,Cucumber,,,,
வன்னொஸெங்கு3,vannosenggu,அவரை,Broad Beans,,,,
வீட்,veeT,நார்த்தங்காய்,Citron,,,,
ஜின்னவ்ரே,jinnavrE,கொத்தவரங்காய்,Cluster Bean,,,,
ஸுரன்,suran,கருணை கிழங்கு,Yam,,,,
ஸெக்கரு பு3ள்ளொ,sekkaru buLLo,சக்கரைவள்ளிக் கிழங்கு,Sweet Potato,,,,
ஸெக்கெ,sekke,சக்கை,Bagasse,,,,
ஸெவ்கா3ப4ஜ்ஜி,sevgaabhajji,முருங்கைக்கீரை,Drumstick Leaf,,,,
ஸெவாக்கைலொ,sevaakkailo,முருங்கைக்காய்,Drumstick,,,,
ஸேம்பு3,sEmbu,சேப்பங்கிழங்கு,Colocasia,,,,
ஸொர்ணு ப4ஜ்ஜி,sorNu bhajji,பொன்னாங்கன்னிக் கீரை,Dwarf copper leaf,,,,
ஹுந்தி3ருக்கானு ப4ஜ்ஜி,hundirukkaanu bhajji,ஆரைக்கீரை,Water Shamrock,,,,
,,முடக்கத்தான் கீரை,Cardiospermum Halicacabum,,,,
,,வல்லாரைக்கீரை,Gotu Kola,,,,
