alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ஹாத் ஸோட் / ஸொடு3வொ,haat sOT / soDuvo,கைவிடு,Abandon,,,,
அனுஸரணொ கேர் / கெருவொ,anusaraNo kEr / keruvo,பின்பற்று,Abide,,,,
"கி3ரகி3ஞ்சி, கி3ரகி3ஞ்சுவொ","giraginjci, giraginjcuvo",உறிஞ்சு,Absorb,,,,
"ஜு2ர், ஜு2ருவொ","jhur, jhuruvo",உறிஞ்சு,Absorb,,,,
து3ஷ்ப்ரயோக்3 கேர் / கெருவொ,dushprayOg kEr / keruvo,தவறாக பயன்படுத்து,Abuse,,,,
"ஒப்பிளெ, ஒப்புளுவொ","oppiLe, oppuLuvo","ஏற்றுக்கொள், ஒப்புக்கொள்","Accept, Confess",,,,
ஸெங்கொ3 ஜா / ஜவொ,senggo jaa / javo,உடன் செல்,Accompany,,,,
ஸாத்4யகெரி தெ3க்காட் / தெ3க்கடு3வொ,saadhyakeri dekkaaT / dekkaDuvo,சாதித்து காட்டு,Achieve,,,,
"மீள், மிளுவொ","meeL, miLuvo",கூட்டு,Add,,,,
அனுஸரணொ கேர் / கெருவொ,anusaraNo kEr / keruvo,பின்பற்று,Adhere,,,,
"தெ3ஸில்லெ, தெ3ஸுல்லுவொ","desille, desulluvo",ஒட்டிக்கொள்,Adhere,,,,
ஸெர்க்க கேர் / கெருவொ,serkka kEr / keruvo,சரி செய்,Adjust,,,,
"சேட், செடு3வொ","cET, ceDuvo",முன்னேறு,Advance,,,,
"ஒப்பிளெ, ஒப்புளுவொ","oppiLe, oppuLuvo","உடன்படு, ஒப்புக்கொள்","Agree, Confess",,,,
"ஹுத்திர், ஹுத்துருவொ","huttir, hutturuvo",இறங்கு,Alight,,,,
"ஹள்சி, ஹள்சுவொ","haLci, haLcuvo",அலசு,Analyze,,,,
"லாவ், லவொ","laav, lavo","இடு, போடு, பூசு",Apply,,,,
விஞ்ஞாபனொ கேர் / கெருவொ,vinjnjaapaneaa kEr / keruvo,விண்ணப்பி,Apply,,,,
தா3வொ கேர் / கெருவொ,daavo kEr / keruvo,வாதிடு,Argue,,,,
"ஸெந்தி3, ஸெந்து3வொ","sendi, senduvo",ஒழுங்காய் வை,Arrange,,,,
பஜெந்தய காம் கேர் / கெருவொ,pajentaya kaam kEr / keruvo,ஏற்பாடு செய்,Arrange,,,,
அவி சேர் / செருவொ,avi cEr / ceruvo,வந்துசேர்,Arrive,,,,
"மாய், மகொ3","maay, mago",கேள்,Ask,,,,
"பூஸ், புஸுவொ","poos, pusuvo",கேள்,Ask,,,,
"ஒர்கி3, ஒர்கு3வொ","orgi, orguvo",சாய்ந்துகொள்,Askew,,,,
பெ3து3ராட் / பெ3து3ரடு3வொ,beduraaT / beduraDuvo,பிரமிக்கச் செய்,Astonish,,,,
"தெ3வ்ஸி, தெ3வ்ஸுவொ","devsi, devsuvo",ஒட்டு,Attach,,,,
"திர்ச்சி, திர்ச்சுவொ","tircci, tirccuvo",பேரம் பேசு,Bargain,,,,
"உஸ்கி, உஸ்குவொ","uski, uskuvo",குரை,Bark,,,,
"ர்ஹா, ர்ஹவொ","rhaa, rhavo",இரு,Be,,,,
"ஹான், ஹனுவொ","haan, hanuvo","அடி, தாக்கு","Beat, Attack",,,,
"ஶிங்கா3ர், ஶிங்க3ருவொ","ssinggaar, ssinggaruvo",அழகுபடுத்து,Beautify,,,,
"பீ4க் மாய், பீ4க் மகொ3","bheek maay, bheek mago",பிச்சை எடு,Beg,,,,
"ஜேன், ஜெனுவொ","jEn, jenuvo","பெறு, பெற்றெடு",Beget,,,,
ஹர்ம்பம் கேர் / கெருவொ,harmpam kEr / keruvo,"தொடங்கு, ஆரம்பி",Begin,,,,
"சல்லெ, சல்லுவொ","calle, calluvo",நடந்துகொள்,Behave,,,,
"சல்தகெர்லெ, சல்தகெர்லுவொ","caltakerle, caltakerluvo",நடந்துகொள்,Behave,,,,
"நொம்மி, நொம்முவொ","nommi, nommuvo",நம்பு,Believe,,,,
வகுண்டொ கேர் / கெருவொ,vakuNTo kEr / keruvo,வளை,Bend,,,,
"லிவ்வி, லிவ்வுவொ","livvi, livvuvo",பின்புறமாக வளை,Bend backwardly,,,,
"சாவ், சவொ","caav, cavo",கடி,Bite,,,,
சூக் ஸங்கி3 / ஸங்கு3வொ,cook sanggi / sangguvo,குறை கூறு,Blame,,,,
"மிஸ்கி, மிஸ்குவொ","miski, miskuvo",சிமிட்டு,Blink,,,,
"பூ2லி, பு2லுவொ","phooli, phuluvo",மலரு,Blossom,,,,
"பூ2வ், பு2வொ","phoov, phuvo",ஊது,Blow,,,,
"தப்பாட், தப்படு3வொ","tappaaT, tappaDuvo",கொதிக்கவை,Boil,,,,
"ஸிஜ்ஜா2ட், ஸிஜ்ஜடு3வொ","sijjhaaT, sijjaDuvo",வேகவை,Boil it,,,,
ஸிவ்ஜி / ஸிவ்ஜுவொ,sivji / sivjuvo,வேகவை,Boil it,,,,
புட்டொ ம்ஹொடொ3 கேர் / கெருவொ,puTTo mhoDo kEr / keruvo,துளையை பெரிதாக்கு,Bore,,,,
"உஷில், உஷுலுவொ","ushil, ushuluvo","எகிறு, துள்ளிக் குதி",Bounce,,,,
"கு3ம்பி, கு3ம்புவொ","gumpi, gumpuvo",பின்னு,Braid,,,,
"மோட், மொடு3வொ","mOT, moDuvo","முறி, துண்டாக்கு",Break,,,,
"போ2ட்3, பொ2டு3வொ","phOD, phoDuvo",(இரண்டாக) உடை,"Break, Demolish, Perish",,,,
ஸுவாஸம் கேர் / கெருவொ,suvaasam kEr / keruvo,மூச்சு விடு,Breathe,,,,
"ஆன், அனொ, அனுவொ","aan, ano, anuvo",கொண்டு வா,Bring,,,,
"லேத் ஆன், லேத் அனுவொ","lEt aan, lEt anuvo",கொண்டு வா,Bring,,,,
"மஞ்ஜி, மஞ்ஜுவொ","manjji, manjjuvo","துலக்கு, தேய்",Brush,,,,
"ஸொவ்ண்டாட், ஸொவ்ண்ட3டு3வொ","sovNTaaT, sovNDaDuvo",மாட்டு,Buckle,,,,
"ப4ந்தி3, ப4ந்து3வொ","bhandi, bhanduvo",கட்டு,Build,,,,
"பு2க்3கி3, பு2க்3கு3வொ","phuggi, phugguvo","உப்பு, வீங்கு.",Bulge,,,,
"தி4க்கி, தி4க்குவொ","dhikki, dhikkuvo","முட்டு, மோது",Bump,,,,
"ஜேள், ஜெளுவொ","jEL, jeLuvo",எரி,Burn,,,,
தெ3கா3ர் தே3 / தெ3வொ,degaar dE / devo,ஏப்பம் விடு,Burp,,,,
ஹுடு3ஞ்ஜி போட் / பொடு3வொ,huDunjji pOT / poDuvo,எரிந்து விழு,Burst with irritation,,,,
"விஸி போட், விஸி பொடு3வொ","visi pOT, visi poDuvo",எரிந்து விழு,Burst with irritation,,,,
"கா3ட், க3டு3வொ","gaaT, gaDuvo",புதை,Bury,,,,
"கா2ட், க2டு3வொ","khaaT, khaDuvo",வாங்கு,Buy,,,,
"ஜீலி ஆவ், ஜீலி அவொ","jeeli aav, jeeli avo",சென்று வா,Bye-Bye,,,,
ல்ஹெக்கொ தாய் / தவொ,lhekko taay / tavo,"கணக்கிடு, மதிப்பிடு","Calculate, Estimate",,,,
"போ3வ், பொ3வொ","bOv, bovo","அழை, கூப்பிடு","Call, Invite",,,,
முஸை,musai,முடியும்,"Can, Could",,,,
