alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
மகொ3,mago,கைத்தறி,Handloom,மகா3 காமுக் ஆத3ரொ தெ3னொ,magaa kaamuk aadaro deno,கைத்தறி தொழிலை ஆதரிக்க வேண்டும்,We should support handloom work
வினத்தெ,vinatte,நெய்தல்,Weaving,ஸௌராஷ்டிரர்னு வினெத்தெமாம் நாவ் பொட்3யாத்தெனு,sauraashTirarnu vinettemaam naav poDyaattenu,சௌராஷ்டிரர்கள் நெசவுக்குப் பிரபலமானவர்கள்,Sourashtrians are popular for weaving
வினஸ்தெ,vinaste,நெய்தல்,Weaving,பஸுடு3 ஸௌலொ வினஸ்தக் கௌஶல் பஜெ,pasuDu saulo vinastak kaussal paje,பட்டுப் புடவை நெய்வதற்கு திறமை தேவை,Silk saree weaving requires skill
உஸுனொ,usuno,வெளுப்பது,Bleaching,ரெங்க3த்தக் முது3ல்லாம் தாகுக் உஸுனொ,renggattak mudullaam taakuk usuno,"சாயமிடுவதற்கு முன், நூலை வெளுக்க வேண்டும்","Before dyeing, the yarn should be bleached"
தாக்,taak,நூலிழை,Yarn,தாகுன் தீ3 ப்ரகார் ஹோஸு - ஒண்டெ லம்பு3 தாக் அங்கொ3ண்டெ3 அட்3ட3ம் தாக்,taakun dee prakaar hOsu - oNTe lambu taak anggoNDe aDDam taak,நூலிழை இரண்டு வகைப்படும் - ஒன்று நீட்டு பாவு நூல் மற்றது குறுக்காக ஓடும் ஊடை நூல்,The yarn is of two type - Lengthwise yarn is called Warp and crosswise yarn is called Weft
தாத்,taat,பாவு - ஒன்பது 6 கஜம் சேலை கொண்டது,Warp - (consists nine 6 yard sarees),ஒண்டெ தாத் மெனரியொ 54 கெ3ஜுன் ர்ஹாயி,oNTe taat menariyo 54 gejun rhaayi,ஒரு பாவு என்பது 54 கஜம் கொண்டது,One warp is made of 54 yards
பக3ட்,pagaT,பாவுநூல்,Warp,பொ3ட்டொ வினத்தக் பஜெ ஹோரியொ லம்பு3 தாகுக் பக3ட் மெனன்,boTTo vinattak paje hOriyo lambu taakuk pagaT menan,துணி நெசவிற்குப் பயன்படும் நீளமான இழை பாவுநூல் எனப்படும்,The long yarn required for weaving fabric is called warp
பக3ட் எரஸ்தெ,pagaT eraste,பாவு நீட்டுதல்,Streching the warp,பக3ட் எரஸ்தக் ம்ஹொட்டொ தா2ம் பஜெ,pagaT erastak mhoTTo thaam paje,பாவு நீட்ட பெரிய இடம் தேவை,A large space is needed for stretching the warp
பொன்னி கெரத்தெ,ponni keratte,பாவு நீட்டுதல்,Streching the warp,பொன்னி கெரிகின் தாகுக் ஶுத்3த3ம் கெரனு,ponni kerikin taakuk ssuddam keranu,பாவு நீட்டி நூலை சுத்தம் செய்வார்கள்,The yarn is cleaned by stretching the warp
பெ3ந்து ஸட்டம்,bentu saTTam,பாவு கட்டை,Cross beam,தாகு ர்ஹுந்தி3 பொகட் உட்சி தெ4ர்லத்தக் பெ3ந்து ஸட்டம் நுக3ஸு,taaku rhundi pokaT uTci dherlattak bentu saTTam nugasu,பாவு நூலை அகலவாக்கில் இறுக்கி பிடிக்க பாவு கட்டை பயன்படுகிறது,The cross beam is used to stretch the yarn widthwise
