ஆண் ,male,த3ல்லொ,दल्ला॑,ꢣꢭ꣄ꢭꣁ
ஆள் ,person,ஜெனொ,ज॑ना॑,ꢙꢾꢥꣁ
இளமை/ இளமைப் பருவம்,Youth/ youth stage,"ஜவ்ணொ/னொ, ஜவ்ணபன்/யௌவனொ","जव्णा॑\ना॑ जव्णपन्, यौवना॑","ꢙꢮ꣄ꢠꣁ/ꢥꣁ, ꢙꢮ꣄ꢠꢦꢥ꣄/ ꢫꣃꢮꢥꣁ"
இளைஞன் ,young man,ஜவ்ணொ,जव्णा॑,ꢙꢮ꣄ꢠꣁ
இளையவள் ,Younger woman,ஜவ்ணி,जव्णि,ꢙꢮ꣄ꢠꢶ
இளையவன் ,Younger man,ந:ன்னொ,न्हन्ना॑,ꢥꢴꢥ꣄ꢥꣁ
கர்ப்பம் ,pregnancy,கெ4ர்வார்/கெ4வ்ரார்,घ॑र्वार / घेव्रार ,ꢕꢾꢬ꣄ꢮꢵꢬ꣄ / ꢕꢾꢮ꣄ꢬꢵꢬ꣄
கர்ப்பிணி ,pregnant woman,கெ4ர்வரின்/ கெ4வ்ரரின்,"घघ॑र्वरिन, घ॑व्ररिन्",ꢕꢾꢬ꣄ꢮꢬꢶꢥ꣄/ꢕꢾꢮ꣄ꢬꢬꢶꢥ꣄
கன்னி ,virgin­,கன்யொ,कन्या॑,ꢒꢥ꣄ꢫꣁ
கிழவன் ,old man,தொ3வ்ரொ,दा॑व्रा॑,ꢣꣁꢮ꣄ꢬꣁ
கிழவி ,old woman,தொ3வ்ரி,दा॑व्रि,ꢣꣁꢮ꣄ꢬꢶ
குஞ்சு ,young one of birds,பில்லொ,पिल्ला॑,ꢦꢶꢭ꣄ꢭꣁ
குட்டி ,young one of animals,பில்லொ,पिल्ला॑,ꢦꢶꢭ꣄ꢭꣁ
குமரன் ,unmarried young man,குமரொ,कुमारा॑,ꢒꢸꢪꢵꢬꣁ
குமரி ,unmarried young girl,குமரி,कुमारि,ꢒꢸꢪꢵꢬꢶ
குழந்தை ,child,நு:க்ரு/நு:ரு,"न्हुक्रु, न्हुरु",ꢥꢴꢸꢒ꣄ꢬꢸ/ ꢥꢴꢸꢬꢸ 
குழந்தைப் பருவம் ,childhood,நு:ருபன்/பா3ல்யபன்/பா3ல்யம்,"न्हुरुपन्, बाल्यपन्, बाल्यम्",ꢥꢴꢸꢬꢸꢦꢥ꣄/ ꢨꢵꢭ꣄ꢫꢦꢥ꣄/ ꢨꢵꢭ꣄ꢫꢪ꣄
குழவி ,child­,ந:ன்னி,न्हन्नि,ꢥꢴꢥ꣄ꢥꢶ
சிறுமி ,girl,ந:ன்னி,न्हन्नि,ꢥꢴꢥ꣄ꢥꢶ
சிறுவன் ,boy,ந:ன்னொ,न्हन्नो,ꢥꢴꢥ꣄ꢥꣁ
பருவம் ,stage,ப்ராயம்,प्रायम,ꢦ꣄ꢬꢵꢫꢪ꣄
பால பருவம்,young stage,பா3லப்ராயம்,बलप्रायम,ꢨꢵꢭꢦ꣄ꢬꢵꢫꢪ꣄ 
பாலர் ,young children,பா3ளுன்,बळुन,ꢨꢵꢳꢸꢥ꣄
பிராயம் ,"age, stage",ஒர்ஸு/ஒஸ்ஸு,"आ॑र्सु, आ॑स्सु","ꢏꢬ꣄ꢱꢸ, ꢏꢱ꣄ꢱꢸ"
பிள்ளை/ மழலை ,child,பில்லொ,पिल्ला॑,ꢦꢶꢭ꣄ꢭꣁ
புருஷன் ,husband,அம்பு3லொ/த3ல்லொ,"अम्बुला॑, दल्ला॑","ꢂꢪ꣄ꢨꢸꢭꣁ, ꢣꢭ꣄ꢭꣁ"
பெண் , girl,பெ3ட்கி/அளி,"ब॑ट्कि, अळि","ꢨꢾꢜ꣄ꢒꢶ, ꢂꢳꢶꢶ"
பையன் ,boy ,பெ3ட்கொ,ब॑ट्का॑,ꢨꢾꢜ꣄ꢒꣁ
மகவு/ மதலை ,child,நு:க்ரு/நு:ரு,"न्हुक्रु, न्हुरु","ꢥꢴꢸꢒ꣄ꢬꢸ, ꢥꢴꢸꢬꢸ"
மனிதன் ,man,மெனிக்/த3ல்லக்கொ,म॑निक \ दल्लक्का॑,ꢪꢾꢥꢶꢒ꣄ \ ꢣꢭ꣄ꢭꢒ꣄ꢒꣁ
மனுஷி ,woman,அம்மக்கொ,अम्मक्का॑,ꢂꢪ꣄ꢪꢒ꣄ꢒꣁ
