Unnamed: 0,2. Animals ,மூகு3ன்,मूगुन्,ꢪꢹꢔꢸꢥ꣄
,2.1. Domestic Animals,கே4ரு மூகு3ன்,गेरु मूकुन,ꢔꢿꢬꢸ ꢪꢹꢒꢸꢥ꣄
ஆ ,cow,கா3ய்,गाय्,ꢔꢵꢫ꣄
ஆடு ,lamb,பெ4ண்டு3,भ॑ण्डु,ꢩꢾꢠ꣄ꢞꢸ
ஆடுமாடு ,cattle,கா3ய்கொ3ருன்,गाय घा॑रुन्,ꢔꢵꢫ꣄ ꢔꣁꢬꢸꢥ꣄
எருது ,bull,பொ3து3லொ,पा॑दुला॑,ꢦꣁꢡꢸꢭꣁ
எருமை ,she-buffalo,பெ4ய்ஸ்,भ॑य्स्,ꢩꢾꢫ꣄ꢱ꣄
எருமைக் கடா ,he-buffalo,பெ4ய்ஸுபொ3து3லொ,भ॑य्सुबा॑दुला॑,ꢩꢾꢫ꣄ꢱꢸ꣄ ꢦꣁꢡꢸꢭꣁ 
ஒட்டகம் ,camel,முயி/லொல்படெ3,"मुयि, ला॑ल्पड॑",ꢪꢸꢫꢶ. ꢭꣁꢭ꣄ꢦꢣꢾ
கடா ,ram,பொ3து3லொ,बा॑दुला॑,ꢦꣁꢡꢸꢭꣁ
கழுதை ,donkey,கெ4த3ட்3,घ॑दड,ꢕꢾꢣꢞ꣄
கன்று ,calf,து3டொ3/ வாஸர்,"दुडा॑, वासर","ꢣꢸꢞꣁ, ꢮꢵꢱꢬ꣄"
மந்தை,cattle,கொ3ங்கு3,गा॑ङगु,ꢔꣁꢖ꣄ꢔꢸ
காளை ,ox,கொ3ரு,गा॑रु,ꢔꣁꢬꢸ
குதிரை ,horse,கொ4டொ3,घा॑डा॑,ꢕꣁꢞꣁ
குரங்கு ,monkey,கீஸ்/பொலங்கு3/ வந்த4மி,"कीस्, पा॑लङ्गु, वन्धमि","ꢒꢷꢱ꣄, ꢦꣁꢭꢥ꣄ꢔꢸ, ꢮꢥ꣄ꢕꢪꢶ"
குறி / செம்மறி ஆடு,sheep,பெ4ண்டு3/மெ:டி3பெ4ண்டு3,"भ॑ण्डु, न्ह॑डिभ॑ण्डु","ꢩꢾꢠ꣄ꢞꢸ, ꢪꢴꢾꢞꢶꢩꢾꢠ꣄ꢞꢸ"
கோவேறிக் கழுதை ,mule,கெ4த3ட்3கொ4டொ3,घ॑दड्घा॑डा॑,ꢕꢾꢣꢞꢕꣁꢞꣁ꣄
நாய் ,dog,ஸுனொ,सना॑,ꢱꢸꢥꣁ
பசு ,cow,கா3ய்,गाय्,ꢔꢵꢫ꣄
பட்டி ,bitch,பை3ல்ஸுனொ,बैल्शुना॑,ꢦꣀꢭ꣄ ꢱꢸꢥꣁ
பன்றி ,pig,து3க்கர்,दुक्कर,ꢣꢸꢒ꣄ꢒꢬ꣄
பூனை ,cat,மஞ்ஜிரி,मञजिरि,ꢪꢛ꣄ꢙꢶꢬꢶ
மாடு ,bull,கொ3ரு,गा॑रु,ꢔꣁꢬꢸ
மான் ,deer,ஹரின்,हरिन्,ꢲꢬꢶꢥ꣄
மிருகம் ,animal,ம்ருகொ3/மூகு3,मृगा॑ / मूगु,"ꢪꢺꢔꣁ, ꢪꢹꢔꢸ"
முயல் ,rabbit,ஸஸொ/கு2ந்தெ3ல்,"शशा॑, खुन्द॑ल्","ꢯꢯꣁ,ꢓꢸꢥ꣄ꢣꢾꢭ꣄"
வீட்டு விலங்கு ,domestic animal,பாலனமூகு3,पालन मूगु,ꢦꢵꢭꢥ ꢪꢹꢔꢸ
வேட்டை நாய் ,hound,கொச்சி ஸுனொ/ கே2டு ஸுனொ,"का॑च्चि सुना॑, खेटु सुना॑","ꢒꣁꢗ꣄ꢗꢶ ꢱꢸꢥꣁ, ꢓꢿꢜꢸꢱꢸꢥꣁ"
 ,,,,
,2.2. Wild Animals,ராணுமூகு3ன்/வனமூகு3ன்,राणु मूगुन / वनमूगुन,ꢬꢵꢠꢸ ꢪꢹꢔꢸꢥ꣄ ꢮꢥꢪꢹꢔꢸꢥ꣄
ஒட்டகச் சிவிங்கி ,giraffe,சித்ரமுயி,चित्रमुयि,ꢗꢶꢡ꣄ꢬꢪꢸꢫꢶ
ஓநாய் ,wolf,உகொ/வ்ருகொ,"उका॑, वृका॑","ꢆꢒꣁ, ꢮꢺꢒꣁ꣄"
கங்காரு ,kangaroo,க3ங்கா3ரு,गङगारु,ꢔꢖ꣄ꢔꢵꢬꢸ
கடுவாய் ,leopard,சித்ரவாக்4,चित्रवाग्,ꢗꢶꢡ꣄ꢬꢮꢵꢔ꣄
கரடி ,bear,ப4ல்லு,भल्लु,ꢩꢭ꣄ꢭꢸ
கழுதைப் புலி ,hyaena,கெ4த3ட்3வாக்4,घ॑दड्वाग्,ꢕꢾꢣꢞ꣄ꢮꢵꢔ꣄
காட்டுப் பூனை ,wild cat,வனமஞ்ஜிரி,वनमञजिरि,ꢮꢥꢪꢛ꣄ꢙꢶꢬꢶ
காட்டு விலங்கு ,wild animal,வனமூகு3,वनमूगु,ꢮꢥꢪꢹꢔꢸ
காட்டெருமை ,bison,ராண் பெ4ய்ஸ்,राणु भ॑य्स्,ꢬꢵꢠꢸ ꢩꢾꢫ꣄ꢱ꣄
குள்ள நரி ,jackal,தந்துர் கொ2லொ,तन्तुर्का॑ला॑,ꢥꢥꢡꢸꢬ꣄꣄ ꢓꣁꢭꣁ
சிங்கம் ,lion,ஸிம்மொ/ஸிம்ஹு,"सिम्मा॑, शिम्हु","ꢄꢱ꣄ꢪ꣄ꢪꣁ, ꢱꢶꢪ꣄ꢲꢸ"
சிறுத்தை ,leopard,தரக்ஷு,तरक्षु,ꢡꢬꢒ꣄ꢰꢹ
நரி ,fox,கொ2லொ,खा॑ला॑,ꢓꣁꢭꣁ
புலி ,tiger,வாக்3,वाग्,ꢮꢵꢔ꣄
மனிதக் குரங்கு ,gorilla,மெனிகு கீஸ்,म॑निकु कीस्,ꢪꢾꢥꢶꢒꢸ ꢒꢷꢱ꣄
முள்ளம் பன்றி ,porcupine,க2டா3 து3க்கர்,खडा दुक्कर,ꢓꢞꢵ ꢣꢸꢒ꣄ꢒꢬ꣄
யானை ,elephant,ஹைஸ்து/ஐஸ்து,"हैस्तु, ऐस्तु","ꢲꣀꢱ꣄ꢡꢸ, ꢎꢱ꣄ꢡꢸ"
வரிக்குதிரை ,zebra,கி3தாகொ4டொ3,गिता घा॑डा॑,ꢔꢶꢡꢵ ꢕꣁꢞꣁ
 ,,,,
,2.3. Animal Body Parts and Fodders, மூகு3 அங்கு3ன் கினு சொரான்,मूगु अङ्गुन् किनु चा॑रान्,ꢪꢹꢔꢸ ꢂꢖ꣄ꢔꢸꢥ꣄ ꢒꢶꢥꢸ ꢗꣁꢬꢵꢥ꣄
இறைச்சி ,flesh of cattle,மாம்ஸு/கொ2வ்ஸ்/பொ3ஸுலொ,"माम्सु, खा॑व्स, बा॑सुला॑","ꢪꢵꢪ꣄ꢱꢸ, ꢓꣁꢮ꣄ꢱ꣄, ꢨꣁꢱꢸꢭꣁ"
உடல் / மெய்,body,ஶெரீர்/ஆங்கு3/தனு,"श॑रिर, आङगु, तनु","ꢯꢾꢬꢶꢬ꣄, ꢃꢖ꣄ꢒꢸ, ꢡꢥꢸ"
கம்பளிமுடி ,wool,கம்ப்3ளொ,कम्बला॑,ꢒꢪ꣄ꢨ꣄ꢭꣁ
கழுநீர் ,rice water given to cattle,"து4வன், து4வனு பனி","धुवन्, धुवनु पनि","ꢤꢸꢮꢥ꣄, ꢤꢸꢮꢥꢸ ꢦꢥꢶ"
குளம்பு ,hoof,கு2ரி/கோ2ர்,खुरि / खोर,ꢓꢸꢬꢶ / ꢓꣁꢬ꣄
கொம்பு ,horn,ஸிங்கு3,सिङगु,ꢱꢶꢖ꣄ꢔꢸ
சாணம் ,cowdung,ஶேன்,शेण्,ꢯꢾꢠ꣄
துதிக்கை / தும்பிக்கை,Trunk of an elephant,ஸொண்டி,सा॑ण्टि,ꢱꣁꢠ꣄ꢜꢶ
நச்சுப்பல் விஷப்பல்,Fang of snake,விக்கு தா3த்,विक्कु दात्,ꢮꢶꢒ꣄ꢒꢸ ꢣꢵꢣ꣄
நஞ்சு ,poison,விக்கு,विक्कु,ꢮꢶꢒ꣄ꢒꢸ
