Unnamed: 0,3. Birds and Their Body Parts,பக்ஷின் கினு தெல்யக அங்கு3ன்,पक्षिन् किनु त॑ल्यक अङ्गुन्,ꢦꢒ꣄ꢯꢶꢥ꣄ ꢒꢶꢥꢸ ꢡꢾꢭ꣄ꢫꢒ ꢂꢖ꣄ꢔꢸꢥ꣄
அண்டங்காக்கா ,raven,ராணுகௌளொ,राणुकौला॑,ꢬꢵꢠꢸ ꢒꣃꢭꣁ
அண்டங்காக்கா ,raven,ராணுகௌளொ,रानुकौला॑,ꢬꢵꢠꢸ ꢒꣃꢭꣁ
அலகு ,beak,சஞ்சு/முஸ்கிளி,"चञचु, मुस्किळि","ꢗꢛ꣄ꢗꢸ, ꢪꢸꢱ꣄ꢒꢶꢳꢶ"
அன்னம் ,swan,ஹம்ஸொ,हम्सा॑,ꢂꢪ꣄ꢱꣁ
ஆந்தை ,owl,கூ4கு3/உலு,"घुगु, उलु","ꢕꢸꢔꢸ, ꢆꢭꢸ"
இறகு ,feather,பிங்கு/பீப்,"पिङ्गु, पीप्","ꢦꢶꢖ꣄ꢔꢸ, ꢦꢷꢦ꣄"
எச்சம் ,bird’sdropping,பக்ஷி கூ3,पक्षि गू,ꢦꢒ꣄ꢰꢶ ꢔꢹ
கரிச்சான் ,king crow,ரஜகௌளொ,रजकौला॑,ꢬꢙꢒꣃꢭꣁ
கவுதாரி ,partidge,கௌ3ரி,गौरि,ꢔꣃꢬꢶ
கழுகு ,eagle,தி3ஷ்ளொ,दिष्ळा॑,ꢣꢶꢰ꣄ꢳꣁ
காக்கா ,crow,கௌளொ,कौला॑,ꢒꣃꢭꣁ
கிளி / தத்தை,parrot,ரமொ,रमा॑,ꢬꢪꣁ
குயில் ,cuckoo,கொகில்,का॑किल्,ꢒꣁꢒꢶꢭ꣄
குருவி ,sparrow,சிடி3,चिडि,ꢗꢶꢞꢶ
கூகை/ஆந்தை,owl,"கூ2கொ3, உலு","धगा॑, उलु","ꢤꢔꣁ, ꢆꢭꢸ"
கூடு ,nest,பஞ்ஜிரி/ நீடொ3,"पन्जिरि, नीडा॑","ꢦꢛ꣄ꢙꢶꢬꢶ꣄, ꢥꢷꢞꣁ "
கொக்கு ,crane,வகொ3,वगा॑,ꢮꢔꣁ
கொண்டை ,crest of cock,ஹிளி/சு2ளி,"हिलि, छुलि","ꢄꢭꢶ, ꢘꢸꢭꢶ"
கோழி ,hen,குகுடி3/ குடி3,कुकुडि / कुडि,ꢒꢸꢒꢸꢞꢶ / ꢒꢸꢞꢶ
கோழிக் குஞ்சு ,chicken,குகுடி3பில்லொ,कुकुडिपिल्ला॑,ꢒꢸꢒꢸꢞꢶꢦꢶꢭ꣄ꢭꣁ
சிறகு /இறக்கை,wing,பிங்குடொ3/ ரெக்கெ,पिङकुडा॑,ꢦꢶꢖ꣄ꢒꢸꢞꣁ
சேவல் ,cock,குகுடொ3/ குடொ3,कुकुडा॑ / कुडा॑,ꢒꢸꢒꢸꢞꣁ/ꢒꢸꢞꣁ
,,ரமொ,रमा॑,ꢬꢪꣁ
வாத்து,duck,"ஆடி3, ப3து3லொ","आडि, बदुला॑","ꢃꢞꢶ, ꢨꢣꢸꢭꣁ"
தீக்கோழி ,ostrich,விஸ்தவ்குடி3,विस्तव्कुडि,ꢮꢶꢱ꣄ꢡꢮ꣄ ꢒꢸꢞꢶ
தூவல் ,feather,பீப்,पीप,ꢦꢷꢦ꣄
தோகை ,Plume of peacock,பிஞ்செ2/முதளொ/ பங்கு2,"पिञछे, मुतला॑, पङ्खु","ꢦꢶꢛ꣄ꢘꢾ, ꢪꢸꢡꢭꣁ, ꢦꢖ꣄ꢓꢸ"
நாரை ,crane,குக்குரொ,कुक्कुरा॑,ꢒꢸꢒ꣄ꢒꢸꢬꣁ
பருந்து ,kite,கா4ரு,घारु,ꢕꢵꢬꢸ
பறவை ,bird,பக்ஷி,पक्षि,ꢦꢒ꣄ꢰꢶ
புறா ,pigeon,கௌது3/ கொக்குர்கைலொ,"कौदु, का॑क्कुर्कैला॑","ꢒꣃꢣꢸ, ꢒꣁꢒ꣄ꢒꢸꢬ꣄ꢒꣀꢭꣁ"
பெட்டைக் கோழி,hen,கபை3ல் குடி,बैल् कुडि,ꢨꣀꢭ꣄ ꢒꢸꢞꢶ
பெண்மயில் ,pea-hen,மோ:ரீ,म्होरि,ꢪꢴꣂꢬꢶ
மயில் ,pea-cock,மோ:ர்,म्होर्,ꢪꢴꣂꢬ꣄
மயிலிறகு / மயிற்பீலி,peacock-feather,மோ:ருபீக்,म्होरुपीक्,ꢪꢴꣂꢬꢸ ꢦꢷꢒ꣄
,,மோ:ரு பிங்கு,म्होरुपिङकु,ꢪꢴꣂꢬꢸ ꢦꢶꢖ꣄ꢒꢸ
மரங்கொத்தி ,wood-pecker,ஜா2டு3 டங்கு பக்ஷி,जाडु टङकु पक्षि,ꢙꢵꢞꢸ꣄ ꢜꢖ꣄ꢒꢸ ꢦꢒ꣄ꢰꢶ
மீன்கொத்தி ,king fisher,ம:ளி டங்குனார்,म्हळिटङकुनार,ꢪꢴꢳꢶ ꢜ꣄ꢖꢒꢸꢥꢵꢬ꣄
முட்டை ,egg,அண்டொ3,अण्डा॑,ꢂꢠ꣄ꢞꣁ
மைனா ,myna,ஸரிகோ,सरिका॑,ꢱꢬꢶꢒꣁ
வல்லூறு ,falcon,தரஸ்வின்,तरस्विन्,ꢡꢬꢱ꣄ꢮꢶꢥ꣄
,,ஆடி,आडि,ꢃꢞꢶ
வான்கோழி ,turkey hen,தர்பஷி,तर्पक्षि,ꢡꢬ꣄ꢦꢒ꣄ꢰꢶ
வானம்பாடி ,skylark,பா4ரஜி,भारजि,ꢩꢵꢬꢙꢶ
வெளவால் ,bat,ஒகு3ல்,आ॑गुल,ꢏꢔꢸꢭ꣄
