Unnamed: 0,23.birth to death ceremonies,23. ஸோட3ஸ ஸம்ஸ்காருன்,सोडस सम्स्कारुन,ꢱꣂꢞꢱ ꢱꢪ꣄ꢱ꣄ꢒꢵꢬꢸꢥ꣄
அபசகுனம்  ,ill omen,அபஸெகு3ன்,अपस॑गुन,ꢂꢦꢱꢾꢔꢸꢥ꣄
அமங்கலம்  ,inauspicious,அமங்க3லு/    மங்க3ல ஹீன்,"अमङ्गलु, मङ्गल हीन","ꢂꢪꢖ꣄ꢒꢭꢸ, ꢪꢖ꣄ꢔꢭ ꢲꢶꢥ꣄"
அழைப்பிதழ்  ,invitation card,பொ3வ்னி பத்ரிகொ/ஸ்வாக3த பத்ரிகொ/நிமந்த்ரன பத்ரிகொ,"बा॑व्नि पत्रिका॑, स्वागत पत्रिका॑, निमन्त्रन पत्रिका॑","ꢨꣁꢮ꣄ꢥꢶ ꢦꢡ꣄ꢬꢶꢒꣁ, ꢱ꣄ꢮꢵꢔꢡ ꢦꢡ꣄ꢬꢶꢒꣁ, ꢥꢶꢪꢥ꣄ꢡ꣄ꢬꢥ ꢦꢡ꣄ꢬꢶꢒꣁ"
அழைப்பு  ,invitation,பொ3வ்னி,बा॑व्नि,ꢨꣁꢮ꣄ꢥꢶ
ஆசாரம்  ,custom,அசார்,अचार्,ꢂꢗꢵꢬ꣄
ஆசீர்வாதம்  ,blessing,தீ3வனொ / ஆஸிர்வாத்3,"दीवना॑, आसिर्वाद","ꢣꢷꢮꢥꣁ, ꢃꢱꢶꢬ꣄ꢮꢵꢣ꣄"
உபவாசம்  ,fasting,உபவாஸ்/ஒக3த்,"उपवास, आ॑गत","ꢆꢦꢮꢵꢱ꣄, ꢏꢔꢡ꣄"
ஊர்வலம்  ,procession,ஒராத்,आ॑रात्,ꢏꢬꢵꢡ꣄
ஏறுதழுவல்  ,bull fight,கொ3ரு தெ4ர்னி,गा॑रु ध॑र्नि,ꢔꣁꢬꢸ ꢤꢾꢬ꣄ꢥꢶ
கண்ணேறு  ,evil eye,தொ3ளா தி3ஷ்டி/ த்ரு3ஷ்டி/ தொ3ள பொட3ஸ்தெ,"दा॑ळा दिष्टि, दृष्टि, दा॑ळ पा॑डस्त॑","ꢣꣁꢳꢵ ꢣꢶꢰ꣄ꢜꢶ, ꢣꢺꢰ꣄ꢜꢶ, ꢣꣁꢭ ꢦꣁꢞꢱ꣄ꢡꢾ"
கல்யாணம்/திருமணம்,marriage,ஹொராட்/ விவாஹொ/ பாணி க்3ரஹணொ,"हा॑राट, विवाहा॑, पाणि गृहणा॑","ꢲꣁꢬꢵꢜ꣄, ꢮꢶꢮꢵꢲꣁ, ꢦꢵꢠꢶ ꢔꢺꢲꢠꣁ"
காதணிவிழா  ,ear boring ceremony,ஜொவள்/கான்வி/மி ந்தி3னி,"वल, कन् वि/मि - न्दिनि","ꢙꣁꢮꢳ꣄꣄, ꢒꢵꢥ꣄ ꢮꢶ/ꢪ ꢶꢥ꣄ꢡꢶꢥꢶ"
