Unnamed: 0,4. Colours,Unnamed: 2,Unnamed: 3,Unnamed: 4
ஆரஞ்சு ,orange,ஹிர,हिर,ꢲꢶꢬ
இரத்தச்சிவப்பு ,blood red,நத்தல்,नत्तल,ꢥꢡ꣄ꢡꢭ꣄
இளநிறம் ,light colour,கொம்ப்3ளவனி,का॑म्ब्ळवनि,ꢒꣁꢪ꣄ꢨꢳꢮꢥꢶ
இளம் பச்சை ,light green,கொம்ப்3ளபொல்ஸொ,का॑म्ब्ळपा॑ल्सा॑,ꢒꣁꢪ꣄ꢨꢳ ꢦꣁꢭ꣄ꢱꣁ
ஊதா ,violet,ஜெம்ப்3ள,जेम्ब्ळ,ꢙꢾꢪ꣄ꢨ꣄ꢳ
கருநிறம் ,dark,களொ,कळा॑,ꢒꢳꣁ
கருநீலம் ,dark blue,நிளொ,निळा॑,ꢥꢶꢳꣁ
கரும்பச்சை ,dark green,கெ4டி3பொல்ஸொ,घ॑डिपा॑ल्सा॑,ꢕꢾꢞꢶ ꢦꣁꢭ꣄ꢱꣁ
கறுப்பு ,black,கள,कळ,ꢒꢳ
காவி ,saffron,காஷ்டு,काष्टु,ꢒꢵꢰ꣄ꢜꢸ
கிளிப்பச்சை ,parrot green,ரமாபொல்ஸொ,रमापाअ॑ल्सा॑,ꢬꢪꢵ ꢦꣁꢭ꣄ꢱꣁ
சந்தணம் ,sandal/ cream,ஸிர்க்கன்,सिर्क्कन,ꢱꢶꢬ꣄ꢒ꣄ꢒꢥ꣄
சாம்பல் ,ash colour,தூ4ம்வனி,धूम्वनि,ꢤꢹꢪ꣄ꢮꢥꢶ
சிவப்பு ,red,லொ:வ்வொ,ल्हा॑व्वो,ꢭꢴꣁꢮ꣄ꢮꣁ
தவிட்டுநிறம் ,,நாற்மூடி3,नार्मूडि,ꢥꢵꢬ꣄ꢪꢹꢞꢶ
நிறம் ,colour,வனி,वनि,ꢮꢥꢶ
நீலம் ,blue,"ஶ்யாமொ, நில","श्यामा॑, निल","ꢯ꣄꣄ꢫꢵꢪꣁ, ꢥꢶꢭ"
பச்சை ,green,பொல்ஸொ,पा॑ल्सा॑,ꢦꣁꢭ꣄ꢱꣁ
மஞ்சள் ,yellow,ஹள்டு3னொ,हळ्डुना॑,ꢂꢳ꣄ꢞꢸꢥꣁ
வண்ணம் ,colour,வனி,वनि,ꢮꢥꢶ
வெள்ளை ,white,ஹுஜாள்,हुजाळ,ꢆꢙꢵꢳ꣄
