Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
அக்கறைகொள்  ,get interested,அக்கரொ க2ள்ளே,अक्करा॑ खळ्ळे,ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ
அகப்படு  ,be caught,அப்3பி3னிபோட்,अब्बिनि पोट,ꢂꢨ꣄ꢨꢶꢥꢶ ꢦꣂꢜ꣄
அச்சப்படு  ,be afraid of,த4க்கி ரா:,धक्कि र्हा,ꢤꢒ꣄ꢒꢶ ꢬꢴꢵ
அச்சமூட்டு  ,horrify,த4க்காட்,दक्काट,ꢤꢒ꣄ꢒꢵꢜ꣄
அச்சிடு  ,print,அச்சு தாய் /முத்3ரிணி கேர்,"अच्चु ताय, मुद्रणि केर","ꢂꢗ꣄ꢗꢸ ꢡꢵꢫ꣄, ꢪꢸꢣ꣄ꢬꢶꢠꢶ ꢒꢾꢬ꣄"
அச்சுறுத்து  ,terrify,தா4க் கா4ல்,दाघ घाल,ꢤꢵꢒ꣄ ꢕꢵꢭ꣄
அசைபோடு  ,Ruminate/chew,கா3லும் தொ2வ்லி லுப்3பி3,गालुम थोव्लि लुब्बि,ꢔꢵꢭꢸꢪ꣄ ꢢꣁꢮ꣄ꢭꢶ ꢭꢸꢨ꣄ꢨꢶ
அடக்கிவை  ,Quell/ control,உட்3க3டி3 தோ2வ்,उड्गडि तोव,ꢆꢞ꣄ꢔꢞꢶ ꢢꣁꢮ꣄
அடிபடு  ,get wounded,கா4ம் லக3ள்ளே,घाम् लगळ्ळे,ꢕꢵꢪ꣄ ꢭꢔꢳ꣄ꢳꢿ
அடிபணி  ,become subordinate,கா2ல்போட்,खाल्पोट्,ꢓꢵꢭ꣄ ꢦꣂꢜ꣄
அடிமைப்படுத்து  ,enslave,ப3ந்தி3கேர்/   தா3ஸ் கேர்,"बन्दि केर, दास्केर","ꢨꢥ꣄ꢣꢶ ꢒꢿꢬ꣄,   ꢣꢵꢱ꣄ ꢒꢿꢬ꣄"
அடிவை  ,set foot,ஹரும்ப3ம்கேர்/ பகு3ல் தோ2வ்,"हरुम्बम केर, पगुल थोव","ꢲꢬꢸꢪ꣄ꢨꢪ꣄ ꢒꢿꢬ꣄, ꢦꢔꢸꢭ꣄ ꢢꣁꢮ꣄"
