அட்டை ,leech,ஜு2ல்,झुल्,ꢚꢸꢭ꣄
அணில் ,squirrel,சிக்3லொ,चिग्ला॑,ꢗꢶꢔ꣄ꢭꣁ
அரணை ,lacerta interpunctula lizard,ஸம்சளி,सम्चळि,ꢱꢪ꣄ꢗꢳꢶ
ஆயிரங்கால் அட்டை ,centipede,ஸஸர்பாஞ் ஜு2ல்,ससर्पाञझुल्,ꢱꢱꢬ꣄ꢦꢵꢛ꣄ꢚꢸꢭ꣄
இரைப்பூச்சி,round worm,கொ3ருகானும்கிடொ3,गा॑रुकनुमकिडा॑,ꢔꣁꢬꢸ ꢒꢵꢥꢸꢪ꣄ ꢒꢶꢞꣁ
ஈசல்,winged white ant,உஸுஉஸாலெ,उसुउसाल॑,ꢆꢱꢸ ꢆꢱꢵꢭꢾ
உண்ணி,"lick, dog flea",ஜு2ரு,झुरु,ꢚꢸꢬꢸ
எறும்பு,ant,முங்கி3,मुङगि,ꢪꢸꢖ꣄ꢔꢶ
எலி,rat,ஹுந்தி3ர்,हुन्दिर,ꢲꢸꢥ꣄ꢣꢶꢬ꣄
ஓணான்,"chameleon, garden lizard",ஸரள்,सरळ,ꢱꢬꢳ꣄
கட்டெறும்பு,black ant,சாடொ,साटा॑,ꢗꢵꢜꣁ
கடந்தை,wasp,"க3ந்தொ4லி, கெ3ந்த4ல்","गन्धा॑लि, ग॑न्धल","ꢔꢥ꣄ꢤꣁꢭꢶ, ꢔꢾꢥ꣄ꢤꢭ꣄"
கம்பளிப்பூச்சி,caterpillar,கங்கிடொ3,किङकिडा॑,ꢒꢖ꣄ꢒꢶꢞꣁ
கரப்பான்பூச்சி,cockroach,ப3ந்தொ3,बन्दा॑,ꢨꢥ꣄ꢣꣁ
கரையான்,white ant,ஹுதி,हुति,ꢲꢸꢡꢶ
கிருமி,germ,க்ருமி,कृमि,ꢒꢺꢪꢶ
கீரி,mongoose,"நுகுல், நகுல்","नुकुल्, नकुल्","ꢥꢸꢔꢸꢭ꣄, ꢥꢒꢸꢭ꣄"
குளவி,wasp,ஸெஞ்ஜிவ்,स॑ञजिव्,ꢱꢾꢛ꣄ꢙꢶꢮ꣄
கொசு,mosquito,பிஸுளொ,पिसुळा॑,ꢦꢶꢱꢸꢳꣁ
சிலந்தி,spider,மௌடி3,मौडि,ꢪꣃꢞꢶ
சிற்றெறும்பு,small red ant,லொ:வ்வ முங்கி,ल्हा॑व्व मुङकि,ꢭꢴꣁꢮ꣄ꢮ ꢪꢸꢖ꣄ꢒꢶ
சுண்டெலி,mouse,ஹுந்தி3ர்,हुन्दिर्,ꢆꢥ꣄ꢣꢶꢬ꣄
செள்ளு,flea,குட்கி,कुट्कि,ꢒꢸꢜ꣄ꢒꢶ
தட்டான்,dragon fly,ஸுண்டி3,सुण्डि,ꢱꢸꢠ꣄ꢞꢶ
தவளை,frog,பெ4ர்களி,भ॑र्कळि,ꢩꢾꢬ꣄ꢒꢳꢶ
தும்பி,dragon fly,ஸுண்டி3,सुण्डि,ꢱꢸꢠ꣄ꢞꢶ
தேரை,toad,பே4லி,भेलि,ꢩꢿꢭꢶ
தேள்,scorpion,விஞ்சு,विञचु,ꢮꢶꢛ꣄ꢗꢸ
தேனீ,honey bee,மைம:கி3,मैम्हगि,ꢪꣀꢪꢴꢔꢶ
நத்தை,snail,கி3ஸ்ளொ,गिस्ळा॑,ꢔꢶꢱ꣄ꢳꣁ
"பட்டம்பூச்சி, வண்ணத்துப் பூச்சி",butterfly,கொ3ரம்மொ,गा॑रम्मा॑,ꢔꣁꢬꢪ꣄ꢪꣁ
பட்டுப்புழு,silkworm,கௌஸ்கிடொ3,कौस्किडा॑,ꢒꣃꢱ꣄ꢒꢶꢞꣁ
பல்லி,house lizard,பாலொ,पाला॑,ꢦꢵꢭꣁ
பாம்பு,snake,ஸாப்,साप्,ꢱꢵꢦ꣄
புத்தகப்புழு,silver fish,அந்து3,अन्दु,ꢂꢥ꣄ꢣꢸ
புழு,worm,கிடொ3,किडा॑,ꢒꢶꢞꣁ
புற்று,ant hill,ஒளளி,औळि,ꢑꢳꢶ
பூச்சி,small insect,ஹப்3பு3,हब्बु,ꢂꢨ꣄ꢨꢸ
பூரான்,centipede,கோ3ம்பெ3,गोम्ब॑,ꢔꣂꢪ꣄ꢨꢾ
பேன்,louse,ஜூம்,जूम,ꢙꢹꢪ꣄
மண்புழு,earthworm,ஸித்3த3ட்,सिद्दट्,ꢱꢶꢣ꣄ꢣꢜ꣄
மின்மினிப்பூச்சி,glow worm,ஜிஜ்ஜில்,जिज्जिल,ꢙꢶꢙ꣄ꢙꢶꢭ꣄
மூட்டை,bug,தெ4கு3நொ,ध॑गुना॑,ꢤꢾꢔꢸꢥꣁ
மொசறு,"big red ant,",பிங்கு3 முங்கி3,पिङगु मुङगि,ꢦꢶꢖ꣄ꢔꢸ ꢪꢸꢖ꣄ꢔꢶ
வண்டு,beetle,ஆளி,आळि,ꢃꢳꢶ
விட்டில்,grass hopper,தோ2ள்,थौळ,ꢢꣂꢳ꣄
வெட்டுக்கிளி,locust,கொ3ல்லொர்,गा॑ल्ला॑र,ꢔꣁꢭ꣄ꢭꣁꢬ꣄
