Unnamed: 0,6. Directions,Unnamed: 2,Unnamed: 3,Unnamed: 4
இடது,left side,த3ய்ரொ,दय्रा॑,ꢣꢫ꣄ꢬꣁ
இடம்,left side,த3ய்ர,दय्र,ꢣꢫ꣄ꢬ
கிழக்கு,east,கௌ2னஸ்,खौनस,ꢓꣃꢥꢱ꣄
திக்கு,direction,தி3க்கு,दिक्कु,ꢣꢶꢒ꣄ꢒꢸ
திசை,direction,தி3ஸொ,दिसा॑,ꢣꢶꢱꣁ 
தெற்கு,south,தெ3க்ஷண்,द॑क्षण्,ꢣꢾꢒ꣄ꢰꢠ꣄
தென்கிழக்க,south-east,தெ3க்ஷகௌ2னஸ்,द॑क्षखौनस,ꢣꢾꢒ꣄ꢰꢓꣃꢥꢱ꣄
தென்மேற்கு,south-west,தெ3க்ஷொஸ்தொ,द॑क्षोस्ता॑,ꢣꢾꢒ꣄ꢰꣁꢱ꣄ꢡꣁ
வடக்கு,north,உத்தர்,उत्तर,ꢆꢡ꣄ꢡꢬ꣄
வடகிழக்கு,north-east,உத்கௌ2னஸ்,उखौनस,ꢆꢡ꣄ꢓꣃꢥꢱ꣄ 
வடமேற்கு,north-west,உத்ஹொஸ்தொ,उत हा॑स्ता॑,ꢆꢡ꣄ꢲꣁꢱ꣄ꢡꣁ
வலது,right side,ஜய்நொ,जय्ना॑,ꢙꢫ꣄ꢥꣁ
வலம்,right side,ஜய்ந,जय्न,ꢙꢫ꣄ꢥ
