Unnamed: 0,7. Dress and Ornaments,Unnamed: 2,Unnamed: 3,Unnamed: 4
அட்டியல்,cholker,அட்3கெ3ல்,अड्ग॑ल,ꢂꢞ꣄ꢔꢾꢭ꣄
அரைஞாண் ,"hip ornament a close neck ornament,",கெது3ரொ,क॑दुरा॑,ꢒꢾꢣꢸꢬꣁ
ஆடை ,dress,வஸ்தர்,वस्तर्,ꢮꢱ꣄ꢡꢬ꣄
ஆபரணம் ,ornament,"பூ4ஷு, ஸொம்மு","भूसू, सा॑म्मु","ꢩꢹꢰꢸ, ꢱꣁꢪ꣄ꢪꢸ"
இரவிக்கை ,blouse,சொவ்ளி,चा॑व्लि,ꢗꣁꢮ꣄ꢭꢶ
உடுப்பு ,shirt,பே2லு,फेलु,ꢧꢾꢭꢸ
உருப்படி ,ornament,பொ4ண்ணம்,भा॑ण्ण्म,ꢩꣁꢠ꣄ꢠꢪ꣄
உள்ளாடை ,inner garment,அந்தர்வாஸ்,अन्तर्वास्,ꢂꢥ꣄ꢡꢬ꣄ꢮꢵꢱ꣄
ஒட்டியாணம் ,waist ornament,ஒட்3டி3யணம்,आ॑ड्डियणम्,ꢏꢞ꣄ꢞꢶꢫꢠꢪ꣄
கச்சை ,bra (a cloth to cover the breast),அடு3சொவ்ளி,अडुचा॑व्लि,ꢂꢞꢸꢗꣁꢮ꣄ꢭꢶ
கண்ணாடி ,spectacles /mirror,"தொ3ணொ, சா2ஸ்மொ","दा॑णा॑, छास्मा॑","ꢣꣁꢠꣁ, ꢘꢵꢱ꣄ꢪꣁ"
கதர் ,khadi,கா2தி,खाति,ꢓꢵꢡꢶ
கம்மல் ,ear studs,தௌணட்,तौणट,ꢡꣃꢠꢞ꣄
காதோலை ,ear ring,தவ்ணட்3,तव्णड्,ꢡꢮ꣄ꢠꢣ꣄
காப்பு ,broad bangle,கெங்க3ண்,क॑ङगण्,ꢒꢾꢖ꣄ꢔꢠ꣄
காற்சட்டை ,pants,பாஞ்அங்க3ரொ,पाञ अङगरा॑,ꢦꢵꢛ꣄ ꢂꢖ꣄ꢔꢬꣁ
குங்குமம் ,kumkum,குங்கு3ம்,कुङगुम्,ꢒꢸꢖ꣄ꢔꢸꢪ꣄
குடை ,umbrella,ஸதி,सति,ꢱꢡꢶ
குண்டலம் ,ear ornament,பொங்கு3ளொ,पा॑ङगुळा॑,ꢦꣁꢖ꣄ꢔꢸꢳꣁ
குல்லாய் ,cap,பைடி3,पैडि,ꢦꣀꢞꢶ
கெம்பு ,ruby,லோ:ங்கு3,ल्हा॑ङगु,ꢭꢴꣂꢖ꣄ꢔꢸ
கைத்தறித்துணி ,handloom cloth,ஹாதுமகா3 பொ3ட்டொ3,हादुमगा बा॑ट्डा॑,ꢲꢵꢡꢸꢪꢔꢵ ꢨꣁꢜ꣄ꢞꣁ 
கொசுவம் ,sari pleats,குஞ்ஜம்,कुञजम्,ꢒꢸꢛ꣄ꢙꢪ꣄
கடுக்கன்,ear ornament,பொங்கு3ளொ,पोङगुळा॑,ꢦꣁꢖ꣄ꢔꢸꢳꣁ
கொடி ,waist ornament,கெது3ரொ,क॑दुरा॑,ꢒꢾꢣꢸꢬꣁ
கொலுசு ,anklet,"சைம்ப3ட்டெ, கொ3ர்ஸுல்","चैम्बट्ट॑, गा॑र्सुल","ꢗꣀꢪ꣄ꢨꢜ꣄ꢜꢾ, ꢔꣁꢬ꣄ꢱꢸꢭ꣄"
கோமணம் ,loin cloth,கஷ்டி பொ3ட்டொ,कस्टि बा॑ट्टा॑,ꢒꢰ꣄ꢜꢶꢨꣁꢜ꣄ꢜꣁ
கோமேதகம் ,sardonyx,கோ3மேத3கம்,गा॑मेदकम,ꢔꣁꢪꢾꢣꢒꢪ꣄
சட்டை ,shirt,அங்க3ரொ,अङगरो,ꢂꢖ꣄ꢔ꣄ꢬꣁ
சட்டைப்பை ,shirt pocket,"அங்க்3ரா, கொ2ள்டி","अङगरा, खा॑ल्टि","ꢂꢖ꣄ꢔ꣄ꢬꢵ, ꢓꣃꢭ꣄ꢜꢶ"
சால்வை ,shawl,ரங்கா3வ்,रङगाव्,ꢬꢖ꣄ꢔꢵꢮ꣄
சிந்தாமணி ,neck chain,தெ3ண்டொ3,द॑ण्डा॑,ꢣꣁꢠ꣄ꢞꣁ
சிலம்பு ,anklet,பி3ந்து3லொ,बिङदुला॑,ꢨꢶꢥ꣄ꢣꢸꢭꣁ
சிவப்புக்கல் ,ruby,லோ:ங்கு3,ल्होङदु,ꢭꢴꣂꢖ꣄ꢔꢸ
சுட்டி ,locket,லோலாக்,लोलाक,ꢭꣁꢭꢵꢒ꣄
சுருக்கு ,sari pleats,மொஞ்சனி,मा॑ञचनि,ꢪꣁꢛ꣄ꢗꢥꢶ
செந்தூரம் ,kumkum/ sindur,சுச்சும்,चुच्चुम्,ꢗꢸꢗ꣄ꢗꢸꢪ꣄
