அடை  ,a kind of pane cake with daals,பெ3ளாதி4டொ3/ அடை3,"ब॑लाधिडा॑, अटै","ꢨꣁꢭꢵꢤꢶꢞꣁ, ꢂꢜꣀ"
அதிரசம்  ,a sweet   made out of rice flour,புரி,पुरि,ꢦꢸꢬꢶ
அப்பளம்  ,papad,அப்புடா3ல்,अप्पुडाल्,ꢂꢦ꣄ꢦꢸꢞꢵꢭ꣄
அவல்  ,flattened rice,அட்குல்,अट्कुल्,ꢂꢜ꣄ꢒꢸꢭ꣄
அவியல்  ,a mixed vegetable preparation,கய்லான்தெள்னி,"कय्यान्त॑ळ्नि, ",ꢒꢫ꣄ꢫꢵꢥ꣄ ꢡꢾꢳ꣄ꢥꢶ
ஆகாரம்  ,food,அஹார்,अहार्,ꢂꢲꢵꢬ꣄
ஆப்பம்  ,a dosa like preparation made out of rice flour,அப்பம்,अप्पम्,ꢂꢦ꣄ꢦꢪ꣄
இட்டிலி  ,idly,ப2லார்/விள்டொ/விள்டியொ/உக்குடு3ம்,"फ्लार्, विळ्टिया॑, उक्कुटुम्","ꢩꢭꢵꢬ꣄, ꢮꢶꢳ꣄꣄ꢜꢶꢫꣁ, ꢆꢒ꣄ꢒꢸꢜꢸꢪ꣄"
இடியாப்பம்  ,noodles made out of rice flour,இடியாப்பம்,इटियाप्पम्,ꢄꢜꢶꢫꢵꢦ꣄ꢦꢪ꣄
"செவ்விளநீர், பச்சை இளநீர்  ",tender coconut,"க2வ்னல்,       ஸவ்னல்","घटव्नल्,       सव्नल्","ꢕꢜꢮ꣄ꢥꢭ꣄, ꢱꢮ꣄ꢥꢭ꣄"
"இறைச்சி, மாமிசம் ",meat,சைனொ/    பொ3ஸுலொ/   மாம்ஸு / கொ2வ்ஸ்,"चैना॑,        बा॑सुला॑,    माम्सु, खा॑व्स","ꢗꣀꢥꣁ, ꢨꣁꢱꢸꢭꣁ, ꢪꢵꢪ꣄ꢱꢸ, ꢓꣁꢮ꣄ꢱ꣄"
உணவு  ,food,க2னி/க2வ்னம்,"खनि, खव्नम","ꢓꢥꢶ, ꢓꢮ꣄ꢥꢪ꣄"
உப்புமா  ,upma,உப்மாவ்,उप्माव्,ꢆꢦ꣄ꢪꢵꢮ꣄
உப்பிலோடு,A kind of mango curry,கச்சம்பா3 அம்ப3ட்,कच्चम्बा अम्बट्,ꢒꢗ꣄ꢗꢪ꣄ꢩꢵ ꢂꢪ꣄ꢨꢜ꣄
ஊறுகாய்  ,pickle,பி3ஜ்ஜட்/லொஷ்டொ,"बिज्जट्, ला॑ष्टा॑","ꢨꢶꢙ꣄ꢙꢜ꣄, ꢭꣁꢰ꣄ꢜꣁ"
எள்ளுருண்டை  ,a sweet made of till,தீளு உண்டொ,तीलु उण्टा॑,ꢡꢷꢭꢸ ꢆꢠ꣄ꢜꣁ
கஞ்சி  ,rice gruel,கென்னிபேஸ்,क॑न्निपेस,ꢒꢾꢥ꣄ꢥꢶꢦꢾꢱ꣄
கரும்புச்சாறு  ,sugarcane juice,கொ3ப்3பு3 ரெஸ்ஸு,गा॑ब्बु र॑स्सु,ꢔꣁꢨ꣄ꢨꢸꢬꢾꢱ꣄ꢱꢸ
கருவாடு  ,dry fish,கொட்3டி3,का॑ड्डि,ꢒꣁꢞ꣄ꢞꢶ
கள்  ,toddy,கௌ்ளு,क॑ळ्ळु,ꢒꢾꢳ꣄ꢳꢸ
களி  ,semi-solid preparation with rice or ragi flour,ஸுகு3ட்3,सुगुड्,ꢱꢸꢔꢸꢞ꣄
வெஞ்சனம்,"side dish, curry",சைலத்தெ,चैलत्त॑,ꢗꣀꢭꢡ꣄ꢡꢾ
கறி  ,flesh or meat,சைனொ,चैना॑,ꢗꢥꣁ
ஆட்டுக் கறி   ,mutton,பெ3ண்டு3சைனொ/ பொ3ஸுலொ,"ब॑ण्डुचैना॑, बा॑सुला॑","ꢨꢾꢠ꣄ꢞꢸꢗꢥꣁ, ꢨꣁꢱꢸꢭꣁ"
கோழிக் கறி   ,chicken,குடி3 சைனொ,कुडिचैना॑,ꢒꢸꢞꢶꢗꢥꣁ
பன்றிக் கறி   ,pork,து3க்கரு சைனொ,दुक्करुचैना॑,ꢣꢸꢒ꣄ꢒꢬꢸꢗꢥꣁ
மாட்டுக் கறி   ,beef,கொ3ரு சைனொ,गा॑रुचैना॑,ꢒꣁꢬꢸꢗꣀꢥꣁ
குழம்பு  ,a curry with thick gravy,அம்டி/கொ3ஜ்ஜு,"अम्टि, गा॑ज्जु","ꢂꢪ꣄ꢜꢶ, ꢔꣁꢙ꣄ꢙꢸ"
கூட்டு  ,a kind of side dish,குட்கிரி/அம்ப3ட்,"कुट्किरि, अम्बट","ꢒꢸꢜ꣄ꢒꢶꢬꢶ, ꢂꢪ꣄ꢨꢜ꣄"
கூழ்  ,a watery preparation with rice or ragi flour,அம்பி3ல்,अम्बिल्,ꢂꢪ꣄ꢨꢶꢭ꣄
கேசரி  ,a sweet prepared with suji,கேஸரி,केसरि,ꢒꢿꢱꢬꢶ
கொழுக்கட்டை  ,an eatable with rice and coconut,கந்து3லொ,कन्दुला॑,ꢒꢥ꣄ꢣꢸꢭꣁ
கொழுப்பு  ,fat,மந்தொ3,मन्दा॑,ꢪꢥ꣄ꢣꣁ
சட்டினி  ,chutney,சட்னி,चट्नि,ꢗꢜ꣄ꢥꢶ
தக்காளிச் சட்டினி   ,tomato chutney,தக்காளி சட்னி,तक्कालि चट्नि,ꢡꢒ꣄ꢒꢵꢳꢶ ꢗꢜ꣄ꢥꢶ
தேங்காய்ச் சட்டினி   ,coconut chutney,நரள்சட்னி,नरळ् चट्नि,ꢥꢬꢳ꣄꣄ ꢗꢜ꣄ꢥꢶ
புதினாச் சட்டினி   ,mint chutney,புதினாசட்னி,पुतिनाचट्नि,ꢦꢸꢡꢶꢥꢵ ꢗꢜ꣄ꢥꢶ
மல்லிச் சட்டினி   ,coriander chutney,மல்லிசட்னி,मल्लि चट्नि,ꢪꢭ꣄ꢭꢶ ꢗꢜ꣄ꢥꢶ
உப்புக்கண்டம்,dry mutton,ஸுக்கட்,सुक्कट्,ꢱꢸꢒ꣄ꢒꢜ꣄
சப்பாத்தி  ,chapatti,சப்பாத்தி,चप्पात्ति,ꢗꢦ꣄ꢦꢵꢡ꣄ꢡꢶ
சாதம்  ,cooked rice,பா4த்,भात्,ꢩꢵꢡ꣄
சாப்பாடு  ,meals,பா4த்/அன்னு,"भात्, अन्नु","ꢩꢵꢡ꣄, ꢂꢥ꣄ꢥꢸ"
சாம்பார்  ,liquid curry with vegetables,ஸம்பா3ர்,सम्बार्,ꢱꢪ꣄ꢨꢵꢬ꣄
சாராயம்  ,arrack,ஸெரொ,स॑रा॑,ꢱꢾꢬꣁ
சாறு  ,juice,ரெஸ்ஸு,र॑स्सु,ꢬꢾꢱ꣄ꢱꢸ
சிற்றுண்டி  ,Tiffin,ந:ன்க2னி,न्हन्खनि,ꢥꢴꢥ꣄ꢓꢥꢶ
சுண்டல்  ,"an eatable prepared normally with Bengal gram, peas",கச்சென்னொ,कच॑न्ना॑,ꢒꢗ꣄ꢗꢾꢥ꣄ꢥꣁ
சுழியன்  /ஸீயம்,a sweet,ஸுகு3ண்டொ3,सुकुण्टा॑,ꢱꢸꢒꢸꢠ꣄ꢜꣁ
எலுமிச்சம் சோறு   ,lemon bath,லிம்பு3பா4த்,लिम्बु भात्,ꢭꢶꢪ꣄ꢨꢸ ꢩꢵꢡ꣄
கட்டுச் சோறு   ,parcel bath,செத்3தி3பா4த்,चेत्ति भात्,ꢗꢾꢡ꣄ꢡꢶ ꢩꢵꢡ꣄
சோள்ச் சோறு,Jowar bath,ஜொ2ள்ளா பாத்,पोन्निन्चोन्नोभात्,ꢦꣁꢥ꣄ꢥꢶꢥ꣄ ꢗꣁꢥ꣄ꢥꣁ ꢩꢵꢡ꣄
எலுமிச்சைசாதம்,lemon rice,லிம்புபா4த்,लिम्पुभात्,ꢭꢶꢪ꣄ꢦꢸꢩꢵꢡ꣄
தோசை,dosa,தி4டொ3,धिढो,ꢤꢶꢟꣁ
சோளச் சோறு   ,jowar bath,ஜொ2ள்ளாபா4த்,झोळ्ळा भात्,ꢚꣁꢳ꣄ꢳꢵ ꢩꢵꢡ꣄
தயிர்  ,curd,தெ4இ~,ध॑इ~,ꢤꢾꢄ~
தீனி  ,cattle feed,சொரொ,चा॑रा॑,ꢗꣁꢬꣁ
துவையல்  ,chutney,லொஷ்டொ,ला॑ष्टा॑,ꢭꣁꢱ꣄ꢜꣁ
எள்ளுத் துவையல்   ,till chutney,"தீள்லொஷ்டொ, தீள்தா3ள்",तीळ्ला॑ष्टा॑ तीळ्दाळ,"ꢡꢷ꣄ꢳ꣄ ꢭꣁꢰ꣄ꢜꣁ, ꢡꢷꢳ ꣄꣄ꢣꢵꢳ꣄"
காணத் துவையல்   ,horsegram chutney,குளித்தா3ள்,कुळित्दाळ,ꢒꢸꢳꢶꢶꢡ꣄ ꢣꢵꢳ꣄
தேங்காய்த் துவையல்   ,coconut chutney,நரள்தா3ள்,नरळ्दाळ,ꢥꢬꢳ꣄꣄ ꢣꢵꢳ꣄
பருப்புத் துவையல்   ,bengal gram chutney,பெ3ளாதா3ள்,बेलादाळ,ꢨꢾꢳꢵꢣꢵꢳ꣄
புதினாத் துவையல்   ,potina chutney,புதினாதா3ள்,पुतिनादाळ,ꢦꢸꢡꢶꢥꢵ ꢣꢵꢳ꣄
தேங்காய்ப்பால்  ,coconut milk,நரள்தூ3த்,नरळ्दूत्,ꢥꢬꢳ꣄꣄ ꢣꢹꢡ꣄
தேன்  ,honey,மை/மது4/தேனெ,"मै, मधु, तेन॑","ꢪꣀ, ꢪꢤꢸ, ꢡꢿꢥꢾ"
தேன்குழல்  ,"sweet prepared out of rice flour, jiggery fried in oil",தெந்துலொ,त॑न्दुला॑,ꢡꢾꢥ꣄ꢡꢸꢭꣁ
தேயிலை  ,tea leaves,டீ பான்,ती पान,ꢜꢷ ꢦꢵꢥ꣄
தோசை,"Dosa, A pan cake with rice and black gram powder",தி4டொ3,धिडा॑,ꢤꢶꢞꣁ
தேனீர்  ,tea,டீ,टी,ꢜꢷ
நெய்  ,ghee,தூப்,तूप्,ꢡꢹꢦ꣄
நொறுக்குத்தீனி  ,snacks,ஹொல்லா க2னி,होल्ला खनि,ꢲꣁꢭ꣄ꢭꢵ ꢓꢥꢶ
பக்கோடா  ,"an eatable prepared with Bengal gram powder, onion etc.",பக்கோடா,पक्कोटा,ꢦꢒ꣄ꢒꣂꢜꣁ
,,,अप्पलम्,ꢂꢦ꣄ꢦꢭꢪ꣄
பழச்சாறு  ,fruit juice,பொள்ளாரெஸ்ஸு,पा॑ळ्ळा र॑स्सु,ꢦꣁꢳ꣄ꢳꢵ ꢬꢾꢱ꣄ꢱꢸ
பழையமுது  ,previous day,ஸிள்ளபா4த்,सिळ्ळ भात्,ꢱꢶꢳ꣄ꢳ ꢩꢵꢡ꣄
பழங்கஞ்சி  ,previous day,கொடு3க்,का॑डुक,ꢒꣁꢞꢸꢒ꣄
பஜ்ஜி  ,bajji,ப4ஜ்ஜி,भज्जि,ꢩꢙ꣄ꢙꢶ
பாகு  ,syrup or jelly,பாவ்,पाव्,ꢦꢵꢮ꣄
பாயசம்  ,"liquid sweet made out of rice, daal, milk and jaggery",பஸம்,पसम्,ꢦꢱꢪ꣄
பால்  ,"milk, ",தூ3த்,दूत्,ꢣꢹꢡ꣄
