அடடா  ,expression of wonder,அடே3ங்கப்பா/ அம்மாடி3/        அவ அம்பா3,"अडेङ्कप्पा, अम्माडि,       अव अम्बा","ꢂꢣꢿꢖ꣄ꢒꢦ꣄ꢦꢵ, ꢂꢪ꣄ꢪꢵꢞꢶ,       ꢂꢮ ꢂꢪ꣄ꢨꢵ"
அதனால்  ,so,தெல்யக ஹால்/ஹாலிம்,"तेल्यक हाल, हालिम","ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄, ꢲꢵꢭꢶꢪ꣄"
அதோ  ,look there,தேட் ஸா,तेट्सा,ꢡꢿꢜ꣄ꢱꢵ
அப்படியா?,is it so?,இஸொயா?,इसा॑या,ꢄꢱꣁꢫꢵ
அப்படியென்றால்  ,if it is so,இஸொமெனெதி,इसा॑म॑न॑ति,ꢄꢱꣂꢪꢾꢥꢾꢡꢶ
அப்பா  ,expression of pain,ஹா,हा,ꢲꢵ
அப்பாடி  ,expression of wonder,அப்பாடி,अप्पाटि,ꢂꢦ꣄ꢦꢵꢜꢶ 
அப்பாடீ  ,expression of pain,அப்பாடீ,अप्पाटी,ꢂꢪ꣄ꢪꢵꢜꢷ
அம்மா  ,expression of pain,அம்மாடி,अम्माटि,ꢂꢪ꣄ꢪꢵꢜꢶ
அல்ல  ,no,நா:,न्हा,ꢥꢴꢵ
ஆகையால்  ,so,தெல்யக ஹால்,त॑ल्यक हाल,ꢡꢾꢭ꣄ꢫꢒ ꢲꢵꢭ꣄
ஆங்  ,a response,ஹாய்,हाय्,ꢲꢵꢫ꣄
ஆமாம்  ,yes,ஹாய்,हाय्,ꢲꢵꢫ꣄
ஆனால்  ,but,ஹொயெதி/ மெகி3,"हा॑य॑ति, मेगि","ꢲꣁꢫꢾꢡꢶ, ꢪꢾꢔꢶ"
இதனால்  ,hereby,எல்யெக ஹால்,ए॑ल्य॑क हाल,ꢌꢭ꣄ꢫꢾꢒ ꢲꢵꢭ꣄
இதோ  ,look here,ஏட்ஸா/ ஏலா,"एट्सा, एला","ꢍꢜ꣄ꢱꢵ, ꢍꢭꢵ"
இந்தா  ,take this (non-hon.),க2ள்ளே/ தே4ர்,"खळ्ळे, धेर","ꢓꢳꢳꢿ, ꢤꢿꢬ꣄"
இந்தாருங்கள்  ,take this (hon.),க2ள்ளுவொ/ தெ4ரொ/தெ4ருவொ,"खळ्ळुवा॑, ध॑रा॑, ध॑रुवा॑","ꢓꢳ꣄ꢳꢸꢮꣁ, ꢤꢾꢬꣁ, ꢤꢾꢬꢸꢮꣁ"
இல்லை  ,no,நா:,न्हा,ꢥꢴꢵ
இன்னும்  ,yet,அங்கு3ன்,अङ्गुन्,ꢂꢖ꣄ꢔꢸꢥ꣄
இனி  ,hereafter,அத்தெங்கு3ட்/ அதப2ரொ,"अत्त॑ङ्गुट्, अतफरा॑","ꢂꢡ꣄ꢡꢾꢖ꣄ꢔꢸꢜ꣄, ꢂꢡꢧꢬꣁ"
இனிமேல்  ,hereafter,அத்தெங்கு3ட்,अत्त॑ङ्गुट्,ꢂꢡ꣄ꢡꢾꢖ꣄ꢔꢸꢜ꣄
இனியும்  ,still,அங்கு3ன்,अङ्गुन्,ꢂꢖ꣄ꢔꢸꢥ꣄
இஷ்  ,expression of caution,உஷ்,उष्,ꢆꢰ꣄
உம் உம்   ,yes,ஹாய்ஹாய்,हाय्हाय्,ꢲꢵꢫ꣄ ꢲꢵꢫ꣄
என்ன  ,response to a call,காய்,काय्,ꢒꢵꢫ꣄
எனவே  ,hence,தெல்யக லெந்த,त॑ल्यक ल॑न्त,ꢡꢾꢭ꣄ꢫꢒ ꢭꢾꢥ꣄ꢡ
ஏய்  ,term to call attention,ஏய்/ ரே/ ரேய்,"एय्, रे, रेय","ꢍꢫ꣄, ꢬꢾ, ꢬꢿꢫ꣄"
ஐயோ  ,expression of sorrow,ஐயோ,ऐयो,ꢎꢫꣂ
ஓ  ,expression of wonder,ஓ,ओ,ꢐ
ஓகோ  ,expression of approval,ஹாய்/ஹோந்த3க்,"हाय्, होन्दक्","ꢲꢵꢫ꣄, ꢲꣂꢥ꣄ꢣꢒ꣄"
ஓய்  ,term to call attention,ஹோய்,होय्,ꢲꣂꢫ꣄
சீச்சீ  ,expression of contempt,சீ2ச்சீ2,छीच्छी,ꢘꢷꢗ꣄ꢘꢷ
டி  ,address term for inferior faminine (singular),வா/ அவா,"वा, अवा","ꢮꢵ, ꢂꢮꢵ"
டேய்  ,address term for inferior masculine (singular),ரேய்,रेय्,ꢬꢿꢫ꣄
தூ  ,expression of contempt,தூ2த்தூ,थुत्तु,ꢢꢸꢡ꣄ꢡꢹ
பாவம்  ,expression of sympathy,பாப்,पाप्,ꢦꢵꢦ꣄
ம்ஹூம்  ,no,ஊஹூ~,ऊहूइ~,ꢇꢲꢹꢄ~ 
மேல்மேலும்  ,again and again,பி2ர்வி பி2ர்வி/ ,"फिव्रि, फिव्रि","ꢧꢶꢮ꣄ꢬꢶ, ꢧꢶꢮ꣄ꢬꢶ"
மேலும்  ,moreover,தெகப2ராத்/ அங்கு3ன்,"त॑कफरात्, अङ्गुन","ꢡꢾꢒ ꢧꢬꢵꢡ꣄, ꢂꢖ꣄ꢔꢸꢥ꣄"
ஹையா  ,expression of joy,ஹையா,हैया,ꢲꣀꢫꢵ
