Unnamed: 0,14. Grammar,வ்யாகரண்,व्याकरण,ꢮ꣄ꢫꢸꢃꢒꢬꢠ꣄
அசை  ,syllable,அக்ஷர்,अक्षर्,ꢂꢒ꣄ꢰꢬ꣄
அசையீறு  ,coda,அக்ஷாந்தர்,अक्षान्तर्,ꢂꢒ꣄ꢰꢵꢥ꣄ꢡꢬ꣄
அடை  ,attribute,விஸேஷணொ/ கு3ணி,"विसेषणा॑, गुणि",ꢮꢶꢯꢿꢰꢠꣁ ꢔꢸꢠꢶ
அண்ண ஒலி   ,palatal sounds,தாலுஸப்3து3/ஹரிடி3ஸப்3து3,"तालुसब्दु, हरडिसब्दु","ꢡꢵꢭꢸ ꢱꢨ꣄ꢣꢸ, ꢲꢬꢶꢞꢶ ꢱꢨ꣄ꢣꢸ"
அணி  ,figure of speech,ரூபவர்ணி/அலங்கார்,"रूपवर्णि, अलङकार्","ꢬꢹꢦꢮꢬ꣄ꢠꢶ, ꢂꢭꢖ꣄ꢒꢵꢬ꣄"
அமைப்பு  ,structure,ரூபு நிர்மான்,रूपु निर्मान्,ꢬꢹꢦꢸ ꢥꢶꢬ꣄ꢪꢵꢥ꣄
அயற் கூற்று   ,indirect speeeh,ப4ங்கி3பா4ஷண்/பரோக்ஷபா4ஷண்,"बङगिभाषन्, परोक्षभाषण्","ꢩꢖ꣄ꢔꢶ ꢩꢵꢰꢥ꣄, ꢦꢬꣂꢰ ꢩꢵꢰꢠ꣄"
அரைப்புள்ளி  ,colon,அர்த4பி3ந்து3,अरध बिन्दु,ꢂꢬ꣄ꢤ ꢨꢶꢥ꣄ꢣꢸ
அருவப்பெயர்  ,abstract noun,அரூப நாவ்,अरूप नाव्,ꢂꢬꢹꢦ ꢥꢵꢮ꣄
அஃறிணை  ,Non-humanneuter,நபும்ஸக லிங்கு3/அள்ளிங்கு3,"नपुम्सक लिङ्गु, अळ्ळिङ्गु","ꢥꢦꢸꢪ꣄ꢱꢒ ꢭꢶꢖ꣄ꢔꢸ, ꢂꢳ꣄ꢳꢶꢖ꣄ꢔꢸ"
ஆக்கங்கள்  ,derivatives,ஸப்3த3அவ்னி,शब्द अवनि,ꢯꢨ꣄ꢣ ꢂꢮ꣄ꢥꢶ
ஆண்பால்  ,masculine gender,பும்ஸகலிங்கு3/ த3ல்லிங்கு3,"पुम्सकलिङ, दल्लिङगु","ꢦꢸꢪ꣄ꢱꢒꢭꢶꢖ꣄, ꢣꢭ꣄ꢭꢶꢖ꣄ꢔ꣄"
ஆறாம்வேற்றுமை   ,possessive case,ஆத்மீய விப4க்தி/ஸொவ்வெவிப4க்தி,"आत्मीय विभक्ति, सा॑व्व॑ विभक्त","ꢃꢡ꣄ꢪꢷꢫꢮꢶꢩꢒ꣄ꢡꢶ, ꢱꣁꢮ꣄ꢮꢾ ꢮꢶꢩꢒ꣄ꢡ"
இடம்  ,person,புருஷ,पुरुष,ꢦꢸꢬꢸꢱ
இடவேற்றுமை  ,locative case,ஸத்வ விப4க்தி,सत्व विभक्ति,ꢱꢡ꣄ꢮ ꢮꢶꢩꢒ꣄ꢡꢶ
இடைச்சொல்  ,particle,மிள்னி ஸப்3து3,मिळ्नि सब्दु,ꢪꢳ꣄ꢥꢶ ꢱꢨ꣄ꢣꢸ
இணை  ,pair,ஜொடி3,जा॑डि,ꢙꣁꢞꢶ
இயல்பு  ,feature,ப்ரக்ருதி,प्रकृति,ꢦ꣄ꢬꢒꢺꢡꢶ
இயற்சொல்  ,native word,கா3ம்வத்தொ/  தே3ஸி வத்தொ,"घाम्वत्ता॑, देसि वत्ता॑",ꢕꢵꢪ꣄ ꢮꢡ꣄ꢡꣁ ꢣꢿꢱꢶ ꢮꢡ꣄ꢡꣁ
இயைபு  ,agreement,தோது3 செர்னி,तोदुच॑र्नि,ꢡꣂꢣꢸ ꢗꢾꢬ꣄ꢥꢶ
இரட்டை எண்   ,dual number,தி3வ்னிஸங்க்2யொ,दिव्नि सङख्या॑,ꢣꢶꢮ꣄ꢥ ꢶꢱꢖ꣄ꢓ꣄꣄ꢫꣁ
இரண்டாம் வேற்றுமை,accusative case,தி3வவிப4க்தி,दिव विभक्ति,ꢣꢶꢮ ꢮꢶꢩꢒ꣄ꢡꢶ
