எங்கே  ,where,கோட்,कोट्,ꢒꣂꢜ꣄
எத்தனை  ,how many,கித்க,कित्क,ꢒꢶꢡ꣄ꢒ
எத்தனையாவது  ,how manieth,கித்கயொ/ கோன்,"कित्कया॑, कोन","ꢒꢶꢡ꣄ꢒꢫꣁ, ꢒꣂꢥ꣄"
எப்படி  ,how,கிஸொ/கோனக்,"किसा॑, कोनक","ꢒꢶꢱꣁ, ꢒꣂꢥꢒ꣄"
எப்படிப்பட்ட  ,what type of,கிஸாயொ(ஏகவசன்)கிஸாயெ (பஹுவசன்),किसाया॑(एकवचन) किसाय॑ (पहुवचन),"ꢒꢶꢱꢵꢫꣁ (ꢌꢒꢮꢗꢥ꣄), ꢒꢶꢱꢵꢫꢾ (ꢦꢲꢹꢮꢗꢥ꣄)"
எப்போது  ,when,கொ2ப்3பொ3,खा॑ब्बा॑,ꢓꣁꢨ꣄ꢨꣁ
எவ்வண்ணம்  ,how,கிஸொ,किसा॑,ꢒꢶꢱꣁ
எவ்வாறு  ,what way,கிஸொ,किसा॑,ꢒꢶꢱꣁ
என்று  ,which day,கோன் தி3ன்னு,कोन दिन्नु,ꢒꣁꢥ꣄ ꢣꢶꢥ꣄ꢥꢸ
என்ன  ,what,காய்/காயொ,"काय, काया॑","ꢒꢵꢫ꣄, ꢒꢵꢫꣁ"
எந்த  ,what,கோனெ/கோன்யெ,"कोन॑, कोन्य॑","ꢒꣂꢥꢾ, ꢒꣂꢥ꣄ꢫꢾ"
