Unnamed: 0,19. Kinship Terms,ஒஸ்துனு நாவுன்,ओस्तुनु नावुन,ꢏꢱ꣄ꢡꢸꢥꢸ ꢥꢵꢮꢸꢥ꣄
அக்கா  ,elder sister,பெ3ய்,ब॑य्,ꢨꢾꢫ꣄
அண்ணன்  ,elder brother,த3தொ3,ददा॑,ꢣꢣꣁ
அண்ணி  ,elder brother’s wife,ப4வி,भवि,ꢩꢮꢶ
அத்தான்  ,brother in law,ப4வொ,भवा॑,ꢩꢮꣁ
அத்தை  ,aunty,பு2இ~,फुइ~,ꢧꢸꢄ~
அப்பத்தா  ,father’s mother,அம்மொ,अम्मा॑,ꢂꢪ꣄ꢪꣁ
அப்பா  / தந்தை தகப்பன்,father,போ3/பா3ப்,"बो, बाप्","ꢨꣂ, ꢨꢵꢦ꣄"
அம்மா /அன்னை,mother,அம்பொ3,अम्बा॑,ꢂꢪ꣄ꢨꣁ
அம்மாச்சி / ஆச்சி,mother`s mother,அஜ்ஜி,अज्जि,ꢂꢙ꣄ꢙꢶ
ஆத்தா  ,grand mother`s mother,அஜ்ஜிஅம்பொ3,अज्जि अम्बा॑,ꢂꢙ꣄ꢙꢶ ꢂꢪ꣄ꢨꣁ
ஆயா,Care taker,காம் கெர்த்தின்,काम क॑र्त्तिन्,ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄
உடன் பிறப்புகள்,brothers and sisters,ஸெந்தொஜின் /  பை4 பெ4ய்னென்,"स॑न्ता॑जिन,       भै भेय्न॑न","ꢱꢾꢥ꣄ꢡꣁꢙꢶꢥ꣄, ꢨꣀꢨꢾꢫ꣄ꢥꢾꢥ꣄"
"உறவினர், சொந்தங்கள்  ",relatives,ப3ந்து4ஜெனான்/ ஒஸ்துன்,"बन्धुज॑नान, आ॑स्तुन","ꢨꢥ꣄ꢤꢸꢙꢾꢥꢵꢥ꣄, ꢐꢱ꣄ꢡꢸꢥ꣄"
"உறவு, சொந்தம்",relationship,ப3ந்து4பன்/ஒஸ்து,"बन्धुपन, आ॑स्तु","ꢨꢥ꣄ꢣꢸꢦꢥ꣄, ꢏꢱ꣄ꢡꢸ"
ஓரகத்தி  ,Co-sisters ,தெ3வ்ரன்ஜெ2டனின்,"देव्रन्, झ॑टनिन्",ꢣꢾꢮ꣄ꢬꢥꢶ ꢚꢾꢞꢥꢶꢥ꣄ 
"கணவன், புருஷன் ",husband,த3ல்லொ/ பதி / ப4ர்தொ /அம்பு3லொ,"दल्ला॑, पति, भर्ता॑, अम्बुला॑","ꢣꢭ꣄ꢭꣁ, ꢦꢡꢶ, ꢩꢬ꣄ꢡꣁ, ꢂꢪ꣄ꢨꢸꢭꣁ"
குழந்தை  ,child,பில்லொ/பா3ளு/நு:ரு,"पिल्ला॑, बाळु, न्हुरु","ꢦꢶꢭ꣄ꢭꣁ, ꢨꢵꢳꢸ, ꢥꢴꢸꢬꢸ"
கொள்ளுத்தாத்தா  ,great grand father,பா3 அஜ்ஜொ,बा अज्जा॑,ꢨꢵ ꢂꢙ꣄ꢙꣁ
கொள்ளுப்பாட்டி  ,great grand mother,பா3 அஜ்ஜி,बा अज्जि,ꢨꢵ ꢂꢙ꣄ꢙꢶ
கொள்ளுப்பேத்தி  ,grandson`s daughter,பொன் நதினி,पा॑न् नतिनि,ꢦꣁꢥ꣄ ꢥꢡꢶꢥꢶ
கொள்ளுப்பேரன்  ,grandson`s son,பொன்நத்தெ,पा॑न्नत्त॑,ꢦꣁꢥ꣄ꢥꢡ꣄ꢡꢾ
கொழுந்தன்  ,husband,தெ3வர்,द॑वर्,ꢣꢾꢮꢬ꣄
கொழுந்தி  ,wife`s younger sister,நெனந்து3/நேந்து3,"न॑नन्तु, नेन्दु","ꢥꢾꢥꢥ꣄ꢡꢸ, ꢥꢿꢥ꣄ꢣꢸ"
சக்களத்தி  ,co-wife,ஸொவத்,सा॑वत्,ꢱꣁꢮꢡ꣄
சகலப்பாடி  ,co-brother,ஸொர்கு3ட் / ஸட்3கு3ட்,"सा॑र्गुट, सड्गुट","ꢱꢾꢬ꣄ꢔꢸꢜ꣄, ꢱꢞ꣄ꢔꢸꢜ꣄"
சகோதரன்  ,brother,ஸெங்கொ உஜெஸ்தெனொ/ பை4,"स॑ङ्का॑ उज॑स्त॑ना॑, भै","ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢾꢥꣁ,  ꢩꣀ"
சகோதரி  ,sister,ஸெங்கொ உஜிஸ்தினொ / பெ4ய்ன்,"स॑ङ्का॑ उज॑स्तिना॑,  भ॑य्न्","ꢱꢾꢖ꣄ꢒꣁ ꢆꢙꢾꢱ꣄ꢡꢶꢥꣁ, ꢩꢾꢫ꣄ꢥ꣄"
சம்பந்திகள்,relatives by marriage,வெஸிந்தி3,व॑सिन्ति,ꢮꢾꢱꢶꢥ꣄ꢡꢶ
சம்பந்திகள்,relatives by marriage,வெஸிந்தி3ன்,व॑सिन्तिन्,ꢮꢾꢱꢶꢥ꣄ꢡꢶꢥ꣄
சித்தப்பா  ,father’s younger brother,ந:ன்னபோ3/ககொ,"न्हन्नबा॑, कका॑","ꢥꢴꢥ꣄ꢥꢨꣂ, ꢒꢒꣁ"
சித்தி  ,"mother`s younger sister, stepmother",மௌஸி,मौसि,ꢪꣃꢱꢶ
சின்னம்மா  ,"mother`s younger sister, stepmother",ந:ன்னம்போ3,न्हन्नम्बो,ꢥꢴꢥ꣄ꢥꢪ꣄ꢨꣂ
தங்கை  ,younger sister,பெ4ய்ன்,भ॑य्न्,ꢩꢾꢫ꣄ꢥ꣄
தமயன்,elder brother,பை3ய்,बैय्,ꢨꣀꢫ꣄
