Unnamed: 0,22. Literature,ஸாஹித்யு,साहित्यु,ꢱꢵꢲꢶꢡ꣄ꢫꢸ
அறநூல்  ,moral literature,த4ர்ம புஸ்தவ்,धर्म पुस्तव,ꢤꢬ꣄ꢪ ꢦꢸꢱ꣄ꢡꢮ꣄
அறம்  ,moral,த4ர்மொ,धर्मा॑,ꢤꢬ꣄ꢪꣁ
அறவுரைகள்  ,moral sayings,ஸுவத்தான்/ நீதி உக்தின்/ சொக்வாசுன்/ தெ4ருமு வத்தான்/ ஹித வாசுன்,"सुवत्तान,      नीति  उक्तिन, चा॑क्वाचुन,   ध॑रुमु वत्तान, हित वाचुन","ꢱꢸꢮꢡ꣄ꢡꢵꢥ꣄, ꢥꢷꢡꢶ ꢆꢒ꣄ꢡꢶꢥ꣄, ꢗꣁꢒ꣄ ꢮꢵꢗꢸꢥ꣄, ꢤꢾꢬꢸꢪꢸ ꢮꢡ꣄ꢡꢵꢥ꣄, ꢲꢶꢡ ꢮꢵꢗꢸꢥ꣄"
இதிகாசம்  ,epic,இதிஹாஸ்,इतिहास,ꢄꢡꢶꢲꢵꢱ꣄
இயக்கம்  ,movement,ஸஞ்சலனொ,सञ्चलना॑,ꢱꢛ꣄ꢗꢭꢥꣁ
இயல்  ,chapter,அத்4யாய்,अध्याय,ꢂꢤ꣄ꢫꢵꢫ꣄
இல்லறம்  ,family life,கே4ரு தெ4ரும்,घेरु ध॑रुम,ꢕꢾꢬꢸ ꢤꢾꢬꢸꢪ꣄
இலக்கியக் கொள்கை   ,literary theory,ஸாஹித்ய ஸாஸ்தர்/ அலங்காரு ஸாஸ்தர்,"साहिय सास्तर, अलङ्कारु सास्तर","ꢱꢵꢲꢶꢡ꣄ꢫꢱꢵꢱ꣄ꢡꢬ꣄, ꢂꢭꢖ꣄ꢒꢵꢬꢸ ꢱꢵꢱ꣄ꢡꢬ꣄"
இலக்கியம்  ,literature,ஸாஹித்யு,साहित्यु,ꢱꢵꢲꢶꢡ꣄ꢫꢸ
இன்பம்  ,love,ப்ரேவ்/ப்ரேமொ,"प्रेव, प्रेमा॑","ꢦ꣄ꢬꢾꢮ꣄, ꢦ꣄ꢬꢾꢪꣁ"
உடன் போக்கு   ,elopement,ஸெரத4மினி/ ஸஹபலாயனொ/ஸஹக3மனொ,"स॑र धमिनि,   सह पलायना॑,  सह गमना॑","ꢱꢾꢬ ꢤꢪꢶꢥꢶ,   ꢱꢲ ꢦꢭꢵꢫꢥꣁ,  ꢱꢲ ꢔꢪꢥꣁ"
உரை  ,commentary,வ்யாக்2யான்,व्याख्यान,ꢮ꣄ꢫꢵꢓ꣄ꢫꢵꢥ꣄
உரை நடை   ,prose style,வசன ஸைலி/க3த்3யொ,"वचन सैलि, गद्या॑","ꢮꢗꢥ ꢱꣀꢭꢶ, ꢔꢣ꣄ꢫꣁ"
ஏடுகள்  ,palm leaf manuscript,தாடி3பானுன்,ताडिपानुन,ꢡꢵꢞꢶꢦꢵꢥꢸꢥ꣄
கட்டுரை  ,essay,வியாஸ்,वियास,ꢮꢶꢫꢵꢱ꣄
கடவுள் வாழ்த்து   ,invocation,தே3வுஸ்துதி,देवु स्तिति,ꢣꢾꢮꢸ ꢱ꣄ꢡꢶꢡꢶ
கருத்தரங்கம்  ,seminar,ஸித்3தா3ந்து4 ஸத3ஸ்,सिद्दान्धु सदस,ꢱꢶꢣ꣄ꢣꢵꢥ꣄ꢤꢸ ꢱꢣꢱ꣄
கவிஞர்  ,poet,கவி,कवि,ꢒꢮꢶ
கவிதை  ,poem,கவிதொ,कवितो,ꢒꢮꢶꢡꣁ
கழகம்  ,academy,ஸங்க3ம் / மண்ட3ல்,"चङगम्, मण्डल","ꢗꢖ꣄ꢔꢪ꣄, ꢪꢠ꣄ꢞꢭ꣄"
களவு வாழ்க்கை   ,love life,ப்ரேவு ஜிவ்னம்,प्रेवु जिव्नम,ꢦ꣄ꢬꢾꢮꢸ ꢙꢶꢮ꣄ꢥꢪ꣄
கற்பு வாழ்க்கை   ,chaste life,தெ4ருமு ஜிவ்னம்,धेरुमु जिव्नम,ꢤꢾꢬꢸꢪꢸ ꢙꢶꢮ꣄ꢥꢪ꣄
காதை  ,section,அத்4யாயு/ஸர்கு3,"अध्यायु, सर्गु","ꢂꢤ꣄ꢫꢵꢫꢸ, ꢱꢬ꣄ꢔꢸ"
காப்பியம்  ,epic,மஹாகாவ்யு,महाकाव्यु,ꢪꢲꢵꢒꢵꢮ꣄ꢫꢸ
காமம்  ,love,பிராமொ/இச்சொ/ஆஸ்தொ/பிரீதி/ காமொ,"पिरामा॑, इच्चा॑, आस्ता॑, पिरीति, कामा॑","ꢦꢶꢬꢵꢪꣁ, ꢄꢗ꣄ꢗꣁ, ꢃꢱ꣄ꢡꣁ, ꢦꢬꢷꢡꢶ, ꢒꢵꢪꣁ"
கார்காலம்  ,rainy season,பொவ்ஸு கால்,पा॑व्सु काल,ꢦꣁꢮꢱꢸ ꢒꢵꢭ꣄
கிருஸ்த்துவம்  ,Christianity,ஏஸு வாட்,एसुवाट्,ꢍꢱꢸ ꢮꢵꢜ꣄
கிழத்தி  ,heroine,நாயகி,नायकि,ꢥꢵꢫꢒꢶ
கிழவன்  ,"leader, hero",நாயகொ,नायका॑,ꢥꢵꢫꢒꣁ
குழந்தை இலக்கியம்   ,children literature,ஸிஸுஸாஹித்யு,सिसुसाहित्यु,ꢱꢶꢱꢸꢱꢵꢄꢡ꣄ꢫꢸ
குறி  ,foretelling,பொஸ்மெ /  ஹேஸ்யம்,"पा॑स्म॑, हेस्यम","ꢦꣁꢱ꣄ꢪꢾ, ꢲꢾꢱ꣄ꢫꢪ꣄"
கூத்தர்  ,dancers,நாசுவான்,नाचुवान,ꢥꢵꢗꢸꢮꢵꢥ꣄
கூத்து  ,dance,நாசு,नाचु,ꢥꢵꢗꢸ
